dt,open
2010-01-04,51.74
2010-01-05,52.59
2010-01-06,53.43
2010-01-07,54.62
2010-01-08,56.44
2010-01-11,57.57
2010-01-12,56.71
2010-01-13,56.41
2010-01-14,56.55
2010-01-15,56.45
2010-01-19,55.72
2010-01-20,55.74
2010-01-21,55.48
2010-01-22,54.03
2010-01-25,53.82
2010-01-26,53.38
2010-01-27,52.93
2010-01-28,52.62
2010-01-29,51.79
2010-02-01,51.57
2010-02-02,52.26
2010-02-03,54.82
2010-02-04,55.81
2010-02-05,54.57
2010-02-08,54.5
2010-02-09,54.29
2010-02-10,54.3
2010-02-11,53.68
2010-02-12,53.73
2010-02-16,54.78
2010-02-17,55.08
2010-02-18,55.88
2010-02-19,56.17
2010-02-22,55.91
2010-02-23,56.04
2010-02-24,55.26
2010-02-25,55.15
2010-02-26,56.21
2010-03-01,57.12
2010-03-02,59.21
2010-03-03,59.08
2010-03-04,58.85
2010-03-05,58.89
2010-03-08,59.26
2010-03-09,58.87
2010-03-10,59.18
2010-03-11,59.15
2010-03-12,59.29
2010-03-15,58.16
2010-03-16,57.77
2010-03-17,57.93
2010-03-18,58.74
2010-03-19,58.96
2010-03-22,57.87
2010-03-23,59.19
2010-03-24,59.98
2010-03-25,59.55
2010-03-26,58.3
2010-03-29,59.05
2010-03-30,58.24
2010-03-31,58.11
2010-04-01,57.81
2010-04-05,58.26
2010-04-06,58.94
2010-04-07,59.62
2010-04-08,59.24
2010-04-09,59.5
2010-04-12,60.67
2010-04-13,60.35
2010-04-14,61.24
2010-04-15,61.71
2010-04-16,61.01
2010-04-19,60.44
2010-04-20,60.96
2010-04-21,61.91
2010-04-22,61.63
2010-04-23,62.95
2010-04-26,63.13
2010-04-27,64.7
2010-04-28,64.45
2010-04-29,65.21
2010-04-30,64.99
2010-05-03,62.65
2010-05-04,62.44
2010-05-05,60.77
2010-05-06,59.7
2010-05-07,58.1
2010-05-10,59.69
2010-05-11,60.37
2010-05-12,61.88
2010-05-13,62.56
2010-05-14,61.38
2010-05-17,60.6
2010-05-18,60.96
2010-05-19,58.63
2010-05-20,56.3
2010-05-21,53.06
2010-05-24,55.39
2010-05-25,52.8
2010-05-26,55.23
2010-05-27,55.9
2010-05-28,56.77
2010-06-01,55.45
2010-06-02,55.06
2010-06-03,57.57
2010-06-04,56.57
2010-06-07,55.07
2010-06-08,53.5
2010-06-09,54.5
2010-06-10,53.97
2010-06-11,53.5
2010-06-14,55.61
2010-06-15,55.45
2010-06-16,56.67
2010-06-17,57.04
2010-06-18,55.86
2010-06-21,57.11
2010-06-22,54.78
2010-06-23,52.09
2010-06-24,52.04
2010-06-25,52.3
2010-06-28,51.96
2010-06-29,51.35
2010-06-30,50.31
2010-07-01,50.34
2010-07-02,50.15
2010-07-06,50.06
2010-07-07,49.64
2010-07-08,52.4
2010-07-09,51.36
2010-07-12,51.82
2010-07-13,52.78
2010-07-14,53.71
2010-07-15,53.66
2010-07-16,52.64
2010-07-19,51.25
2010-07-20,50.9
2010-07-21,55.4
2010-07-22,54.31
2010-07-23,56.12
2010-07-26,57.48
2010-07-27,58.43
2010-07-28,56.61
2010-07-29,56.62
2010-07-30,54.7
2010-08-02,59.05
2010-08-03,58.55
2010-08-04,58.6
2010-08-05,58.15
2010-08-06,57.21
2010-08-09,58.275
2010-08-10,57.34
