dt,open
2010-01-04,18.0
2010-01-05,18.4
2010-01-06,18.22
2010-01-07,18.47
2010-01-08,18.25
2010-01-11,18.43
2010-01-12,18.42
2010-01-13,18.75
2010-01-14,18.79
2010-01-15,18.95
2010-01-19,18.91
2010-01-20,19.07
2010-01-21,18.89
2010-01-22,18.69
2010-01-25,18.39
2010-01-26,18.28
2010-01-27,18.39
2010-01-28,18.04
2010-01-29,17.52
2010-02-01,17.11
2010-02-02,17.43
2010-02-03,17.2
2010-02-04,17.14
2010-02-05,16.87
2010-02-08,16.96
2010-02-09,17.17
2010-02-10,16.96
2010-02-11,17.07
2010-02-12,16.8
2010-02-16,16.59
2010-02-17,17.07
2010-02-18,17.12
2010-02-19,16.92
2010-02-22,17.24
2010-02-23,16.94
2010-02-24,16.86
2010-02-25,16.31
2010-02-26,16.58
2010-03-01,16.69
2010-03-02,16.8
2010-03-03,16.66
2010-03-04,16.86
2010-03-05,16.94
2010-03-08,16.91
2010-03-09,16.92
2010-03-10,17.09
2010-03-11,17.46
2010-03-12,17.37
2010-03-15,17.48
2010-03-16,17.29
2010-03-17,17.3
2010-03-18,17.05
2010-03-19,17.51
2010-03-22,17.15
2010-03-23,17.15
2010-03-24,16.95
2010-03-25,17.19
2010-03-26,17.1
2010-03-29,16.98
2010-03-30,16.95
2010-03-31,17.01
2010-04-01,16.96
2010-04-05,16.79
2010-04-06,16.73
2010-04-07,16.71
2010-04-08,16.79
2010-04-09,16.66
2010-04-12,17.03
2010-04-13,17.12
2010-04-14,16.75
2010-04-15,16.85
2010-04-16,16.95
2010-04-19,16.76
2010-04-20,16.95
2010-04-21,17.0
2010-04-22,17.05
2010-04-23,17.16
2010-04-26,17.4
2010-04-27,17.13
2010-04-28,17.05
2010-04-29,17.2
2010-04-30,16.73
2010-05-03,16.83
2010-05-04,16.55
2010-05-05,16.2
2010-05-06,17.01
2010-05-07,16.49
2010-05-10,16.15
2010-05-11,16.145
2010-05-12,16.4
2010-05-13,16.45
2010-05-14,16.29
2010-05-17,16.08
2010-05-18,16.31
2010-05-19,15.99
2010-05-20,15.2
2010-05-21,14.6
2010-05-24,14.58
2010-05-25,14.24
2010-05-26,14.35
