dt,open
2010-01-04,12.75
2010-01-05,13.25
2010-01-06,13.73
2010-01-07,14.67
2010-01-08,14.6
2010-01-11,15.2
2010-01-12,14.07
2010-01-13,14.05
2010-01-14,14.14
2010-01-15,13.93
2010-01-19,13.7
2010-01-20,13.9
2010-01-21,13.57
2010-01-22,12.51
2010-01-25,12.6
2010-01-26,12.33
2010-01-27,12.15
2010-01-28,12.26
2010-01-29,12.13
2010-02-01,11.72
2010-02-02,12.53
2010-02-03,12.46
2010-02-04,12.03
2010-02-05,10.75
2010-02-08,11.29
2010-02-09,11.09
2010-02-10,11.16
2010-02-11,10.93
2010-02-12,11.05
2010-02-16,11.49
2010-02-17,11.91
2010-02-18,11.57
2010-02-19,11.77
2010-02-22,12.25
2010-02-23,12.21
2010-02-24,11.83
2010-02-25,11.4
2010-02-26,11.74
2010-03-01,11.83
2010-03-02,12.41
2010-03-03,12.64
2010-03-04,12.99
2010-03-05,13.48
2010-03-08,13.81
2010-03-09,13.53
2010-03-10,14.05
2010-03-11,13.96
2010-03-12,14.25
2010-03-15,14.05
2010-03-16,14.07
2010-03-17,14.43
2010-03-18,14.6
2010-03-19,14.46
2010-03-22,14.56
2010-03-23,14.86
2010-03-24,16.27
2010-03-25,16.88
2010-03-26,15.84
2010-03-29,16.39
2010-03-30,17.15
2010-03-31,16.56
2010-04-01,16.87
2010-04-05,17.04
2010-04-06,17.2
2010-04-07,17.0
2010-04-08,16.5
2010-04-09,16.66
2010-04-12,16.43
2010-04-13,16.94
2010-04-14,17.29
2010-04-15,17.06
2010-04-16,16.84
2010-04-19,15.94
2010-04-20,15.86
2010-04-21,15.86
2010-04-22,15.88
2010-04-23,16.42
2010-04-26,16.79
2010-04-27,16.39
2010-04-28,15.57
2010-04-29,15.75
2010-04-30,16.13
2010-05-03,15.48
2010-05-04,15.15
2010-05-05,14.21
2010-05-06,15.31
2010-05-07,16.23
2010-05-10,16.31
2010-05-11,16.32
2010-05-12,16.6
2010-05-13,17.12
2010-05-14,17.17
2010-05-17,16.81
2010-05-18,16.86
2010-05-19,16.42
2010-05-20,15.81
2010-05-21,14.41
2010-05-24,15.63
2010-05-25,15.0
2010-05-26,16.52
2010-05-27,16.76
2010-05-28,17.81
2010-06-01,17.48
2010-06-02,16.93
2010-06-03,18.29
2010-06-04,17.22
2010-06-07,17.09
2010-06-08,16.79
2010-06-09,17.54
2010-06-10,18.4
2010-06-11,18.8
2010-06-14,19.97
2010-06-15,20.35
2010-06-16,20.33
2010-06-17,20.1
