dt,open
2010-01-04,36.89
2010-01-05,36.34
2010-01-06,36.65
2010-01-07,37.58
2010-01-08,37.22
2010-01-11,37.46
2010-01-12,38.1
2010-01-13,38.55
2010-01-14,38.21
2010-01-15,37.54
2010-01-19,37.12
2010-01-20,35.2
2010-01-21,35.32
2010-01-22,33.84
2010-01-25,34.35
2010-01-26,34.07
2010-01-27,34.56
2010-01-28,35.11
2010-01-29,34.98
2010-02-01,35.0
2010-02-02,35.29
2010-02-03,35.32
2010-02-04,35.1
2010-02-05,33.6
2010-02-08,34.25
2010-02-09,34.71
2010-02-10,34.62
2010-02-11,34.7
2010-02-12,35.01
2010-02-16,35.69
2010-02-17,36.44
2010-02-18,35.83
2010-02-19,36.24
2010-02-22,36.44
2010-02-23,36.41
2010-02-24,36.64
2010-02-25,36.6
2010-02-26,36.71
2010-03-01,36.53
2010-03-02,37.1
2010-03-03,36.72
2010-03-04,36.39
2010-03-05,37.38
2010-03-08,37.85
2010-03-09,37.44
2010-03-10,38.99
2010-03-11,38.31
2010-03-12,38.6
2010-03-15,38.13
2010-03-16,38.08
2010-03-17,37.91
2010-03-18,38.07
2010-03-19,38.18
2010-03-22,37.57
2010-03-23,38.52
2010-03-24,38.35
2010-03-25,38.95
2010-03-26,39.69
2010-03-29,40.53
2010-03-30,40.74
2010-03-31,39.71
2010-04-01,39.87
2010-04-05,40.24
2010-04-06,40.45
2010-04-07,40.64
2010-04-08,40.41
2010-04-09,40.72
2010-04-12,41.44
2010-04-13,41.48
2010-04-14,41.92
2010-04-15,42.63
2010-04-16,42.97
2010-04-19,42.29
2010-04-20,42.92
2010-04-21,42.36
2010-04-22,42.63
2010-04-23,42.99
2010-04-26,43.77
2010-04-27,43.12
2010-04-28,42.0
2010-04-29,42.79
2010-04-30,43.2
2010-05-03,41.86
2010-05-04,42.53
2010-05-05,41.32
2010-05-06,40.34
2010-05-07,38.99
2010-05-10,40.07
2010-05-11,40.23
2010-05-12,41.66
2010-05-13,42.27
2010-05-14,41.25
2010-05-17,40.24
2010-05-18,40.64
2010-05-19,39.0
2010-05-20,37.92
2010-05-21,36.87
2010-05-24,38.48
2010-05-25,37.36
2010-05-26,39.62
2010-05-27,40.39
2010-05-28,41.88
2010-06-01,40.63
2010-06-02,40.4
2010-06-03,41.76
2010-06-04,40.72
2010-06-07,39.74
2010-06-08,39.25
2010-06-09,40.11
2010-06-10,41.53
2010-06-11,41.55
2010-06-14,43.04
2010-06-15,43.79
2010-06-16,43.82
2010-06-17,43.66
2010-06-18,43.35
2010-06-21,43.97
2010-06-22,42.15
2010-06-23,40.54
2010-06-24,40.16
2010-06-25,39.6
2010-06-28,39.12
2010-06-29,38.4
2010-06-30,36.86
2010-07-01,36.4
2010-07-02,36.72
2010-07-06,36.1
2010-07-07,35.22
2010-07-08,36.74
2010-07-09,36.12
2010-07-12,36.39
2010-07-13,36.42
2010-07-14,36.94
2010-07-15,36.83
2010-07-16,36.52
2010-07-19,34.85
2010-07-20,33.92
2010-07-21,35.36
2010-07-22,35.56
2010-07-23,36.67
2010-07-26,37.5
2010-07-27,38.41
2010-07-28,37.01
2010-07-29,37.09
2010-07-30,35.92
2010-08-02,37.79
2010-08-03,36.61
2010-08-04,37.46
2010-08-05,39.0
2010-08-06,38.25
2010-08-09,39.0
2010-08-10,38.88
2010-08-11,38.0
2010-08-12,37.02
2010-08-13,37.59
2010-08-16,37.0
2010-08-17,37.62
2010-08-18,38.07
2010-08-19,37.84
2010-08-20,36.79
2010-08-23,37.71
2010-08-24,37.2
2010-08-25,36.93
2010-08-26,37.81
2010-08-27,37.06
2010-08-30,36.97
2010-08-31,35.61
2010-09-01,36.69
2010-09-02,37.64
2010-09-03,38.75
2010-09-07,38.78
2010-09-08,38.85
2010-09-09,39.86
2010-09-10,39.08
2010-09-13,39.57
2010-09-14,39.92
2010-09-15,40.6
2010-09-16,41.15
2010-09-17,41.67
2010-09-20,41.85
2010-09-21,41.93
2010-09-22,41.64
2010-09-23,40.99
2010-09-24,41.75
2010-09-27,42.63
2010-09-28,42.49
2010-09-29,43.45
2010-09-30,43.44
2010-10-01,43.5
2010-10-04,43.07
2010-10-05,43.5
2010-10-06,43.44
2010-10-07,43.69
2010-10-08,44.02
2010-10-11,44.33
2010-10-12,43.85
2010-10-13,44.6
2010-10-14,44.24
2010-10-15,44.74
2010-10-18,44.92
2010-10-19,43.98
2010-10-20,43.69
2010-10-21,44.38
2010-10-22,44.48
2010-10-25,44.9
2010-10-26,47.5
2010-10-27,49.18
2010-10-28,49.44
2010-10-29,49.3
2010-11-01,50.22
2010-11-02,50.33
2010-11-03,50.08
2010-11-04,50.85
2010-11-05,52.22
2010-11-08,52.56
2010-11-09,52.97
2010-11-10,52.09
2010-11-11,52.25
2010-11-12,52.18
2010-11-15,51.92
2010-11-16,51.99
2010-11-17,51.11
2010-11-18,52.95
2010-11-19,54.12
2010-11-22,54.32
2010-11-23,54.75
2010-11-24,55.32
2010-11-26,56.18
2010-11-29,55.87
2010-11-30,55.68
2010-12-01,57.54
2010-12-02,56.44
2010-12-03,56.71
2010-12-06,56.58
2010-12-07,56.7
2010-12-08,56.01
2010-12-09,56.31
2010-12-10,57.17
2010-12-13,57.98
2010-12-14,57.41
2010-12-15,57.97
2010-12-16,57.75
2010-12-17,57.8
2010-12-20,58.35
2010-12-21,57.75
2010-12-22,57.79
2010-12-23,56.22
2010-12-27,55.75
2010-12-28,56.11
2010-12-29,55.79
2010-12-30,55.31
2010-12-31,56.0
2011-01-03,54.79
2011-01-04,54.49
2011-01-05,51.89
2011-01-06,52.39
2011-01-07,53.04
2011-01-10,52.47
2011-01-11,54.43
2011-01-12,54.77
2011-01-13,54.44
2011-01-14,53.75
2011-01-18,54.4
2011-01-19,54.2
2011-01-20,53.18
2011-01-21,53.9
2011-01-24,53.1
2011-01-25,52.01
2011-01-26,53.39
2011-01-27,54.21
2011-01-28,54.12
2011-01-31,53.71
2011-02-01,54.39
2011-02-02,53.86
2011-02-03,54.1
2011-02-04,54.2
2011-02-07,55.02
2011-02-08,56.03
2011-02-09,57.05
2011-02-10,57.12
2011-02-11,57.39
2011-02-14,57.72
2011-02-15,57.73
2011-02-16,57.55
2011-02-17,56.96
2011-02-18,56.61
2011-02-22,56.52
2011-02-23,56.35
2011-02-24,54.22
2011-02-25,54.35
2011-02-28,54.85
2011-03-01,55.18
2011-03-02,53.72
2011-03-03,54.92
2011-03-04,55.44
2011-03-07,55.3
2011-03-08,54.63
2011-03-09,55.52
2011-03-10,55.15
2011-03-11,54.96
2011-03-14,54.43
2011-03-15,50.71
2011-03-16,51.86
2011-03-17,51.59
2011-03-18,51.42
2011-03-21,51.4
2011-03-22,51.5
2011-03-23,50.94
2011-03-24,51.82
2011-03-25,51.83
2011-03-28,51.98
2011-03-29,50.98
2011-03-30,52.0
2011-03-31,52.3
2011-04-01,52.49
2011-04-04,53.18
2011-04-05,52.69
2011-04-06,53.33
2011-04-07,52.46
2011-04-08,51.18
2011-04-11,50.72
2011-04-12,50.48
2011-04-13,52.43
2011-04-14,53.93
2011-04-15,54.53
2011-04-18,53.76
2011-04-19,54.95
2011-04-20,56.23
2011-04-21,57.16
2011-04-25,57.65
2011-04-26,56.41
2011-04-27,57.59
2011-04-28,58.13
2011-04-29,59.71
2011-05-02,60.16
2011-05-03,59.1
2011-05-04,58.92
2011-05-05,58.31
2011-05-06,59.77
2011-05-09,59.5
2011-05-10,60.56
2011-05-11,60.63
2011-05-12,59.7
2011-05-13,61.23
2011-05-16,59.78
2011-05-17,58.92
2011-05-18,58.94
2011-05-19,60.1
