dt,open
2010-01-04,30.06
2010-01-05,29.98
2010-01-06,29.92
2010-01-07,29.93
2010-01-08,30.15
2010-01-11,30.02
2010-01-12,30.01
2010-01-13,29.65
2010-01-14,29.58
2010-01-15,29.93
2010-01-19,29.47
2010-01-20,30.59
2010-01-21,30.67
2010-01-22,30.36
2010-01-25,29.85
2010-01-26,29.35
2010-01-27,29.49
2010-01-28,29.39
2010-01-29,29.09
2010-02-01,29.41
2010-02-02,29.32
2010-02-03,29.58
2010-02-04,30.04
2010-02-05,29.08
2010-02-08,28.48
2010-02-09,28.36
2010-02-10,28.61
2010-02-11,28.71
2010-02-12,28.63
2010-02-16,29.08
2010-02-17,29.55
2010-02-18,29.61
2010-02-19,29.53
2010-02-22,30.19
2010-02-23,29.96
2010-02-24,29.5
2010-02-25,28.91
2010-02-26,29.68
2010-03-01,29.69
2010-03-02,29.9
2010-03-03,29.67
2010-03-04,29.67
2010-03-05,29.9
2010-03-08,30.46
2010-03-09,30.23
2010-03-10,30.68
2010-03-11,31.03
2010-03-12,31.35
2010-03-15,31.46
2010-03-16,30.96
2010-03-17,31.51
2010-03-18,31.08
2010-03-19,31.49
2010-03-22,31.5
2010-03-23,32.03
2010-03-24,32.36
2010-03-25,32.79
2010-03-26,33.38
2010-03-29,33.84
2010-03-30,33.77
2010-03-31,33.59
2010-04-01,34.56
2010-04-05,34.71
2010-04-06,35.14
2010-04-07,34.85
2010-04-08,34.75
2010-04-09,35.18
2010-04-12,36.33
2010-04-13,35.89
2010-04-14,35.68
2010-04-15,36.22
2010-04-16,35.89
2010-04-19,34.76
2010-04-20,34.99
2010-04-21,35.83
2010-04-22,35.86
2010-04-23,36.51
2010-04-26,36.69
2010-04-27,36.31
2010-04-28,35.26
2010-04-29,35.7
2010-04-30,36.08
2010-05-03,35.45
2010-05-04,35.71
2010-05-05,34.47
2010-05-06,33.58
2010-05-07,32.65
2010-05-10,33.25
2010-05-11,33.22
2010-05-12,33.47
2010-05-13,34.48
2010-05-14,33.81
2010-05-17,33.94
2010-05-18,34.23
2010-05-19,33.78
2010-05-20,32.7
2010-05-21,31.8
2010-05-24,32.46
2010-05-25,31.46
2010-05-26,32.39
2010-05-27,33.54
2010-05-28,34.1
2010-06-01,33.15
2010-06-02,33.54
2010-06-03,34.44
2010-06-04,32.96
2010-06-07,32.74
2010-06-08,32.9
2010-06-09,32.5
2010-06-10,33.84
2010-06-11,33.74
2010-06-14,34.25
2010-06-15,34.48
2010-06-16,34.78
2010-06-17,35.32
2010-06-18,35.98
2010-06-21,35.94
2010-06-22,35.56
2010-06-23,35.2
2010-06-24,35.11
2010-06-25,34.18
2010-06-28,34.31
2010-06-29,33.35
2010-06-30,32.02
2010-07-01,31.24
2010-07-02,31.08
2010-07-06,30.81
2010-07-07,31.37
2010-07-08,32.8
2010-07-09,33.07
2010-07-12,33.37
2010-07-13,33.75
2010-07-14,34.01
2010-07-15,33.58
2010-07-16,32.88
2010-07-19,31.81
2010-07-20,32.02
2010-07-21,32.55
2010-07-22,31.77
2010-07-23,32.85
2010-07-26,33.3
2010-07-27,33.59
2010-07-28,32.82
2010-07-29,33.17
2010-07-30,32.82
2010-08-02,33.47
2010-08-03,34.08
2010-08-04,34.01
2010-08-05,33.78
2010-08-06,33.31
2010-08-09,33.92
2010-08-10,33.46
2010-08-11,33.33
2010-08-12,32.13
2010-08-13,32.49
2010-08-16,32.25
2010-08-17,32.82
2010-08-18,32.94
2010-08-19,32.77
2010-08-20,31.94
2010-08-23,31.88
2010-08-24,31.1
2010-08-25,30.88
2010-08-26,31.05
2010-08-27,31.38
2010-08-30,31.73
2010-08-31,31.31
2010-09-01,31.87
2010-09-02,32.12
2010-09-03,32.76
2010-09-07,32.7
2010-09-08,32.14
2010-09-09,32.98
2010-09-10,32.72
2010-09-13,34.1
2010-09-14,34.57
2010-09-15,34.51
2010-09-16,34.99
2010-09-17,34.96
2010-09-20,35.38
2010-09-21,35.95
2010-09-22,35.21
2010-09-23,34.75
2010-09-24,34.96
2010-09-27,35.9
2010-09-28,36.09
2010-09-29,36.29
2010-09-30,36.4
2010-10-01,36.57
2010-10-04,36.3
2010-10-05,36.59
2010-10-06,36.74
2010-10-07,36.92
2010-10-08,36.86
2010-10-11,37.23
2010-10-12,37.1
2010-10-13,37.69
2010-10-14,37.23
2010-10-15,37.75
2010-10-18,37.82
2010-10-19,37.45
2010-10-20,36.99
2010-10-21,37.74
2010-10-22,37.68
2010-10-25,37.51
2010-10-26,37.65
2010-10-27,37.45
2010-10-28,38.05
2010-10-29,38.21
2010-11-01,38.84
2010-11-02,38.83
2010-11-03,39.0
2010-11-04,38.59
2010-11-05,39.36
2010-11-08,38.41
2010-11-09,38.65
2010-11-10,37.78
2010-11-11,39.36
2010-11-12,39.02
2010-11-15,39.03
2010-11-16,38.52
2010-11-17,38.04
2010-11-18,38.295
2010-11-19,38.35
2010-11-22,38.14
2010-11-23,37.84
2010-11-24,37.61
2010-11-26,37.65
2010-11-29,37.59
2010-11-30,37.31
2010-12-01,38.26
2010-12-02,39.22
2010-12-03,40.01
2010-12-06,39.79
2010-12-07,39.91
2010-12-08,39.41
2010-12-09,39.04
2010-12-10,39.47
