dt,open
2010-01-04,42.85
2010-01-05,43.22
2010-01-06,42.51
2010-01-07,42.0
2010-01-08,41.45
2010-01-11,40.81
2010-01-12,41.87
2010-01-13,41.57
2010-01-14,42.48
2010-01-15,41.74
2010-01-19,40.33
2010-01-20,41.43
2010-01-21,40.96
2010-01-22,39.88
2010-01-25,40.22
2010-01-26,39.5
2010-01-27,38.81
2010-01-28,39.01
2010-01-29,38.75
2010-02-01,39.93
2010-02-02,39.07
2010-02-03,40.36
2010-02-04,39.78
2010-02-05,38.5
2010-02-08,37.1
2010-02-09,37.74
2010-02-10,38.04
2010-02-11,37.57
2010-02-12,37.66
2010-02-16,38.46
2010-02-17,38.8
2010-02-18,39.75
2010-02-19,40.23
2010-02-22,40.72
2010-02-23,39.61
2010-02-24,39.41
2010-02-25,39.93
2010-02-26,40.18
2010-03-01,40.39
2010-03-02,41.83
2010-03-03,41.67
2010-03-04,41.98
2010-03-05,41.62
2010-03-08,41.3
2010-03-09,41.43
2010-03-10,42.22
2010-03-11,42.89
2010-03-12,42.92
2010-03-15,43.39
2010-03-16,43.04
2010-03-17,43.64
2010-03-18,42.36
2010-03-19,42.04
2010-03-22,42.61
2010-03-23,42.37
2010-03-24,42.02
2010-03-25,41.72
2010-03-26,41.76
2010-03-29,41.73
2010-03-30,41.25
2010-03-31,40.89
2010-04-01,41.08
2010-04-05,40.86
2010-04-06,40.5
2010-04-07,40.31
2010-04-08,40.43
2010-04-09,40.01
2010-04-12,38.77
2010-04-13,39.24
2010-04-14,40.085
2010-04-15,39.76
2010-04-16,39.62
2010-04-19,40.0
2010-04-20,40.23
2010-04-21,40.37
2010-04-22,39.06
2010-04-23,38.11
2010-04-26,38.63
2010-04-27,38.13
2010-04-28,38.78
2010-04-29,38.6
2010-04-30,39.06
2010-05-03,38.77
2010-05-04,38.49
2010-05-05,38.2
2010-05-06,37.68
2010-05-07,36.83
2010-05-10,37.34
2010-05-11,37.22
2010-05-12,38.06
2010-05-13,38.27
2010-05-14,38.39
2010-05-17,38.055
2010-05-18,37.76
2010-05-19,37.11
