dt,open
2010-01-04,62.5
2010-01-05,61.43
2010-01-06,60.71
2010-01-07,60.96
2010-01-08,60.9
2010-01-11,61.28
2010-01-12,62.39
2010-01-13,62.57
2010-01-14,62.35
2010-01-15,62.16
2010-01-19,60.89
2010-01-20,61.56
2010-01-21,60.75
2010-01-22,59.2
2010-01-25,59.92
2010-01-26,59.22
2010-01-27,57.98
2010-01-28,57.87
2010-01-29,58.03
2010-02-01,57.22
2010-02-02,57.18
2010-02-03,57.78
2010-02-04,57.43
2010-02-05,56.36
2010-02-08,57.37
2010-02-09,58.51
2010-02-10,57.98
2010-02-11,57.65
2010-02-12,57.65
2010-02-16,58.52
2010-02-17,59.25
2010-02-18,58.77
2010-02-19,59.02
2010-02-22,58.82
2010-02-23,59.12
2010-02-24,59.04
2010-02-25,58.84
2010-02-26,60.03
2010-03-01,59.97
2010-03-02,61.96
2010-03-03,62.1
2010-03-04,62.05
2010-03-05,61.89
2010-03-08,64.03
2010-03-09,63.42
2010-03-10,63.94
2010-03-11,64.99
2010-03-12,65.47
2010-03-15,64.83
2010-03-16,64.59
2010-03-17,65.29
2010-03-18,65.66
2010-03-19,65.98
2010-03-22,64.97
2010-03-23,65.63
2010-03-24,66.49
2010-03-25,67.25
2010-03-26,67.04
2010-03-29,66.88
2010-03-30,67.48
2010-03-31,67.62
2010-04-01,67.73
2010-04-05,68.16
2010-04-06,67.85
2010-04-07,67.81
2010-04-08,67.1
2010-04-09,67.67
2010-04-12,69.27
2010-04-13,68.62
2010-04-14,69.23
2010-04-15,70.06
2010-04-16,70.5
2010-04-19,70.14
2010-04-20,71.16
2010-04-21,71.26
2010-04-22,69.81
2010-04-23,68.85
2010-04-26,69.94
2010-04-27,70.25
2010-04-28,71.19
2010-04-29,73.5
2010-04-30,73.25
2010-05-03,72.0
2010-05-04,72.25
2010-05-05,70.15
2010-05-06,70.64
2010-05-07,68.12
2010-05-10,67.94
2010-05-11,68.88
2010-05-12,70.44
2010-05-13,71.69
2010-05-14,69.83
2010-05-17,68.35
2010-05-18,68.65
2010-05-19,67.22
2010-05-20,65.04
2010-05-21,62.6
2010-05-24,65.25
2010-05-25,64.92
2010-05-26,67.48
2010-05-27,67.51
2010-05-28,69.66
2010-06-01,67.86
2010-06-02,68.1
2010-06-03,69.24
2010-06-04,69.05
2010-06-07,66.54
2010-06-08,66.54
2010-06-09,66.41
2010-06-10,67.82
2010-06-11,68.15
2010-06-14,69.02
2010-06-15,69.11
2010-06-16,69.94
2010-06-17,71.44
2010-06-18,71.73
2010-06-21,72.47
2010-06-22,71.68
2010-06-23,71.25
2010-06-24,69.65
2010-06-25,68.58
2010-06-28,69.36
2010-06-29,67.8
2010-06-30,65.36
2010-07-01,64.72
2010-07-02,64.09
2010-07-06,63.89
2010-07-07,64.0
2010-07-08,63.7
2010-07-09,63.65
2010-07-12,64.09
2010-07-13,64.12
2010-07-14,64.61
2010-07-15,64.68
2010-07-16,64.61
2010-07-19,63.3
2010-07-20,62.68
2010-07-21,64.16
2010-07-22,63.56
2010-07-23,64.05
2010-07-26,64.66
2010-07-27,65.5
2010-07-28,64.01
2010-07-29,66.74
2010-07-30,64.13
2010-08-02,64.8
2010-08-03,65.45
2010-08-04,66.24
2010-08-05,66.33
2010-08-06,65.95
2010-08-09,66.76
2010-08-10,65.87
2010-08-11,65.32
2010-08-12,63.5
2010-08-13,62.84
2010-08-16,62.0
2010-08-17,62.56
2010-08-18,64.29
2010-08-19,64.1
2010-08-20,61.99
2010-08-23,62.72
2010-08-24,61.7
2010-08-25,60.82
2010-08-26,62.13
2010-08-27,61.47
2010-08-30,61.57
2010-08-31,60.54
2010-09-01,61.38
2010-09-02,63.3
2010-09-03,64.4
2010-09-07,64.36
2010-09-08,64.34
2010-09-09,64.95
2010-09-10,65.26
2010-09-13,66.38
2010-09-14,67.39
2010-09-15,67.6
2010-09-16,68.06
2010-09-17,68.85
2010-09-20,69.25
2010-09-21,69.67
2010-09-22,70.3
2010-09-23,70.3
2010-09-24,70.41
2010-09-27,71.35
2010-09-28,70.94
2010-09-29,70.47
2010-09-30,71.37
2010-10-01,71.39
2010-10-04,70.61
2010-10-05,71.21
2010-10-06,71.38
2010-10-07,71.02
2010-10-08,70.82
2010-10-11,70.76
2010-10-12,70.83
2010-10-13,72.15
2010-10-14,72.23
2010-10-15,71.95
2010-10-18,71.91
2010-10-19,71.47
2010-10-20,71.16
2010-10-21,72.36
2010-10-22,72.66
2010-10-25,73.0
2010-10-26,72.8
2010-10-27,72.93
2010-10-28,74.5
2010-10-29,74.09
2010-11-01,74.61
2010-11-02,75.55
2010-11-03,75.59
2010-11-04,76.69
2010-11-05,77.16
2010-11-08,77.45
2010-11-09,77.7
2010-11-10,76.96
2010-11-11,75.92
2010-11-12,76.87
2010-11-15,76.76
2010-11-16,75.99
2010-11-17,75.23
2010-11-18,77.5
2010-11-19,78.08
2010-11-22,78.47
2010-11-23,77.87
2010-11-24,77.78
2010-11-26,78.03
2010-11-29,77.53
2010-11-30,76.78
2010-12-01,78.06
2010-12-02,78.64
2010-12-03,78.91
2010-12-06,78.95
2010-12-07,78.98
2010-12-08,78.55
2010-12-09,78.1
2010-12-10,80.02
2010-12-13,80.75
2010-12-14,80.5
2010-12-15,79.99
2010-12-16,79.45
2010-12-17,80.22
2010-12-20,80.57
2010-12-21,80.85
2010-12-22,80.05
2010-12-23,79.66
2010-12-27,79.34
2010-12-28,79.49
2010-12-29,79.04
2010-12-30,78.78
2010-12-31,78.29
2011-01-03,78.3
2011-01-04,78.21
2011-01-05,77.41
2011-01-06,75.87
2011-01-07,76.03
2011-01-10,74.8
2011-01-11,74.93
2011-01-12,76.61
2011-01-13,76.53
2011-01-14,76.2
2011-01-18,76.43
2011-01-19,77.5
2011-01-20,75.49
2011-01-21,76.46
2011-01-24,76.23
2011-01-25,77.81
2011-01-26,78.09
2011-01-27,76.77
2011-01-28,77.78
2011-01-31,76.12
2011-02-01,76.96
2011-02-02,77.39
2011-02-03,75.63
2011-02-04,75.72
2011-02-07,75.41
2011-02-08,76.58
2011-02-09,76.56
2011-02-10,77.6
2011-02-11,79.15
2011-02-14,79.78
2011-02-15,80.07
2011-02-16,80.07
2011-02-17,80.03
2011-02-18,80.66
2011-02-22,82.58
2011-02-23,82.51
2011-02-24,80.68
2011-02-25,81.85
2011-02-28,82.17
2011-03-01,83.32
2011-03-02,82.02
2011-03-03,83.03
2011-03-04,84.43
2011-03-07,87.13
2011-03-08,86.24
2011-03-09,86.79
2011-03-10,86.1
2011-03-11,84.42
2011-03-14,84.92
2011-03-15,82.5
2011-03-16,82.37
2011-03-17,81.88
2011-03-18,82.92
2011-03-21,85.02
2011-03-22,85.13
2011-03-23,84.06
2011-03-24,84.58
2011-03-25,84.9
2011-03-28,85.77
2011-03-29,85.33
2011-03-30,86.4
2011-03-31,86.65
2011-04-01,87.69
2011-04-04,88.15
2011-04-05,88.86
2011-04-06,90.04
2011-04-07,89.17
2011-04-08,88.55
2011-04-11,87.58
2011-04-12,87.26
2011-04-13,87.55
2011-04-14,86.98
2011-04-15,87.68
2011-04-18,86.77
2011-04-19,86.07
2011-04-20,87.54
2011-04-21,90.0
2011-04-25,90.8
2011-04-26,99.17
2011-04-27,98.33
2011-04-28,97.96
2011-04-29,98.0
2011-05-02,98.62
2011-05-03,97.96
2011-05-04,97.22
2011-05-05,96.42
2011-05-06,96.85
2011-05-09,96.87
2011-05-10,97.98
2011-05-11,97.61
2011-05-12,97.13
2011-05-13,98.64
2011-05-16,97.21
2011-05-17,96.89
2011-05-18,96.26
2011-05-19,98.92
2011-05-20,99.14
