dt,volume
2010-01-04,24801863
2010-01-05,26188289
2010-01-06,16464804
2010-01-07,16454468
2010-01-08,13039458
2010-01-11,11752150
2010-01-12,32374649
2010-01-13,9297057
2010-01-14,15512890
2010-01-15,9274470
2010-01-19,14802535
2010-01-20,27075576
2010-01-21,17566449
2010-01-22,32426601
2010-01-25,18592424
2010-01-26,13470376
2010-01-27,16447766
2010-01-28,16056166
2010-01-29,10109557
2010-02-01,13137485
2010-02-02,18485301
2010-02-03,13630406
2010-02-04,23369015
2010-02-05,15210066
2010-02-08,30411476
2010-02-09,10709028
2010-02-10,24941083
2010-02-11,18869249
2010-02-12,19377962
2010-02-16,23087127
2010-02-17,25451543
2010-02-18,122311094
2010-02-19,31527761
2010-02-22,20575533
2010-02-23,18740344
2010-02-24,17562200
2010-02-25,16137745
2010-02-26,15562263
2010-03-01,17589335
2010-03-02,14702939
2010-03-03,10919904
2010-03-04,12090274
2010-03-05,27563739
2010-03-08,55412452
2010-03-09,34385553
2010-03-10,23806794
2010-03-11,16951710
2010-03-12,14382435
2010-03-15,21988199
2010-03-16,11216721
2010-03-17,13154435
2010-03-18,40435169
2010-03-19,24647189
2010-03-22,15416134
2010-03-23,17919306
2010-03-24,15878274
2010-03-25,16991845
2010-03-26,17561810
2010-03-29,13592850
2010-03-30,9721263
2010-03-31,12144327
2010-04-01,8575573
2010-04-05,11563662
2010-04-06,10454459
2010-04-07,18305351
2010-04-08,18359974
2010-04-09,19208154
2010-04-12,9544982
2010-04-13,11464847
2010-04-14,38754345
2010-04-15,47372152
2010-04-16,22996362
2010-04-19,19557091
2010-04-20,10018176
2010-04-21,9936214
2010-04-22,13143539
2010-04-23,8225330
2010-04-26,10445774
2010-04-27,10199465
2010-04-28,12449410
2010-04-29,19356245
2010-04-30,10912338
2010-05-03,9197460
2010-05-04,11291843
2010-05-05,15938487
2010-05-06,17183709
2010-05-07,18916159
2010-05-10,10001544
2010-05-11,8276358
2010-05-12,14969141
2010-05-13,13559486
2010-05-14,14881645
2010-05-17,21519887
2010-05-18,28006297
2010-05-19,23320830
2010-05-20,71055922
2010-05-21,51049135
2010-05-24,29882641
2010-05-25,35463128
2010-05-26,25988725
2010-05-27,13499082
2010-05-28,9338269
2010-06-01,23952944
2010-06-02,16878690
2010-06-03,10509892
2010-06-04,18144685
2010-06-07,27654496
2010-06-08,28589679
2010-06-09,20224159
2010-06-10,21838907
2010-06-11,10037880
2010-06-14,8784101
2010-06-15,9384888
2010-06-16,9302267
2010-06-17,8490634
2010-06-18,10410309
2010-06-21,11736518
2010-06-22,11688051
2010-06-23,8706742
2010-06-24,11194900
2010-06-25,10659034
2010-06-28,7639489
2010-06-29,10813055
2010-06-30,7624852
2010-07-01,17739164
2010-07-02,9931311
2010-07-06,15496241
2010-07-07,19182518
2010-07-08,13683236
2010-07-09,14261063
2010-07-12,8586930
2010-07-13,15486724
2010-07-14,11006250
2010-07-15,8625919
2010-07-16,14423996
2010-07-19,7639107
2010-07-20,9865708
2010-07-21,12254127
2010-07-22,18753765
2010-07-23,8694853
2010-07-26,10380905
2010-07-27,8957196
2010-07-28,5839323
2010-07-29,11709735
2010-07-30,6089047
2010-08-02,10886502
2010-08-03,11106987
2010-08-04,8752660
2010-08-05,11217358
2010-08-06,10884274
2010-08-09,10768005
2010-08-10,8645842
2010-08-11,14091456
2010-08-12,41646313
2010-08-13,13537213
2010-08-16,17348751
2010-08-17,15391866
2010-08-18,9967314
2010-08-19,12017322
2010-08-20,8405499
2010-08-23,15232596
2010-08-24,12308816
2010-08-25,9239516
2010-08-26,8074984
2010-08-27,10374599
2010-08-30,12124439
2010-08-31,10515170
2010-09-01,7622424
2010-09-02,7320734
2010-09-03,12125140
2010-09-07,6371221
2010-09-08,7089582
2010-09-09,7206530
2010-09-10,5376693
2010-09-13,11642782
2010-09-14,8165061
2010-09-15,6553276
2010-09-16,4769494
2010-09-17,10035458
2010-09-20,12584353
2010-09-21,18983639
2010-09-22,14290592
2010-09-23,9243641
2010-09-24,12043974
2010-09-27,4863604
2010-09-28,8413361
2010-09-29,9019109
2010-09-30,12010487
2010-10-01,12499286
2010-10-04,12059193
2010-10-05,7420591
2010-10-06,4457543
2010-10-07,6565175
2010-10-08,9901828
2010-10-11,5188152
2010-10-12,5923734
2010-10-13,6242541
2010-10-14,5569666
2010-10-15,10734023
2010-10-18,5138038
2010-10-19,9417984
2010-10-20,7475283
2010-10-21,7624113
2010-10-22,7727661
2010-10-25,6270922
2010-10-26,6232742
2010-10-27,8708341
2010-10-28,19815023
2010-10-29,12945233
2010-11-01,6712111
2010-11-02,5776009
2010-11-03,5123292
2010-11-04,5111610
2010-11-05,8228606
2010-11-08,15302019
2010-11-09,12191577
2010-11-10,19838732
2010-11-11,54934662
2010-11-12,11653437
2010-11-15,14716407
2010-11-16,11874510
2010-11-17,8258807
2010-11-18,8231494
2010-11-19,4453755
2010-11-22,7626635
2010-11-23,5199532
2010-11-24,7690071
2010-11-26,2286321
2010-11-29,6861080
2010-11-30,20949157
2010-12-01,11259552
2010-12-02,8888367
2010-12-03,7807691
2010-12-06,11227621
2010-12-07,15969894
2010-12-08,4494764
2010-12-09,4132384
2010-12-10,3934776
2010-12-13,6807258
2010-12-14,4584286
2010-12-15,4122819
2010-12-16,8762924
2010-12-17,11553302
2010-12-20,7718431
2010-12-21,4596011
2010-12-22,6058115
