dt,volume
2013-01-02,146052734
2013-01-03,223070292
2013-01-04,282843581
2013-01-07,228019719
2013-01-08,213458506
2013-01-09,260928667
2013-01-10,212348468
2013-01-11,120310559
2013-01-14,156437862
2013-01-15,142247282
2013-01-16,200194710
2013-01-17,186689003
2013-01-18,134829598
2013-01-22,194205056
2013-01-23,131860507
2013-01-24,154550888
2013-01-25,112633282
2013-01-28,63885408
2013-01-29,102476389
2013-01-30,126322347
2013-01-31,127016538
2013-02-01,120489609
2013-02-04,78525918
2013-02-05,69589910
2013-02-06,68518498
2013-02-07,127803223
2013-02-08,188120218
2013-02-11,83491576
2013-02-12,98553538
2013-02-13,59579846
2013-02-14,81909239
2013-02-15,218972219
2013-02-19,104238036
2013-02-20,109671146
2013-02-21,76641569
2013-02-22,50364864
2013-02-25,51229831
2013-02-26,46928757
2013-02-27,115951223
2013-02-28,84965596
2013-03-01,75300381
2013-03-04,56688788
2013-03-05,71211674
2013-03-06,65819135
2013-03-07,46238926
2013-03-08,48292443
2013-03-11,58385549
2013-03-12,70633543
2013-03-13,42644793
2013-03-14,74559326
2013-03-15,157571021
2013-03-18,61543817
2013-03-19,49857350
2013-03-20,74235545
2013-03-21,53846431
2013-03-22,39825072
2013-03-25,65791850
2013-03-26,104371230
2013-03-27,47154767
2013-03-28,63785661
2013-04-01,70905490
2013-04-02,68357286
2013-04-03,45980235
2013-04-04,92172456
2013-04-05,45724292
2013-04-08,56086804
2013-04-09,109967635
2013-04-10,74008654
2013-04-11,73916058
2013-04-12,40659451
2013-04-15,56329606
2013-04-16,94372952
2013-04-17,61814208
2013-04-18,56142285
2013-04-19,56120333
2013-04-22,116995628
2013-04-23,146568534
2013-04-24,63534712
2013-04-25,56820871
2013-04-26,125872110
2013-04-29,71594889
2013-04-30,89461885
2013-05-01,77957282
2013-05-02,125832901
2013-05-03,55400205
2013-05-06,54588252
2013-05-07,44707543
2013-05-08,86677984
2013-05-09,60072382
2013-05-10,50822590
2013-05-13,47218413
2013-05-14,65847736
2013-05-15,88190500
2013-05-16,51685272
2013-05-17,67571538
2013-05-20,43772244
2013-05-21,45694645
2013-05-22,72318939
2013-05-23,37068638
2013-05-24,44295647
2013-05-28,85308912
2013-05-29,76417129
2013-05-30,47479827
2013-05-31,43837158
2013-06-03,85552264
2013-06-04,55913468
2013-06-05,52824010
2013-06-06,49169188
2013-06-07,66952261
2013-06-10,53520358
2013-06-11,39285557
2013-06-12,43139558
2013-06-13,95907161
2013-06-14,49775657
2013-06-17,38155074
2013-06-18,36809595
2013-06-19,29510827
2013-06-20,78090058
2013-06-21,109112411
2013-06-24,69759581
2013-06-25,49831822
2013-06-26,61192769
2013-06-27,53822315
2013-06-28,81298351
2013-07-01,55742898
2013-07-02,52042278
2013-07-03,18934298
2013-07-05,34042443
2013-07-08,43191485
2013-07-09,41785033
2013-07-10,32427764
2013-07-11,51609023
2013-07-12,60572665
2013-07-15,43427323
2013-07-16,40415286
2013-07-17,47071415
2013-07-18,31078830
2013-07-19,59176521
2013-07-22,35945509
2013-07-23,50466616
2013-07-24,36032912
2013-07-25,43551033
2013-07-26,66401042
2013-07-29,41424376
2013-07-30,39552955
2013-07-31,55323287
2013-08-01,41081458
2013-08-02,31967476
2013-08-05,32234500
2013-08-06,48962336
2013-08-07,41656345
2013-08-08,31069204
2013-08-09,39084647
2013-08-12,45952709
2013-08-13,33958528
2013-08-14,38685647
2013-08-15,57684860
2013-08-16,84762307
2013-08-19,40335992
2013-08-20,30989296
2013-08-21,46063293
2013-08-22,39195836
2013-08-23,28034698
2013-08-26,21481311
2013-08-27,44119066
2013-08-28,26744480
2013-08-29,31005125
2013-08-30,25597233
2013-09-03,27979304
2013-09-04,29431464
2013-09-05,39254383
2013-09-06,46885132
2013-09-09,30363172
2013-09-10,46956847
2013-09-11,38417007
2013-09-12,26971919
2013-09-13,22230948
2013-09-16,38404487
2013-09-17,91285497
2013-09-18,79859455
2013-09-19,46217049
2013-09-20,81682369
2013-09-23,33395587
2013-09-24,89505036
2013-09-25,61391017
2013-09-26,60944029
2013-09-27,82107585
2013-09-30,52968350
2013-10-01,53866021
2013-10-02,39823364
