dt,volume
2010-01-04,51175345
2010-01-05,33360886
2010-01-06,71346923
2010-01-07,50314697
2010-01-08,64792211
2010-01-11,57273212
2010-01-12,86944296
2010-01-13,66095944
2010-01-14,43572167
2010-01-15,65551289
2010-01-19,72507580
2010-01-20,64907830
2010-01-21,55902699
2010-01-22,53652333
2010-01-25,50598521
2010-01-26,36605113
2010-01-27,57935185
2010-01-28,46887611
2010-01-29,54010090
2010-02-01,46595970
2010-02-02,53690310
2010-02-03,37815400
2010-02-04,45820167
2010-02-05,81314791
2010-02-08,66288845
2010-02-09,56573963
2010-02-10,61720955
2010-02-11,55001876
2010-02-12,39820753
2010-02-16,33996769
2010-02-17,31810872
2010-02-18,25239615
2010-02-19,70811729
2010-02-22,36432401
2010-02-23,30394528
2010-02-24,36825570
2010-02-25,74715594
2010-02-26,51654881
2010-03-01,47734782
2010-03-02,51786535
2010-03-03,43857680
2010-03-04,51303359
2010-03-05,36386539
2010-03-08,52166915
2010-03-09,70525189
2010-03-10,42509138
2010-03-11,38182540
2010-03-12,32737903
2010-03-15,32569498
2010-03-16,54129085
2010-03-17,60232298
2010-03-18,30873017
2010-03-19,48072403
2010-03-22,28224249
2010-03-23,49090510
2010-03-24,33790048
2010-03-25,41958583
2010-03-26,96300810
2010-03-29,49347432
2010-03-30,53931765
2010-03-31,41478702
2010-04-01,52831255
2010-04-05,35013833
2010-04-06,66885557
2010-04-07,69199805
2010-04-08,86792995
2010-04-09,85650917
2010-04-12,46275706
2010-04-13,61588640
2010-04-14,57623285
2010-04-15,48440449
2010-04-16,56266454
2010-04-19,48635475
2010-04-20,61009206
2010-04-21,58676769
2010-04-22,40258974
2010-04-23,67258904
2010-04-26,39535611
2010-04-27,72178603
2010-04-28,37369784
2010-04-29,54245425
2010-04-30,40229448
2010-05-03,28706599
2010-05-04,48788309
2010-05-05,68758126
2010-05-06,127409567
2010-05-07,112118236
2010-05-10,103620457
2010-05-11,87183148
2010-05-12,61336817
2010-05-13,59031056
2010-05-14,125298997
2010-05-17,74031855
2010-05-18,55779650
2010-05-19,53880912
2010-05-20,77035026
2010-05-21,86169393
2010-05-24,42372750
2010-05-25,52761366
2010-05-26,61711067
2010-05-27,70952762
2010-05-28,65132862
2010-06-01,73305071
2010-06-02,72884285
2010-06-03,68599946
2010-06-04,51057535
2010-06-07,53985304
2010-06-08,61830691
2010-06-09,54253333
2010-06-10,40793413
2010-06-11,27875398
2010-06-14,34313406
2010-06-15,45717389
2010-06-16,42042790
2010-06-17,44559981
2010-06-18,52483526
2010-06-21,49157000
2010-06-22,47114671
2010-06-23,74675588
2010-06-24,67003312
2010-06-25,303668420
2010-06-28,126794136
2010-06-29,81470797
2010-06-30,73179216
2010-07-01,84986980
2010-07-02,47700802
2010-07-06,49552225
2010-07-07,57239919
2010-07-08,53751618
2010-07-09,45060780
2010-07-12,37285345
2010-07-13,66923199
2010-07-14,35042875
2010-07-15,41889751
2010-07-16,28107849
2010-07-19,37912474
2010-07-20,86059560
2010-07-21,60585713
2010-07-22,68087596
2010-07-23,53075059
2010-07-26,30902617
2010-07-27,58287381
2010-07-28,50318693
2010-07-29,55674943
2010-07-30,40298662
2010-08-02,52160931
2010-08-03,55798357
2010-08-04,38418972
2010-08-05,36451296
2010-08-06,52195765
2010-08-09,40481235
2010-08-10,46762673
2010-08-11,41553646
2010-08-12,41522000
2010-08-13,39065379
2010-08-16,28839037
2010-08-17,37068635
2010-08-18,27324527
2010-08-19,46512678
2010-08-20,59757666
2010-08-23,76614171
2010-08-24,61052739
2010-08-25,74528488
2010-08-26,36608175
2010-08-27,40432983
2010-08-30,29796131
2010-08-31,77624233
2010-09-01,62674542
2010-09-02,48616969
2010-09-03,38874992
2010-09-07,36276280
2010-09-08,36455954
2010-09-09,40510130
2010-09-10,50230361
2010-09-13,30575065
2010-09-14,26258265
2010-09-15,33633684
2010-09-16,30427150
2010-09-17,58640218
2010-09-20,55732643
2010-09-21,45771533
2010-09-22,65056895
2010-09-23,48470814
2010-09-24,76503973
2010-09-27,41739930
2010-09-28,46708006
2010-09-29,42108639
2010-09-30,47490476
2010-10-01,248095441
2010-10-04,67602285
2010-10-05,176354821
2010-10-06,86932038
2010-10-07,78165462
2010-10-08,58374820
2010-10-11,41231999
2010-10-12,46212368
2010-10-13,62663245
2010-10-14,45510838
2010-10-15,38713621
2010-10-18,39731280
2010-10-19,72639382
2010-10-20,47744544
2010-10-21,41110645
2010-10-22,25506112
2010-10-25,42998856
2010-10-26,40075863
2010-10-27,34831890
2010-10-28,35866637
2010-10-29,30994361
2010-11-01,31690784
2010-11-02,27535437
2010-11-03,38675876
2010-11-04,54038594
2010-11-05,44101796
2010-11-08,40899356
2010-11-09,58914086
2010-11-10,51416692
2010-11-11,78781738
2010-11-12,61274704
2010-11-15,35553710
2010-11-16,47613459
2010-11-17,29407659
2010-11-18,44520863
2010-11-19,28439953
2010-11-22,26113115
2010-11-23,39242756
2010-11-24,54443949
2010-11-26,5700703
2010-11-29,29509223
2010-11-30,35124226
2010-12-01,50614363
2010-12-02,52364108
2010-12-03,36968466
2010-12-06,30894986
2010-12-07,52651938
2010-12-08,41845367
2010-12-09,34337172
2010-12-10,56632943
2010-12-13,65449158
2010-12-14,53783003
2010-12-15,34578509
2010-12-16,33921527
2010-12-17,289388923
2010-12-20,74042756
2010-12-21,66127035
2010-12-22,45657295
2010-12-23,20809996
2010-12-27,29476873
2010-12-28,16796418
2010-12-29,27153227
2010-12-30,25631903
2010-12-31,21168666
2011-01-03,32690484
2011-01-04,48320585
2011-01-05,38449947
2011-01-06,48665638
2011-01-07,36498391
2011-01-10,43916672
2011-01-11,45308897
2011-01-12,72351760
2011-01-13,59401137
2011-01-14,39467729
2011-01-18,50832264
2011-01-19,46746795
2011-01-20,63847413
2011-01-21,43871713
2011-01-24,27073185
2011-01-25,43176241
2011-01-26,79553849
2011-01-27,53379622
2011-01-28,35267550
2011-01-31,34472787
2011-02-01,47355355
2011-02-02,35103703
2011-02-03,28415148
2011-02-04,22203194
2011-02-07,25991106
2011-02-08,29449781
2011-02-09,32289570
2011-02-10,38399534
2011-02-11,32007324
2011-02-14,33254171
2011-02-15,21617874
2011-02-16,25330623
2011-02-17,52227122
2011-02-18,28310241
2011-02-22,37663236
2011-02-23,40013708
2011-02-24,35325182
2011-02-25,20601448
2011-02-28,24926320
2011-03-01,44521661
2011-03-02,29792644
2011-03-03,46244535
2011-03-04,41373133
2011-03-07,25351258
2011-03-08,42551012
2011-03-09,39457046
2011-03-10,36596994
2011-03-11,17711988
2011-03-14,21828367
2011-03-15,54902932
2011-03-16,52340236
2011-03-17,37447574
2011-03-18,83022160
2011-03-21,64285629
2011-03-22,44823237
2011-03-23,34785826
2011-03-24,45178367
2011-03-25,198335423
2011-03-28,55458981
2011-03-29,50594495
2011-03-30,59114721
2011-03-31,52472740
2011-04-01,57783230
2011-04-04,39469831
2011-04-05,48009445
2011-04-06,29142371
2011-04-07,27171036
2011-04-08,29974927
2011-04-11,47622956
2011-04-12,49877042
2011-04-13,61155018
2011-04-14,78964743
2011-04-15,64366611
2011-04-18,32778012
2011-04-19,42233575
2011-04-20,44662118
2011-04-21,49624904
2011-04-25,27453628
2011-04-26,36413311
2011-04-27,34630549
2011-04-28,41993989
2011-04-29,45733469
2011-05-02,53127204
2011-05-03,77454819
2011-05-04,61962998
2011-05-05,56027508
2011-05-06,51058020
2011-05-09,24131397
2011-05-10,54397419
2011-05-11,26606681
2011-05-12,36116614
2011-05-13,37535691
2011-05-16,44721418
2011-05-17,52720631
2011-05-18,33946657
2011-05-19,28952529
2011-05-20,39637453
2011-05-23,39983197
2011-05-24,33156474
2011-05-25,37681680
2011-05-26,47097756
2011-05-27,47108867
2011-05-31,43883626
2011-06-01,37580490
2011-06-02,38863487
2011-06-03,40737714
2011-06-06,34100188
2011-06-07,43546536
2011-06-08,27235511
2011-06-09,31590172
2011-06-10,26968525
2011-06-13,46906444
2011-06-14,88265905
