dt,volume
2010-01-04,12720902
2010-01-05,15507325
2010-01-06,19746880
2010-01-07,10627445
2010-01-08,9751501
2010-01-11,9596765
2010-01-12,10005973
2010-01-13,14999777
2010-01-14,7441390
2010-01-15,22898887
2010-01-19,12110608
2010-01-20,14989750
2010-01-21,49095233
2010-01-22,27599830
2010-01-25,21412961
2010-01-26,17194472
2010-01-27,21071311
2010-01-28,17527880
2010-01-29,14654080
2010-02-01,18324962
2010-02-02,25771329
2010-02-03,27786623
2010-02-04,18889987
2010-02-05,35163628
2010-02-08,21019813
2010-02-09,20373659
2010-02-10,19293056
2010-02-11,26779156
2010-02-12,21840097
2010-02-16,14685380
2010-02-17,20337089
2010-02-18,46517103
2010-02-19,25566337
2010-02-22,18007816
2010-02-23,17436751
2010-02-24,20385438
2010-02-25,23902289
2010-02-26,20695631
2010-03-01,17543012
2010-03-02,11708201
2010-03-03,13522620
2010-03-04,16869547
2010-03-05,22807720
2010-03-08,22597147
2010-03-09,15654280
2010-03-10,16952617
2010-03-11,14809636
2010-03-12,11164056
2010-03-15,17702347
2010-03-16,15645128
2010-03-17,10182076
2010-03-18,17643571
2010-03-19,37988278
2010-03-22,15572730
2010-03-23,10800919
2010-03-24,16305348
2010-03-25,23666192
2010-03-26,35412814
2010-03-29,13718613
2010-03-30,12558130
2010-03-31,16367487
2010-04-01,14447308
2010-04-05,19834043
2010-04-06,12406785
2010-04-07,13732272
2010-04-08,14953913
2010-04-09,11990035
2010-04-12,9719725
2010-04-13,11985677
2010-04-14,14443014
2010-04-15,15508364
2010-04-16,21169538
2010-04-19,13960617
2010-04-20,12046091
2010-04-21,13060136
2010-04-22,17678909
2010-04-23,12278539
2010-04-26,11587323
2010-04-27,16613190
2010-04-28,18985260
2010-04-29,20522939
2010-04-30,63127274
2010-05-03,24626176
2010-05-04,31448262
2010-05-05,29531385
2010-05-06,39321125
2010-05-07,48199951
2010-05-10,27441818
2010-05-11,20004453
2010-05-12,17698789
2010-05-13,17570701
2010-05-14,17679287
2010-05-17,13387567
2010-05-18,20930717
2010-05-19,21285984
2010-05-20,33197883
2010-05-21,54426299
2010-05-24,21474496
2010-05-25,34150670
2010-05-26,25327735
2010-05-27,18554721
2010-05-28,23678586
2010-06-01,22307173
2010-06-02,26374349
2010-06-03,18403958
2010-06-04,29096865
2010-06-07,28990086
2010-06-08,23725298
2010-06-09,15729011
2010-06-10,30356402
2010-06-11,18773662
2010-06-14,14120633
2010-06-15,25154557
2010-06-16,34164680
2010-06-17,17674127
2010-06-18,23225046
2010-06-21,13436418
2010-06-22,14664755
2010-06-23,13983238
2010-06-24,14816293
2010-06-25,16964460
2010-06-28,9158205
2010-06-29,23233812
2010-06-30,19576806
2010-07-01,17998133
2010-07-02,11779194
2010-07-06,15195101
2010-07-07,12379318
2010-07-08,20502710
2010-07-09,13817752
2010-07-12,9571941
2010-07-13,13618115
2010-07-14,15924861
2010-07-15,18652731
2010-07-16,19730744
2010-07-19,16596016
2010-07-20,29479094
2010-07-21,13187298
2010-07-22,15951709
2010-07-23,17641612
2010-07-26,12374934
2010-07-27,31602842
2010-07-28,19935079
2010-07-29,20641641
2010-07-30,19410335
2010-08-02,18738537
2010-08-03,15696100
2010-08-04,20335546
2010-08-05,65000270
2010-08-06,25506781
2010-08-09,25930375
2010-08-10,22122218
2010-08-11,28591010
2010-08-12,27593311
2010-08-13,51941611
2010-08-16,39556583
2010-08-17,42069525
2010-08-18,39628728
2010-08-19,26289727
2010-08-20,28801087
2010-08-23,39002218
2010-08-24,40335655
2010-08-25,28669294
2010-08-26,27655473
2010-08-27,22000924
2010-08-30,24237802
2010-08-31,23647167
2010-09-01,26952832
2010-09-02,38181096
2010-09-03,28765758
2010-09-07,25506777
2010-09-08,25809795
2010-09-09,36187048
2010-09-10,17018062
2010-09-13,16742353
2010-09-14,25438217
2010-09-15,20380237
2010-09-16,16386654
2010-09-17,34514502
2010-09-20,23431299
2010-09-21,18687448
2010-09-22,18346660
2010-09-23,24684180
2010-09-24,19964193
2010-09-27,26753752
2010-09-28,16811817
2010-09-29,16742242
2010-09-30,28293000
2010-10-01,30340240
2010-10-04,25489808
2010-10-05,35310027
2010-10-06,30478041
2010-10-07,21224813
2010-10-08,18512398
2010-10-11,19568771
2010-10-12,23205233
2010-10-13,28008598
2010-10-14,21863501
2010-10-15,28747785
2010-10-18,41370696
2010-10-19,33401062
2010-10-20,22042775
2010-10-21,31997693
2010-10-22,16897538
2010-10-25,20490277
2010-10-26,18335385
2010-10-27,26376661
2010-10-28,38684191
2010-10-29,35537296
2010-11-01,19097152
2010-11-02,19627364
2010-11-03,11999433
2010-11-04,18997701
2010-11-05,20248068
2010-11-08,15021381
2010-11-09,19191536
2010-11-10,16195852
2010-11-11,23631442
2010-11-12,25759242
2010-11-15,17450897
2010-11-16,21463971
2010-11-17,20151931
2010-11-18,17244417
2010-11-19,24574101
2010-11-22,13619401
2010-11-23,17197940
2010-11-24,14392848
2010-11-26,5737865
2010-11-29,28454350
2010-11-30,23106193
2010-12-01,27194458
2010-12-02,24437151
2010-12-03,17295012
2010-12-06,21356779
2010-12-07,20119145
2010-12-08,21570911
2010-12-09,20320391
2010-12-10,13559921
2010-12-13,15082807
2010-12-14,15082892
2010-12-15,15164178
2010-12-16,47423743
2010-12-17,23280123
2010-12-20,20994305
2010-12-21,23976295
2010-12-22,15848060
2010-12-23,15675086
2010-12-27,12172541
2010-12-28,10299661
2010-12-29,13399924
2010-12-30,11903071
2010-12-31,11628124
2011-01-03,11998986
2011-01-04,18226810
2011-01-05,20644322
2011-01-06,16324838
2011-01-07,17180241
2011-01-10,14552222
2011-01-11,18159100
2011-01-12,13483212
2011-01-13,13736807
2011-01-14,11246398
2011-01-18,12264488
2011-01-19,15239491
2011-01-20,22357830
2011-01-21,16459925
2011-01-24,15826188
2011-01-25,12396235
2011-01-26,13803664
2011-01-27,10508032
2011-01-28,13058656
2011-01-31,11126329
2011-02-01,16514135
2011-02-02,12197173
2011-02-03,11730883
2011-02-04,12479739
2011-02-07,15713714
2011-02-08,12836227
2011-02-09,16521775
2011-02-10,11869075
2011-02-11,11123374
2011-02-14,14153565
2011-02-15,11838003
2011-02-16,12262808
2011-02-17,11784276
2011-02-18,15563130
2011-02-22,59229369
2011-02-23,45926336
2011-02-24,51514851
2011-02-25,16485049
2011-02-28,24484815
2011-03-01,22662706
2011-03-02,67789993
2011-03-03,27889544
2011-03-04,23638573
2011-03-07,18467588
2011-03-08,22289136
2011-03-09,26900342
2011-03-10,29536138
2011-03-11,20933262
2011-03-14,23906250
2011-03-15,27912581
2011-03-16,33063128
2011-03-17,23798513
2011-03-18,28015999
2011-03-21,16844302
2011-03-22,15917998
2011-03-23,15024121
2011-03-24,14043201
2011-03-25,9429931
2011-03-28,11857577
2011-03-29,14211065
2011-03-30,19527860
2011-03-31,19357413
2011-04-01,19030326
2011-04-04,21427483
2011-04-05,9675413
2011-04-06,8841513
2011-04-07,16286598
2011-04-08,10637241
2011-04-11,14172044
2011-04-12,13291336
2011-04-13,12416484
2011-04-14,9561437
2011-04-15,25443119
2011-04-18,18417160
2011-04-19,64271280
2011-04-20,14231481
2011-04-21,7038875
2011-04-25,7688276
2011-04-26,11998258
2011-04-27,17723510
2011-04-28,15159455
2011-04-29,9271284
2011-05-02,15528148
2011-05-03,19593655
2011-05-04,24744337
2011-05-05,22804274
2011-05-06,13254109
2011-05-09,10430792
2011-05-10,23461105
2011-05-11,18628182
2011-05-12,15954913
2011-05-13,13947554
2011-05-16,28700745
2011-05-17,18279885
2011-05-18,19504921
2011-05-19,19627233
2011-05-20,24319264
2011-05-23,17888276
2011-05-24,20044202
2011-05-25,17389525
2011-05-26,28855213
2011-05-27,11041716
2011-05-31,21691123
2011-06-01,20056217
2011-06-02,26613991
2011-06-03,20672047
2011-06-06,17534040
2011-06-07,18106657
2011-06-08,19361919
2011-06-09,14746627
2011-06-10,11179517
2011-06-13,12501045
2011-06-14,13257216
2011-06-15,18457502
2011-06-16,20243836
2011-06-17,25824688
2011-06-20,12444565
2011-06-21,16083024
2011-06-22,13411237
2011-06-23,17419460
2011-06-24,16159671
2011-06-27,16068870
2011-06-28,12919895
2011-06-29,15026960
2011-06-30,13326698
2011-07-01,9342596
2011-07-05,13197620
2011-07-06,8722605
2011-07-07,8808189
2011-07-08,11258238
2011-07-11,11063779
2011-07-12,15267279
2011-07-13,20308137
2011-07-14,14220062
2011-07-15,14821632
2011-07-18,14473630
2011-07-19,19026697
2011-07-20,9881194
2011-07-21,15273058
2011-07-22,11061403
2011-07-25,40455635
2011-07-26,22527765
2011-07-27,18084130
2011-07-28,18884731
2011-07-29,24831322
2011-08-01,25979963
2011-08-02,23242807
2011-08-03,20042278
2011-08-04,27734229
2011-08-05,61245925
2011-08-08,56327289
2011-08-09,37761061
2011-08-10,50088298
2011-08-11,28051911
2011-08-12,23757634
2011-08-15,22683631
2011-08-16,24527252
2011-08-17,24026918
2011-08-18,42034612
2011-08-19,35141265
2011-08-22,25911396
2011-08-23,30923229
2011-08-24,22717955
2011-08-25,26443441
2011-08-26,29402868
2011-08-29,17774239
2011-08-30,34289216
2011-08-31,33736298
2011-09-01,26328476
2011-09-02,23178309
2011-09-06,24498766
2011-09-07,27298365
2011-09-08,15101867
2011-09-09,27687371
2011-09-12,15843151
2011-09-13,20174135
2011-09-14,24922480
2011-09-15,21424522
2011-09-16,27901346
2011-09-19,15647647
2011-09-20,20427081
2011-09-21,21464117
2011-09-22,26265003
2011-09-23,23516722
2011-09-26,26926066
2011-09-27,26536300
2011-09-28,24250081
2011-09-29,28077989
2011-09-30,37800546
2011-10-03,30288172
2011-10-04,40800514
2011-10-05,24392256
