dt,volume
2010-01-04,35318518
2010-01-05,61768376
2010-01-06,57524664
2010-01-07,77284914
2010-01-08,197922017
2010-01-11,87122317
2010-01-12,40084710
2010-01-13,27700747
2010-01-14,25366991
2010-01-15,31972547
2010-01-19,46681206
2010-01-20,27957397
2010-01-21,67252532
2010-01-22,27026270
2010-01-25,27725811
2010-01-26,46122574
2010-01-27,58835432
2010-01-28,42540594
2010-01-29,56836595
2010-02-01,47516656
2010-02-02,33322710
2010-02-03,20870121
2010-02-04,34192216
2010-02-05,36922050
2010-02-08,15637864
2010-02-09,40682243
2010-02-10,23517854
2010-02-11,57827153
2010-02-12,23276813
2010-02-16,26520966
2010-02-17,21706843
2010-02-18,23980378
2010-02-19,227445743
2010-02-22,49318750
2010-02-23,43366033
2010-02-24,27552380
2010-02-25,23549663
2010-02-26,23159583
2010-03-01,30611540
2010-03-02,21807536
2010-03-03,33976124
2010-03-04,20843027
2010-03-05,28176499
2010-03-08,16607868
2010-03-09,28515782
2010-03-10,20606151
2010-03-11,16880968
2010-03-12,20487221
2010-03-15,18168620
2010-03-16,20500365
2010-03-17,16388083
2010-03-18,21987507
2010-03-19,30020700
2010-03-22,22372471
2010-03-23,35339701
2010-03-24,22219411
2010-03-25,24849361
2010-03-26,41748749
2010-03-29,118405677
2010-03-30,41484847
2010-03-31,24804221
2010-04-01,31290025
2010-04-05,25647000
2010-04-06,33613517
2010-04-07,43026472
2010-04-08,34353004
2010-04-09,18337446
2010-04-12,17165595
2010-04-13,55513641
2010-04-14,46593000
2010-04-15,19611862
2010-04-16,28062372
2010-04-19,24680665
2010-04-20,35714777
2010-04-21,22905536
2010-04-22,27490692
2010-04-23,27376390
2010-04-26,27392945
2010-04-27,23497524
2010-04-28,20886520
2010-04-29,90283958
2010-04-30,58567291
2010-05-03,24147219
2010-05-04,38540581
2010-05-05,24496216
2010-05-06,20140791
2010-05-07,47414500
2010-05-10,35717653
2010-05-11,39010493
2010-05-12,28659872
2010-05-13,15081476
2010-05-14,37498149
2010-05-17,38053222
2010-05-18,152810422
2010-05-19,47428423
2010-05-20,82035761
2010-05-21,58824403
2010-05-24,22070596
2010-05-25,28866340
2010-05-26,42785915
2010-05-27,56270820
2010-05-28,27936664
2010-06-01,28277501
2010-06-02,45748368
2010-06-03,32297578
2010-06-04,29588199
2010-06-07,48291166
2010-06-08,32145814
2010-06-09,18261767
2010-06-10,34856021
2010-06-11,50593543
2010-06-14,84840378
2010-06-15,55230225
2010-06-16,73430906
2010-06-17,29426984
2010-06-18,37338494
2010-06-21,35835800
2010-06-22,43705282
2010-06-23,34984117
2010-06-24,83835954
2010-06-25,65393269
2010-06-28,41737087
2010-06-29,41949126
2010-06-30,38762662
2010-07-01,112540273
2010-07-02,36560622
2010-07-06,44657123
2010-07-07,30429949
2010-07-08,34936747
2010-07-09,23513506
2010-07-12,24087114
2010-07-13,18609993
2010-07-14,16284355
2010-07-15,19502040
2010-07-16,60479139
2010-07-19,154217646
2010-07-20,39046669
2010-07-21,38350330
2010-07-22,63452452
2010-07-23,138878186
2010-07-26,33518157
2010-07-27,26531394
2010-07-28,16111985
2010-07-29,33621583
2010-07-30,34814349
2010-08-02,25240630
2010-08-03,44471264
2010-08-04,51998008
2010-08-05,82873847
2010-08-06,89476351
2010-08-09,23105983
2010-08-10,21531650
2010-08-11,53488673
2010-08-12,36133002
2010-08-13,82241143
2010-08-16,272352863
2010-08-17,97144197
2010-08-18,61566133
2010-08-19,45931109
2010-08-20,67282586
2010-08-23,40830251
2010-08-24,88829316
2010-08-25,49381202
2010-08-26,33462947
2010-08-27,25096428
2010-08-30,27685084
2010-08-31,43130915
2010-09-01,25962188
2010-09-02,25825592
2010-09-03,21344005
2010-09-07,31073437
2010-09-08,23487055
2010-09-09,28496235
2010-09-10,34880374
2010-09-13,56300319
2010-09-14,38792808
2010-09-15,52268685
2010-09-16,69111399
2010-09-17,73433043
2010-09-20,57310711
2010-09-21,51476456
2010-09-22,40717936
2010-09-23,80165130
2010-09-24,103353170
2010-09-27,48707165
2010-09-28,25580641
2010-09-29,24046847
2010-09-30,52778830
2010-10-01,50918078
2010-10-04,29635292
2010-10-05,29026465
2010-10-06,23209327
2010-10-07,20231458
2010-10-08,26464746
2010-10-11,28273408
2010-10-12,39649334
2010-10-13,40763959
2010-10-14,594336213
2010-10-15,183245546
2010-10-18,88304060
2010-10-19,55298873
2010-10-20,42421663
2010-10-21,48912200
2010-10-22,67225763
2010-10-25,38351633
2010-10-26,98435336
2010-10-27,40681953
2010-10-28,52400936
2010-10-29,49213570
2010-11-01,70642406
2010-11-02,59168198
2010-11-03,52942260
2010-11-04,201102827
2010-11-05,80677550
2010-11-08,40550146
2010-11-09,23643091
2010-11-10,22554658
2010-11-11,21281615
2010-11-12,26043383
2010-11-15,22015771
2010-11-16,21277637
2010-11-17,48860022
2010-11-18,29153123
2010-11-19,23890512
2010-11-22,20007526
2010-11-23,30945817
2010-11-24,22562058
2010-11-26,6049364
2010-11-29,21842559
2010-11-30,30868903
2010-12-01,38623368
2010-12-02,25037535
2010-12-03,58247582
2010-12-06,26159177
2010-12-07,29718460
2010-12-08,55324954
2010-12-09,39883186
2010-12-10,26351629
2010-12-13,72299283
2010-12-14,23253055
2010-12-15,27618164
2010-12-16,29932903
2010-12-17,35233600
2010-12-20,27801113
2010-12-21,16679865
2010-12-22,18947710
2010-12-23,11380846
2010-12-27,10140797
2010-12-28,9372263
2010-12-29,23886695
2010-12-30,12982911
2010-12-31,14741950
2011-01-03,20929935
2011-01-04,29133114
2011-01-05,20484082
2011-01-06,24898663
2011-01-07,40647742
2011-01-10,142176894
2011-01-11,192597690
2011-01-12,80262904
2011-01-13,42264732
2011-01-14,35627293
2011-01-18,46287452
2011-01-19,37030171
2011-01-20,44172395
2011-01-21,30505001
2011-01-24,31874818
2011-01-25,25754704
2011-01-26,29889178
2011-01-27,18465008
2011-01-28,40537266
2011-01-31,21296726
2011-02-01,21481500
2011-02-02,15539603
2011-02-03,14381484
2011-02-04,18354599
2011-02-07,20345374
2011-02-08,16411928
2011-02-09,9870626
2011-02-10,15195179
2011-02-11,15590644
2011-02-14,13123963
2011-02-15,10249107
2011-02-16,14845668
2011-02-17,11047519
2011-02-18,57328825
2011-02-22,20268033
2011-02-23,30426748
2011-02-24,24411954
2011-02-25,13848723
2011-02-28,23915088
2011-03-01,21387822
2011-03-02,13940084
2011-03-03,16031579
2011-03-04,12355510
2011-03-07,28815104
2011-03-08,23366668
2011-03-09,17159328
2011-03-10,24453087
2011-03-11,10448606
2011-03-14,10014473
2011-03-15,12391194
2011-03-16,14331028
2011-03-17,13955820
2011-03-18,24720463
2011-03-21,16535104
2011-03-22,19619827
2011-03-23,14039464
2011-03-24,16906480
2011-03-25,32680662
2011-03-28,25661393
2011-03-29,158386076
2011-03-30,43722637
2011-03-31,31432939
2011-04-01,26065701
2011-04-04,30359396
2011-04-05,22553343
2011-04-06,36601667
2011-04-07,21577286
2011-04-08,17582379
2011-04-11,25209481
2011-04-12,22144050
2011-04-13,37159703
2011-04-14,15125671
2011-04-15,18933067
2011-04-18,22920806
2011-04-19,23857387
2011-04-20,28452721
2011-04-21,25780253
2011-04-25,18759167
2011-04-26,12635881
2011-04-27,15520804
2011-04-28,14196034
2011-04-29,10307381
2011-05-02,21022805
2011-05-03,20692183
2011-05-04,19993784
2011-05-05,20989664
2011-05-06,20865158
2011-05-09,16339511
2011-05-10,14105467
2011-05-11,15934751
2011-05-12,19718693
2011-05-13,16682730
2011-05-16,18679126
2011-05-17,15015433
2011-05-18,12898665
2011-05-19,10574123
2011-05-20,20292141
2011-05-23,12193442
2011-05-24,20157206
2011-05-25,13615714
2011-05-26,21512600
2011-05-27,9286395
2011-05-31,27036921
2011-06-01,57293401
2011-06-02,273020844
2011-06-03,68151267
2011-06-06,40922426
2011-06-07,39609564
2011-06-08,26438235
2011-06-09,34626185
2011-06-10,23646198
2011-06-13,14493837
2011-06-14,15420812
2011-06-15,15727525
2011-06-16,15385174
2011-06-17,24809435
2011-06-20,15364265
2011-06-21,11202149
2011-06-22,15628507
2011-06-23,12642205
2011-06-24,9141734
2011-06-27,16906073
2011-06-28,14641569
2011-06-29,21305808
