dt,volume
2011-11-17,275220091
2011-11-18,25762964
2011-11-21,23476011
2011-11-22,43529562
2011-11-23,13310024
2011-11-25,1388674
2011-11-28,7889070
2011-11-29,6438465
2011-11-30,7876606
2011-12-01,4856470
2011-12-02,9565621
2011-12-05,18257487
2011-12-06,6390309
2011-12-07,1446760
2011-12-08,2935387
2011-12-09,6933774
2011-12-12,3684497
2011-12-13,6242415
2011-12-14,14511599
2011-12-15,9868843
2011-12-16,1526028
2011-12-19,1845459
2011-12-20,5783370
2011-12-21,2937667
2011-12-22,4891342
2011-12-23,6798052
2011-12-27,7480233
2011-12-28,2238102
2011-12-29,1574132
2011-12-30,1292260
2012-01-03,14875623
2012-01-04,4010749
2012-01-05,8626279
2012-01-06,6479756
2012-01-09,5522072
2012-01-10,14733023
2012-01-11,2292910
2012-01-12,12290788
2012-01-13,6125054
2012-01-17,6706966
2012-01-18,6602045
2012-01-19,14263106
2012-01-20,6125559
2012-01-23,5749680
2012-01-24,3274658
2012-01-25,7168463
2012-01-26,8771192
2012-01-27,34872514
2012-01-30,10389068
2012-01-31,4667018
2012-02-01,10117249
2012-02-02,9019328
2012-02-03,21646686
2012-02-06,32991027
2012-02-07,10997457
2012-02-08,23839790
2012-02-09,20787269
2012-02-10,15253247
2012-02-13,11510731
2012-02-14,152641946
2012-02-15,73724399
2012-02-16,56821803
2012-02-17,54622382
2012-02-21,54571139
2012-02-22,14827192
2012-02-23,16816079
2012-02-24,8861129
2012-02-27,22316568
2012-02-28,17300461
2012-02-29,16228055
2012-03-01,31813913
2012-03-02,19412298
2012-03-05,24687183
2012-03-06,15041151
2012-03-07,8708328
2012-03-08,50240769
2012-03-09,7969282
2012-03-12,25297581
2012-03-13,12247416
2012-03-14,26965077
2012-03-15,18308139
2012-03-16,11377249
2012-03-19,24836704
2012-03-20,16998760
2012-03-21,9907986
2012-03-22,4632757
2012-03-23,9526788
2012-03-26,13800883
2012-03-27,21096407
2012-03-28,14973458
2012-03-29,25835486
2012-03-30,18656670
2012-04-02,20645416
2012-04-03,16303943
2012-04-04,21699717
2012-04-05,10991085
2012-04-09,13822614
2012-04-10,29766336
2012-04-11,28990879
2012-04-12,28501483
2012-04-13,12106873
2012-04-16,65260285
2012-04-17,67081757
2012-04-18,17371181
2012-04-19,20936134
2012-04-20,5800369
2012-04-23,14181130
2012-04-24,84168252
2012-04-25,42051033
2012-04-26,29524395
2012-04-27,40145898
2012-04-30,33192879
2012-05-01,25279044
2012-05-02,43378165
2012-05-03,43534392
2012-05-04,23779498
2012-05-07,8771865
2012-05-08,45370086
2012-05-09,31394771
2012-05-10,11105763
2012-05-11,14118103
2012-05-14,29178879
2012-05-15,96033525
2012-05-16,82736206
2012-05-17,69679943
2012-05-18,49239892
2012-05-21,48498977
