dt,volume
2010-01-04,11932341
2010-01-05,7827363
2010-01-06,13434268
2010-01-07,6889306
2010-01-08,4084576
2010-01-11,3591283
2010-01-12,3499107
2010-01-13,4610950
2010-01-14,1614984
2010-01-15,3098972
2010-01-19,3186832
2010-01-20,2763187
2010-01-21,4776119
2010-01-22,3626875
2010-01-25,3739928
2010-01-26,2479130
2010-01-27,1418973
2010-01-28,2296429
2010-01-29,3939477
2010-02-01,2589880
2010-02-02,3819904
2010-02-03,2219045
2010-02-04,2466561
2010-02-05,2771734
2010-02-08,2152533
2010-02-09,4670952
2010-02-10,3198075
2010-02-11,3219595
2010-02-12,2320594
2010-02-16,1406248
2010-02-17,4758980
2010-02-18,2285687
2010-02-19,5105534
2010-02-22,1866076
2010-02-23,2276171
2010-02-24,2113402
2010-02-25,1957185
2010-02-26,5349048
2010-03-01,4299202
2010-03-02,5567508
2010-03-03,4920168
2010-03-04,1828403
2010-03-05,2329786
2010-03-08,2268163
2010-03-09,5252001
2010-03-10,1908539
2010-03-11,4450335
2010-03-12,10390538
2010-03-15,1394750
2010-03-16,1842527
2010-03-17,3415760
2010-03-18,1300681
2010-03-19,3570929
2010-03-22,2675157
2010-03-23,1916750
2010-03-24,1642563
2010-03-25,4011197
2010-03-26,5877704
2010-03-29,3221134
2010-03-30,5615355
2010-03-31,4805463
2010-04-01,13756436
2010-04-05,9596953
2010-04-06,3256246
2010-04-07,4946463
2010-04-08,2598093
2010-04-09,2272002
2010-04-12,2315698
2010-04-13,4148890
2010-04-14,2527218
2010-04-15,2857022
2010-04-16,5580289
2010-04-19,5149029
2010-04-20,4194496
2010-04-21,4103940
2010-04-22,3331974
2010-04-23,4125684
2010-04-26,3859116
2010-04-27,5939750
2010-04-28,4329643
2010-04-29,5262097
2010-04-30,2379096
2010-05-03,2486738
2010-05-04,2444602
2010-05-05,4323302
2010-05-06,4582873
2010-05-07,8213236
2010-05-10,8035992
2010-05-11,4600518
2010-05-12,2531770
2010-05-13,2520973
2010-05-14,2716277
2010-05-17,4618235
2010-05-18,6813324
2010-05-19,4692766
2010-05-20,3541325
2010-05-21,5558797
2010-05-24,2118112
2010-05-25,3864310
2010-05-26,4477749
2010-05-27,3558558
2010-05-28,1627372
2010-06-01,2513303
2010-06-02,1796414
2010-06-03,2189352
2010-06-04,2823656
2010-06-07,1449260
2010-06-08,2416896
2010-06-09,3153075
2010-06-10,1130543
2010-06-11,1713154
2010-06-14,4572799
2010-06-15,4557045
2010-06-16,5463706
2010-06-17,4392531
2010-06-18,5901227
2010-06-21,3173493
2010-06-22,5446720
2010-06-23,17439177
2010-06-24,11133125
2010-06-25,9641891
2010-06-28,9268464
2010-06-29,10869255
2010-06-30,47094882
2010-07-01,17357995
2010-07-02,13465860
2010-07-06,11021993
2010-07-07,8623612
2010-07-08,13907975
2010-07-09,7602363
2010-07-12,6637238
2010-07-13,8420292
2010-07-14,6961964
2010-07-15,7760954
2010-07-16,11011563
2010-07-19,3422197
2010-07-20,3909202
2010-07-21,5755440
2010-07-22,8901456
2010-07-23,9176669
2010-07-26,5263975
2010-07-27,7290187
2010-07-28,9148266
2010-07-29,7788843
2010-07-30,5923969
2010-08-02,4921643
2010-08-03,3399349
2010-08-04,3824759
2010-08-05,4575028
2010-08-06,5415950
2010-08-09,3974376
2010-08-10,3476244
2010-08-11,6343829
2010-08-12,6007833
2010-08-13,5864639
2010-08-16,5292403
2010-08-17,4363184
2010-08-18,4621256
2010-08-19,5706059
2010-08-20,8928558
2010-08-23,6126333
2010-08-24,7029006
2010-08-25,4704913
2010-08-26,8929459
2010-08-27,9336114
2010-08-30,2195160
2010-08-31,3038481
2010-09-01,7637361
2010-09-02,4677681
2010-09-03,3425045
2010-09-07,3457554
2010-09-08,3768369
2010-09-09,5584319
2010-09-10,4365624
2010-09-13,3679048
2010-09-14,2543281
2010-09-15,1429809
2010-09-16,1370302
2010-09-17,3917733
2010-09-20,5483295
2010-09-21,2576284
2010-09-22,3958407
2010-09-23,3038466
2010-09-24,2547788
2010-09-27,1553681
2010-09-28,5566048
2010-09-29,3344535
2010-09-30,3973961
2010-10-01,3829767
2010-10-04,4719784
2010-10-05,9697566
2010-10-06,29370920
2010-10-07,7632865
2010-10-08,4308096
2010-10-11,6558404
2010-10-12,4183843
2010-10-13,6886711
2010-10-14,6462163
2010-10-15,6854485
2010-10-18,2011561
2010-10-19,5756866
2010-10-20,3186243
2010-10-21,13991386
2010-10-22,2833117
2010-10-25,3090231
2010-10-26,4700237
2010-10-27,3113248
2010-10-28,3455451
2010-10-29,2473932
2010-11-01,2406923
2010-11-02,3334408
2010-11-03,1781712
2010-11-04,4692553
2010-11-05,3746149
2010-11-08,2701755
2010-11-09,2879156
2010-11-10,6192499
2010-11-11,5076522
2010-11-12,5866872
2010-11-15,2122533
2010-11-16,3322919
2010-11-17,2520649
2010-11-18,5251822
2010-11-19,3332504
2010-11-22,2249693
2010-11-23,3027411
2010-11-24,1927395
2010-11-26,481234
2010-11-29,2938262
2010-11-30,4111823
2010-12-01,8413583
2010-12-02,10067770
2010-12-03,4991672
2010-12-06,3877566
2010-12-07,3829163
2010-12-08,5056424
2010-12-09,2607191
2010-12-10,2063845
2010-12-13,3356935
2010-12-14,2668152
2010-12-15,4684506
2010-12-16,7027545
2010-12-17,9944473
2010-12-20,2642400
2010-12-21,2135228
2010-12-22,3105440
2010-12-23,3115374
2010-12-27,4029486
2010-12-28,2782046
2010-12-29,4094626
2010-12-30,1262609
2010-12-31,3697713
2011-01-03,7576835
2011-01-04,6052575
2011-01-05,2596576
2011-01-06,5722994
2011-01-07,3989336
2011-01-10,31405887
2011-01-11,9235196
2011-01-12,6165959
2011-01-13,11127831
2011-01-14,3290764
2011-01-18,3141332
2011-01-19,7012764
2011-01-20,9669524
2011-01-21,3766017
2011-01-24,5218949
2011-01-25,2996082
2011-01-26,6780782
2011-01-27,3224291
2011-01-28,7260370
2011-01-31,5317643
2011-02-01,6105863
2011-02-02,2529491
2011-02-03,2439014
2011-02-04,2511506
2011-02-07,3250335
2011-02-08,1874149
2011-02-09,1525174
2011-02-10,1742087
2011-02-11,1631311
2011-02-14,1614657
2011-02-15,2143981
2011-02-16,1732862
2011-02-17,3109968
2011-02-18,2822521
2011-02-22,4056719
2011-02-23,4425451
2011-02-24,3694441
2011-02-25,2049660
2011-02-28,3106901
2011-03-01,5312528
2011-03-02,3370510
2011-03-03,4643812
2011-03-04,2108419
2011-03-07,5602795
2011-03-08,2935237
2011-03-09,2620976
2011-03-10,2903823
2011-03-11,4040891
2011-03-14,6083021
2011-03-15,6472615
2011-03-16,4544615
2011-03-17,4531586
2011-03-18,5864692
2011-03-21,4764827
2011-03-22,4157035
2011-03-23,5422566
2011-03-24,3294011
