dt,volume
2010-01-04,88231575
2010-01-05,104008025
2010-01-06,109488282
2010-01-07,191345792
2010-01-08,107392005
2010-01-11,71649915
2010-01-12,65110011
2010-01-13,63412937
2010-01-14,38336910
2010-01-15,75483790
2010-01-19,68776208
2010-01-20,80297311
2010-01-21,81142058
2010-01-22,48781555
2010-01-25,47677838
2010-01-26,47979375
2010-01-27,209544977
2010-01-28,124071356
2010-01-29,109873225
2010-02-01,68324727
2010-02-02,110324799
2010-02-03,60592406
2010-02-04,89447392
2010-02-05,110097101
2010-02-08,56555606
2010-02-09,92197965
2010-02-10,52907846
2010-02-11,57657110
2010-02-12,61968532
2010-02-16,49172216
2010-02-17,53895433
2010-02-18,53685945
2010-02-19,100162733
2010-02-22,72944871
2010-02-23,80854980
2010-02-24,43787395
2010-02-25,61091352
2010-02-26,51739819
2010-03-01,67013890
2010-03-02,60550247
2010-03-03,49799283
2010-03-04,89594619
2010-03-05,97702216
2010-03-08,62139386
2010-03-09,105595719
2010-03-10,117696616
2010-03-11,91583072
2010-03-12,69824439
2010-03-15,104213376
2010-03-16,80891941
2010-03-17,81264971
2010-03-18,80489476
2010-03-19,223837942
2010-03-22,143877161
2010-03-23,68041406
2010-03-24,87195885
2010-03-25,65815002
2010-03-26,64122444
2010-03-29,91883643
2010-03-30,65357554
2010-03-31,81205158
2010-04-01,52026265
2010-04-05,105493294
2010-04-06,71641396
2010-04-07,79595886
2010-04-08,44260068
2010-04-09,40989392
2010-04-12,36916956
2010-04-13,65370841
2010-04-14,49122738
2010-04-15,35658776
2010-04-16,103001844
2010-04-19,52751805
2010-04-20,52398988
2010-04-21,177846080
2010-04-22,144861739
2010-04-23,63356523
2010-04-26,54293629
2010-04-27,77473001
2010-04-28,75506449
2010-04-29,61632131
2010-04-30,64495772
2010-05-03,59352643
2010-05-04,71881845
2010-05-05,68437253
2010-05-06,119390062
2010-05-07,121651818
2010-05-10,117941533
2010-05-11,68356071
2010-05-12,78815962
2010-05-13,40424361
2010-05-14,91880229
2010-05-17,63018689
2010-05-18,113231821
2010-05-19,129480675
2010-05-20,143149082
2010-05-21,162946373
2010-05-24,85809365
2010-05-25,95581183
2010-05-26,94597037
2010-05-27,92760860
2010-05-28,63928851
2010-06-01,83161037
2010-06-02,60568664
2010-06-03,50323226
2010-06-04,81893014
2010-06-07,73843074
2010-06-08,76040643
2010-06-09,88827820
2010-06-10,60645701
2010-06-11,110525989
2010-06-14,80467928
2010-06-15,74067840
2010-06-16,53692028
2010-06-17,45330302
2010-06-18,105824232
2010-06-21,51512717
2010-06-22,35635929
2010-06-23,63021694
2010-06-24,86733191
2010-06-25,79842264
2010-06-28,58192139
2010-06-29,109598912
2010-06-30,85391318
2010-07-01,86852087
2010-07-02,42824882
2010-07-06,62876244
2010-07-07,47653783
2010-07-08,61372854
2010-07-09,39295566
2010-07-12,28715368
2010-07-13,67482111
2010-07-14,51748587
2010-07-15,105294086
2010-07-16,98832222
2010-07-19,62792539
2010-07-20,62294928
2010-07-21,50095587
2010-07-22,97838988
2010-07-23,61006134
2010-07-26,69888393
2010-07-27,70904421
2010-07-28,75733531
2010-07-29,52348016
2010-07-30,68484368
2010-08-02,67862303
2010-08-03,46758320
2010-08-04,45185775
2010-08-05,49464365
2010-08-06,55621906
2010-08-09,33170611
2010-08-10,48512917
2010-08-11,53714235
2010-08-12,46795233
2010-08-13,43335837
2010-08-16,34250929
2010-08-17,46486732
2010-08-18,34781062
2010-08-19,53361111
2010-08-20,55928861
2010-08-23,41098616
2010-08-24,137569487
2010-08-25,77414337
2010-08-26,66130244
2010-08-27,96579705
2010-08-30,37487740
2010-08-31,63402175
2010-09-01,63223389
2010-09-02,45749201
2010-09-03,45969323
2010-09-07,29088815
2010-09-08,42300521
2010-09-09,46453989
2010-09-10,40945029
2010-09-13,33423586
2010-09-14,69213271
2010-09-15,65609821
2010-09-16,47995486
2010-09-17,118146446
2010-09-20,48381473
2010-09-21,52157730
2010-09-22,49072544
2010-09-23,43553019
2010-09-24,51584285
2010-09-27,32808256
2010-09-28,43926387
2010-09-29,70463114
2010-09-30,119223325
2010-10-01,62406960
2010-10-04,50709946
2010-10-05,95700509
2010-10-06,68005485
2010-10-07,59912697
2010-10-08,41902096
2010-10-11,44532622
2010-10-12,49524176
2010-10-13,76486492
2010-10-14,53330482
2010-10-15,66053461
2010-10-18,49714710
2010-10-19,49819219
2010-10-20,108167221
2010-10-21,57588700
2010-10-22,40127853
2010-10-25,64436401
2010-10-26,39420130
2010-10-27,46277625
2010-10-28,43471800
2010-10-29,32343526
2010-11-01,44653122
2010-11-02,97566281
2010-11-03,50808311
2010-11-04,75875723
2010-11-05,37412677
2010-11-08,61162423
2010-11-09,47964057
2010-11-10,145956853
2010-11-11,127364859
2010-11-12,247673018
2010-11-15,150589921
2010-11-16,123316181
2010-11-17,101119918
2010-11-18,134304855
2010-11-19,113911871
2010-11-22,71942154
2010-11-23,87101630
2010-11-24,81884085
2010-11-26,25632240
2010-11-29,55557587
2010-11-30,65931654
2010-12-01,98819718
2010-12-02,66391694
2010-12-03,39402774
2010-12-06,40660208
2010-12-07,58544951
2010-12-08,56573656
2010-12-09,64974615
2010-12-10,66633744
2010-12-13,61710004
2010-12-14,79663296
2010-12-15,40403180
2010-12-16,54097857
2010-12-17,94770362
2010-12-20,141126578
2010-12-21,61941416
2010-12-22,73383193
2010-12-23,38272396
2010-12-27,29342790
2010-12-28,36443965
2010-12-29,30163756
2010-12-30,30474926
2010-12-31,23954693
2011-01-03,112316293
2011-01-04,103437887
2011-01-05,76967250
2011-01-06,103131418
2011-01-07,96343412
2011-01-10,64291663
2011-01-11,48972463
2011-01-12,67884610
2011-01-13,45610097
2011-01-14,58416334
2011-01-18,135527384
2011-01-19,128465814
2011-01-20,89947658
2011-01-21,59526086
2011-01-24,65177860
2011-01-25,52856751
2011-01-26,215543902
2011-01-27,79232848
2011-01-28,67103018
2011-01-31,50743967
2011-02-01,60269937
2011-02-02,50336300
2011-02-03,47496674
2011-02-04,50228036
2011-02-07,52567424
2011-02-08,47849387
2011-02-09,51383312
2011-02-10,61106918
2011-02-11,43341437
2011-02-14,58202786
2011-02-15,50870108
2011-02-16,56941682
2011-02-17,39844746
2011-02-18,71756765
2011-02-22,65877498
2011-02-23,70918566
2011-02-24,95932196
2011-02-25,134710623
2011-02-28,51452370
2011-03-01,59031217
2011-03-02,95262447
2011-03-03,54971096
2011-03-04,70989262
2011-03-07,62387042
2011-03-08,76731986
2011-03-09,47965454
2011-03-10,73827434
2011-03-11,54382671
2011-03-14,55475769
2011-03-15,75327452
2011-03-16,97908115
2011-03-17,56926948
2011-03-18,67405959
2011-03-21,77753155
2011-03-22,61434484
2011-03-23,61674067
2011-03-24,51537903
2011-03-25,55965399
2011-03-28,42942133
2011-03-29,53289136
2011-03-30,58974850
2011-03-31,56093177
2011-04-01,47417897
2011-04-04,51176527
2011-04-05,52638976
2011-04-06,76358481
2011-04-07,64407364
2011-04-08,32393224
2011-04-11,33991592
2011-04-12,45967309
2011-04-13,65270566
2011-04-14,49643216
2011-04-15,53009698
2011-04-18,87218583
2011-04-19,56934451
2011-04-20,80879253
2011-04-21,43656859
2011-04-25,29279941
2011-04-26,59525193
2011-04-27,112828634
2011-04-28,85201426
2011-04-29,124021897
2011-05-02,84011837
2011-05-03,70480507
2011-05-04,78726715
2011-05-05,59913797
2011-05-06,62081105
2011-05-09,40667481
2011-05-10,44342774
