dt,volume
2010-01-04,2492520947
2010-01-05,3011408568
2010-01-06,2720053644
2010-01-07,4597215498
2010-01-08,3546787026
2010-01-11,2468168361
2010-01-12,3200926208
2010-01-13,2630149583
2010-01-14,1951706989
2010-01-15,3228870611
2010-01-19,2887394036
2010-01-20,4810238252
2010-01-21,7865797504
2010-01-22,4733084658
2010-01-25,4092093654
2010-01-26,2935106241
2010-01-27,3538358553
2010-01-28,3166937471
2010-01-29,2288217984
2010-02-01,2279621548
2010-02-02,2319037583
2010-02-03,1967397990
2010-02-04,3330074382
2010-02-05,3881130381
2010-02-08,2969114897
2010-02-09,3914543030
2010-02-10,2588573043
2010-02-11,2034688641
2010-02-12,2084616720
2010-02-16,2425002603
2010-02-17,3378506793
2010-02-18,2897099678
2010-02-19,3039678940
2010-02-22,2365577792
2010-02-23,3056776862
2010-02-24,2689887435
2010-02-25,2735494554
2010-02-26,3307673070
2010-03-01,2515071554
2010-03-02,2287546906
2010-03-03,1962148340
2010-03-04,2788390734
2010-03-05,2463255914
2010-03-08,1997914153
2010-03-09,2442377412
2010-03-10,3504886131
2010-03-11,1951496312
2010-03-12,2277575472
2010-03-15,1766646992
2010-03-16,1343146677
2010-03-17,1696199870
2010-03-18,1804589529
2010-03-19,2423708032
2010-03-22,1527285282
2010-03-23,1742381428
2010-03-24,3843719338
2010-03-25,4283867496
2010-03-26,3129258766
2010-03-29,2386966618
2010-03-30,2250920273
2010-03-31,1543587971
2010-04-01,1342250405
2010-04-05,1589313486
2010-04-06,2104330133
2010-04-07,3392288598
2010-04-08,2464041170
2010-04-09,2202607830
2010-04-12,1793161718
2010-04-13,1613924918
2010-04-14,3450643290
2010-04-15,3591973766
2010-04-16,9369135402
2010-04-19,5178127421
2010-04-20,3133356026
2010-04-21,2703480277
2010-04-22,3147760122
2010-04-23,2328798195
2010-04-26,2212791096
2010-04-27,3631255110
2010-04-28,2935250423
2010-04-29,2437644551
2010-04-30,2738755087
2010-05-03,2022779237
2010-05-04,2476743721
2010-05-05,3098907908
2010-05-06,4973877500
2010-05-07,5784660454
2010-05-10,4261728505
2010-05-11,2563670000
2010-05-12,2503969509
2010-05-13,1704650594
2010-05-14,3076069585
2010-05-17,2325964799
2010-05-18,2553078200
2010-05-19,3524074456
2010-05-20,3857030557
2010-05-21,4049029963
2010-05-24,2226725865
2010-05-25,3775627199
2010-05-26,3209866301
2010-05-27,2155812645
2010-05-28,2031871040
2010-06-01,1606416696
2010-06-02,1683040080
2010-06-03,1825990836
2010-06-04,1665367521
2010-06-07,2057884578
2010-06-08,2124459617
2010-06-09,1938834828
2010-06-10,1570819563
2010-06-11,1794645675
2010-06-14,1641885410
2010-06-15,1667015857
2010-06-16,1597797755
2010-06-17,1788560394
2010-06-18,1609744254
2010-06-21,1435224445
2010-06-22,1345965725
2010-06-23,1611962762
