dt,volume
2010-01-04,87412792
2010-01-05,39623835
2010-01-06,33721363
2010-01-07,42087637
2010-01-08,36790480
2010-01-11,34117543
2010-01-12,62582088
2010-01-13,51210517
2010-01-14,80105354
2010-01-15,66664626
2010-01-19,73383018
2010-01-20,67704354
2010-01-21,57537290
2010-01-22,49329738
2010-01-25,49107665
2010-01-26,37911372
2010-01-27,57163481
2010-01-28,100743403
2010-01-29,43579465
2010-02-01,49551296
2010-02-02,32537296
2010-02-03,38293062
2010-02-04,49341828
2010-02-05,54531688
2010-02-08,33191914
2010-02-09,38666072
2010-02-10,37296571
2010-02-11,49249909
2010-02-12,39563860
2010-02-16,38944751
2010-02-17,57090413
2010-02-18,36712780
2010-02-19,47537335
2010-02-22,45763558
2010-02-23,48529361
2010-02-24,31544960
2010-02-25,54929264
2010-02-26,45600615
2010-03-01,63127393
2010-03-02,46774125
2010-03-03,52917165
2010-03-04,47129541
2010-03-05,45659689
2010-03-08,28692996
2010-03-09,26585874
2010-03-10,33013596
2010-03-11,50765435
2010-03-12,45325987
2010-03-15,34418052
2010-03-16,30230220
2010-03-17,30510109
2010-03-18,25795678
2010-03-19,59417622
2010-03-22,53692691
2010-03-23,34626155
2010-03-24,26736201
2010-03-25,45568403
2010-03-26,34899239
2010-03-29,29445163
2010-03-30,25636334
2010-03-31,30830777
2010-04-01,37549776
2010-04-05,33385603
2010-04-06,25811285
2010-04-07,53271718
2010-04-08,23960988
2010-04-09,37996841
2010-04-12,45752448
2010-04-13,64667418
2010-04-14,78032611
2010-04-15,65240283
2010-04-16,53216463
2010-04-19,43612091
2010-04-20,43224651
2010-04-21,94120007
2010-04-22,845666010
2010-04-23,397441822
2010-04-26,321473687
2010-04-27,171132199
2010-04-28,180017177
2010-04-29,101639056
2010-04-30,78483878
2010-05-03,83287966
2010-05-04,278681597
2010-05-05,165326754
2010-05-06,199072043
2010-05-07,188565670
2010-05-10,84068228
2010-05-11,91903720
2010-05-12,116876731
2010-05-13,80011584
2010-05-14,88673464
2010-05-17,120720160
2010-05-18,149031969
2010-05-19,139768803
2010-05-20,163154741
2010-05-21,212849643
2010-05-24,151407703
2010-05-25,119223922
2010-05-26,75840359
2010-05-27,63452074
2010-05-28,74076200
2010-06-01,79110375
2010-06-02,69245581
2010-06-03,69016333
2010-06-04,56167338
2010-06-07,69533711
2010-06-08,78020032
2010-06-09,66240064
2010-06-10,67190742
2010-06-11,52781425
2010-06-14,54415528
2010-06-15,63251004
2010-06-16,84249924
2010-06-17,60335154
2010-06-18,91133676
2010-06-21,46196717
2010-06-22,47444554
2010-06-23,53757425
2010-06-24,55212351
2010-06-25,67802328
2010-06-28,48268176
2010-06-29,80826098
2010-06-30,56689370
2010-07-01,75230213
2010-07-02,56004505
2010-07-06,42627821
2010-07-07,41087082
2010-07-08,57306547
2010-07-09,72686849
2010-07-12,49682339
2010-07-13,62370941
2010-07-14,73295233
2010-07-15,125544170
2010-07-16,88519274
2010-07-19,43161193
2010-07-20,56136195
2010-07-21,48877366
2010-07-22,102371908
2010-07-23,76437955
2010-07-26,65400778
2010-07-27,38710798
2010-07-28,40274816
2010-07-29,48156882
2010-07-30,27818211
2010-08-02,36568983
2010-08-03,29495628
2010-08-04,31239371
2010-08-05,22317237
2010-08-06,28265884
2010-08-09,32814042
2010-08-10,79582157
2010-08-11,62345003
2010-08-12,61260723
2010-08-13,35384555
2010-08-16,31479182
2010-08-17,29082076
2010-08-18,22630281
2010-08-19,38331087
2010-08-20,47298305
2010-08-23,39045407
2010-08-24,53616240
2010-08-25,66838390
2010-08-26,40842149
2010-08-27,41356457
2010-08-30,19022481
