dt,volume
2010-01-04,25734636
2010-01-05,12918914
2010-01-06,13509392
2010-01-07,17216126
2010-01-08,13244667
2010-01-11,19607777
2010-01-12,17506667
2010-01-13,15323136
2010-01-14,32519306
2010-01-15,21412179
2010-01-19,22389869
2010-01-20,18733902
2010-01-21,14887575
2010-01-22,21509707
2010-01-25,12109933
2010-01-26,9070634
2010-01-27,12686359
2010-01-28,21469620
2010-01-29,11847202
2010-02-01,11166383
2010-02-02,14533581
2010-02-03,16131297
2010-02-04,17402686
2010-02-05,20593469
2010-02-08,12898475
2010-02-09,11546496
2010-02-10,13056180
2010-02-11,22881545
2010-02-12,12327596
2010-02-16,15473816
2010-02-17,14910429
2010-02-18,12515103
2010-02-19,22421121
2010-02-22,10909124
2010-02-23,14232760
2010-02-24,21446714
2010-02-25,17160341
2010-02-26,11664631
2010-03-01,19188847
2010-03-02,15159402
2010-03-03,11749894
2010-03-04,19140182
2010-03-05,21413553
2010-03-08,13018659
2010-03-09,11603475
2010-03-10,13322161
2010-03-11,9430432
2010-03-12,11672620
2010-03-15,6454414
2010-03-16,9680301
2010-03-17,9042389
2010-03-18,6598874
2010-03-19,17714104
2010-03-22,17335283
2010-03-23,9716870
2010-03-24,14117945
2010-03-25,9301907
2010-03-26,12634136
2010-03-29,10760342
2010-03-30,14293668
2010-03-31,9133396
2010-04-01,11149440
2010-04-05,10307457
2010-04-06,12556698
2010-04-07,14315222
2010-04-08,8478602
2010-04-09,9852113
2010-04-12,6153766
2010-04-13,8645624
2010-04-14,15586954
2010-04-15,16426766
2010-04-16,28361056
2010-04-19,20777898
2010-04-20,21488399
2010-04-21,22541960
2010-04-22,39769400
2010-04-23,21416453
2010-04-26,19036888
2010-04-27,16308241
2010-04-28,19772007
2010-04-29,37808400
2010-04-30,24184442
2010-05-03,23173532
2010-05-04,16944080
2010-05-05,20582926
2010-05-06,19020082
2010-05-07,37018021
2010-05-10,20441133
2010-05-11,18962890
2010-05-12,12037762
2010-05-13,21172726
2010-05-14,23464266
2010-05-17,17247606
2010-05-18,28301308
2010-05-19,27453867
2010-05-20,26841554
2010-05-21,35146589
2010-05-24,12709231
2010-05-25,24146723
2010-05-26,16066556
2010-05-27,16692282
2010-05-28,17326979
2010-06-01,12888072
2010-06-02,14483090
2010-06-03,11186326
2010-06-04,16019005
2010-06-07,16750685
2010-06-08,31316997
2010-06-09,21344192
2010-06-10,16523484
2010-06-11,14257316
2010-06-14,23405727
2010-06-15,14064001
2010-06-16,12440643
2010-06-17,12874142
2010-06-18,19638971
2010-06-21,19451972
2010-06-22,17141131
2010-06-23,23954635
2010-06-24,16880942
2010-06-25,23042174
2010-06-28,13591421
2010-06-29,24837268
2010-06-30,17331605
2010-07-01,33732411
2010-07-02,16114523
2010-07-06,17222409
2010-07-07,24074360
2010-07-08,23322607
2010-07-09,11550627
2010-07-12,15145814
2010-07-13,13866599
2010-07-14,17713535
2010-07-15,10372339
2010-07-16,16465060
2010-07-19,7667863
2010-07-20,25586752
2010-07-21,23196711
2010-07-22,27221693
2010-07-23,37108729
2010-07-26,24849365
2010-07-27,23915303
2010-07-28,27664087
2010-07-29,30189323
2010-07-30,20216984
2010-08-02,25007290
2010-08-03,14721999
2010-08-04,14058905
2010-08-05,15833284
2010-08-06,13836724
2010-08-09,7122669
2010-08-10,13673135
2010-08-11,19469997
2010-08-12,11273384
2010-08-13,6132697
2010-08-16,7716039
2010-08-17,10977181
2010-08-18,11297095
2010-08-19,11112872
2010-08-20,15550623
2010-08-23,17900745
2010-08-24,17100026
2010-08-25,12838959
2010-08-26,12384778
2010-08-27,11414619
2010-08-30,7175993
2010-08-31,14944422
2010-09-01,18756887
2010-09-02,7730272
2010-09-03,10593836
2010-09-07,8641891
2010-09-08,7409662
2010-09-09,11483151
2010-09-10,7195285
2010-09-13,7836975
2010-09-14,7676944
2010-09-15,10095364
2010-09-16,10148594
2010-09-17,18789182
2010-09-20,12302401
2010-09-21,8372829
2010-09-22,12834293
2010-09-23,7578585
2010-09-24,7955923
2010-09-27,11064149
2010-09-28,15059079
2010-09-29,13258769
2010-09-30,11728554
2010-10-01,15275487
2010-10-04,10953280
2010-10-05,14636299
2010-10-06,7683399
2010-10-07,13502405
2010-10-08,10089871
2010-10-11,5202439
2010-10-12,8507002
2010-10-13,9832069
2010-10-14,10390083
2010-10-15,15096233
2010-10-18,9415202
2010-10-19,17114568
2010-10-20,12364920
2010-10-21,20083666
2010-10-22,9006011
2010-10-25,12935120
2010-10-26,9470264
2010-10-27,12853262
2010-10-28,10746181
2010-10-29,12844599
2010-11-01,17803603
2010-11-02,16127611
2010-11-03,18636934
2010-11-04,34631077
2010-11-05,20214125
2010-11-08,14633426
2010-11-09,17185329
2010-11-10,14944706
2010-11-11,12270047
2010-11-12,14105507
2010-11-15,10943093
2010-11-16,18115260
2010-11-17,14310835
2010-11-18,11114408
2010-11-19,13569929
2010-11-22,16855986
2010-11-23,13269031
2010-11-24,15984334
2010-11-26,6995421
2010-11-29,22793938
2010-11-30,20419537
2010-12-01,19734627
2010-12-02,25197466
2010-12-03,22348044
2010-12-06,21610372
2010-12-07,19625399
2010-12-08,15295489
2010-12-09,14431454
2010-12-10,19599710
2010-12-13,17537681
2010-12-14,19993558
2010-12-15,18971326
2010-12-16,20542280
2010-12-17,23890453
2010-12-20,18849235
2010-12-21,17930196
2010-12-22,10492817
2010-12-23,11743559
2010-12-27,6728897
2010-12-28,15376431
2010-12-29,7745453
2010-12-30,7332376
2010-12-31,7135717
2011-01-03,19771732
2011-01-04,19048457
2011-01-05,13884708
2011-01-06,12368232
2011-01-07,13663869
2011-01-10,12084591
2011-01-11,7343229
2011-01-12,13698996
2011-01-13,15218145
2011-01-14,13243591
2011-01-18,17227335
2011-01-19,14263903
2011-01-20,10631709
2011-01-21,18333888
2011-01-24,13289240
2011-01-25,24866591
2011-01-26,11915866
2011-01-27,11636443
2011-01-28,12393634
2011-01-31,14031724
2011-02-01,9683930
2011-02-02,8999107
2011-02-03,12229394
2011-02-04,11044274
2011-02-07,15905154
2011-02-08,69050065
2011-02-09,23609551
2011-02-10,18798801
2011-02-11,12823428
2011-02-14,15431732
2011-02-15,24151590
2011-02-16,35309661
2011-02-17,41133342
2011-02-18,31355658
2011-02-22,19083059
2011-02-23,18705872
2011-02-24,16052132
2011-02-25,13368413
2011-02-28,12195037
2011-03-01,13815559
2011-03-02,16863445
2011-03-03,14922808
2011-03-04,18431523
2011-03-07,13838648
2011-03-08,12542217
2011-03-09,14632029
2011-03-10,16174861
2011-03-11,14214819
2011-03-14,15615986
2011-03-15,23977680
2011-03-16,28606677
2011-03-17,15811314
2011-03-18,17708777
2011-03-21,15178969
2011-03-22,9324538
2011-03-23,10660146
2011-03-24,9681306
2011-03-25,10775074
2011-03-28,13974060
2011-03-29,10046108
2011-03-30,10307595
2011-03-31,12511679
2011-04-01,18339707
2011-04-04,9017020
2011-04-05,11222821
2011-04-06,17399785
2011-04-07,7633329
2011-04-08,7019999
2011-04-11,13213475
2011-04-12,9599067
2011-04-13,16680667
2011-04-14,12840991
2011-04-15,16443303
2011-04-18,20110535
2011-04-19,16537616
2011-04-20,25814453
2011-04-21,23790637
2011-04-25,14014057
2011-04-26,22504526
2011-04-27,27189246
2011-04-28,20715532
2011-04-29,13449978
2011-05-02,20317315
2011-05-03,15021764
2011-05-04,17571947
2011-05-05,16858857
2011-05-06,11759093
2011-05-09,8332037
2011-05-10,9309506
2011-05-11,19498677
2011-05-12,10951744
2011-05-13,11126035
2011-05-16,9538411
2011-05-17,13848240
2011-05-18,16090049
2011-05-19,14258733
2011-05-20,14364633
2011-05-23,13253854
2011-05-24,11363142
2011-05-25,12522961
2011-05-26,10874694
2011-05-27,7880820
2011-05-31,10090595
2011-06-01,12958969
2011-06-02,10603265
2011-06-03,10268770
2011-06-06,7531781
2011-06-07,8802135
2011-06-08,10818800
2011-06-09,9353079
2011-06-10,8685479
2011-06-13,5184218
2011-06-14,7897079
2011-06-15,12877298
2011-06-16,9871256
2011-06-17,15142956
2011-06-20,10430702
2011-06-21,9326724
2011-06-22,7584108
2011-06-23,13992708
2011-06-24,7139404
2011-06-27,6191580
2011-06-28,8350993
2011-06-29,10629344
2011-06-30,14908485
2011-07-01,21317369
2011-07-05,16770971
2011-07-06,13882051
2011-07-07,11463989
2011-07-08,13108914
2011-07-11,12273435
2011-07-12,12470148
2011-07-13,10367338
2011-07-14,13555788
2011-07-15,13803687
2011-07-18,12501253
2011-07-19,12739474
2011-07-20,12147889
2011-07-21,9042179
2011-07-22,24227489
2011-07-25,13383059
2011-07-26,14991613
2011-07-27,19920632
2011-07-28,11858543
2011-07-29,15386369
2011-08-01,22155949
2011-08-02,23362418
2011-08-03,26598389
2011-08-04,23904768
2011-08-05,46304124
2011-08-08,47687009
2011-08-09,42058951
2011-08-10,39597918
2011-08-11,35578954
2011-08-12,29096934
2011-08-15,19780580
2011-08-16,21785527
2011-08-17,14745402
2011-08-18,24190449
2011-08-19,23859501
2011-08-22,13391704
2011-08-23,20519258
2011-08-24,12745951
2011-08-25,14788337
2011-08-26,11819007
2011-08-29,10815996
2011-08-30,12896333
2011-08-31,10127425
2011-09-01,14598020
2011-09-02,14594273
2011-09-06,19052370
2011-09-07,11024969
2011-09-08,14961874
2011-09-09,23068950
2011-09-12,24669200
2011-09-13,12789366
2011-09-14,42118951
2011-09-15,16831111
2011-09-16,23671249
2011-09-19,24363873
2011-09-20,26364007
2011-09-21,25752303
2011-09-22,37913130
2011-09-23,21732952
2011-09-26,14294847
2011-09-27,15535437
2011-09-28,27734405
2011-09-29,21635096
2011-09-30,11646039
2011-10-03,23092022
2011-10-04,23029183
2011-10-05,29507724
2011-10-06,27251162
2011-10-07,22631147
2011-10-10,8978291
2011-10-11,11367963
2011-10-12,14644436
2011-10-13,13294102
2011-10-14,9296734
2011-10-17,7493546
2011-10-18,12703433
2011-10-19,14562396
2011-10-20,15191041
2011-10-21,20237881
2011-10-24,20917157
2011-10-25,19428265
2011-10-26,14320252
2011-10-27,13956694
2011-10-28,10521622
2011-10-31,20318704
2011-11-01,19489279
2011-11-02,105856102
2011-11-03,32761788
2011-11-04,46803999
2011-11-07,31348600
2011-11-08,23053299
2011-11-09,19857990
2011-11-10,17407899
2011-11-11,19696441
2011-11-14,14264202
2011-11-15,18652544
2011-11-16,14711530
2011-11-17,24237831
2011-11-18,15929018
2011-11-21,16595511
2011-11-22,17028939
2011-11-23,24250381
2011-11-25,6266033
2011-11-28,22024772
2011-11-29,25230975
2011-11-30,21238004
2011-12-01,26869968
