dt,volume
2017-07-05,61523295
2017-07-06,66071185
2017-07-07,70917629
2017-07-10,49718820
2017-07-11,28708869
2017-07-12,22458729
2017-07-13,28260261
2017-07-14,31430144
2017-07-17,33093831
2017-07-18,31004310
2017-07-19,37175257
2017-07-20,65401762
2017-07-21,118798011
2017-07-24,33887449
2017-07-25,28694882
2017-07-26,38311418
2017-07-27,42371500
2017-07-28,41563173
2017-07-31,28427538
2017-08-01,32356859
2017-08-02,32981125
2017-08-03,30568992
2017-08-04,36143771
2017-08-07,20259485
2017-08-08,21493095
2017-08-09,19708890
2017-08-10,15087502
2017-08-11,13681501
2017-08-14,16087116
2017-08-15,16490999
2017-08-16,13986986
2017-08-17,21957434
2017-08-18,38728325
2017-08-21,16588213
2017-08-22,19447030
2017-08-23,14445737
2017-08-24,16384112
2017-08-25,19722281
2017-08-28,24156683
2017-08-29,29943807
2017-08-30,16571629
2017-08-31,36091652
2017-09-01,18023745
2017-09-05,51703224
2017-09-06,37885864
2017-09-07,22021764
2017-09-08,37835646
2017-09-11,23362957
2017-09-12,42721962
2017-09-13,36446144
2017-09-14,40797673
2017-09-15,41929064
2017-09-18,23036475
2017-09-19,25228568
2017-09-20,24630212
2017-09-21,30600055
2017-09-22,38724203
2017-09-25,56093322
2017-09-26,33545522
2017-09-27,22710402
2017-09-28,22163770
2017-09-29,37062645
2017-10-02,20836696
2017-10-03,24850153
2017-10-04,22971424
2017-10-05,19964664
2017-10-06,20051296
2017-10-09,22458387
2017-10-10,42543325
2017-10-11,45357115
2017-10-12,34690940
2017-10-13,33692975
2017-10-16,24961827
2017-10-17,55216548
2017-10-18,29905861
2017-10-19,46253329
2017-10-20,98566397
2017-10-23,71446111
2017-10-24,41135884
2017-10-25,45952947
2017-10-26,25976529
2017-10-27,43559982
2017-10-30,47250162
2017-10-31,23637731
2017-11-01,39819645
2017-11-02,48226161
2017-11-03,50901257
2017-11-06,88289527
2017-11-07,53279492
2017-11-08,35701130
2017-11-09,49703535
2017-11-10,25744652
2017-11-13,41857214
2017-11-14,78513239
2017-11-15,59833751
2017-11-16,42980814
2017-11-17,31806390
2017-11-20,43973309
2017-11-21,39099708
2017-11-22,41156819
2017-11-24,12056387
2017-11-27,31680294
2017-11-28,40585788
2017-11-29,61220187
2017-11-30,135129470
2017-12-01,158097617
2017-12-04,95763353
2017-12-05,58551473
2017-12-06,47327149
2017-12-07,41702883
2017-12-08,56417290
2017-12-11,92870707
2017-12-12,92245123
2017-12-13,50383021
2017-12-14,67161748
2017-12-15,56118822
2017-12-18,52444687
2017-12-19,56994254
2017-12-20,52989705
2017-12-21,70409006
2017-12-22,30913825
2017-12-26,26777310
2017-12-27,35038050
2017-12-28,27941328
2017-12-29,30586816
2018-01-02,39619418
2018-01-03,59984089
2018-01-04,64232270
2018-01-05,41890573
2018-01-08,34248805
2018-01-09,39271182
2018-01-10,44125520
2018-01-11,54908784
2018-01-12,40591634
2018-01-16,41961372
2018-01-17,50548728
2018-01-18,79489573
2018-01-19,50542816
2018-01-22,69096911
2018-01-23,70919524
2018-01-24,126188475
2018-01-25,83469476
2018-01-26,41366420
2018-01-29,45535418
2018-01-30,70368260
2018-01-31,103138221
2018-02-01,87571599
2018-02-02,81192535
2018-02-05,38091160
