dt,volume
2010-01-04,76908003
2010-01-05,153756642
2010-01-06,132534551
2010-01-07,85738195
2010-01-08,63624326
2010-01-11,95267445
2010-01-12,73411896
2010-01-13,50249320
2010-01-14,70541296
2010-01-15,98366749
2010-01-19,48685626
2010-01-20,65629518
2010-01-21,123268630
2010-01-22,105052818
2010-01-25,103293377
2010-01-26,217726987
2010-01-27,128549506
2010-01-28,66426751
2010-01-29,98611479
2010-02-01,71809553
2010-02-02,74781542
2010-02-03,55952920
2010-02-04,93049767
2010-02-05,116805863
2010-02-08,59652379
2010-02-09,81933363
2010-02-10,79793628
2010-02-11,64767829
2010-02-12,70184227
2010-02-16,67722758
2010-02-17,48677867
2010-02-18,52450404
2010-02-19,83268775
2010-02-22,148849208
2010-02-23,99964909
2010-02-24,96876542
2010-02-25,56581276
2010-02-26,47743981
2010-03-01,71655506
2010-03-02,63086781
2010-03-03,73504643
2010-03-04,77504770
2010-03-05,67378599
2010-03-08,53340505
2010-03-09,58214413
2010-03-10,82646143
2010-03-11,37116628
2010-03-12,58541851
2010-03-15,76744287
2010-03-16,59426187
2010-03-17,54311122
2010-03-18,83690446
2010-03-19,160331262
2010-03-22,101871532
2010-03-23,94623151
2010-03-24,73980518
2010-03-25,94164877
2010-03-26,77135945
2010-03-29,78691824
2010-03-30,68622577
2010-03-31,80681733
2010-04-01,84958269
2010-04-05,59903833
2010-04-06,59033374
2010-04-07,69560571
2010-04-08,54475701
2010-04-09,43683210
2010-04-12,25697402
2010-04-13,58882265
2010-04-14,67957076
2010-04-15,40754441
2010-04-16,82266776
2010-04-19,70712197
2010-04-20,124337653
2010-04-21,88198817
2010-04-22,81307063
2010-04-23,122079324
2010-04-26,51608711
2010-04-27,104022487
2010-04-28,111461383
2010-04-29,119965166
2010-04-30,196053097
2010-05-03,100588041
2010-05-04,124028978
2010-05-05,130618678
2010-05-06,115679651
2010-05-07,132903133
2010-05-10,114350245
2010-05-11,74646091
2010-05-12,73209636
2010-05-13,92510896
2010-05-14,79945631
2010-05-17,79501884
2010-05-18,77193612
2010-05-19,109865392
2010-05-20,147950005
2010-05-21,132036433
2010-05-24,68953907
2010-05-25,107142771
2010-05-26,81238976
2010-05-27,124718171
2010-05-28,218298662
2010-06-01,176151184
2010-06-02,263677043
2010-06-03,145983931
2010-06-04,114762868
2010-06-07,72945279
2010-06-08,110755200
2010-06-09,91151850
2010-06-10,123969945
2010-06-11,89187497
2010-06-14,66018479
2010-06-15,42538523
2010-06-16,61479901
2010-06-17,58809760
2010-06-18,67332459
2010-06-21,70579566
2010-06-22,83778432
2010-06-23,61508973
2010-06-24,56091688
2010-06-25,64103807
2010-06-28,38207103
2010-06-29,77826112
2010-06-30,82027293
2010-07-01,109287946
2010-07-02,74655873
2010-07-06,111709697
2010-07-07,77686958
2010-07-08,49977059
2010-07-09,40657827
2010-07-12,56856198
2010-07-13,67524140
2010-07-14,53572188
2010-07-15,56361740
2010-07-16,81503123
2010-07-19,115770428
2010-07-20,82630387
2010-07-21,96535502
2010-07-22,85057488
2010-07-23,74256461
2010-07-26,48755325
2010-07-27,54444026
2010-07-28,35236356
2010-07-29,39989702
2010-07-30,44841249
2010-08-02,52102222
2010-08-03,439648706
2010-08-04,312785804
2010-08-05,114896386
2010-08-06,105017812
2010-08-09,64244497
2010-08-10,79636741
2010-08-11,97959813
2010-08-12,70943395
2010-08-13,66769857
2010-08-16,33399376
2010-08-17,75024447
2010-08-18,45788394
2010-08-19,50936587
2010-08-20,64412002
2010-08-23,53556174
2010-08-24,76089239
2010-08-25,69958013
2010-08-26,84054266
2010-08-27,73036194
2010-08-30,46230592
2010-08-31,55624190
2010-09-01,87760216
2010-09-02,62737647
2010-09-03,63723525
2010-09-07,56054444
2010-09-08,40346514
2010-09-09,86369218
2010-09-10,77220729
2010-09-13,47850457
2010-09-14,57095025
2010-09-15,38228765
2010-09-16,43771971
2010-09-17,43594804
2010-09-20,42978623
2010-09-21,47303043
2010-09-22,58392553
2010-09-23,75218319
2010-09-24,59892973
2010-09-27,40220480
2010-09-28,42113312
2010-09-29,55481136
2010-09-30,107934484
2010-10-01,64469982
2010-10-04,57224205
2010-10-05,56495404
2010-10-06,72149325
2010-10-07,66560148
2010-10-08,40196804
2010-10-11,33555188
2010-10-12,51841303
2010-10-13,40422028
2010-10-14,58693887
2010-10-15,61226463
2010-10-18,41447907
2010-10-19,72739243
2010-10-20,64723869
2010-10-21,50485571
2010-10-22,56917568
2010-10-25,55177970
2010-10-26,32482924
2010-10-27,41664925
2010-10-28,44363620
2010-10-29,46681216
2010-11-01,153090688
2010-11-02,56424871
2010-11-03,40503118
2010-11-04,71284511
2010-11-05,65482748
2010-11-08,42873335
2010-11-09,48076708
2010-11-10,68313145
2010-11-11,37798832
2010-11-12,69217966
2010-11-15,48622807
2010-11-16,67702243
2010-11-17,35596380
2010-11-18,54132628
2010-11-19,64503517
2010-11-22,51580874
2010-11-23,48278458
2010-11-24,52482860
2010-11-26,12589695
2010-11-29,40850715
2010-11-30,92373294
2010-12-01,95727403
2010-12-02,36973915
2010-12-03,53757824
2010-12-06,26887747
2010-12-07,74069781
2010-12-08,53975216
2010-12-09,31784564
2010-12-10,36655336
2010-12-13,50251010
2010-12-14,60440193
2010-12-15,36933777
2010-12-16,47630921
2010-12-17,46975567
2010-12-20,50449142
2010-12-21,27949340
2010-12-22,23469722
2010-12-23,20731055
2010-12-27,19410429
2010-12-28,16020452
2010-12-29,33238471
2010-12-30,19552861
2010-12-31,14711207
2011-01-03,36684384
2011-01-04,64045142
2011-01-05,74833571
2011-01-06,68504281
2011-01-07,111639981
2011-01-10,45032882
2011-01-11,48156442
2011-01-12,61923209
2011-01-13,42835071
2011-01-14,40835627
2011-01-18,38558327
2011-01-19,54327174
2011-01-20,62469285
2011-01-21,124569272
2011-01-24,71564211
2011-01-25,259211586
2011-01-26,176162935
2011-01-27,113505884
2011-01-28,137243674
2011-01-31,102773126
2011-02-01,108427637
2011-02-02,61487361
2011-02-03,61676514
2011-02-04,62473341
2011-02-07,52303197
2011-02-08,67552482
2011-02-09,53786939
2011-02-10,68394178
2011-02-11,75458937
2011-02-14,69747754
2011-02-15,61405326
2011-02-16,93438510
2011-02-17,68937063
2011-02-18,63349886
2011-02-22,91975391
2011-02-23,61733910
2011-02-24,51813461
2011-02-25,39650283
2011-02-28,51886412
2011-03-01,44834526
2011-03-02,56055068
2011-03-03,55979775
2011-03-04,51683470
2011-03-07,50689184
2011-03-08,37161530
2011-03-09,30376920
2011-03-10,80602543
2011-03-11,68342307
2011-03-14,67630922
2011-03-15,88678475
2011-03-16,103713374
2011-03-17,42514829
2011-03-18,65900652
2011-03-21,64438630
2011-03-22,50025330
2011-03-23,34758439
2011-03-24,64137812
2011-03-25,73429964
2011-03-28,83899916
2011-03-29,87220891
2011-03-30,66676545
2011-03-31,59514221
2011-04-01,84292768
2011-04-04,47228491
2011-04-05,42086521
2011-04-06,46974995
2011-04-07,54213906
2011-04-08,66259261
2011-04-11,53877806
2011-04-12,86180396
2011-04-13,47587104
2011-04-14,64302354
2011-04-15,80400590
2011-04-18,120469031
2011-04-19,48096099
2011-04-20,64696189
2011-04-21,54755526
2011-04-25,35377373
2011-04-26,54174137
2011-04-27,194678347
2011-04-28,75561493
2011-04-29,63583282
2011-05-02,75966837
2011-05-03,94962711
2011-05-04,80784445
2011-05-05,138485803
2011-05-06,87397541
2011-05-09,113996932
2011-05-10,83678453
2011-05-11,76187490
2011-05-12,92883907
2011-05-13,78003679
2011-05-16,84674739
2011-05-17,61274605
2011-05-18,75503629
2011-05-19,59107833
2011-05-20,70599296
2011-05-23,65658452
2011-05-24,79558601
2011-05-25,86372616
2011-05-26,55064784
2011-05-27,38146988
2011-05-31,54277380
2011-06-01,50220505
2011-06-02,59525740
2011-06-03,101609660
2011-06-06,45917795
2011-06-07,47781708
2011-06-08,58927489
2011-06-09,42968150
2011-06-10,50269552
2011-06-13,44829339
2011-06-14,33945349
2011-06-15,64525680
2011-06-16,58948605
2011-06-17,67379984
2011-06-20,46880535
2011-06-21,42132123
2011-06-22,29845031
2011-06-23,59960845
2011-06-24,48308097
2011-06-27,68818259
2011-06-28,69616010
2011-06-29,75330691
2011-06-30,53053327
2011-07-01,41068359
2011-07-05,51516189
2011-07-06,42396810
2011-07-07,71253668
2011-07-08,47691179
2011-07-11,39369164
2011-07-12,45077401
2011-07-13,58079363
2011-07-14,56690900
2011-07-15,47648851
2011-07-18,92146348
2011-07-19,83075734
2011-07-20,39095271
2011-07-21,83178885
2011-07-22,84514411
2011-07-25,111187501
2011-07-26,97638051
2011-07-27,68131423
2011-07-28,64611306
2011-07-29,68961360
2011-08-01,88274502
2011-08-02,68850148
2011-08-03,97631608
2011-08-04,136958569
2011-08-05,136857941
2011-08-08,160810906
2011-08-09,124197054
2011-08-10,125531135
2011-08-11,90306981
2011-08-12,91465319
2011-08-15,70950590
2011-08-16,63251664
2011-08-17,68404905
2011-08-18,119425667
2011-08-19,167310572
2011-08-22,118347190
2011-08-23,153002255
2011-08-24,77707405
2011-08-25,85894287
2011-08-26,104719997
2011-08-29,54572300
2011-08-30,63914309
2011-08-31,111973807
2011-09-01,93914502
2011-09-02,72432678
2011-09-06,67103052
2011-09-07,56806095
2011-09-08,50695353
2011-09-09,69175468
2011-09-12,53751153
2011-09-13,53934206
2011-09-14,87568479
2011-09-15,73555880
2011-09-16,66443980
2011-09-19,44477879
2011-09-20,79804937
2011-09-21,74344544
2011-09-22,128199227
2011-09-23,106089805
2011-09-26,85116968
2011-09-27,91094059
2011-09-28,61345389
2011-09-29,86384901
2011-09-30,95181663
2011-10-03,127769139
2011-10-04,151143879
2011-10-05,104526047
2011-10-06,111199980
2011-10-07,79384947
2011-10-10,70545007
2011-10-11,96812208
2011-10-12,84513533
2011-10-13,65666174
2011-10-14,79437045
2011-10-17,104857147
2011-10-18,80938281
2011-10-19,103466744
2011-10-20,89614464
2011-10-21,107109615
2011-10-24,59703472
2011-10-25,86913801
2011-10-26,73236342
2011-10-27,140578473
2011-10-28,59116702
2011-10-31,96952130
2011-11-01,247245330
