dt,volume
2010-01-04,64299188
2010-01-05,85787982
2010-01-06,88438491
2010-01-07,104087204
2010-01-08,91732812
2010-01-11,101473709
2010-01-12,115425808
2010-01-13,66141088
2010-01-14,75833867
2010-01-15,147429170
2010-01-19,112390540
2010-01-20,253852306
2010-01-21,168852619
2010-01-22,140569612
2010-01-25,88857537
2010-01-26,75044101
2010-01-27,66457974
2010-01-28,88000937
2010-01-29,87586243
2010-02-01,92152093
2010-02-02,110037255
2010-02-03,93207644
2010-02-04,96768754
2010-02-05,150145614
2010-02-08,94584086
2010-02-09,83808496
2010-02-10,95579892
2010-02-11,70018118
2010-02-12,77541688
2010-02-16,54317936
2010-02-17,54781179
2010-02-18,44782649
2010-02-19,187159388
2010-02-22,87130645
2010-02-23,84558982
2010-02-24,80242865
2010-02-25,80827149
2010-02-26,51084073
2010-03-01,58459871
2010-03-02,87109386
2010-03-03,61059635
2010-03-04,42402465
2010-03-05,74794823
2010-03-08,70930796
2010-03-09,76348693
2010-03-10,76012806
2010-03-11,68424049
2010-03-12,65308873
2010-03-15,60046196
2010-03-16,78189700
2010-03-17,71760340
2010-03-18,73515402
2010-03-19,105132003
2010-03-22,52687294
2010-03-23,62221686
2010-03-24,105995990
2010-03-25,74548275
2010-03-26,66315864
2010-03-29,53102077
2010-03-30,46698220
2010-03-31,74610227
2010-04-01,56822706
2010-04-05,56121940
2010-04-06,55666778
2010-04-07,66509758
2010-04-08,68919700
2010-04-09,62061423
2010-04-12,68623505
2010-04-13,68978117
2010-04-14,187529414
2010-04-15,106852206
2010-04-16,168682353
2010-04-19,106637500
2010-04-20,158060546
2010-04-21,133501131
2010-04-22,128637076
2010-04-23,125681972
2010-04-26,87384322
2010-04-27,106254566
2010-04-28,72371119
2010-04-29,69085791
2010-04-30,80205231
2010-05-03,53015827
2010-05-04,98727063
2010-05-05,133380958
2010-05-06,119549374
2010-05-07,232382972
2010-05-10,87405096
2010-05-11,231528505
2010-05-12,120408274
2010-05-13,138814125
