dt,volume
2010-01-04,6912885
2010-01-05,9354387
2010-01-06,5616843
2010-01-07,6876065
2010-01-08,3628715
2010-01-11,6042074
2010-01-12,6927630
2010-01-13,5246845
2010-01-14,6465584
2010-01-15,10411479
2010-01-19,8715644
2010-01-20,13931182
2010-01-21,21139793
2010-01-22,14362251
2010-01-25,13394337
2010-01-26,11864173
2010-01-27,17954021
2010-01-28,24790265
2010-01-29,19309187
2010-02-01,15592236
2010-02-02,12820897
2010-02-03,6788622
2010-02-04,11103847
2010-02-05,10028224
2010-02-08,9237732
2010-02-09,8806366
2010-02-10,6294931
2010-02-11,9710690
2010-02-12,9166237
2010-02-16,12266018
2010-02-17,9598614
2010-02-18,9415001
2010-02-19,8704945
2010-02-22,10095104
2010-02-23,9728722
2010-02-24,6981698
2010-02-25,9708262
2010-02-26,13949996
2010-03-01,7815282
2010-03-02,7515178
2010-03-03,7207786
2010-03-04,7117546
2010-03-05,5975898
2010-03-08,7290657
2010-03-09,6383700
2010-03-10,8293198
2010-03-11,4689249
2010-03-12,5340465
2010-03-15,4014250
2010-03-16,4125310
2010-03-17,4343071
2010-03-18,6035234
2010-03-19,13624242
2010-03-22,7189397
2010-03-23,6948262
2010-03-24,5772200
2010-03-25,5107839
2010-03-26,10356575
2010-03-29,3371082
2010-03-30,4135057
2010-03-31,4416474
2010-04-01,7262150
2010-04-05,3363970
2010-04-06,5193526
2010-04-07,2516154
2010-04-08,3254892
2010-04-09,3479035
2010-04-12,4442615
2010-04-13,4990710
2010-04-14,5914993
2010-04-15,3739515
2010-04-16,9556655
2010-04-19,6417526
2010-04-20,5021548
2010-04-21,3496872
2010-04-22,4440911
2010-04-23,7432765
2010-04-26,5347620
2010-04-27,10081234
2010-04-28,9142421
2010-04-29,14203117
2010-04-30,12683572
2010-05-03,14103543
2010-05-04,11545198
2010-05-05,8311287
2010-05-06,10148680
2010-05-07,16656892
2010-05-10,9852389
2010-05-11,8219043
2010-05-12,5371245
2010-05-13,4870828
2010-05-14,7776827
2010-05-17,11364965
2010-05-18,7633099
2010-05-19,6311057
2010-05-20,9239328
2010-05-21,15909641
2010-05-24,10168115
2010-05-25,18159029
2010-05-26,9901888
2010-05-27,9501366
2010-05-28,10258037
2010-06-01,7581861
2010-06-02,17380735
2010-06-03,16056716
2010-06-04,15716618
2010-06-07,15925941
2010-06-08,22333763
2010-06-09,14954936
2010-06-10,11071006
2010-06-11,9149629
2010-06-14,11725653
2010-06-15,8486480
2010-06-16,19799814
2010-06-17,11581151
2010-06-18,13716614
2010-06-21,15404829
2010-06-22,11533901
2010-06-23,9421811
2010-06-24,12032186
2010-06-25,12014868
2010-06-28,9386890
2010-06-29,12804033
2010-06-30,8507170
2010-07-01,15350343
2010-07-02,14396710
2010-07-06,9314210
2010-07-07,9682087
2010-07-08,10625632
2010-07-09,12342480
2010-07-12,12056744
2010-07-13,13296755
2010-07-14,7184389
2010-07-15,11031653
2010-07-16,13714882
2010-07-19,5262321
2010-07-20,10945429
2010-07-21,11393003
2010-07-22,20200046
2010-07-23,16164780
2010-07-26,12907429
2010-07-27,18741521
2010-07-28,12340769
2010-07-29,17579722
2010-07-30,10917203
2010-08-02,10707493
2010-08-03,9931607
2010-08-04,10367947
2010-08-05,8487116
2010-08-06,6850908
2010-08-09,5052708
2010-08-10,6859215
2010-08-11,7385472
2010-08-12,7130152
2010-08-13,5376732
2010-08-16,9764122
2010-08-17,10973608
2010-08-18,9652333
2010-08-19,7819712
2010-08-20,8405019
2010-08-23,7219889
2010-08-24,9729507
2010-08-25,10419889
2010-08-26,6709086
2010-08-27,7038145
2010-08-30,4868257
2010-08-31,6649034
2010-09-01,8470607
2010-09-02,7723991
2010-09-03,6946066
2010-09-07,6700885
2010-09-08,11711700
2010-09-09,4668382
2010-09-10,4192052
2010-09-13,5764643
2010-09-14,4985226
2010-09-15,4894361
2010-09-16,9933250
2010-09-17,11696558
2010-09-20,6949890
2010-09-21,6613485
2010-09-22,9557573
2010-09-23,4652342
2010-09-24,5895770
