dt,volume
2010-01-04,58631274
2010-01-05,42897967
2010-01-06,35566247
2010-01-07,55103242
2010-01-08,82473766
2010-01-11,38059732
2010-01-12,43728689
2010-01-13,37394418
2010-01-14,19212166
2010-01-15,35191424
2010-01-19,30240413
2010-01-20,47607314
2010-01-21,55455508
2010-01-22,76997288
2010-01-25,49917503
2010-01-26,93851566
2010-01-27,86004358
2010-01-28,145492396
2010-01-29,134376691
2010-02-01,91027734
2010-02-02,185863045
2010-02-03,107357593
2010-02-04,211371218
2010-02-05,138351813
2010-02-08,39343049
2010-02-09,56948188
2010-02-10,60007334
2010-02-11,57090059
2010-02-12,39310095
