dt,volume
2010-01-04,12574647
2010-01-05,14063914
2010-01-06,16749859
2010-01-07,14467584
2010-01-08,10486310
2010-01-11,19710312
2010-01-12,8443144
2010-01-13,9830984
2010-01-14,11284134
2010-01-15,20512071
2010-01-19,25521470
2010-01-20,25118345
2010-01-21,19495769
2010-01-22,21209628
2010-01-25,19203715
2010-01-26,35253632
2010-01-27,32438189
2010-01-28,21883469
2010-01-29,18525164
2010-02-01,8925363
2010-02-02,21157562
2010-02-03,14701397
2010-02-04,15415667
2010-02-05,21971038
2010-02-08,17589979
2010-02-09,23476896
2010-02-10,9654451
2010-02-11,21499682
2010-02-12,13070228
2010-02-16,19092075
2010-02-17,13893622
2010-02-18,12788384
2010-02-19,11042002
2010-02-22,17550012
2010-02-23,15742738
2010-02-24,21142840
2010-02-25,18568617
2010-02-26,30473869
2010-03-01,27659052
2010-03-02,19096070
2010-03-03,20226875
2010-03-04,11227874
2010-03-05,14187290
2010-03-08,11596671
2010-03-09,25993188
2010-03-10,14585637
2010-03-11,16124604
2010-03-12,16931506
2010-03-15,9545940
2010-03-16,18434704
2010-03-17,22564565
2010-03-18,12304415
2010-03-19,18826730
2010-03-22,23427223
2010-03-23,13719901
2010-03-24,11481660
2010-03-25,21441463
2010-03-26,25228025
2010-03-29,21612758
2010-03-30,21139739
2010-03-31,18164740
2010-04-01,19093383
2010-04-05,13871678
2010-04-06,11156774
2010-04-07,15717816
2010-04-08,9733805
2010-04-09,9130878
2010-04-12,8684393
2010-04-13,14307306
2010-04-14,13920884
2010-04-15,13249289
2010-04-16,9606240
2010-04-19,17081213
2010-04-20,20119343
2010-04-21,25320157
2010-04-22,38869231
2010-04-23,27581947
2010-04-26,9216757
2010-04-27,16603766
2010-04-28,14914798
2010-04-29,15277661
2010-04-30,12866451
2010-05-03,15174724
2010-05-04,19929534
2010-05-05,32491693
2010-05-06,21139689
2010-05-07,36819557
2010-05-10,18854456
2010-05-11,16840761
2010-05-12,22503802
2010-05-13,16977965
2010-05-14,11083499
2010-05-17,11537054
2010-05-18,13547880
2010-05-19,27883077
2010-05-20,29492741
2010-05-21,24759612
2010-05-24,11309775
2010-05-25,19915343
2010-05-26,19724668
2010-05-27,13997869
2010-05-28,15867208
2010-06-01,20376917
2010-06-02,11334615
2010-06-03,15646531
2010-06-04,25578355
2010-06-07,19843828
2010-06-08,27871048
2010-06-09,19005477
2010-06-10,17980981
2010-06-11,12640598
2010-06-14,20820104
