dt,volume
2010-01-04,63963720
2010-01-05,60987374
2010-01-06,48622632
2010-01-07,38194711
2010-01-08,16648131
2010-01-11,17241198
2010-01-12,29218602
2010-01-13,32078434
2010-01-14,23639922
2010-01-15,33865877
2010-01-19,41242722
2010-01-20,60974459
2010-01-21,41898969
2010-01-22,45984453
2010-01-25,42182616
2010-01-26,49097355
2010-01-27,57455517
2010-01-28,35863096
2010-01-29,20492932
2010-02-01,42274434
2010-02-02,43710370
2010-02-03,81618437
2010-02-04,117228688
2010-02-05,84150669
2010-02-08,64523475
2010-02-09,73556703
2010-02-10,47229888
2010-02-11,50814105
2010-02-12,50637789
2010-02-16,51590756
2010-02-17,132820214
2010-02-18,49307434
2010-02-19,30058081
2010-02-22,22584553
2010-02-23,34129563
2010-02-24,30593154
2010-02-25,32869634
2010-02-26,22698588
2010-03-01,24042128
2010-03-02,22242817
2010-03-03,28925007
2010-03-04,36445939
2010-03-05,22036020
2010-03-08,27365779
2010-03-09,33057584
2010-03-10,45634635
2010-03-11,16863201
2010-03-12,22874150
2010-03-15,19207261
2010-03-16,25546187
2010-03-17,56515696
2010-03-18,33465376
2010-03-19,46644465
2010-03-22,71151907
2010-03-23,43832584
2010-03-24,61817545
2010-03-25,58424118
2010-03-26,53874735
2010-03-29,130033607
2010-03-30,46214295
2010-03-31,56026915
2010-04-01,73211637
2010-04-05,48367392
2010-04-06,46579590
2010-04-07,41380393
2010-04-08,56530904
2010-04-09,43890399
2010-04-12,30012295
2010-04-13,27151469
2010-04-14,44118880
2010-04-15,55125153
2010-04-16,65346544
2010-04-19,42530343
2010-04-20,34027396
2010-04-21,45223720
2010-04-22,78816928
2010-04-23,41741056
2010-04-26,37450383
2010-04-27,83154967
2010-04-28,110767673
2010-04-29,67425091
2010-04-30,54894335
2010-05-03,46160075
2010-05-04,73769875
2010-05-05,42702004
2010-05-06,99461153
2010-05-07,130284463
2010-05-10,49961957
2010-05-11,76354069
2010-05-12,31862643
2010-05-13,20301125
2010-05-14,36820844
2010-05-17,37651458
2010-05-18,60674461
2010-05-19,43623545
2010-05-20,89232218
2010-05-21,90346982
2010-05-24,44515701
2010-05-25,89428677
2010-05-26,52580794
2010-05-27,52352002
2010-05-28,52885043
2010-06-01,41513856
2010-06-02,31906425
2010-06-03,65908037
2010-06-04,65431739
2010-06-07,51178176
2010-06-08,120534208
2010-06-09,84885942
2010-06-10,82629543
2010-06-11,25995516
2010-06-14,41683775
2010-06-15,81703582
2010-06-16,39024296
2010-06-17,42535550
2010-06-18,50604287
2010-06-21,32458108
2010-06-22,44564743
2010-06-23,36793180
2010-06-24,69671246
2010-06-25,67995752
2010-06-28,36019896
2010-06-29,44889720
2010-06-30,34198259
2010-07-01,70369287
2010-07-02,39315324
2010-07-06,45689915
2010-07-07,60813195
2010-07-08,41435851
2010-07-09,28151937
2010-07-12,31681444
2010-07-13,50191987
2010-07-14,36811823
2010-07-15,49126050
2010-07-16,76321184
2010-07-19,73424536
2010-07-20,52525674
2010-07-21,73587234
2010-07-22,38800829
2010-07-23,42643949
2010-07-26,33921003
2010-07-27,39089023
2010-07-28,175563635
2010-07-29,70888451
2010-07-30,72858171
2010-08-02,47151837
2010-08-03,45442602
2010-08-04,43493392
2010-08-05,26731909
2010-08-06,33809476
2010-08-09,30978621
2010-08-10,43566211
2010-08-11,39334730
2010-08-12,38719100
2010-08-13,21136649
2010-08-16,23210791
2010-08-17,37583232
2010-08-18,35514027
2010-08-19,26568888
2010-08-20,30285602
2010-08-23,24823856
2010-08-24,39681577
2010-08-25,45423355
2010-08-26,27468502
2010-08-27,46822802
2010-08-30,26170019
2010-08-31,47990457
2010-09-01,63982056
2010-09-02,59950376
2010-09-03,46299102
2010-09-07,43956083
2010-09-08,41539083
2010-09-09,38024354
2010-09-10,26121921
2010-09-13,30941318
2010-09-14,29928276
2010-09-15,28212492
2010-09-16,39019376
2010-09-17,42570631
2010-09-20,22199151
2010-09-21,27635623
2010-09-22,28705989
2010-09-23,24287612
2010-09-24,36442345
2010-09-27,29389800
2010-09-28,26355393
2010-09-29,34628620
2010-09-30,38245767
2010-10-01,69045178
2010-10-04,45341891
2010-10-05,74501214
2010-10-06,59359445
2010-10-07,41089465
2010-10-08,36384713
2010-10-11,40350809
2010-10-12,43476629
2010-10-13,87678294
2010-10-14,44373709
2010-10-15,81986506
2010-10-18,29909517
2010-10-19,40967675
2010-10-20,24932948
2010-10-21,37553763
2010-10-22,42672206
2010-10-25,46009437
2010-10-26,56852029
2010-10-27,108922613
2010-10-28,41476947
2010-10-29,18497379
2010-11-01,39571846
2010-11-02,29977016
2010-11-03,29927985
2010-11-04,42574750
2010-11-05,30412825
2010-11-08,31083120
2010-11-09,31704344
2010-11-10,39709347
2010-11-11,29812117
2010-11-12,27910932
2010-11-15,35027705
2010-11-16,34651191
2010-11-17,38232344
2010-11-18,53004634
2010-11-19,58178904
2010-11-22,63714949
2010-11-23,25791997
2010-11-24,28036380
2010-11-26,12979181
2010-11-29,60871999
2010-11-30,53021301
2010-12-01,63794435
2010-12-02,40451490
2010-12-03,34286120
2010-12-06,33296336
2010-12-07,32947732
2010-12-08,23498179
2010-12-09,21623938
2010-12-10,38507124
2010-12-13,38470904
2010-12-14,42904023
2010-12-15,27782324
2010-12-16,46787058
2010-12-17,43107311
2010-12-20,20850518
2010-12-21,31509415
2010-12-22,37576584
2010-12-23,22291841
2010-12-27,15556392
2010-12-28,18380588
2010-12-29,11727914
2010-12-30,11055342
2010-12-31,12479517
2011-01-03,36024928
2011-01-04,48656010
2011-01-05,32066988
2011-01-06,42435938
2011-01-07,41196633
2011-01-10,25196333
2011-01-11,31482561
2011-01-12,25152134
2011-01-13,25632335
2011-01-14,56151037
2011-01-18,53510079
2011-01-19,41092801
2011-01-20,59047960
2011-01-21,50292161
2011-01-24,85940038
2011-01-25,46741532
2011-01-26,48279118
2011-01-27,38287446
2011-01-28,47208321
2011-01-31,33643885
2011-02-01,58016403
2011-02-02,123925827
2011-02-03,65182863
2011-02-04,99682108
2011-02-07,48068745
2011-02-08,44629515
2011-02-09,40504689
2011-02-10,46392344
2011-02-11,37890083
2011-02-14,24819142
2011-02-15,73083112
2011-02-16,49696564
2011-02-17,35893490
2011-02-18,20634393
2011-02-22,28265426
2011-02-23,28480002
2011-02-24,31246296
2011-02-25,22268460
2011-02-28,31837100
2011-03-01,36002602
2011-03-02,23453376
2011-03-03,18645011
2011-03-04,22744518
2011-03-07,47435411
2011-03-08,34576186
2011-03-09,65764736
2011-03-10,56155605
2011-03-11,78587048
2011-03-14,96400385
2011-03-15,68212447
2011-03-16,51364265
2011-03-17,33098082
2011-03-18,39121510
2011-03-21,32998066
2011-03-22,33831647
2011-03-23,39979518
2011-03-24,35851594
2011-03-25,47777775
2011-03-28,31549526
2011-03-29,36145375
2011-03-30,37347278
2011-03-31,41797115
2011-04-01,77818057
2011-04-04,29998744
2011-04-05,24587263
2011-04-06,25500706
2011-04-07,30797085
2011-04-08,14926564
2011-04-11,13341625
2011-04-12,31955135
2011-04-13,26121073
2011-04-14,24095971
2011-04-15,49791495
2011-04-18,54728134
2011-04-19,43967509
2011-04-20,43719092
2011-04-21,24830490
2011-04-25,46797034
2011-04-26,47548716
2011-04-27,121750463
2011-04-28,51490640
2011-04-29,108320111
2011-05-02,82174087
2011-05-03,46747219
2011-05-04,30765878
2011-05-05,61578434
2011-05-06,45944112
2011-05-09,42892071
2011-05-10,40717459
2011-05-11,54190419
2011-05-12,34800122
2011-05-13,29285299
2011-05-16,28449617
2011-05-17,25197778
2011-05-18,32719880
2011-05-19,20392696
2011-05-20,20095387
2011-05-23,20330944
2011-05-24,22195128
2011-05-25,31473950
2011-05-26,31367786
2011-05-27,98653472
2011-05-31,39209300
2011-06-01,32193381
2011-06-02,34764799
2011-06-03,27899749
2011-06-06,42523787
2011-06-07,29938176
2011-06-08,32458409
2011-06-09,26695003
2011-06-10,33885899
2011-06-13,45241143
2011-06-14,41480824
2011-06-15,58683022
2011-06-16,65457883
2011-06-17,55939093
2011-06-20,31768384
2011-06-21,52432412
2011-06-22,32486166
2011-06-23,38524180
2011-06-24,33822603
2011-06-27,27388596
2011-06-28,35237156
2011-06-29,37919253
2011-06-30,27317926
2011-07-01,33712218
2011-07-05,18928315
2011-07-06,36020233
2011-07-07,39757782
2011-07-08,30581878
2011-07-11,37335556
2011-07-12,55826816
2011-07-13,60090434
2011-07-14,41903789
2011-07-15,63165692
2011-07-18,44602163
2011-07-19,42495532
2011-07-20,41454541
2011-07-21,42974832
2011-07-22,33252918
2011-07-25,24894148
2011-07-26,30920066
2011-07-27,68714066
2011-07-28,202442777
2011-07-29,104060133
2011-08-01,69390911
2011-08-02,50225930
2011-08-03,82470620
2011-08-04,89519376
2011-08-05,145434333
2011-08-08,120303593
2011-08-09,85616150
2011-08-10,127212903
2011-08-11,90379297
2011-08-12,79513693
2011-08-15,57868306
2011-08-16,64248485
2011-08-17,64199012
2011-08-18,91550059
2011-08-19,99912929
2011-08-22,74815264
2011-08-23,88527707
2011-08-24,106448317
2011-08-25,83456181
2011-08-26,66047579
2011-08-29,40328330
2011-08-30,51984202
2011-08-31,57343902
2011-09-01,59583960
2011-09-02,56679501
2011-09-06,59328911
2011-09-07,91989130
2011-09-08,89538935
2011-09-09,87122854
2011-09-12,67569936
2011-09-13,49119273
