dt,volume
2010-01-04,28631664
2010-01-05,35891259
2010-01-06,64456844
2010-01-07,27332233
2010-01-08,50720434
2010-01-11,133524232
2010-01-12,49338917
2010-01-13,43039021
2010-01-14,35585838
2010-01-15,66104997
2010-01-19,45642435
2010-01-20,54973638
2010-01-21,47962992
2010-01-22,74429132
2010-01-25,67907422
2010-01-26,43399498
2010-01-27,42729099
2010-01-28,70679155
2010-01-29,36869854
2010-02-01,29622723
2010-02-02,38279698
2010-02-03,47475879
2010-02-04,51928885
2010-02-05,54435041
2010-02-08,27894029
2010-02-09,39944622
2010-02-10,44848670
2010-02-11,34113655
2010-02-12,31083177
2010-02-16,29144237
2010-02-17,32519017
2010-02-18,82188903
2010-02-19,53553212
2010-02-22,29477859
2010-02-23,40425714
2010-02-24,29219068
2010-02-25,31557228
2010-02-26,16515650
2010-03-01,38469559
2010-03-02,28369324
2010-03-03,29640153
2010-03-04,22166653
2010-03-05,19486437
2010-03-08,20338954
2010-03-09,20338206
2010-03-10,28151138
2010-03-11,36287100
2010-03-12,31582048
2010-03-15,27159314
2010-03-16,34531530
2010-03-17,47640223
2010-03-18,42253103
2010-03-19,83978323
2010-03-22,45891105
2010-03-23,34953232
2010-03-24,37601550
2010-03-25,38280085
2010-03-26,45111910
2010-03-29,34889461
2010-03-30,54724699
2010-03-31,26499624
2010-04-01,28618997
2010-04-05,29326915
2010-04-06,49038459
2010-04-07,46760564
2010-04-08,54328669
2010-04-09,64276021
2010-04-12,69275652
2010-04-13,40245954
2010-04-14,57603818
2010-04-15,36667282
2010-04-16,53259537
2010-04-19,27121177
2010-04-20,30292106
2010-04-21,104596480
2010-04-22,84627663
2010-04-23,37064319
2010-04-26,40089772
2010-04-27,41254174
2010-04-28,52729667
2010-04-29,131573022
2010-04-30,54194903
2010-05-03,41818743
2010-05-04,57956013
2010-05-05,59554832
2010-05-06,72799307
2010-05-07,63069666
2010-05-10,61070315
2010-05-11,38256549
2010-05-12,63297863
2010-05-13,26376619
2010-05-14,96533339
2010-05-17,69563621
2010-05-18,79079774
2010-05-19,34948136
2010-05-20,52393923
2010-05-21,129486241
2010-05-24,51349271
2010-05-25,100554285
2010-05-26,126316077
2010-05-27,57000844
2010-05-28,55220299
2010-06-01,34500040
2010-06-02,53027624
2010-06-03,40460637
2010-06-04,47754776
2010-06-07,127694603
2010-06-08,55285325
2010-06-09,49653813
2010-06-10,45443706
2010-06-11,51702471
2010-06-14,47301902
2010-06-15,44581788
2010-06-16,43374504
2010-06-17,42437643
2010-06-18,50378596
2010-06-21,25406469
2010-06-22,39024671
2010-06-23,50434670
2010-06-24,36036896
2010-06-25,35329456
2010-06-28,36126942
2010-06-29,57116356
2010-06-30,179052862
2010-07-01,101641545
2010-07-02,67726093
2010-07-06,47264305
2010-07-07,63585223
2010-07-08,42784035
2010-07-09,44924563
2010-07-12,42709875
2010-07-13,42502517
2010-07-14,30174479
2010-07-15,54554284
2010-07-16,68077040
2010-07-19,27476840
2010-07-20,29599559
2010-07-21,51809295
2010-07-22,30582625
2010-07-23,40711426
2010-07-26,48345042
2010-07-27,29051263
2010-07-28,33842281
2010-07-29,87270472
2010-07-30,57618715
2010-08-02,42405665
2010-08-03,27780899
2010-08-04,36935340
2010-08-05,22989698
2010-08-06,39189771
2010-08-09,24815476
2010-08-10,29379078
2010-08-11,38914143
2010-08-12,29386221
2010-08-13,21624678
2010-08-16,24058086
2010-08-17,29714777
2010-08-18,39705051
2010-08-19,51269382
2010-08-20,45916929
2010-08-23,22166596
2010-08-24,68157401
2010-08-25,46652062
2010-08-26,92749856
2010-08-27,49280874
2010-08-30,28090678
2010-08-31,47770900
2010-09-01,37409544
2010-09-02,21720732
2010-09-03,24639223
2010-09-07,25517901
2010-09-08,27919380
2010-09-09,27844643
2010-09-10,39976715
2010-09-13,32610570
2010-09-14,42790872
2010-09-15,32488618
2010-09-16,21216735
2010-09-17,48848360
2010-09-20,28657809
2010-09-21,36557008
2010-09-22,48785432
2010-09-23,24623451
2010-09-24,40130157
2010-09-27,21545198
2010-09-28,34927656
2010-09-29,27331755
2010-09-30,30614490
2010-10-01,32811674
2010-10-04,25996656
2010-10-05,39854570
2010-10-06,28386642
2010-10-07,31448411
2010-10-08,22720320
2010-10-11,17239345
2010-10-12,37319310
2010-10-13,33020930
2010-10-14,30832627
2010-10-15,50646294
2010-10-18,46491735
2010-10-19,47768374
2010-10-20,53755344
2010-10-21,26597988
2010-10-22,19941729
2010-10-25,28247544
2010-10-26,29131495
2010-10-27,29207217
2010-10-28,126408622
2010-10-29,44796569
2010-11-01,37579761
2010-11-02,53644859
2010-11-03,27212312
2010-11-04,35799942
2010-11-05,37343769
2010-11-08,40560684
2010-11-09,19867710
2010-11-10,28007459
2010-11-11,15960473
2010-11-12,23704022
2010-11-15,22115929
2010-11-16,33941424
2010-11-17,29336426
2010-11-18,36275260
2010-11-19,30961294
2010-11-22,27327537
2010-11-23,29694014
2010-11-24,25189572
2010-11-26,5839635
2010-11-29,40509855
2010-11-30,31652029
2010-12-01,33045333
2010-12-02,25089877
2010-12-03,29788852
2010-12-06,355854821
2010-12-07,218047719
2010-12-08,54565187
2010-12-09,41846267
2010-12-10,43985721
2010-12-13,33894806
2010-12-14,35410164
2010-12-15,26756531
2010-12-16,36357832
2010-12-17,64952829
2010-12-20,28647438
2010-12-21,26581175
2010-12-22,22836915
2010-12-23,21325443
2010-12-27,18820536
2010-12-28,18283314
2010-12-29,20401048
2010-12-30,12516243
2010-12-31,13048611
2011-01-03,30289248
2011-01-04,43379631
2011-01-05,51995239
2011-01-06,35823122
2011-01-07,31212458
2011-01-10,120937381
2011-01-11,50405737
2011-01-12,35187057
2011-01-13,24473971
2011-01-14,24389175
2011-01-18,35052790
2011-01-19,57622218
2011-01-20,33187206
2011-01-21,43238841
2011-01-24,32461001
2011-01-25,28958503
2011-01-26,26598180
2011-01-27,59618425
2011-01-28,177309970
2011-01-31,110954609
2011-02-01,83707077
2011-02-02,48536454
2011-02-03,207634295
2011-02-04,218413713
2011-02-07,77958487
2011-02-08,64953663
2011-02-09,94875039
2011-02-10,127853711
2011-02-11,114171473
2011-02-14,90344331
2011-02-15,105473341
2011-02-16,59928676
2011-02-17,37786441
2011-02-18,51880287
2011-02-22,45028820
2011-02-23,43899810
2011-02-24,63991459
2011-02-25,32336453
2011-02-28,44267901
2011-03-01,33393928
2011-03-02,54529246
2011-03-03,49579577
2011-03-04,48611649
2011-03-07,56422821
2011-03-08,27415980
2011-03-09,32583687
2011-03-10,54800344
2011-03-11,81602096
2011-03-14,72428860
2011-03-15,51409507
2011-03-16,55288402
2011-03-17,33594452
2011-03-18,88318780
2011-03-21,32290085
2011-03-22,46703273
2011-03-23,25674838
2011-03-24,35537384
2011-03-25,45904569
2011-03-28,21411467
2011-03-29,20849509
2011-03-30,44704307
2011-03-31,41470352
2011-04-01,32437929
2011-04-04,30663225
2011-04-05,37425712
2011-04-06,39703925
2011-04-07,34050836
2011-04-08,20931009
2011-04-11,31356577
2011-04-12,33865566
2011-04-13,22970827
2011-04-14,44577577
2011-04-15,41917713
2011-04-18,53549132
2011-04-19,32238563
2011-04-20,44721089
2011-04-21,30466057
2011-04-25,20189450
2011-04-26,31752690
2011-04-27,49343587
2011-04-28,61699202
2011-04-29,50111296
2011-05-02,62052658
2011-05-03,51765057
2011-05-04,63057129
2011-05-05,128551853
2011-05-06,54271571
2011-05-09,21146600
2011-05-10,27435371
2011-05-11,40218266
2011-05-12,29063891
2011-05-13,28427695
2011-05-16,19741518
2011-05-17,29919551
2011-05-18,27732117
2011-05-19,25662746
2011-05-20,25955246
2011-05-23,25155226
2011-05-24,23294810
2011-05-25,21908073
2011-05-26,37831771
2011-05-27,19347974
2011-05-31,20214827
2011-06-01,24112834
2011-06-02,17630072
2011-06-03,16642279
2011-06-06,18073645
2011-06-07,26332309
2011-06-08,16992562
2011-06-09,24150864
2011-06-10,25501675
2011-06-13,17202398
2011-06-14,21685266
2011-06-15,35889833
2011-06-16,38097199
2011-06-17,55216362
2011-06-20,39232670
2011-06-21,27986947
2011-06-22,28337710
2011-06-23,34563747
2011-06-24,27267411
2011-06-27,21924847
2011-06-28,33379437
2011-06-29,32220964
2011-06-30,28814322
2011-07-01,30780626
2011-07-05,31412612
2011-07-06,27272666
2011-07-07,33257816
2011-07-08,38709972
