dt,volume
2010-01-04,73687180
2010-01-05,78888779
2010-01-06,69979718
2010-01-07,82665935
2010-01-08,47549677
2010-01-11,89824707
2010-01-12,100131842
2010-01-13,104260827
2010-01-14,122192774
2010-01-15,154826198
2010-01-19,82102465
2010-01-20,130425283
2010-01-21,183657354
2010-01-22,140341023
2010-01-25,74266809
2010-01-26,87246593
2010-01-27,90924544
2010-01-28,101970640
2010-01-29,116225212
2010-02-01,59161538
2010-02-02,65652527
2010-02-03,178584107
2010-02-04,137001830
2010-02-05,161119782
2010-02-08,135757444
2010-02-09,219041631
2010-02-10,97565327
2010-02-11,109127421
2010-02-12,93818211
2010-02-16,116985072
2010-02-17,69236974
2010-02-18,53916818
2010-02-19,93049221
2010-02-22,87539983
2010-02-23,73372396
2010-02-24,108429477
2010-02-25,67009539
2010-02-26,64730380
2010-03-01,76742299
2010-03-02,73259254
2010-03-03,81857212
2010-03-04,65050868
2010-03-05,92088483
2010-03-08,102659968
2010-03-09,71367332
2010-03-10,56337696
2010-03-11,38144328
2010-03-12,43888969
2010-03-15,41339119
2010-03-16,54255641
2010-03-17,77397836
2010-03-18,67780283
2010-03-19,90794250
2010-03-22,123252885
2010-03-23,87954336
2010-03-24,81721429
2010-03-25,117686327
2010-03-26,49226326
2010-03-29,40161998
2010-03-30,75783587
2010-03-31,54220207
2010-04-01,67693190
2010-04-05,48335186
2010-04-06,33514742
2010-04-07,56300097
2010-04-08,64873182
2010-04-09,57611151
2010-04-12,44547572
2010-04-13,92734560
2010-04-14,97349443
2010-04-15,51854371
2010-04-16,75268529
2010-04-19,84003865
2010-04-20,51260805
2010-04-21,52079795
2010-04-22,60090657
2010-04-23,43659411
2010-04-26,61001006
2010-04-27,117837883
2010-04-28,262279161
2010-04-29,242793657
2010-04-30,85662896
2010-05-03,123630166
2010-05-04,89678158
2010-05-05,101475219
2010-05-06,210874967
2010-05-07,247770178
2010-05-10,189642148
2010-05-11,117967733
2010-05-12,124860444
2010-05-13,136697342
2010-05-14,105030118
2010-05-17,67613412
2010-05-18,49215416
2010-05-19,67985986
2010-05-20,75358557
2010-05-21,149227030
2010-05-24,44720427
2010-05-25,106642199
2010-05-26,142460510
2010-05-27,84207153
2010-05-28,55493655
2010-06-01,95395848
2010-06-02,79179927
2010-06-03,59795141
2010-06-04,65410470
2010-06-07,61586905
2010-06-08,88089912
2010-06-09,83449375
2010-06-10,95202020
2010-06-11,64813406
2010-06-14,58161085
2010-06-15,72730525
2010-06-16,48069714
2010-06-17,53961871
2010-06-18,51717079
2010-06-21,37985198
2010-06-22,72190524
2010-06-23,60451080
2010-06-24,65983281
2010-06-25,40167092
2010-06-28,94540440
2010-06-29,85776524
