dt,volume
2010-01-04,14282993
2010-01-05,20385357
2010-01-06,17289991
2010-01-07,45421379
2010-01-08,63029631
2010-01-11,38514179
2010-01-12,50267538
2010-01-13,33769472
2010-01-14,22485904
2010-01-15,30235706
2010-01-19,22015255
2010-01-20,24988202
2010-01-21,30192129
2010-01-22,25420289
2010-01-25,22182363
2010-01-26,32866456
2010-01-27,37818350
2010-01-28,15882697
2010-01-29,28826964
2010-02-01,27467870
2010-02-02,131793649
2010-02-03,51361678
2010-02-04,34351064
2010-02-05,40413522
2010-02-08,25483521
2010-02-09,32923332
2010-02-10,29144120
2010-02-11,46838920
2010-02-12,56046603
2010-02-16,47794930
2010-02-17,31324681
2010-02-18,19257442
2010-02-19,24080147
2010-02-22,29712430
2010-02-23,31710907
2010-02-24,30424352
2010-02-25,26094950
2010-02-26,20264183
2010-03-01,23068730
2010-03-02,37841185
2010-03-03,37208952
2010-03-04,34451812
2010-03-05,31458801
2010-03-08,24360258
2010-03-09,24233993
2010-03-10,62868724
2010-03-11,29316955
2010-03-12,25921565
2010-03-15,29345126
2010-03-16,51841981
2010-03-17,40631712
2010-03-18,43226858
2010-03-19,38267153
2010-03-22,23871325
2010-03-23,29795956
2010-03-24,39511411
2010-03-25,34239909
2010-03-26,27987736
2010-03-29,27700903
2010-03-30,32233389
2010-03-31,30149271
2010-04-01,27693203
2010-04-05,37258829
2010-04-06,36432791
2010-04-07,33669563
2010-04-08,39126039
2010-04-09,44870493
2010-04-12,36334331
2010-04-13,21781907
2010-04-14,27308825
2010-04-15,27421422
2010-04-16,28038344
2010-04-19,23756216
2010-04-20,48494566
2010-04-21,32841320
2010-04-22,24694643
2010-04-23,27433809
2010-04-26,43385428
2010-04-27,159730309
2010-04-28,74034338
2010-04-29,60675457
2010-04-30,41046701
2010-05-03,35500355
2010-05-04,67775020
2010-05-05,63382529
2010-05-06,90607556
2010-05-07,106438388
2010-05-10,78700507
2010-05-11,35411724
2010-05-12,37614239
2010-05-13,34550043
2010-05-14,58818222
2010-05-17,50781480
2010-05-18,31678480
2010-05-19,57927027
2010-05-20,106263751
2010-05-21,60482635
2010-05-24,28689225
2010-05-25,56961405
2010-05-26,49651150
2010-05-27,29330918
2010-05-28,38334042
2010-06-01,25938479
2010-06-02,29608777
2010-06-03,47012335
2010-06-04,53922248
2010-06-07,39076349
2010-06-08,36901509
2010-06-09,36591755
2010-06-10,51089393
2010-06-11,33571483
2010-06-14,34769622
2010-06-15,33436672
2010-06-16,40707180
2010-06-17,28019519
2010-06-18,36085782
2010-06-21,52262731
2010-06-22,38597856
2010-06-23,29751268
2010-06-24,32279296
2010-06-25,36079652
2010-06-28,34322873
2010-06-29,56120693
2010-06-30,36956758
2010-07-01,68787044
2010-07-02,52414330
2010-07-06,51155395
2010-07-07,45072381
2010-07-08,53612708
2010-07-09,44480877
2010-07-12,42089239
2010-07-13,52741993
2010-07-14,50635384
2010-07-15,53360898
2010-07-16,49778681
2010-07-19,22178911
2010-07-20,29758436
2010-07-21,40653937
2010-07-22,33630322
2010-07-23,39657187
2010-07-26,35277604
2010-07-27,111266216
2010-07-28,42757228
2010-07-29,27605011
2010-07-30,33033107
2010-08-02,30727227
2010-08-03,41783327
2010-08-04,39593281
2010-08-05,27498028
2010-08-06,37271723
2010-08-09,20190526
2010-08-10,36429831
2010-08-11,62250075
2010-08-12,54324221
2010-08-13,27935901
2010-08-16,18974599
2010-08-17,28920284
2010-08-18,27278859
2010-08-19,46140290
2010-08-20,38415895
2010-08-23,45776371
2010-08-24,46879601
2010-08-25,58956063
2010-08-26,43409626
2010-08-27,40775794
2010-08-30,21668907
2010-08-31,32110388
2010-09-01,55418562
2010-09-02,46734083
2010-09-03,46316537
2010-09-07,29685158
2010-09-08,26566874
2010-09-09,20180604
2010-09-10,19934012
2010-09-13,34502823
2010-09-14,20203331
2010-09-15,44307548
2010-09-16,26299267
2010-09-17,32674674
2010-09-20,32560427
2010-09-21,35468557
2010-09-22,33703216
2010-09-23,39610395
2010-09-24,44268690
2010-09-27,22743523
2010-09-28,22129039
2010-09-29,27078217
2010-09-30,35530933
2010-10-01,29292346
