dt,volume
2010-01-04,4023686
2010-01-05,3799699
2010-01-06,2464386
2010-01-07,6106774
2010-01-08,3438892
2010-01-11,2462715
2010-01-12,2647174
2010-01-13,23879937
2010-01-14,2679267
2010-01-15,5283302
2010-01-19,12591193
2010-01-20,24375545
2010-01-21,10615941
2010-01-22,89880605
2010-01-25,10610346
2010-01-26,11303453
2010-01-27,7765255
2010-01-28,6316215
2010-01-29,5663617
2010-02-01,8661707
2010-02-02,7284752
2010-02-03,3854192
2010-02-04,5048066
2010-02-05,4294544
2010-02-08,4978369
2010-02-09,9640444
2010-02-10,11737577
2010-02-11,7812113
2010-02-12,4425456
2010-02-16,4884307
2010-02-17,3827003
2010-02-18,4097310
2010-02-19,6197482
2010-02-22,3756709
2010-02-23,3496231
2010-02-24,2895262
2010-02-25,3897509
2010-02-26,2112440
2010-03-01,4736336
2010-03-02,8857160
2010-03-03,3565454
2010-03-04,2553815
2010-03-05,6696738
2010-03-08,2703346
2010-03-09,7002621
2010-03-10,7098874
2010-03-11,7001883
2010-03-12,4315715
2010-03-15,5605459
2010-03-16,4614705
2010-03-17,5929867
2010-03-18,12056284
2010-03-19,32944859
2010-03-22,37731888
2010-03-23,28051805
2010-03-24,13380869
2010-03-25,11384995
2010-03-26,5738119
2010-03-29,5297584
2010-03-30,5483099
2010-03-31,9303133
2010-04-01,7961414
2010-04-05,8502485
2010-04-06,5283203
2010-04-07,5715554
2010-04-08,3127891
2010-04-09,6703838
2010-04-12,4683477
2010-04-13,17292330
2010-04-14,12596306
2010-04-15,5470633
2010-04-16,5626388
2010-04-19,6911701
2010-04-20,6432802
2010-04-21,4177419
2010-04-22,3827601
2010-04-23,2834780
2010-04-26,5065802
2010-04-27,11474510
2010-04-28,13775963
2010-04-29,9836078
2010-04-30,6771275
2010-05-03,4301403
2010-05-04,7278983
2010-05-05,6660801
2010-05-06,4153084
2010-05-07,6519473
2010-05-10,3291921
2010-05-11,4588658
2010-05-12,4423224
2010-05-13,2744290
2010-05-14,6302124
2010-05-17,9127529
2010-05-18,6613414
2010-05-19,3929142
2010-05-20,4972744
