dt,volume
2016-12-13,437494
2016-12-14,8154141
2016-12-15,4534370
2016-12-16,15935730
2016-12-19,2841608
2016-12-20,5306041
2016-12-21,7257908
2016-12-22,32695478
2016-12-23,7465195
2016-12-27,1065142
2016-12-28,3951761
2016-12-29,2114275
2016-12-30,7590206
2017-01-03,144130338
2017-01-04,187815200
2017-01-05,88041526
2017-01-06,122063748
2017-01-09,101180006
2017-01-10,104148252
2017-01-11,183230295
2017-01-12,123007073
2017-01-13,83051429
2017-01-17,48687002
2017-01-18,73975759
2017-01-19,55181976
2017-01-20,52755297
2017-01-23,40700689
2017-01-24,37441841
2017-01-25,35724624
2017-01-26,155522912
2017-01-27,18642683
2017-01-30,39619142
2017-01-31,59657183
2017-02-01,26789590
2017-02-02,18078227
2017-02-03,16193849
2017-02-06,16834149
2017-02-07,35036538
2017-02-08,14040044
2017-02-09,14555959
2017-02-10,19298657
2017-02-13,27961285
2017-02-14,29761234
2017-02-15,26534608
2017-02-16,26104245
2017-02-17,42619526
2017-02-21,28090309
2017-02-22,87062150
2017-02-23,88104540
2017-02-24,85542748
2017-02-27,25767714
2017-02-28,30767955
2017-03-01,42250330
2017-03-02,16021206
2017-03-03,25182485
2017-03-06,23786734
2017-03-07,47841114
2017-03-08,75511761
2017-03-09,24586501
2017-03-10,30926345
2017-03-13,25696036
2017-03-14,17889674
2017-03-15,21439678
2017-03-16,25958263
2017-03-17,13228273
2017-03-20,18807845
2017-03-21,49983022
2017-03-22,19600347
2017-03-23,30312199
2017-03-24,17068216
2017-03-27,13705041
2017-03-28,35409124
2017-03-29,18944014
2017-03-30,34707479
2017-03-31,69200594
2017-04-03,22916460
2017-04-04,22007191
2017-04-05,17045938
2017-04-06,19271517
2017-04-07,31341562
2017-04-10,11043809
2017-04-11,10004683
2017-04-12,12778534
2017-04-13,10892024
2017-04-17,13536999
2017-04-18,11893290
2017-04-19,12731906
2017-04-20,7173813
2017-04-21,11037299
2017-04-24,15996300
2017-04-25,30210141
2017-04-26,16626096
2017-04-27,15312373
2017-04-28,11318249
2017-05-01,9495755
2017-05-02,12136261
2017-05-03,57146094
2017-05-04,19925347
2017-05-05,15102813
2017-05-08,71613651
2017-05-09,31283402
2017-05-10,64649224
2017-05-11,37650559
2017-05-12,23493409
2017-05-15,29633633
2017-05-16,25880808
2017-05-17,22467735
2017-05-18,17579352
2017-05-19,30365584
2017-05-22,20390036
2017-05-23,16377844
2017-05-24,16732505
2017-05-25,10650149
2017-05-26,12236356
2017-05-30,12806363
2017-05-31,17874020
2017-06-01,11313747
2017-06-02,6248792
2017-06-05,11907607
2017-06-06,20814196
2017-06-07,12346344
2017-06-08,6571770
2017-06-09,30766667
2017-06-12,12925973
2017-06-13,9033384
2017-06-14,13088945
2017-06-15,16911783
2017-06-16,21225934
2017-06-19,23106108
2017-06-20,40447238
2017-06-21,12313541
2017-06-22,30032861
2017-06-23,13025869
2017-06-26,12077001
2017-06-27,14381719
2017-06-28,9317656
2017-06-29,29084570
2017-06-30,22908020
2017-07-03,15704954
2017-07-05,40754093
2017-07-06,16390399
2017-07-07,10714211
2017-07-10,10029393
2017-07-11,6655726
2017-07-12,15623271
2017-07-13,10898596
2017-07-14,16892319
2017-07-17,42240153
2017-07-18,14618629
2017-07-19,17131187
2017-07-20,11332661
2017-07-21,12936012
2017-07-24,9040722
2017-07-25,12373524
2017-07-26,9280941
2017-07-27,8162393
2017-07-28,5837235
2017-07-31,9341918
2017-08-01,11514689
2017-08-02,15237512
2017-08-03,12195132
2017-08-04,13918191
2017-08-07,10131057
