dt,volume
2010-01-04,126121091
2010-01-05,100994358
2010-01-06,105865794
2010-01-07,79366851
2010-01-08,71852724
2010-01-11,103702252
2010-01-12,112334860
2010-01-13,90835309
2010-01-14,75845739
2010-01-15,128728809
2010-01-19,99847177
2010-01-20,132321574
2010-01-21,204864147
2010-01-22,144103359
2010-01-25,114835090
2010-01-26,145508557
2010-01-27,154034205
2010-01-28,179075377
2010-01-29,211754281
2010-02-01,123117351
2010-02-02,136790079
2010-02-03,127868834
2010-02-04,157716821
2010-02-05,184024395
2010-02-08,90867947
2010-02-09,161450797
2010-02-10,125974339
2010-02-11,98255737
2010-02-12,121192206
2010-02-16,136316848
2010-02-17,157652061
2010-02-18,121095371
2010-02-19,140176575
2010-02-22,104249251
2010-02-23,144279651
2010-02-24,112187458
2010-02-25,116154553
2010-02-26,81702485
2010-03-01,124292890
2010-03-02,133039976
2010-03-03,177193747
2010-03-04,118187671
2010-03-05,169965010
2010-03-08,80747084
2010-03-09,122698705
2010-03-10,165963458
2010-03-11,92640351
2010-03-12,113323752
2010-03-15,148724943
2010-03-16,153520924
2010-03-17,149794901
2010-03-18,106261636
2010-03-19,165350036
2010-03-22,111296019
2010-03-23,114775605
2010-03-24,208714354
2010-03-25,131168733
2010-03-26,172958263
2010-03-29,167617781
2010-03-30,130165967
2010-03-31,163477483
2010-04-01,123238153
2010-04-05,112405884
2010-04-06,97147400
2010-04-07,120256771
2010-04-08,181792188
2010-04-09,202206895
2010-04-12,190896817
2010-04-13,164901460
2010-04-14,145618032
2010-04-15,128194436
2010-04-16,179791706
2010-04-19,125213730
2010-04-20,122925863
2010-04-21,117386282
2010-04-22,131300857
2010-04-23,143592679
2010-04-26,130123211
2010-04-27,204303996
2010-04-28,231864997
2010-04-29,191456373
2010-04-30,188491534
2010-05-03,161505162
2010-05-04,205781776
2010-05-05,207584040
2010-05-06,229356755
2010-05-07,254393232
2010-05-10,186754115
2010-05-11,165385198
2010-05-12,129209938
2010-05-13,124863085
2010-05-14,161673419
2010-05-17,151262432
2010-05-18,145654713
2010-05-19,171125621
2010-05-20,293975255
2010-05-21,294803987
2010-05-24,161086405
2010-05-25,231557636
2010-05-26,168033827
2010-05-27,175884473
2010-05-28,145440540
2010-06-01,146836782
2010-06-02,163106088
2010-06-03,152492130
2010-06-04,167326577
2010-06-07,151782029
2010-06-08,230246434
2010-06-09,146641257
2010-06-10,144620421
2010-06-11,91747217
2010-06-14,141518730
2010-06-15,118895601
2010-06-16,99659555
2010-06-17,126150505
2010-06-18,150984116
2010-06-21,107903401
2010-06-22,119647005
2010-06-23,124247744
2010-06-24,171173571
2010-06-25,164284885
2010-06-28,111364575
2010-06-29,155202184
2010-06-30,138393331
2010-07-01,191508995
2010-07-02,91190409
2010-07-06,142474854
2010-07-07,141341244
2010-07-08,108490942
2010-07-09,111421275
2010-07-12,116162589
2010-07-13,106699273
2010-07-14,83569618
2010-07-15,90155030
2010-07-16,96463358
2010-07-19,89740706
2010-07-20,119266081
2010-07-21,88973436
2010-07-22,104814613
2010-07-23,99671203
2010-07-26,80691094
2010-07-27,101847013
2010-07-28,149681829
2010-07-29,142945391
2010-07-30,140640069
2010-08-02,154332074
2010-08-03,117142676
2010-08-04,136617061
2010-08-05,116216702
2010-08-06,121977816
2010-08-09,74588994
2010-08-10,105546512
2010-08-11,126618356
2010-08-12,106311515
2010-08-13,83430415
2010-08-16,90714731
2010-08-17,99600239
2010-08-18,76693036
2010-08-19,93105697
2010-08-20,138303069
2010-08-23,74844391
2010-08-24,139750023
2010-08-25,111085198
2010-08-26,102802071
2010-08-27,113529731
2010-08-30,81102772
2010-08-31,89050369
2010-09-01,113275469
2010-09-02,68766768
2010-09-03,68713736
2010-09-07,84601512
2010-09-08,66737992
2010-09-09,72258660
2010-09-10,67134699
2010-09-13,92983049
2010-09-14,69718958
2010-09-15,77676888
2010-09-16,81393733
2010-09-17,129765897
2010-09-20,87614756
2010-09-21,83299717
2010-09-22,76386159
2010-09-23,74597899
2010-09-24,107267246
2010-09-27,64144415
2010-09-28,118795329
2010-09-29,108402446
2010-09-30,124628327
2010-10-01,182877494
2010-10-04,102530106
2010-10-05,156735548
2010-10-06,147359835
2010-10-07,119102617
2010-10-08,106003585
2010-10-11,79457671
2010-10-12,105565862
2010-10-13,133096879
2010-10-14,97373697
2010-10-15,114776492
2010-10-18,114172041
2010-10-19,116064658
2010-10-20,119798100
2010-10-21,119298858
2010-10-22,96336968
2010-10-25,117675135
2010-10-26,150972166
2010-10-27,164414754
2010-10-28,130190634
2010-10-29,107254273
2010-11-01,110787720
2010-11-02,131579122
2010-11-03,126430197
2010-11-04,156533365
2010-11-05,115882596
2010-11-08,84185988
2010-11-09,119155999
2010-11-10,123364120
2010-11-11,93167883
2010-11-12,101872906
2010-11-15,94967904
2010-11-16,123681659
2010-11-17,76032915
2010-11-18,80903623
2010-11-19,103407587
2010-11-22,82616858
2010-11-23,80181298
2010-11-24,74151013
2010-11-26,24182921
2010-11-29,85639034
2010-11-30,88167371
2010-12-01,109620528
2010-12-02,113048020
2010-12-03,84350414
2010-12-06,65399772
2010-12-07,96341780
2010-12-08,84715368
2010-12-09,83221652
2010-12-10,74995226
2010-12-13,120089998
2010-12-14,103049038
2010-12-15,93425037
2010-12-16,76670690
2010-12-17,132265530
2010-12-20,88929231
2010-12-21,68247191
2010-12-22,74144856
2010-12-23,60131997
2010-12-27,55437172
2010-12-28,53494001
2010-12-29,51726633
2010-12-30,49740462
2010-12-31,44807525
2011-01-03,84386464
2011-01-04,123337873
2011-01-05,131909315
2011-01-06,88860610
2011-01-07,73141563
2011-01-10,58225604
2011-01-11,92093572
2011-01-12,66736452
2011-01-13,142294867
2011-01-14,87908918
2011-01-18,70629221
2011-01-19,62496613
2011-01-20,119442238
2011-01-21,113714611
2011-01-24,85212955
2011-01-25,104007128
2011-01-26,155014029
2011-01-27,120291085
2011-01-28,234307834
2011-01-31,127793343
2011-02-01,152239826
2011-02-02,98438249
2011-02-03,82280703
2011-02-04,70483245
2011-02-07,69923925
2011-02-08,59976866
2011-02-09,109655243
2011-02-10,144422910
2011-02-11,174682800
2011-02-14,106084311
2011-02-15,87438539
2011-02-16,102087701
2011-02-17,107942385
2011-02-18,115434943
2011-02-22,171544175
2011-02-23,215379298
2011-02-24,183855913
2011-02-25,100575841
2011-02-28,87402873
2011-03-01,133101767
2011-03-02,122304517
2011-03-03,131503070
2011-03-04,134397258
2011-03-07,102427821
2011-03-08,135652222
2011-03-09,82751393
2011-03-10,165407697
2011-03-11,107254786
2011-03-14,106096146
2011-03-15,198981071
2011-03-16,158784848
2011-03-17,128564764
2011-03-18,154706784
2011-03-21,137512609
2011-03-22,100072673
2011-03-23,123244618
2011-03-24,112775122
2011-03-25,92890935
2011-03-28,67549819
2011-03-29,118082356
2011-03-30,103414097
2011-03-31,88643566
2011-04-01,101914068
2011-04-04,81726203
2011-04-05,85970695
2011-04-06,90997088
2011-04-07,84348806
2011-04-08,106131199
2011-04-11,82857102
2011-04-12,189875381
2011-04-13,94952575
2011-04-14,73001553
2011-04-15,104853515
2011-04-18,87069821
2011-04-19,69345848
2011-04-20,85118807
2011-04-21,75824240
2011-04-25,62962090
2011-04-26,69321088
2011-04-27,147938699
2011-04-28,188236798
2011-04-29,109138365
2011-05-02,104256915
2011-05-03,240587819
2011-05-04,187223728
2011-05-05,163861150
2011-05-06,162950983
2011-05-09,127545162
2011-05-10,94779418
2011-05-11,122332832
2011-05-12,186699510
2011-05-13,118817964
2011-05-16,95254963
2011-05-17,112375939
2011-05-18,110248911
2011-05-19,87417342
2011-05-20,102462139
2011-05-23,92698187
2011-05-24,96084755
2011-05-25,98534284
2011-05-26,70917867
2011-05-27,60207676
2011-05-31,80405986
2011-06-01,82682452
2011-06-02,84507886
2011-06-03,93252119
2011-06-06,76463054
2011-06-07,100686035
2011-06-08,99328358
2011-06-09,81301440
2011-06-10,91258656
2011-06-13,89416771
2011-06-14,90720855
2011-06-15,97785329
2011-06-16,109804116
2011-06-17,111385875
2011-06-20,100688925
2011-06-21,96918154
2011-06-22,85882583
2011-06-23,108768661
2011-06-24,96704926
2011-06-27,101650952
2011-06-28,85965613
2011-06-29,97442434
2011-06-30,79395833
2011-07-01,92320666
2011-07-05,100675770
2011-07-06,78306733
2011-07-07,74965335
2011-07-08,94633487
2011-07-11,79443978
2011-07-12,72855980
2011-07-13,95100383
2011-07-14,735392452
2011-07-15,280147365
2011-07-18,130334013
2011-07-19,142040195
2011-07-20,121076882
2011-07-21,108611088
2011-07-22,108079039
2011-07-25,101010292
2011-07-26,96644388
2011-07-27,130841287
2011-07-28,99148520
2011-07-29,118678913
2011-08-01,106420807
2011-08-02,100860005
2011-08-03,165742077
2011-08-04,179362190
2011-08-05,249004980
2011-08-08,281518684
2011-08-09,261537719
2011-08-10,189607664
2011-08-11,195706944
2011-08-12,140432149
2011-08-15,140244742
2011-08-16,123458311
2011-08-17,104142334
2011-08-18,187332726
2011-08-19,202313942
2011-08-22,123846982
2011-08-23,128360408
2011-08-24,94675515
2011-08-25,96028028
2011-08-26,107097119
2011-08-29,99318384
2011-08-30,127677189
2011-08-31,96579452
2011-09-01,107594685
2011-09-02,112973552
2011-09-06,156740599
2011-09-07,102849725
2011-09-08,133333170
2011-09-09,145482455
2011-09-12,137039073
2011-09-13,95159147
2011-09-14,101406535
2011-09-15,113637130
2011-09-16,154205939
2011-09-19,100423224
2011-09-20,98173745
2011-09-21,99833143
2011-09-22,183592922
2011-09-23,111561076
2011-09-26,115740449
2011-09-27,118122594
2011-09-28,107507523
2011-09-29,109897987
2011-09-30,117684654
2011-10-03,132305368
2011-10-04,167944909
2011-10-05,172199524
2011-10-06,123092975
2011-10-07,107124797
2011-10-10,89658618
2011-10-11,105387083
2011-10-12,96794598
2011-10-13,108572333
2011-10-14,79695251
2011-10-17,78280464
2011-10-18,91656499
2011-10-19,102281266
2011-10-20,108522885
2011-10-21,117573221
2011-10-24,95044204
2011-10-25,152162608
2011-10-26,118944034
2011-10-27,132773669
2011-10-28,134834090
2011-10-31,96734070
2011-11-01,144867333
2011-11-02,86110762
2011-11-03,111510864
2011-11-04,73913287
2011-11-07,78825465
2011-11-08,86226977
2011-11-09,105319392
2011-11-10,71887734
2011-11-11,75877545
2011-11-14,55206087
2011-11-15,65861351
2011-11-16,102292550
2011-11-17,97858877
2011-11-18,98535815
2011-11-21,100252175
2011-11-22,80689233
2011-11-23,102108249
2011-11-25,47280170
2011-11-28,124630022
2011-11-29,102292986
2011-11-30,130269290
2011-12-01,82287795
2011-12-02,120216294
2011-12-05,105921943
2011-12-06,91669574
2011-12-07,99919352
2011-12-08,84157340
2011-12-09,87047359
2011-12-12,76356421
2011-12-13,108855191
2011-12-14,105529599
2011-12-15,82201283
2011-12-16,120079117
2011-12-19,76421634
2011-12-20,79239785
2011-12-21,78211584
2011-12-22,75286814
2011-12-23,55218719
2011-12-27,50825012
2011-12-28,63982837
2011-12-29,56877998
2011-12-30,47313955
2012-01-03,92780388
2012-01-04,77537551
2012-01-05,89450675
2012-01-06,67235093
2012-01-09,70140796
2012-01-10,63679151
2012-01-11,88421714
2012-01-12,117793485
2012-01-13,114575321
2012-01-17,87049422
2012-01-18,79260842
2012-01-19,106356162
2012-01-20,106141055
2012-01-23,124191020
2012-01-24,113525457
2012-01-25,228065519
2012-01-26,128804610
2012-01-27,97159115
2012-01-30,134556066
2012-01-31,156840139
2012-02-01,132140798
2012-02-02,118696144
2012-02-03,125101507
2012-02-06,79685956
2012-02-07,114270481
2012-02-08,75636944
2012-02-09,84118260
2012-02-10,174447872
2012-02-13,110070928
2012-02-14,98202900
2012-02-15,120753942
2012-02-16,117101929
2012-02-17,111323530
2012-02-21,116759537
2012-02-22,85921681
2012-02-23,92022032
2012-02-24,103628692
2012-02-27,102597559
2012-02-28,120946406
2012-02-29,122668260
2012-03-01,117862935
2012-03-02,97067719
2012-03-05,94837475
2012-03-06,121827334
2012-03-07,88654951
2012-03-08,77635421
2012-03-09,94275838
2012-03-12,99138318
2012-03-13,101195524
2012-03-14,96062609
2012-03-15,122028296
2012-03-16,130042299
2012-03-19,69489126
2012-03-20,81736638
2012-03-21,97885011
2012-03-22,109066666
2012-03-23,103480883
2012-03-26,70123031
2012-03-27,78527585
2012-03-28,98290181
2012-03-29,112935896
2012-03-30,78308543
2012-04-02,76775859
2012-04-03,82423485
2012-04-04,82681880
2012-04-05,76009383
2012-04-09,88026777
