dt,volume
2010-01-04,33747718
2010-01-05,20850601
2010-01-06,20414473
2010-01-07,32573103
2010-01-08,34294849
2010-01-11,14756188
2010-01-12,25288755
2010-01-13,15672177
2010-01-14,24277452
2010-01-15,23203631
2010-01-19,20168986
2010-01-20,17875690
2010-01-21,49576863
2010-01-22,32222090
2010-01-25,37504908
2010-01-26,19888036
2010-01-27,20212276
2010-01-28,21414610
2010-01-29,28828334
2010-02-01,14401470
2010-02-02,38400106
2010-02-03,21637103
2010-02-04,22162953
2010-02-05,22225078
2010-02-08,17703932
2010-02-09,31036060
2010-02-10,271820237
2010-02-11,162667405
2010-02-12,100230712
2010-02-16,57021149
2010-02-17,59346733
2010-02-18,76198390
2010-02-19,53114277
2010-02-22,49563764
2010-02-23,46984546
2010-02-24,42754694
2010-02-25,54033163
2010-02-26,60007587
2010-03-01,50953744
2010-03-02,44234413
2010-03-03,68185878
2010-03-04,50417742
2010-03-05,236586312
2010-03-08,81577217
2010-03-09,57147593
2010-03-10,76234567
2010-03-11,46381624
2010-03-12,34047351
2010-03-15,27048811
2010-03-16,25733592
2010-03-17,31499115
2010-03-18,39867653
2010-03-19,27660661
2010-03-22,38066710
2010-03-23,38668719
2010-03-24,41974949
2010-03-25,25986168
2010-03-26,21872245
2010-03-29,17523728
2010-03-30,20664638
2010-03-31,18170829
2010-04-01,29048412
2010-04-05,73912996
2010-04-06,40824534
2010-04-07,47371367
2010-04-08,37716206
2010-04-09,37335361
2010-04-12,42080147
2010-04-13,41083696
2010-04-14,31942097
2010-04-15,23384683
2010-04-16,49806897
2010-04-19,27635882
2010-04-20,12998958
2010-04-21,41768370
2010-04-22,21090587
2010-04-23,50545204
2010-04-26,37352127
2010-04-27,30542383
2010-04-28,34713186
2010-04-29,26898854
2010-04-30,19644599
2010-05-03,24949734
2010-05-04,49211342
2010-05-05,28236578
2010-05-06,44024082
2010-05-07,43325457
2010-05-10,656876133
2010-05-11,522808231
2010-05-12,242287944
2010-05-13,134058490
2010-05-14,94133675
2010-05-17,96875292
2010-05-18,172089680
2010-05-19,139417242
2010-05-20,132871739
2010-05-21,62928769
2010-05-24,46930658
2010-05-25,144212905
2010-05-26,91107940
2010-05-27,47016711
2010-05-28,55349148
2010-06-01,45349416
2010-06-02,114293611
2010-06-03,57301161
2010-06-04,51285243
2010-06-07,56858923
2010-06-08,45913583
2010-06-09,44190744
2010-06-10,43228378
2010-06-11,38912362
2010-06-14,52218648
2010-06-15,59629547
2010-06-16,57019442
2010-06-17,31019324
2010-06-18,34234827
2010-06-21,42255756
2010-06-22,33740239
2010-06-23,32664448
2010-06-24,23731905
2010-06-25,24582739
2010-06-28,31027419
2010-06-29,43097777
2010-06-30,41572615
2010-07-01,57920090
2010-07-02,58469535
2010-07-06,68784455
2010-07-07,44005252
2010-07-08,34716684
2010-07-09,97113534
2010-07-12,32937606
2010-07-13,46928155
2010-07-14,43634222
2010-07-15,50888616
2010-07-16,57497944
2010-07-19,32236648
2010-07-20,47112733
2010-07-21,54858086
2010-07-22,32682994
2010-07-23,32131131
2010-07-26,40755877
2010-07-27,28869611
2010-07-28,24614131
2010-07-29,29116072
2010-07-30,23853849
2010-08-02,45730484
2010-08-03,113971398
2010-08-04,35084358
2010-08-05,29482652
2010-08-06,24947892
2010-08-09,24370819
2010-08-10,23666661
2010-08-11,20652013
2010-08-12,77575901
2010-08-13,27763657
2010-08-16,47102513
2010-08-17,39860290
2010-08-18,56541722
2010-08-19,52174812
2010-08-20,66134179
2010-08-23,39471194
2010-08-24,51359615
2010-08-25,38673442
2010-08-26,36855072
2010-08-27,38308496
2010-08-30,34842661
2010-08-31,117362657
2010-09-01,71763443
2010-09-02,53542814
2010-09-03,38988655
2010-09-07,43195912
2010-09-08,30933632
2010-09-09,17036172
2010-09-10,23767588
2010-09-13,21761117
2010-09-14,21401853
2010-09-15,24511108
2010-09-16,18512688
2010-09-17,27842271
2010-09-20,34623807
2010-09-21,42341317
2010-09-22,57528059
2010-09-23,38881887
2010-09-24,50446147
2010-09-27,22931609
2010-09-28,92596206
2010-09-29,50872689
2010-09-30,38197579
2010-10-01,28826647
2010-10-04,54684751
2010-10-05,71349018
2010-10-06,58109370
2010-10-07,30286364
2010-10-08,19113665
2010-10-11,24349752
2010-10-12,49696508
2010-10-13,32775191
2010-10-14,40954115
2010-10-15,29752648
2010-10-18,32168702
2010-10-19,29775269
2010-10-20,40754635
