dt,volume
2010-01-04,173922244
2010-01-05,140779032
2010-01-06,118916103
2010-01-07,104093238
2010-01-08,91496325
2010-01-11,168703210
2010-01-12,223938551
2010-01-13,133180934
2010-01-14,111644380
2010-01-15,218377449
2010-01-19,112503609
2010-01-20,198524135
2010-01-21,200864425
2010-01-22,157136260
2010-01-25,162170092
2010-01-26,161660634
2010-01-27,184359688
2010-01-28,207686209
2010-01-29,152432187
2010-02-01,152709203
2010-02-02,116776583
2010-02-03,185537807
2010-02-04,166233905
2010-02-05,140052722
2010-02-08,129862718
2010-02-09,162834438
2010-02-10,329571784
2010-02-11,170253673
2010-02-12,147288357
2010-02-16,97197830
2010-02-17,136745462
2010-02-18,109241008
2010-02-19,189045643
2010-02-22,93011431
2010-02-23,150625771
2010-02-24,181789358
2010-02-25,131314856
2010-02-26,141591224
2010-03-01,100169500
2010-03-02,148573944
2010-03-03,132161611
2010-03-04,389971478
2010-03-05,281025411
2010-03-08,212733444
2010-03-09,119327832
2010-03-10,128416109
2010-03-11,137588806
2010-03-12,131689998
2010-03-15,102375596
2010-03-16,96003300
2010-03-17,89482893
2010-03-18,102490441
2010-03-19,228586420
2010-03-22,156101700
2010-03-23,89615932
2010-03-24,176128746
2010-03-25,406097213
2010-03-26,292805074
2010-03-29,177979892
2010-03-30,299197507
2010-03-31,139195836
2010-04-01,174637006
2010-04-05,139033742
2010-04-06,166338732
2010-04-07,108773597
2010-04-08,119410537
2010-04-09,303096755
2010-04-12,140226106
2010-04-13,142372647
2010-04-14,129098781
2010-04-15,112631486
2010-04-16,173430495
2010-04-19,103950225
2010-04-20,226794736
2010-04-21,132091565
2010-04-22,141756809
2010-04-23,96724650
2010-04-26,125438941
2010-04-27,119832676
2010-04-28,136319198
2010-04-29,121469380
2010-04-30,118141862
2010-05-03,119265141
2010-05-04,166614879
2010-05-05,184735496
2010-05-06,258690855
2010-05-07,308498762
2010-05-10,244270038
2010-05-11,211648624
2010-05-12,363151291
2010-05-13,177118992
2010-05-14,206764723
2010-05-17,182528103
2010-05-18,219387219
2010-05-19,225616950
2010-05-20,341301212
2010-05-21,293500805
2010-05-24,187267495
2010-05-25,332537258
2010-05-26,309048180
2010-05-27,179780685
2010-05-28,187432127
2010-06-01,179305775
2010-06-02,224093194
2010-06-03,236415939
2010-06-04,268153536
2010-06-07,170279821
2010-06-08,208958220
2010-06-09,154447144
2010-06-10,170368757
2010-06-11,113609407
2010-06-14,128736740
2010-06-15,127011441
2010-06-16,118528667
2010-06-17,125597682
2010-06-18,207428860
2010-06-21,160248527
2010-06-22,103252384
2010-06-23,116560783
2010-06-24,120705212
2010-06-25,136856053
2010-06-28,104874308
2010-06-29,188787407
2010-06-30,173306197
2010-07-01,271766393
2010-07-02,184203551
2010-07-06,192256427
2010-07-07,153344087
2010-07-08,136833281
2010-07-09,95451493
2010-07-12,146393513
2010-07-13,103929645
2010-07-14,98959614
2010-07-15,119344140
2010-07-16,186693125
2010-07-19,125999216
2010-07-20,146512200
2010-07-21,113317569
2010-07-22,131084569
2010-07-23,125163757
2010-07-26,127641041
2010-07-27,89081918
2010-07-28,74256306
2010-07-29,112345497
2010-07-30,103268414
2010-08-02,113368193
2010-08-03,98908778
2010-08-04,121133697
2010-08-05,120200864
2010-08-06,108121601
2010-08-09,84790532
2010-08-10,120727786
2010-08-11,217058089
2010-08-12,158425789
2010-08-13,157530548
2010-08-16,92515653
2010-08-17,130716888
2010-08-18,90633421
2010-08-19,135737436
2010-08-20,127239082
2010-08-23,98072943
2010-08-24,178009574
2010-08-25,178602191
2010-08-26,127438348
2010-08-27,141878623
2010-08-30,75522739
2010-08-31,122224159
2010-09-01,121977428
2010-09-02,83921997
2010-09-03,111492098
2010-09-07,113924305
2010-09-08,100719506
2010-09-09,79244415
2010-09-10,86859173
2010-09-13,96139765
2010-09-14,97212726
2010-09-15,82978625
2010-09-16,80859922
2010-09-17,223736769
2010-09-20,117579915
2010-09-21,123749804
2010-09-22,118430287
2010-09-23,243814275
2010-09-24,134378843
2010-09-27,95104949
2010-09-28,178641301
2010-09-29,121264891
2010-09-30,190785737
2010-10-01,183170107
2010-10-04,145476182
2010-10-05,206938358
2010-10-06,138868579
2010-10-07,115264074
2010-10-08,149717090
2010-10-11,74395792
2010-10-12,123024402
2010-10-13,191937761
2010-10-14,96336002
2010-10-15,141838408
2010-10-18,93043816
2010-10-19,117228934
2010-10-20,116317431
2010-10-21,213246977
2010-10-22,141096433
2010-10-25,151398146
2010-10-26,165392035
2010-10-27,156250039
2010-10-28,195352532
2010-10-29,197869746
2010-11-01,111420014
2010-11-02,229792144
2010-11-03,140855965
2010-11-04,187717806
2010-11-05,129034970
2010-11-08,85606680
2010-11-09,89266844
2010-11-10,96480111
2010-11-11,181092411
2010-11-12,699429702
2010-11-15,163028089
2010-11-16,148428886
2010-11-17,132514997
2010-11-18,112787872
2010-11-19,219461422
2010-11-22,78480539
2010-11-23,124059537
2010-11-24,112292586
2010-11-26,34025164
2010-11-29,117117248
2010-11-30,106078858
2010-12-01,112566302
2010-12-02,96319489
2010-12-03,83489824
2010-12-06,63212250
2010-12-07,107781664
2010-12-08,98328322
2010-12-09,84589653
2010-12-10,79296931
2010-12-13,175526824
2010-12-14,82917109
2010-12-15,80829604
2010-12-16,92325811
2010-12-17,123119968
2010-12-20,61059257
2010-12-21,57142236
2010-12-22,82205247
2010-12-23,54774998
2010-12-27,43273289
2010-12-28,43991986
2010-12-29,59791602
2010-12-30,43784271
2010-12-31,34507530
2011-01-03,79961735
2011-01-04,309375254
2011-01-05,339831210
2011-01-06,195547745
2011-01-07,91036025
2011-01-10,94494008
2011-01-11,84241546
2011-01-12,113993652
2011-01-13,78042499
2011-01-14,66107985
2011-01-18,86283381
2011-01-19,119684164
2011-01-20,119807414
2011-01-21,141951739
2011-01-24,99650655
2011-01-25,115383962
2011-01-26,94025819
2011-01-27,98736670
2011-01-28,100099861
2011-01-31,90572988
2011-02-01,98355348
2011-02-02,241562719
2011-02-03,139108053
2011-02-04,157328057
2011-02-07,104328131
2011-02-08,123159303
2011-02-09,615404369
2011-02-10,212382281
2011-02-11,203542745
2011-02-14,92906628
2011-02-15,185857418
2011-02-16,81274040
2011-02-17,85207915
2011-02-18,194142458
2011-02-22,180783780
2011-02-23,258561761
2011-02-24,177287150
2011-02-25,127762380
2011-02-28,140970299
2011-03-01,151764241
2011-03-02,109051967
2011-03-03,132469105
2011-03-04,141133641
2011-03-07,133126332
2011-03-08,93724042
2011-03-09,68847936
2011-03-10,112837009
2011-03-11,86550505
2011-03-14,131557981
2011-03-15,205115309
2011-03-16,196284277
2011-03-17,109342962
2011-03-18,178870082
2011-03-21,102945638
2011-03-22,82736857
2011-03-23,133115132
2011-03-24,84912754
2011-03-25,92961598
2011-03-28,72713357
2011-03-29,67189579
2011-03-30,91368695
2011-03-31,81873476
2011-04-01,98212125
2011-04-04,67041562
2011-04-05,85505458
2011-04-06,83791552
2011-04-07,120628853
2011-04-08,77859449
2011-04-11,89050918
2011-04-12,111596430
2011-04-13,68866913
2011-04-14,139366013
2011-04-15,109233780
2011-04-18,144969669
2011-04-19,97395171
2011-04-20,102603740
2011-04-21,62870799
2011-04-25,70183338
2011-04-26,79611809
2011-04-27,61750712
2011-04-28,82222302
2011-04-29,64574004
2011-05-02,73794986
2011-05-03,70715693
2011-05-04,104509345
2011-05-05,88085071
2011-05-06,95691996
2011-05-09,86730074
2011-05-10,115368669
2011-05-11,591066170
2011-05-12,182723284
2011-05-13,122795874
2011-05-16,144388240
2011-05-17,136601619
2011-05-18,124144555
2011-05-19,121637648
2011-05-20,112032612
2011-05-23,99520587
2011-05-24,93155462
2011-05-25,86338842
2011-05-26,145473995
2011-05-27,109273951
2011-05-31,121183112
2011-06-01,148331631
2011-06-02,164775663
2011-06-03,195551754
2011-06-06,104130653
2011-06-07,110007079
2011-06-08,108139421
2011-06-09,128555509
2011-06-10,132554858
2011-06-13,105371916
2011-06-14,115008634
2011-06-15,144226796
2011-06-16,136640823
2011-06-17,172980241
2011-06-20,122979390
2011-06-21,95336638
2011-06-22,91292739
2011-06-23,152184082
2011-06-24,130325591
2011-06-27,96313702
2011-06-28,121009514
2011-06-29,124229550
2011-06-30,118475917
2011-07-01,110577185
2011-07-05,97808436
2011-07-06,130737499
2011-07-07,97856327
2011-07-08,140373172
2011-07-11,125713220
2011-07-12,134702508
2011-07-13,116509877
2011-07-14,155688119
2011-07-15,257660464
2011-07-18,117612309
2011-07-19,94820707
2011-07-20,81967165
2011-07-21,162125331
2011-07-22,98093758
2011-07-25,95650258
2011-07-26,119692201
2011-07-27,125603694
2011-07-28,120868866
2011-07-29,167171317
