dt,volume
2010-01-04,37051911
2010-01-05,40951396
2010-01-06,36281418
2010-01-07,31704890
2010-01-08,22163472
2010-01-11,27446028
2010-01-12,39792923
2010-01-13,28565558
2010-01-14,29923736
2010-01-15,44512396
2010-01-19,28783016
2010-01-20,28382934
2010-01-21,55498812
2010-01-22,35657893
2010-01-25,31537512
2010-01-26,36057445
2010-01-27,20595308
2010-01-28,30434775
2010-01-29,31115231
2010-02-01,38577139
2010-02-02,34681405
2010-02-03,24406322
2010-02-04,33855855
2010-02-05,44574175
2010-02-08,38074087
2010-02-09,30923271
2010-02-10,30384655
2010-02-11,37001161
2010-02-12,28968804
2010-02-16,33631147
2010-02-17,42258686
2010-02-18,35994446
2010-02-19,40671917
2010-02-22,33135355
2010-02-23,43105479
2010-02-24,46553189
2010-02-25,24452823
2010-02-26,32179665
2010-03-01,98977876
2010-03-02,33788644
2010-03-03,54331249
2010-03-04,205184141
2010-03-05,117373619
2010-03-08,44705465
2010-03-09,36990811
2010-03-10,27440080
2010-03-11,36749692
2010-03-12,31434289
2010-03-15,18059137
2010-03-16,30752990
2010-03-17,24320852
2010-03-18,26133416
2010-03-19,43266314
2010-03-22,36663938
2010-03-23,30294545
2010-03-24,28228410
2010-03-25,27551404
2010-03-26,39219908
2010-03-29,37506278
2010-03-30,17096189
2010-03-31,24148157
2010-04-01,25671813
2010-04-05,31305272
2010-04-06,50720264
2010-04-07,165982317
2010-04-08,38043970
2010-04-09,117964032
2010-04-12,45020272
2010-04-13,41079857
2010-04-14,44875048
2010-04-15,26195942
2010-04-16,78358104
2010-04-19,32393740
2010-04-20,44101048
2010-04-21,32026023
2010-04-22,27878796
2010-04-23,40656117
2010-04-26,43006710
2010-04-27,40650502
2010-04-28,48461244
2010-04-29,35062176
2010-04-30,24314744
2010-05-03,25556986
2010-05-04,32260047
2010-05-05,38406536
2010-05-06,70060711
2010-05-07,64042099
2010-05-10,65503138
2010-05-11,37567126
2010-05-12,32728469
2010-05-13,36006753
2010-05-14,188491918
2010-05-17,56789000
2010-05-18,41665321
2010-05-19,63272234
2010-05-20,79548532
2010-05-21,89154900
2010-05-24,37919111
2010-05-25,47543566
2010-05-26,44182737
2010-05-27,50946577
2010-05-28,46265565
2010-06-01,39550061
2010-06-02,28533948
2010-06-03,54159275
2010-06-04,36700451
2010-06-07,40007250
2010-06-08,37565334
2010-06-09,34630709
2010-06-10,30445972
2010-06-11,20140485
2010-06-14,24157292
2010-06-15,34525821
2010-06-16,24461228
2010-06-17,38459712
2010-06-18,32226902
2010-06-21,22338609
2010-06-22,41084525
2010-06-23,25994669
2010-06-24,64814248
2010-06-25,39810971
2010-06-28,29110399
2010-06-29,76479011
2010-06-30,50174360
2010-07-01,56358441
2010-07-02,34430291
2010-07-06,32135495
2010-07-07,35750479
2010-07-08,30912300
2010-07-09,34829031
2010-07-12,34476738
2010-07-13,32765962
2010-07-14,29659813
2010-07-15,27886387
2010-07-16,32849069
2010-07-19,26151804
2010-07-20,49996553
2010-07-21,44062697
2010-07-22,28197955
2010-07-23,16989613
2010-07-26,26823827
2010-07-27,22369308
2010-07-28,17145383
2010-07-29,19382359
2010-07-30,26043096
2010-08-02,36865468
2010-08-03,19639944
2010-08-04,31547515
2010-08-05,30412090
2010-08-06,49577909
2010-08-09,280616324
2010-08-10,67956472
2010-08-11,82386591
2010-08-12,57004541
2010-08-13,38842924
2010-08-16,44221828
2010-08-17,31848691
2010-08-18,25227974
2010-08-19,31654186
2010-08-20,47713249
2010-08-23,48981697
2010-08-24,59592119
2010-08-25,47768349
2010-08-26,30326281
2010-08-27,33636702
2010-08-30,18947600
2010-08-31,27606166
2010-09-01,34185219
2010-09-02,25197710
2010-09-03,28816583
2010-09-07,20090156
2010-09-08,19908641
2010-09-09,17974596
2010-09-10,18734972
2010-09-13,32621636
2010-09-14,19407948
2010-09-15,16658368
2010-09-16,29097866
2010-09-17,23480683
2010-09-20,26923917
2010-09-21,21804717
2010-09-22,33221823
2010-09-23,14014602
2010-09-24,20725154
2010-09-27,18707045
2010-09-28,31789036
2010-09-29,18954418
2010-09-30,21012310
2010-10-01,19977754
2010-10-04,31121705
2010-10-05,39355099
2010-10-06,41147072
2010-10-07,22953432
2010-10-08,11922912
2010-10-11,18626525
2010-10-12,17722381
2010-10-13,40276769
2010-10-14,31369349
2010-10-15,26089712
2010-10-18,17902838
2010-10-19,28707057
2010-10-20,29652138
2010-10-21,20992436
2010-10-22,12412641
2010-10-25,13852270
2010-10-26,17780496
2010-10-27,23304149
2010-10-28,91280048
2010-10-29,23344177
2010-11-01,34606394
2010-11-02,28035148
2010-11-03,28424101
2010-11-04,32122770
2010-11-05,69890327
2010-11-08,47717236
2010-11-09,32201579
2010-11-10,28106537
2010-11-11,28271032
2010-11-12,25749240
2010-11-15,18975512
2010-11-16,20869685
2010-11-17,18698027
2010-11-18,32460006
2010-11-19,28785502
2010-11-22,23318788
2010-11-23,29413241
2010-11-24,35136035
2010-11-26,9666310
2010-11-29,34006982
2010-11-30,39161272
2010-12-01,66486649
2010-12-02,34659088
2010-12-03,23709104
2010-12-06,26139959
2010-12-07,34731866
2010-12-08,36508863
2010-12-09,21639983
2010-12-10,19245249
2010-12-13,24459726
2010-12-14,20892474
2010-12-15,29547223
2010-12-16,27994475
2010-12-17,43879604
2010-12-20,43376868
2010-12-21,45494565
2010-12-22,21686201
2010-12-23,13926166
2010-12-27,12947048
2010-12-28,12173215
2010-12-29,11413037
2010-12-30,14426000
2010-12-31,10112439
2011-01-03,43097308
2011-01-04,35979889
2011-01-05,78917387
2011-01-06,31777930
2011-01-07,29335549
2011-01-10,29834354
2011-01-11,39149439
2011-01-12,25620404
2011-01-13,16383181
2011-01-14,28316854
2011-01-18,38933438
2011-01-19,39539039
2011-01-20,31555766
2011-01-21,17238464
2011-01-24,26035224
2011-01-25,17471498
2011-01-26,35765095
2011-01-27,23451208
2011-01-28,33990480
2011-01-31,15634888
2011-02-01,44807234
2011-02-02,24785885
2011-02-03,27744175
2011-02-04,20104655
2011-02-07,24320887
2011-02-08,33587225
2011-02-09,28002248
2011-02-10,106066571
2011-02-11,28755573
2011-02-14,27413772
2011-02-15,25414170
2011-02-16,24405978
2011-02-17,13509052
2011-02-18,10234273
2011-02-22,19946053
2011-02-23,32653247
2011-02-24,56366130
2011-02-25,36250526
2011-02-28,27227631
2011-03-01,34396684
2011-03-02,33788243
2011-03-03,42712808
2011-03-04,24293294
2011-03-07,21268794
2011-03-08,18522668
2011-03-09,34074605
2011-03-10,23792913
2011-03-11,14021528
2011-03-14,20914298
2011-03-15,25061526
2011-03-16,34832163
2011-03-17,16542250
2011-03-18,14646994
2011-03-21,63577817
2011-03-22,22093313
2011-03-23,23726395
2011-03-24,59393338
2011-03-25,44221960
2011-03-28,20692523
2011-03-29,12719430
2011-03-30,19196352
2011-03-31,34769633
2011-04-01,37233918
2011-04-04,15463237
2011-04-05,16277191
2011-04-06,42272838
2011-04-07,54431324
2011-04-08,17732337
2011-04-11,19303372
2011-04-12,18228888
2011-04-13,17711325
2011-04-14,27416762
2011-04-15,27650303
2011-04-18,22744715
2011-04-19,25942377
2011-04-20,80182261
2011-04-21,24440931
2011-04-25,20046504
