dt,volume
2010-01-04,49111186
2010-01-05,107815832
2010-01-06,69325411
2010-01-07,83859468
2010-01-08,45312210
2010-01-11,49100250
2010-01-12,590945403
2010-01-13,154483928
2010-01-14,145122121
2010-01-15,120552797
2010-01-19,99004579
2010-01-20,103974903
2010-01-21,192002354
2010-01-22,86575397
2010-01-25,117599128
2010-01-26,73475030
2010-01-27,130625282
2010-01-28,166272448
2010-01-29,88672185
2010-02-01,79602861
2010-02-02,116282800
2010-02-03,81392223
2010-02-04,83022755
2010-02-05,140248893
2010-02-08,168687024
2010-02-09,793691887
2010-02-10,206220075
2010-02-11,113709116
2010-02-12,110678967
2010-02-16,98060144
2010-02-17,104790716
2010-02-18,69178399
2010-02-19,128946508
2010-02-22,137239871
2010-02-23,73516186
2010-02-24,57448632
2010-02-25,78942742
2010-02-26,67151146
2010-03-01,70320320
2010-03-02,88610418
2010-03-03,41157597
2010-03-04,46674233
2010-03-05,66666363
2010-03-08,91532326
2010-03-09,143917503
2010-03-10,79861456
2010-03-11,67210893
2010-03-12,73949795
2010-03-15,49390506
2010-03-16,44154895
2010-03-17,79050594
2010-03-18,139606174
2010-03-19,114760138
2010-03-22,69413244
2010-03-23,43465641
2010-03-24,56391059
2010-03-25,50705791
2010-03-26,60532129
2010-03-29,38692744
2010-03-30,57857436
2010-03-31,44150937
2010-04-01,43035354
2010-04-05,36551164
2010-04-06,53420174
2010-04-07,47963767
2010-04-08,40463017
2010-04-09,56305039
2010-04-12,62277469
2010-04-13,48614240
2010-04-14,93364151
2010-04-15,90504511
2010-04-16,94062136
2010-04-19,47302584
2010-04-20,44622747
2010-04-21,47924134
2010-04-22,40783578
2010-04-23,38309232
2010-04-26,35465776
2010-04-27,80643473
2010-04-28,58290677
2010-04-29,39454083
2010-04-30,38754972
2010-05-03,41071603
2010-05-04,89800711
2010-05-05,112945221
2010-05-06,234619555
2010-05-07,233105878
2010-05-10,122482573
2010-05-11,197711886
2010-05-12,365617235
2010-05-13,117454127
2010-05-14,158152956
2010-05-17,76679031
2010-05-18,91204614
2010-05-19,71239382
2010-05-20,97110177
2010-05-21,142090882
2010-05-24,79140084
2010-05-25,106529248
2010-05-26,85177923
2010-05-27,44852374
2010-05-28,47382918
2010-06-01,53117683
2010-06-02,60151488
2010-06-03,60152239
2010-06-04,81826512
2010-06-07,93736739
2010-06-08,124057001
2010-06-09,61257458
2010-06-10,70058079
2010-06-11,61690993
2010-06-14,83380558
2010-06-15,82934961
2010-06-16,111794871
2010-06-17,68834135
2010-06-18,62710774
2010-06-21,58094072
2010-06-22,75178175
2010-06-23,39535575
2010-06-24,58003704
2010-06-25,88249740
2010-06-28,62473173
2010-06-29,135814611
2010-06-30,101457954
2010-07-01,106866276
2010-07-02,75276683
2010-07-06,65739434
2010-07-07,35566516
2010-07-08,50884156
2010-07-09,28766726
2010-07-12,36876322
2010-07-13,47904036
2010-07-14,50914149
2010-07-15,63135939
2010-07-16,75309635
2010-07-19,44052157
2010-07-20,59183766
2010-07-21,41977943
2010-07-22,62108627
2010-07-23,41781900
2010-07-26,56254614
2010-07-27,48840891
2010-07-28,33649243
2010-07-29,51204613
2010-07-30,48396653
2010-08-02,64792286
2010-08-03,106917821
2010-08-04,293489864
2010-08-05,46184192
2010-08-06,99837177
2010-08-09,41327490
2010-08-10,52013446
2010-08-11,88602106
2010-08-12,39707943
2010-08-13,41319082
2010-08-16,59993654
2010-08-17,41468496
2010-08-18,75591775
2010-08-19,65653886
2010-08-20,66285883
2010-08-23,38486533
2010-08-24,62386307
2010-08-25,89968404
2010-08-26,73985983
2010-08-27,57156076
2010-08-30,47042499
2010-08-31,58836260
2010-09-01,70949294
2010-09-02,41557311
2010-09-03,50454383
2010-09-07,34986818
2010-09-08,38281391
2010-09-09,25279126
2010-09-10,32652276
2010-09-13,31769157
2010-09-14,54562607
2010-09-15,30900911
2010-09-16,42654913
2010-09-17,55268112
2010-09-20,69845658
2010-09-21,29926877
2010-09-22,44855754
2010-09-23,49281914
2010-09-24,40936248
2010-09-27,32088552
2010-09-28,60500882
2010-09-29,30207073
2010-09-30,63872051
2010-10-01,48224933
2010-10-04,110396367
2010-10-05,171158347
2010-10-06,82897723
2010-10-07,67164474
2010-10-08,44578670
2010-10-11,41554927
2010-10-12,251382172
2010-10-13,124027939
2010-10-14,56432150
2010-10-15,164229117
2010-10-18,81240198
2010-10-19,72929676
2010-10-20,80373788
2010-10-21,75338010
2010-10-22,31234005
2010-10-25,42076409
2010-10-26,50622676
2010-10-27,51562085
2010-10-28,63581600
