dt,volume
2010-01-04,106902227
2010-01-05,80755078
2010-01-06,135077770
2010-01-07,118067235
2010-01-08,73747062
2010-01-11,76748700
2010-01-12,71139136
2010-01-13,88241540
2010-01-14,78420113
2010-01-15,70118503
2010-01-19,324736168
2010-01-20,153160164
2010-01-21,195052622
2010-01-22,168642255
2010-01-25,107046271
2010-01-26,149714238
2010-01-27,192028277
2010-01-28,123848055
2010-01-29,118697980
2010-02-01,92571365
2010-02-02,91863819
2010-02-03,110424779
2010-02-04,163416379
2010-02-05,157078206
2010-02-08,108568251
2010-02-09,134158548
2010-02-10,94642565
2010-02-11,113410297
2010-02-12,121795296
2010-02-16,172539140
2010-02-17,166251981
2010-02-18,163914838
2010-02-19,208531190
2010-02-22,142749858
2010-02-23,117307034
2010-02-24,127480541
2010-02-25,99816491
2010-02-26,127083462
2010-03-01,221421287
2010-03-02,81600987
2010-03-03,130592622
2010-03-04,108760792
2010-03-05,80904949
2010-03-08,103349195
2010-03-09,76192148
2010-03-10,68090345
2010-03-11,48983926
2010-03-12,74353526
2010-03-15,95139944
2010-03-16,100170753
2010-03-17,106609755
2010-03-18,113288232
2010-03-19,141653919
2010-03-22,95470827
2010-03-23,169412350
2010-03-24,101802899
2010-03-25,150831496
2010-03-26,108410112
2010-03-29,182316163
2010-03-30,105165621
2010-03-31,71946698
2010-04-01,77597993
2010-04-05,55217581
2010-04-06,178280134
2010-04-07,88903437
2010-04-08,110737106
2010-04-09,74852354
2010-04-12,93062238
2010-04-13,54399540
2010-04-14,54667266
2010-04-15,48028985
2010-04-16,98253836
2010-04-19,100092910
2010-04-20,97549169
2010-04-21,56805723
2010-04-22,107458366
2010-04-23,201495188
2010-04-26,217790997
2010-04-27,175550378
2010-04-28,153031027
2010-04-29,126062515
2010-04-30,99623493
2010-05-03,79339321
2010-05-04,125059550
2010-05-05,132426760
2010-05-06,250186656
2010-05-07,235644630
2010-05-10,237605168
2010-05-11,147795640
2010-05-12,111241277
2010-05-13,132503293
2010-05-14,189729089
2010-05-17,157035412
2010-05-18,130427353
2010-05-19,203005847
2010-05-20,199497333
2010-05-21,207489911
2010-05-24,93834976
2010-05-25,134295917
2010-05-26,179295707
2010-05-27,120337545
2010-05-28,127032619
2010-06-01,161691187
2010-06-02,138998970
2010-06-03,91555729
2010-06-04,154074062
2010-06-07,139803426
2010-06-08,188054493
2010-06-09,123708256
2010-06-10,134902730
2010-06-11,96147540
2010-06-14,143811534
2010-06-15,146608322
2010-06-16,80586500
2010-06-17,92380424
2010-06-18,95634991
2010-06-21,94511171
2010-06-22,90075715
2010-06-23,93337092
2010-06-24,144599884
2010-06-25,86355416
2010-06-28,71205599
2010-06-29,102355290
2010-06-30,90638731
2010-07-01,111857323
2010-07-02,100244689
2010-07-06,101164696
2010-07-07,132291587
2010-07-08,157375302
2010-07-09,137584065
2010-07-12,98151540
2010-07-13,116347513
2010-07-14,64481098
2010-07-15,92853988
2010-07-16,108653690
2010-07-19,99250824
2010-07-20,79015521
2010-07-21,88015989
2010-07-22,71407271
2010-07-23,76937185
2010-07-26,78298083
2010-07-27,91223426
2010-07-28,76205071
2010-07-29,88372704
2010-07-30,117118753
2010-08-02,67285691
2010-08-03,79832934
2010-08-04,126454185
2010-08-05,77227019
2010-08-06,110590081
2010-08-09,65678620
2010-08-10,61026262
2010-08-11,129991642
2010-08-12,73445871
2010-08-13,122639099
2010-08-16,50449229
2010-08-17,77854495
2010-08-18,81606957
2010-08-19,80596900
2010-08-20,92220737
2010-08-23,56188847
2010-08-24,80174700
2010-08-25,87276692
2010-08-26,53924609
2010-08-27,118825617
2010-08-30,67101342
2010-08-31,89896802
2010-09-01,66151495
2010-09-02,55128793
2010-09-03,59370446
2010-09-07,89492704
2010-09-08,58506595
2010-09-09,56712631
2010-09-10,39761442
2010-09-13,69197137
2010-09-14,68725710
2010-09-15,65610777
2010-09-16,99095118
2010-09-17,68535789
2010-09-20,46586852
2010-09-21,74831876
2010-09-22,85445889
2010-09-23,71068546
2010-09-24,69396673
2010-09-27,48234771
2010-09-28,60284955
2010-09-29,70282472
2010-09-30,70770534
2010-10-01,80210198
2010-10-04,62994587
2010-10-05,58521422
2010-10-06,68752150
2010-10-07,81770790
2010-10-08,149598291
2010-10-11,72094957
2010-10-12,70309196
2010-10-13,110558747
2010-10-14,51296242
2010-10-15,66906900
2010-10-18,44929118
2010-10-19,50381303
2010-10-20,49852527
2010-10-21,43296734
2010-10-22,39799106
2010-10-25,78431631
2010-10-26,51796982
2010-10-27,66781454
2010-10-28,114255024
2010-10-29,39636585
2010-11-01,55607798
2010-11-02,48236183
2010-11-03,316892152
2010-11-04,176353036
2010-11-05,67910670
2010-11-08,65940114
2010-11-09,160705174
2010-11-10,127406412
2010-11-11,67378054
2010-11-12,95384711
2010-11-15,116522886
2010-11-16,139110336
2010-11-17,75949452
2010-11-18,70271620
2010-11-19,57592016
2010-11-22,130752621
2010-11-23,60058126
2010-11-24,53457900
2010-11-26,27318847
2010-11-29,70750527
2010-11-30,60317300
2010-12-01,102097367
2010-12-02,86405868
