dt,volume
2010-01-04,38925805
2010-01-05,38485907
2010-01-06,37572730
2010-01-07,39270179
2010-01-08,28829382
2010-01-11,19830657
2010-01-12,28563040
2010-01-13,30691638
2010-01-14,19102907
2010-01-15,32067954
2010-01-19,22550209
2010-01-20,35714974
2010-01-21,51508963
2010-01-22,49190340
2010-01-25,39542814
2010-01-26,22368553
2010-01-27,32909450
2010-01-28,19907565
2010-01-29,29477619
2010-02-01,28402999
2010-02-02,31902650
2010-02-03,29439930
2010-02-04,91252233
2010-02-05,50170592
2010-02-08,29758678
2010-02-09,43316249
2010-02-10,35082210
2010-02-11,27290941
2010-02-12,33805197
2010-02-16,30662819
2010-02-17,29001645
2010-02-18,36694090
2010-02-19,50282462
2010-02-22,54679983
2010-02-23,50670786
2010-02-24,35901346
2010-02-25,30223381
2010-02-26,31555335
2010-03-01,24965271
2010-03-02,23496950
2010-03-03,28565109
2010-03-04,25132206
2010-03-05,35032981
2010-03-08,22947335
2010-03-09,60865824
2010-03-10,44458978
2010-03-11,23795190
2010-03-12,28089020
2010-03-15,21289767
2010-03-16,25329892
2010-03-17,27180008
2010-03-18,31131553
2010-03-19,47242219
2010-03-22,28078414
2010-03-23,26007650
2010-03-24,45860023
2010-03-25,39776937
2010-03-26,29099798
2010-03-29,25810660
2010-03-30,29575543
2010-03-31,21746771
2010-04-01,24571405
2010-04-05,32663665
2010-04-06,45373636
2010-04-07,35866938
2010-04-08,42171904
2010-04-09,43215906
2010-04-12,32062415
2010-04-13,36425401
2010-04-14,30367831
2010-04-15,33078064
2010-04-16,43592119
2010-04-19,31016047
2010-04-20,21046934
2010-04-21,41236674
2010-04-22,30308515
2010-04-23,41752286
2010-04-26,37387292
2010-04-27,35977684
2010-04-28,37276466
2010-04-29,57802906
2010-04-30,60668726
2010-05-03,42865783
2010-05-04,39989164
2010-05-05,32919347
2010-05-06,48267270
2010-05-07,55591638
2010-05-10,44201868
2010-05-11,41197432
2010-05-12,36078046
2010-05-13,24805636
2010-05-14,41550676
2010-05-17,41990739
2010-05-18,36675355
2010-05-19,43283053
2010-05-20,60850752
2010-05-21,66088169
2010-05-24,36364477
2010-05-25,51981022
2010-05-26,41770617
2010-05-27,36211923
2010-05-28,34753648
2010-06-01,32104207
2010-06-02,47380791
2010-06-03,40293767
2010-06-04,49272696
2010-06-07,48845586
2010-06-08,45807483
2010-06-09,53825356
2010-06-10,32189828
2010-06-11,26002792
2010-06-14,30214477
2010-06-15,26932126
2010-06-16,25640293
2010-06-17,38820149
2010-06-18,30316613
2010-06-21,19954776
2010-06-22,27771706
2010-06-23,29796734
2010-06-24,29517345
2010-06-25,28119625
2010-06-28,15821371
2010-06-29,35233259
2010-06-30,40538091
2010-07-01,45721999
2010-07-02,55101090
2010-07-06,53111880
2010-07-07,43766304
2010-07-08,54347512
2010-07-09,26701951
2010-07-12,27664885
2010-07-13,30540571
2010-07-14,27192378
2010-07-15,21804311
2010-07-16,38124075
2010-07-19,31411727
2010-07-20,47049163
2010-07-21,31455399
2010-07-22,41787801
2010-07-23,35460245
2010-07-26,28381783
2010-07-27,26270590
2010-07-28,21597640
2010-07-29,49438867
2010-07-30,29226052
2010-08-02,36778333
2010-08-03,27544163
2010-08-04,23187593
2010-08-05,29990151
2010-08-06,23683568
2010-08-09,21462275
2010-08-10,27268372
2010-08-11,31233229
2010-08-12,28889416
2010-08-13,15245978
2010-08-16,15120750
2010-08-17,25301851
2010-08-18,21647134
2010-08-19,34768391
2010-08-20,22054045
2010-08-23,14925278
2010-08-24,26871342
2010-08-25,27633117
2010-08-26,23240290
2010-08-27,26744992
2010-08-30,18443696
2010-08-31,18533079
2010-09-01,47333277
2010-09-02,30854578
2010-09-03,26963888
2010-09-07,25597526
2010-09-08,20535051
2010-09-09,31098016
2010-09-10,27398893
2010-09-13,35903184
2010-09-14,29013040
2010-09-15,29418880
2010-09-16,21019734
2010-09-17,32037811
2010-09-20,33525102
2010-09-21,44934948
2010-09-22,30307921
2010-09-23,27865767
2010-09-24,27632051
2010-09-27,30319468
2010-09-28,36372819
2010-09-29,21713002
2010-09-30,37897868
2010-10-01,37056189
2010-10-04,29354162
2010-10-05,28413641
2010-10-06,20966588
2010-10-07,15401035
2010-10-08,16152640
2010-10-11,10117486
2010-10-12,19097951
2010-10-13,19548548
2010-10-14,24854838
2010-10-15,27763436
2010-10-18,22401972
2010-10-19,24295353
2010-10-20,38084176
2010-10-21,20594358
2010-10-22,24253738
2010-10-25,46092223
2010-10-26,33227779
2010-10-27,34553213
2010-10-28,39734639
2010-10-29,16683705
2010-11-01,19578374
2010-11-02,20634474
2010-11-03,18124611
2010-11-04,26849978
2010-11-05,35704557
2010-11-08,15938556
2010-11-09,30391149
2010-11-10,33408247
2010-11-11,18829586
2010-11-12,25803577
2010-11-15,14892403
2010-11-16,30417623
2010-11-17,30879574
2010-11-18,48896313
2010-11-19,28462895
2010-11-22,21720765
2010-11-23,25867188
2010-11-24,37061140
2010-11-26,6942768
2010-11-29,30174695
2010-11-30,27782625
2010-12-01,28372289
2010-12-02,35757213
2010-12-03,28256292
2010-12-06,23193444
2010-12-07,28994393
2010-12-08,23437119
2010-12-09,29008381
2010-12-10,17679022
2010-12-13,20135154
2010-12-14,15869346
2010-12-15,21777845
2010-12-16,23954767
2010-12-17,23924049
2010-12-20,16069118
2010-12-21,16111375
2010-12-22,17455359
2010-12-23,13916627
2010-12-27,11063599
2010-12-28,13091353
2010-12-29,12367839
2010-12-30,11382936
2010-12-31,11208655
2011-01-03,28019059
2011-01-04,40144598
2011-01-05,27781112
2011-01-06,21682282
2011-01-07,26448135
2011-01-10,22974762
2011-01-11,13897124
2011-01-12,35397518
2011-01-13,19817773
2011-01-14,17252198
2011-01-18,18038304
2011-01-19,14933497
2011-01-20,22483221
2011-01-21,16889129
2011-01-24,12634998
2011-01-25,21177832
2011-01-26,20515465
2011-01-27,20673986
2011-01-28,21080055
2011-01-31,21708221
2011-02-01,23617657
2011-02-02,21279865
2011-02-03,36170455
2011-02-04,27097076
2011-02-07,11372340
2011-02-08,11803033
2011-02-09,13511768
2011-02-10,18926976
2011-02-11,13592284
2011-02-14,9762490
2011-02-15,14163527
2011-02-16,23287631
2011-02-17,10787899
2011-02-18,20571782
2011-02-22,16068176
2011-02-23,23409612
2011-02-24,31051677
2011-02-25,48469150
2011-02-28,31325785
2011-03-01,18311619
2011-03-02,21360719
2011-03-03,21115230
2011-03-04,21020742
2011-03-07,21792967
2011-03-08,22293945
2011-03-09,15673968
2011-03-10,19093179
2011-03-11,18214768
2011-03-14,18029575
2011-03-15,30905119
2011-03-16,33252462
2011-03-17,19984983
