dt,volume
2010-01-04,9560413
2010-01-05,12432080
2010-01-06,11646131
2010-01-07,16243654
2010-01-08,14864839
2010-01-11,30113591
2010-01-12,23589938
2010-01-13,12948021
2010-01-14,10300448
2010-01-15,25125099
2010-01-19,10133775
2010-01-20,15105931
2010-01-21,37543470
2010-01-22,17265715
2010-01-25,14264511
2010-01-26,14589069
2010-01-27,11327333
2010-01-28,14575852
2010-01-29,27827492
2010-02-01,15135416
2010-02-02,20781524
2010-02-03,22487281
2010-02-04,25412626
2010-02-05,23680990
2010-02-08,11738289
2010-02-09,25215065
2010-02-10,26425175
2010-02-11,24402377
2010-02-12,16745748
2010-02-16,11224634
2010-02-17,22436710
2010-02-18,16014322
2010-02-19,20242976
2010-02-22,11782136
2010-02-23,14859026
2010-02-24,21248273
2010-02-25,15455460
2010-02-26,12643494
2010-03-01,16869474
2010-03-02,18928304
2010-03-03,17252121
2010-03-04,12672699
2010-03-05,18885120
2010-03-08,15406981
2010-03-09,16375905
2010-03-10,13862615
2010-03-11,9623295
2010-03-12,7545379
2010-03-15,9095015
2010-03-16,10051423
2010-03-17,13957530
2010-03-18,18047706
2010-03-19,23970497
2010-03-22,12138555
2010-03-23,12265299
2010-03-24,9854951
2010-03-25,19047311
2010-03-26,17988157
2010-03-29,11148782
2010-03-30,11394858
2010-03-31,8665368
2010-04-01,9202974
2010-04-05,37945248
2010-04-06,25314723
2010-04-07,19455981
2010-04-08,13673587
2010-04-09,12390155
2010-04-12,8557786
2010-04-13,14587693
2010-04-14,15721218
2010-04-15,15925860
2010-04-16,16966682
2010-04-19,13333468
2010-04-20,12080910
2010-04-21,14959627
2010-04-22,17197399
2010-04-23,10194681
2010-04-26,10069186
2010-04-27,11659461
2010-04-28,16452626
2010-04-29,11416890
2010-04-30,11313386
2010-05-03,9828330
2010-05-04,10881198
2010-05-05,11012369
2010-05-06,28398742
2010-05-07,33424252
2010-05-10,25007562
2010-05-11,18527042
2010-05-12,18662537
2010-05-13,20465727
2010-05-14,18186619
2010-05-17,16498353
