dt,volume
2010-01-04,3705039
2010-01-05,2571449
2010-01-06,3115379
2010-01-07,3332852
2010-01-08,4651009
2010-01-11,4887485
2010-01-12,3702617
2010-01-13,2663978
2010-01-14,3043284
2010-01-15,4572378
2010-01-19,3724025
2010-01-20,4396332
2010-01-21,5837544
2010-01-22,6305411
2010-01-25,5425788
2010-01-26,2233420
2010-01-27,2304021
2010-01-28,4474586
2010-01-29,4020560
2010-02-01,3053076
2010-02-02,3262229
2010-02-03,5330014
2010-02-04,6268455
2010-02-05,24171199
2010-02-08,10335882
2010-02-09,10959288
2010-02-10,6185862
2010-02-11,7529720
2010-02-12,3947032
2010-02-16,5373975
2010-02-17,4310739
2010-02-18,4980110
2010-02-19,5007796
2010-02-22,5980767
2010-02-23,6070115
2010-02-24,8104558
2010-02-25,10713845
2010-02-26,9283448
2010-03-01,6836954
2010-03-02,5861974
2010-03-03,5199750
2010-03-04,4815280
2010-03-05,3721624
2010-03-08,2778789
2010-03-09,2383249
2010-03-10,2741599
2010-03-11,2979389
2010-03-12,2461702
2010-03-15,6402376
2010-03-16,1908057
2010-03-17,2374127
2010-03-18,2263584
2010-03-19,7056560
2010-03-22,5364408
2010-03-23,5012807
2010-03-24,2352205
2010-03-25,6715691
2010-03-26,4273868
2010-03-29,2064507
2010-03-30,2262609
2010-03-31,2229547
2010-04-01,2671654
2010-04-05,4712768
2010-04-06,13627385
2010-04-07,3617526
2010-04-08,2458905
2010-04-09,4425111
2010-04-12,5612837
2010-04-13,3959539
2010-04-14,4110534
2010-04-15,3405194
2010-04-16,3494094
2010-04-19,4006221
2010-04-20,6409300
2010-04-21,12423748
2010-04-22,5414735
2010-04-23,3973938
2010-04-26,3311239
2010-04-27,4736365
2010-04-28,4232794
2010-04-29,4135093
2010-04-30,5116013
2010-05-03,4600778
2010-05-04,4586805
2010-05-05,5096200
2010-05-06,5663377
2010-05-07,11267277
2010-05-10,6813867
2010-05-11,7563196
2010-05-12,5482186
2010-05-13,2482938
2010-05-14,3362590
2010-05-17,4522729
2010-05-18,3629023
2010-05-19,3912333
2010-05-20,6492864
2010-05-21,8108786
2010-05-24,5375742
2010-05-25,13300156
2010-05-26,10102988
2010-05-27,4376307
2010-05-28,13287823
2010-06-01,22107469
2010-06-02,18743397
2010-06-03,11303133
2010-06-04,13911446
2010-06-07,18970566
2010-06-08,13258778
2010-06-09,9439196
2010-06-10,7043699
2010-06-11,5250655
2010-06-14,6337164
2010-06-15,4670378
2010-06-16,6633475
2010-06-17,6880768
2010-06-18,5948066
2010-06-21,4944994
2010-06-22,6100305
2010-06-23,28595701
2010-06-24,15587509
2010-06-25,13381752
2010-06-28,11108243
2010-06-29,13147771
2010-06-30,22161035
2010-07-01,21415070
2010-07-02,12948552
2010-07-06,14006866
2010-07-07,34151774
2010-07-08,17803204
2010-07-09,5545999
2010-07-12,5647872
2010-07-13,8599946
2010-07-14,9858695
2010-07-15,6175267
2010-07-16,7697909
2010-07-19,6972047
2010-07-20,8789059
2010-07-21,15747540
2010-07-22,26336221
2010-07-23,16409981
2010-07-26,10380633
2010-07-27,10806389
2010-07-28,6114990
2010-07-29,9160057
2010-07-30,8923959
2010-08-02,11611010
2010-08-03,17886288
2010-08-04,7454794
2010-08-05,7686193
2010-08-06,11235413
2010-08-09,8044769
2010-08-10,7664095
2010-08-11,12662364
2010-08-12,6239936
2010-08-13,5384225
2010-08-16,6524403
2010-08-17,6935611
2010-08-18,9188265
2010-08-19,6811219
2010-08-20,11902451
2010-08-23,7328661
2010-08-24,8759835
2010-08-25,12604686
2010-08-26,9578541
2010-08-27,6672109
2010-08-30,5643291
2010-08-31,5209869
2010-09-01,9004021
2010-09-02,11953134
2010-09-03,8354191
2010-09-07,4772028
2010-09-08,13841106
2010-09-09,7522550
2010-09-10,11284852
2010-09-13,12495618
2010-09-14,25912432
2010-09-15,19953588
2010-09-16,11043076
2010-09-17,19402327
2010-09-20,63840876
2010-09-21,64872882
2010-09-22,27984779
2010-09-23,120848122
2010-09-24,29921533
2010-09-27,21835260
2010-09-28,15919494
2010-09-29,7846788
2010-09-30,17210332
2010-10-01,14612657
2010-10-04,9995156
2010-10-05,10823474
2010-10-06,8573376
2010-10-07,8369927
2010-10-08,5858606
2010-10-11,8878371
2010-10-12,8147181
2010-10-13,4571004
2010-10-14,4224463
2010-10-15,7254423
2010-10-18,9730360
2010-10-19,6862386
2010-10-20,7982462
2010-10-21,4257345
2010-10-22,4379857
2010-10-25,9114790
2010-10-26,11295538
2010-10-27,10030992
