dt,volume
2010-01-04,864323052
2010-01-05,3235941965
2010-01-06,3143765483
2010-01-07,1980776791
2010-01-08,1977567307
2010-01-11,2474273261
2010-01-12,2539491404
2010-01-13,2157235346
2010-01-14,1797168027
2010-01-15,1521852427
2010-01-19,1137904446
2010-01-20,1101653325
2010-01-21,1747241915
2010-01-22,2229916048
2010-01-25,1657809381
2010-01-26,1616122068
2010-01-27,1589749603
2010-01-28,3504964086
2010-01-29,2116086587
2010-02-01,1261617004
2010-02-02,1777638774
2010-02-03,1349604199
2010-02-04,1846199702
2010-02-05,2866117415
2010-02-08,1348672539
2010-02-09,1292614636
2010-02-10,1121600270
2010-02-11,915150319
2010-02-12,1079058668
2010-02-16,760503286
2010-02-17,1026904020
2010-02-18,729522874
2010-02-19,707671297
2010-02-22,609239088
2010-02-23,1567541993
2010-02-24,1306820150
2010-02-25,1078010167
2010-02-26,1054964809
2010-03-01,2175172327
2010-03-02,2900067638
2010-03-03,2464688284
2010-03-04,1371663357
2010-03-05,1534533662
2010-03-08,1349178374
2010-03-09,1162419044
2010-03-10,839922181
2010-03-11,925412180
2010-03-12,1658695766
2010-03-15,1401612065
2010-03-16,1076458612
2010-03-17,1405888538
2010-03-18,3203763829
2010-03-19,3898824467
2010-03-22,2685751263
2010-03-23,2961091184
2010-03-24,1490772812
2010-03-25,1217388089
2010-03-26,875844681
2010-03-29,2391457257
2010-03-30,1939550950
2010-03-31,6936012696
2010-04-01,3475201949
2010-04-05,1350329039
2010-04-06,1043533001
2010-04-07,1185618056
2010-04-08,1304316198
2010-04-09,952154986
2010-04-12,687733262
2010-04-13,935927095
2010-04-14,2169538429
2010-04-15,2342374212
2010-04-16,2546074468
2010-04-19,1370945352
2010-04-20,987771064
2010-04-21,1785659009
2010-04-22,1355303622
2010-04-23,1460607972
2010-04-26,1707954918
2010-04-27,4910088529
2010-04-28,3437396126
2010-04-29,1654757840
2010-04-30,1960134862
2010-05-03,1730429587
2010-05-04,1812121149
2010-05-05,3461765253
2010-05-06,2653154483
2010-05-07,4474126872
2010-05-10,2179294863
2010-05-11,1815866214
2010-05-12,1611599056
2010-05-13,1252818245
2010-05-14,1609457733
2010-05-17,1550204149
2010-05-18,1353598351
2010-05-19,1980904269
2010-05-20,2238372554
2010-05-21,2919544965
2010-05-24,1400919229
2010-05-25,2044360555
2010-05-26,2400724132
2010-05-27,1309603768
2010-05-28,1113328604
2010-06-01,1212161130
2010-06-02,1181815865
2010-06-03,1228599474
2010-06-04,1065794190
2010-06-07,1065480632
2010-06-08,1095194710
2010-06-09,963169439
2010-06-10,843206040
2010-06-11,743339800
2010-06-14,870494857
2010-06-15,638874235
2010-06-16,770821104
2010-06-17,1060732916
2010-06-18,729694748
2010-06-21,913820215
2010-06-22,851849682
2010-06-23,1012433036
2010-06-24,1074188817
2010-06-25,1538234380
2010-06-28,767080909
2010-06-29,1845666594
2010-06-30,2774997591
2010-07-01,2122048760
2010-07-02,1080236210
2010-07-06,1064296328
2010-07-07,937571341
2010-07-08,872032449
2010-07-09,668445308
2010-07-12,728802136
2010-07-13,1251811153
2010-07-14,978422171
2010-07-15,928044213
2010-07-16,988442348
2010-07-19,651127553
2010-07-20,701456865
2010-07-21,859364186
2010-07-22,1359515693
2010-07-23,2631286164
2010-07-26,1842494359
2010-07-27,1391818325
2010-07-28,832485751
2010-07-29,1285060205
2010-07-30,1088238410
2010-08-02,1143051808
2010-08-03,1677867273
2010-08-04,960299428
2010-08-05,804123006
2010-08-06,770958083
2010-08-09,533289924
2010-08-10,628329602
2010-08-11,971190391
2010-08-12,1123804784
2010-08-13,558491118
2010-08-16,884779648
2010-08-17,857918626
2010-08-18,662355266
2010-08-19,827333175
2010-08-20,784959575
2010-08-23,594307375
2010-08-24,1348540625
2010-08-25,1136342316
2010-08-26,809222116
2010-08-27,905237027
2010-08-30,437962166
2010-08-31,877078310
2010-09-01,1207867265
2010-09-02,590209106
2010-09-03,1048671231
2010-09-07,610060080
2010-09-08,575485398
2010-09-09,670273734
2010-09-10,551090518
2010-09-13,477211783
2010-09-14,569167466
2010-09-15,735453329
2010-09-16,2229671328
2010-09-17,1118674388
2010-09-20,747842244
2010-09-21,857066206
2010-09-22,758931662
2010-09-23,708356931
2010-09-24,618177125
2010-09-27,400913247
2010-09-28,587302648
2010-09-29,552320789
2010-09-30,611685516
2010-10-01,831920744
2010-10-04,1602927826
2010-10-05,988051534
2010-10-06,1482690926
2010-10-07,785677157
2010-10-08,894496350
2010-10-11,681009145
2010-10-12,755215104
2010-10-13,789014205
2010-10-14,1277849997
2010-10-15,977139369
2010-10-18,488946617
2010-10-19,1214385553
2010-10-20,856017617
2010-10-21,1410962659
2010-10-22,561703009
2010-10-25,856618066
2010-10-26,3803433630
2010-10-27,1127188988
2010-10-28,762885389
2010-10-29,760785961
2010-11-01,782399582
2010-11-02,633913406
2010-11-03,1889136599
2010-11-04,2913367015
2010-11-05,1966602721
2010-11-08,1946856630
2010-11-09,1831743643
2010-11-10,2143230091
2010-11-11,1502196894
2010-11-12,1374527475
2010-11-15,3181314750
2010-11-16,3776875016
2010-11-17,1935455844
2010-11-18,4404445788
2010-11-19,2249563326
2010-11-22,1370432970
2010-11-23,1406905780
2010-11-24,1017046643
2010-11-26,628544427
2010-11-29,849058242
2010-11-30,883603279
2010-12-01,1380066387
2010-12-02,1306599725
2010-12-03,1093086140
2010-12-06,858230848
2010-12-07,863027306
2010-12-08,884475541
2010-12-09,722684193
2010-12-10,533854155
2010-12-13,721162934
2010-12-14,553889695
2010-12-15,598008983
2010-12-16,656531756
2010-12-17,673376964
2010-12-20,617376741
2010-12-21,491419344
2010-12-22,430210721
2010-12-23,369885261
2010-12-27,360239580
2010-12-28,431907943
2010-12-29,326095177
2010-12-30,350612802
2010-12-31,309631213
2011-01-03,1047091040
2011-01-04,1523918415
2011-01-05,1545760971
2011-01-06,1420396120
2011-01-07,1530693490
2011-01-10,974541331
2011-01-11,834277810
2011-01-12,703993405
2011-01-13,1424698511
2011-01-14,733874797
2011-01-18,607497678
2011-01-19,1091451411
2011-01-20,1627001118
2011-01-21,772072338
2011-01-24,684602594
2011-01-25,621956654
2011-01-26,916185614
2011-01-27,866110486
2011-01-28,7731903271
2011-01-31,3643648104
2011-02-01,2392808052
2011-02-02,2353119476
2011-02-03,2403489320
2011-02-04,1181075944
2011-02-07,1884750776
2011-02-08,862258555
2011-02-09,907742454
2011-02-10,859010663
2011-02-11,1480177595
2011-02-14,1029469480
2011-02-15,692828568
2011-02-16,855551380
2011-02-17,801453590
2011-02-18,879983687
2011-02-22,1466676491
2011-02-23,2429682927
2011-02-24,1765540774
2011-02-25,1167531218
2011-02-28,814714414
2011-03-01,971370238
2011-03-02,901558655
2011-03-03,839788617
2011-03-04,997379695
2011-03-07,1260419797
2011-03-08,1846360676
2011-03-09,984803443
2011-03-10,1585986523
2011-03-11,1151120334
2011-03-14,983729954
2011-03-15,1435118026
2011-03-16,1568411294
2011-03-17,1131082768
2011-03-18,972465618
2011-03-21,707818952
2011-03-22,650044997
2011-03-23,1000661366
2011-03-24,2018085650
2011-03-25,953302937
2011-03-28,586520299
2011-03-29,457190975
2011-03-30,599128153
2011-03-31,522330387
2011-04-01,1427558022
2011-04-04,1532927418
2011-04-05,906861005
2011-04-06,945514380
2011-04-07,710838702
2011-04-08,613841796
2011-04-11,1281102992
2011-04-12,1367847019
2011-04-13,866328156
2011-04-14,961611198
2011-04-15,679907187
2011-04-18,721593104
2011-04-19,526077990
2011-04-20,1069264173
2011-04-21,709116718
2011-04-25,785657567
2011-04-26,2905768989
2011-04-27,1207998043
2011-04-28,700567184
2011-04-29,550435444
2011-05-02,628854435
2011-05-03,962793748
2011-05-04,1068708673
2011-05-05,831463181
2011-05-06,878411114
2011-05-09,500302804
2011-05-10,469735977
2011-05-11,820035313
2011-05-12,753107646
2011-05-13,664012001
2011-05-16,775247133
2011-05-17,927640545
2011-05-18,518492817
2011-05-19,550589690
2011-05-20,537555961
2011-05-23,668708245
2011-05-24,643806718
2011-05-25,1396785548
2011-05-26,622082934
2011-05-27,495108392
2011-05-31,576192331
2011-06-01,1139333664
2011-06-02,848587159
2011-06-03,902206825
2011-06-06,704783403
2011-06-07,942827515
2011-06-08,908491890
2011-06-09,837140324
2011-06-10,1108397378
2011-06-13,1554483986
2011-06-14,886378415
2011-06-15,1324621666
2011-06-16,1064882262
2011-06-17,1092756928
2011-06-20,669893957
2011-06-21,1115609717
2011-06-22,494764747
2011-06-23,747690948
2011-06-24,1001220133
2011-06-27,736197808
2011-06-28,742988282
2011-06-29,777311008
2011-06-30,1215838000
2011-07-01,1060451859
2011-07-05,626817593
2011-07-06,671584716
2011-07-07,973633202
2011-07-08,1015061370
2011-07-11,845213060
2011-07-12,802788237
2011-07-13,658580201
2011-07-14,577168788
2011-07-15,579347197
2011-07-18,1000074208
2011-07-19,740272878
2011-07-20,491537693
2011-07-21,590630684
2011-07-22,398331889
2011-07-25,599578890
2011-07-26,1714063739
2011-07-27,1458615070
2011-07-28,1006666834
2011-07-29,1020071324
2011-08-01,1189308596
2011-08-02,1191291792
2011-08-03,1857836226
2011-08-04,1860309831
2011-08-05,2162288984
2011-08-08,2777788517
2011-08-09,2511219687
2011-08-10,1633066740
2011-08-11,1476881418
2011-08-12,1241487826
2011-08-15,658321137
2011-08-16,810419225
2011-08-17,732693365
2011-08-18,1164385225
2011-08-19,1118314549
2011-08-22,1024270094
2011-08-23,647198100
2011-08-24,743201488
2011-08-25,732215376
2011-08-26,860868401
2011-08-29,667980703
2011-08-30,700818927
2011-08-31,981370475
2011-09-01,846079526
2011-09-02,787480088
2011-09-06,967704277
2011-09-07,588657594
2011-09-08,622830584
2011-09-09,889621074
2011-09-12,785628374
2011-09-13,630171596
2011-09-14,828469392
2011-09-15,722197001
2011-09-16,689069681
2011-09-19,589414584
2011-09-20,481080182
2011-09-21,731265572
2011-09-22,1520791377
2011-09-23,1020061602
2011-09-26,714764046
2011-09-27,877494496
2011-09-28,525593182
2011-09-29,665541419
2011-09-30,680226326
2011-10-03,928831642
2011-10-04,1423644029
2011-10-05,1269309649
2011-10-06,1156282419
2011-10-07,1264358728
2011-10-10,772442938
2011-10-11,894611319
2011-10-12,1098131209
2011-10-13,821555994
2011-10-14,741683589
2011-10-17,771227283
2011-10-18,817841368
2011-10-19,854443179
2011-10-20,830664309
2011-10-21,1282345035
2011-10-24,981263517
2011-10-25,1118096284
2011-10-26,2689335147
2011-10-27,1962222072
2011-10-28,825210179
2011-10-31,468450764
2011-11-01,1443345838
2011-11-02,654211308
2011-11-03,792026444
2011-11-04,607683453
2011-11-07,545760131
2011-11-08,700387855
2011-11-09,934863438
2011-11-10,707986219
2011-11-11,429041475
2011-11-14,389785708
2011-11-15,564380294
2011-11-16,547096580
2011-11-17,881395904
2011-11-18,660130748
2011-11-21,798165500
2011-11-22,593157608
2011-11-23,617872000
2011-11-25,403626706
2011-11-28,819276290
2011-11-29,546099418
2011-11-30,828585738
2011-12-01,912763887
2011-12-02,1050403961
2011-12-05,924019405
2011-12-06,488624312
2011-12-07,523172865
2011-12-08,1083554627
2011-12-09,673547944
2011-12-12,535292003
2011-12-13,654911177
2011-12-14,697014213
2011-12-15,727068191
2011-12-16,529919836
2011-12-19,576788853
2011-12-20,591513619
2011-12-21,750614259
2011-12-22,640240712
2011-12-23,416097767
2011-12-27,356376365
2011-12-28,480749636
2011-12-29,486344599
2011-12-30,343726479
2012-01-03,653920924
2012-01-04,1139805060
2012-01-05,889480141
2012-01-06,856499992
2012-01-09,762583775
2012-01-10,2094511614
2012-01-11,852949601
2012-01-12,716548947
2012-01-13,650726410
2012-01-17,616433588
2012-01-18,606944895
2012-01-19,935051366
2012-01-20,577062110
2012-01-23,680683297
2012-01-24,590741807
2012-01-25,657355022
2012-01-26,967648428
2012-01-27,2496702520
2012-01-30,828353443
2012-01-31,632966820
2012-02-01,1072173458
2012-02-02,643293321
2012-02-03,1149134281
2012-02-06,684727388
2012-02-07,522926193
2012-02-08,494514688
2012-02-09,753596611
2012-02-10,677869323
2012-02-13,567864242
2012-02-14,422734961
2012-02-15,508846242
2012-02-16,688261512
2012-02-17,497445598
2012-02-21,482812292
2012-02-22,632218407
2012-02-23,507869537
2012-02-24,417206903
2012-02-27,593056383
2012-02-28,384949659
2012-02-29,888548342
2012-03-01,1088332342
2012-03-02,749829927
2012-03-05,418345880
2012-03-06,869181456
2012-03-07,384393311
2012-03-08,535241803
2012-03-09,516026350
2012-03-12,429561918
2012-03-13,511351527
2012-03-14,675654787
2012-03-15,838206780
2012-03-16,787730893
2012-03-19,736178926
2012-03-20,640274416
2012-03-21,386779895
2012-03-22,583207681
2012-03-23,655211889
2012-03-26,348417756
2012-03-27,453901156
2012-03-28,595608101
2012-03-29,724058440
2012-03-30,494353128
2012-04-02,609476639
2012-04-03,1691746470
2012-04-04,650547222
2012-04-05,494640796
2012-04-09,622975108
2012-04-10,1014946304
2012-04-11,509301403
2012-04-12,424309065
2012-04-13,569947097
2012-04-16,413863722
2012-04-17,465755303
2012-04-18,483727854
2012-04-19,672547333
2012-04-20,537063075
2012-04-23,460538855
2012-04-24,640205923
2012-04-25,540617831
2012-04-26,469846966
2012-04-27,1241897654
2012-04-30,617462273
2012-05-01,627210529
2012-05-02,688177222
2012-05-03,572204040
2012-05-04,664915000
2012-05-07,477355248
2012-05-08,628742628
2012-05-09,688298928
2012-05-10,564225057
2012-05-11,460277098
2012-05-14,696851788
2012-05-15,540479068
2012-05-16,641257315
2012-05-17,700921272
2012-05-18,705731642
2012-05-21,563778023
2012-05-22,525037309
2012-05-23,935318755
2012-05-24,628596782
2012-05-25,451078893
2012-05-29,620803198
2012-05-30,625020151
2012-05-31,558719153
2012-06-01,918516438
2012-06-04,827888069
2012-06-05,528433566
2012-06-06,719126285
2012-06-07,479559074
2012-06-08,430678234
2012-06-11,421848692
2012-06-12,474681223
2012-06-13,497805256
2012-06-14,465961418
2012-06-15,515744833
2012-06-18,347015065
2012-06-19,480673877
2012-06-20,579127626
2012-06-21,470083942
2012-06-22,367265376
2012-06-25,662296363
2012-06-26,415712030
2012-06-27,403888689
2012-06-28,481517425
2012-06-29,2068774698
2012-07-02,829259103
2012-07-03,1011623420
2012-07-05,462180629
