dt,volume
2011-10-04,81709532
2011-10-05,28542925
2011-10-06,57479073
2011-10-07,19749572
2011-10-10,29228127
2011-10-11,46159425
2011-10-12,36192653
2011-10-13,36655744
2011-10-14,19001755
2011-10-17,21602086
2011-10-18,48861522
2011-10-19,41657628
2011-10-20,13222520
2011-10-21,22145243
2011-10-24,25631918
2011-10-25,28369374
2011-10-26,7221070
2011-10-27,15263559
2011-10-28,14496173
2011-10-31,8356756
2011-11-01,10485245
2011-11-02,13016038
2011-11-03,34129432
2011-11-04,6901106
2011-11-07,11461136
2011-11-08,8406515
2011-11-09,13223225
2011-11-10,6537056
2011-11-11,5210058
2011-11-14,4007941
2011-11-15,5014496
2011-11-16,6980990
2011-11-17,9144346
2011-11-18,4622238
2011-11-21,7318358
2011-11-22,5238798
2011-11-23,4758738
2011-11-25,810616
2011-11-28,6071137
2011-11-29,5573054
2011-11-30,7012795
2011-12-01,9043768
2011-12-02,10556841
2011-12-05,4879170
2011-12-06,10116220
2011-12-07,7199410
2011-12-08,8943074
2011-12-09,8297424
2011-12-12,6276701
2011-12-13,3027441
2011-12-14,3974301
2011-12-15,10131530
2011-12-16,15092435
2011-12-19,8649710
2011-12-20,6584130
2011-12-21,8577469
2011-12-22,11780738
2011-12-23,3601026
2011-12-27,1918761
2011-12-28,5124619
2011-12-29,5260593
2011-12-30,3113713
2012-01-03,17817190
2012-01-04,31866391
2012-01-05,10383667
2012-01-06,7556237
2012-01-09,7693296
2012-01-10,9885063
2012-01-11,45273060
2012-01-12,18234474
2012-01-13,7619404
2012-01-17,6196777
2012-01-18,22566156
2012-01-19,8243963
2012-01-20,8215363
2012-01-23,19317706
2012-01-24,4216809
2012-01-25,9450682
2012-01-26,6966750
2012-01-27,4116131
2012-01-30,6348339
2012-01-31,8021940
2012-02-01,31429616
2012-02-02,10812146
2012-02-03,20064808
2012-02-06,11012471
2012-02-07,12342032
2012-02-08,10384171
2012-02-09,11161495
2012-02-10,14042649
2012-02-13,7456305
2012-02-14,12263454
2012-02-15,15466632
2012-02-16,7499868
2012-02-17,5422629
2012-02-21,9245996
2012-02-22,12083594
2012-02-23,13334349
2012-02-24,8250152
2012-02-27,10838928
2012-02-28,19536838
2012-02-29,20893729
2012-03-01,17745258
2012-03-02,8332484
2012-03-05,8125780
2012-03-06,17240175
2012-03-07,34985123
2012-03-08,14552059
2012-03-09,10244559
2012-03-12,19964307
2012-03-13,17395075
2012-03-14,9075364
2012-03-15,11929302
2012-03-16,16133909
2012-03-19,19713849
2012-03-20,7179659
2012-03-21,8663181
2012-03-22,12246653
2012-03-23,37096358
2012-03-26,12371195
2012-03-27,7975806
2012-03-28,36068765
2012-03-29,8521195
2012-03-30,6197789
2012-04-02,12856638
2012-04-03,13001843
2012-04-04,11707222
2012-04-05,21945691
2012-04-09,7876658
2012-04-10,16064737
2012-04-11,7481693
2012-04-12,6783483
2012-04-13,22125373
2012-04-16,6709292
2012-04-17,30492503
2012-04-18,9867912
2012-04-19,7427354
2012-04-20,41557300
2012-04-23,8641269
2012-04-24,9489767
2012-04-25,27867535
2012-04-26,24502994
2012-04-27,146931255
2012-04-30,19087351
2012-05-01,48462282
2012-05-02,33300995
2012-05-03,12724547
2012-05-04,10249208
2012-05-07,7274927
2012-05-08,18063902
2012-05-09,9353533
2012-05-10,11464680
2012-05-11,11042705
2012-05-14,12137544
2012-05-15,21192559
2012-05-16,9793612
2012-05-17,15167176
2012-05-18,24772064
2012-05-21,20952716
2012-05-22,19376126
2012-05-23,11820572
2012-05-24,13890607
2012-05-25,11236387
2012-05-29,11815463
2012-05-30,24915103
2012-05-31,23715836
2012-06-01,36644567
2012-06-04,19636568
2012-06-05,15668972
2012-06-06,10635479
2012-06-07,12689620
2012-06-08,9348968
2012-06-11,5593478
2012-06-12,7442989
2012-06-13,8241007
2012-06-14,8047641
2012-06-15,8777154
2012-06-18,12125178
2012-06-19,21529056
2012-06-20,13406660
2012-06-21,34899033
2012-06-22,24851205
2012-06-25,18664841
2012-06-26,15241696
2012-06-27,17358528
2012-06-28,14478940
2012-06-29,16150173
2012-07-02,22114396
2012-07-03,13082931
2012-07-05,16111471
2012-07-06,26546520
2012-07-09,13446604
2012-07-10,9600575
2012-07-11,12630945
2012-07-12,12317434
2012-07-13,20767442
2012-07-16,16410515
2012-07-17,14532445
2012-07-18,12802619
2012-07-19,15496670
2012-07-20,15542856
2012-07-23,9553377
2012-07-24,11300092
2012-07-25,13421928
2012-07-26,12112634
2012-07-27,45976165
2012-07-30,10620929
2012-07-31,12839268
2012-08-01,8781516
2012-08-02,15829066
2012-08-03,9271288
2012-08-06,8054656
2012-08-07,7714110
2012-08-08,5294235
2012-08-09,6571302
2012-08-10,4767143
2012-08-13,6777053
2012-08-14,21500101
2012-08-15,13741456
2012-08-16,9723933
2012-08-17,13935931
2012-08-20,11460497
2012-08-21,15332758
2012-08-22,8315464
2012-08-23,10653563
2012-08-24,37897022
2012-08-27,7378627
2012-08-28,13623279
2012-08-29,13781444
2012-08-30,7441001
2012-08-31,9727513
2012-09-04,8718353
2012-09-05,7614500
2012-09-06,18567856
2012-09-07,16540568
2012-09-10,14460047
2012-09-11,16578244
2012-09-12,15765586
2012-09-13,19327925
2012-09-14,48259122
2012-09-17,13691203
2012-09-18,38847449
2012-09-19,41467924
2012-09-20,36722083
2012-09-21,43977239
2012-09-24,17467949
2012-09-25,13400324
2012-09-26,12785931
2012-09-27,9445853
2012-09-28,10184635
2012-10-01,14808804
2012-10-02,13774931
2012-10-03,13414348
2012-10-04,15514085
2012-10-05,16792996
2012-10-08,14341275
2012-10-09,26563826
2012-10-10,10307281
2012-10-11,11292533
2012-10-12,9111129
2012-10-15,6964921
2012-10-16,8797788
2012-10-17,18794213
2012-10-18,12432388
2012-10-19,11220484
2012-10-22,27966708
2012-10-23,26916687
2012-10-24,78008559
2012-10-25,28651895
2012-10-26,27823579
2012-10-31,23735151
2012-11-01,33518448
2012-11-02,16390622
2012-11-05,15478112
2012-11-06,15669324
2012-11-07,13086514
2012-11-08,12803407
2012-11-09,21370600
2012-11-12,16629273
2012-11-13,13841366
2012-11-14,29511821
2012-11-15,24113719
2012-11-16,19806012
2012-11-19,20598354
2012-11-20,26620852
2012-11-21,14715390
2012-11-23,2628723
2012-11-26,12231081
2012-11-27,12902154
2012-11-28,9046813
2012-11-29,14553951
2012-11-30,15255531
2012-12-03,19143697
2012-12-04,16111395
2012-12-05,14993541
2012-12-06,17235471
2012-12-07,10757057
2012-12-10,10119429
2012-12-11,11098115
2012-12-12,27170881
2012-12-13,13599496
2012-12-14,10620441
2012-12-17,21378131
2012-12-18,22483891
2012-12-19,12598754
2012-12-20,26667290
2012-12-21,32896857
2012-12-24,3505354
2012-12-26,11993601
2012-12-27,9703817
2012-12-28,10130056
2012-12-31,6639013
2013-01-02,19336117
2013-01-03,11871854
2013-01-04,7176664
2013-01-07,7249520
2013-01-08,14608972
2013-01-09,10051627
2013-01-10,17845336
2013-01-11,8612882
2013-01-14,10259981
2013-01-15,14084857
2013-01-16,10869466
2013-01-17,20815658
2013-01-18,22844932
2013-01-22,13184540
2013-01-23,16618626
2013-01-24,15582907
2013-01-25,9201084
2013-01-28,9668534
2013-01-29,18775834
2013-01-30,13248037
2013-01-31,37028446
