dt,volume
2015-11-10,62379298
2015-11-11,51577520
2015-11-12,21134698
2015-11-13,7536617
2015-11-16,12888203
2015-11-17,26067763
2015-11-18,27294194
2015-11-19,51092485
2015-11-20,18167155
2015-11-23,17748163
2015-11-24,13004674
2015-11-25,7622366
2015-11-27,1308564
2015-11-30,9434925
2015-12-01,11291863
2015-12-02,10376461
2015-12-03,10028266
2015-12-04,13345595
2015-12-07,9813653
2015-12-08,11816667
2015-12-09,14699811
2015-12-10,6336363
2015-12-11,6016676
2015-12-14,6360380
2015-12-15,14196136
2015-12-16,7379191
2015-12-17,8221064
2015-12-18,9292144
2015-12-21,6077030
2015-12-22,4447615
2015-12-23,3782655
2015-12-24,1174761
2015-12-28,2121623
2015-12-29,1892035
2015-12-30,1307993
2015-12-31,1250073
2016-01-04,2488814
2016-01-05,11279359
2016-01-06,4113068
2016-01-07,3299246
2016-01-08,8125033
2016-01-11,5697984
2016-01-12,17794743
2016-01-13,15885533
2016-01-14,10522961
2016-01-15,9146537
2016-01-19,13299438
2016-01-20,11265963
2016-01-21,10947664
2016-01-22,5121576
2016-01-25,6384400
2016-01-26,3219485
2016-01-27,2554810
2016-01-28,2410634
2016-01-29,3408624
2016-02-01,5623589
2016-02-02,4326573
2016-02-03,9123833
2016-02-04,3445163
2016-02-05,3284071
2016-02-08,6209513
2016-02-09,8575579
2016-02-10,6277361
2016-02-11,2857986
2016-02-12,8255306
2016-02-16,21772161
2016-02-17,3418555
2016-02-18,7506977
2016-02-19,4514432
2016-02-22,2565570
2016-02-23,8868409
2016-02-24,3740750
2016-02-25,3088565
2016-02-26,4535061
2016-02-29,12130790
2016-03-01,7332290
2016-03-02,16859639
2016-03-03,13629665
2016-03-04,15962967
2016-03-07,10923698
2016-03-08,14075555
2016-03-09,13463258
2016-03-10,10230153
2016-03-11,19698862
2016-03-14,10337397
2016-03-15,3052134
2016-03-16,4586636
2016-03-17,2405078
2016-03-18,5203097
2016-03-21,4857714
2016-03-22,4045219
2016-03-23,3546288
2016-03-24,4792632
2016-03-28,3798589
2016-03-29,3738594
2016-03-30,4649896
2016-03-31,6752111
2016-04-01,7906191
2016-04-04,6221477
2016-04-05,7471615
2016-04-06,6335733
2016-04-07,1982052
2016-04-08,4392712
2016-04-11,4411867
2016-04-12,4064218
2016-04-13,11617658
2016-04-14,8380069
2016-04-15,4570670
2016-04-18,3747544
2016-04-19,12920945
2016-04-20,5644233
2016-04-21,4718660
2016-04-22,2378774
2016-04-25,1993589
2016-04-26,4601569
2016-04-27,3430953
2016-04-28,3252698
2016-04-29,3082684
2016-05-02,3122701
2016-05-03,2659619
2016-05-04,6369569
2016-05-05,2649997
2016-05-06,4180957
2016-05-09,3619095
2016-05-10,2634030
2016-05-11,2125428
2016-05-12,1443087
2016-05-13,6385778
2016-05-16,5955058
2016-05-17,4455008
2016-05-18,7110813
2016-05-19,6537168
2016-05-20,3808253
2016-05-23,4934935
2016-05-24,5109817
2016-05-25,5422358
2016-05-26,4405822
2016-05-27,2397146
2016-05-31,5095847
