dt,volume
2010-01-04,35703137
2010-01-05,34673197
2010-01-06,35696014
2010-01-07,44293521
2010-01-08,68013723
2010-01-11,81858936
2010-01-12,50237766
2010-01-13,35378184
2010-01-14,24731085
2010-01-15,46011631
2010-01-19,31274133
2010-01-20,38576100
2010-01-21,36651991
2010-01-22,30941089
2010-01-25,25131511
2010-01-26,24043255
2010-01-27,46837827
2010-01-28,28260531
2010-01-29,33581141
2010-02-01,41424300
2010-02-02,39050076
2010-02-03,36775198
2010-02-04,46257453
2010-02-05,63573483
2010-02-08,40635683
2010-02-09,62195001
2010-02-10,28424181
2010-02-11,29082502
2010-02-12,34271777
2010-02-16,37067955
2010-02-17,36188592
2010-02-18,21188402
2010-02-19,39020722
2010-02-22,34210977
2010-02-23,31236030
2010-02-24,44137452
2010-02-25,41041726
2010-02-26,35703604
2010-03-01,33715065
2010-03-02,38505255
2010-03-03,53922297
2010-03-04,34995231
2010-03-05,19500289
2010-03-08,24941088
2010-03-09,26762730
2010-03-10,31371442
2010-03-11,50678955
2010-03-12,56255524
2010-03-15,30980847
2010-03-16,32993800
2010-03-17,55090455
2010-03-18,212422176
2010-03-19,82249733
2010-03-22,49419051
2010-03-23,49095815
2010-03-24,56013411
2010-03-25,57379613
2010-03-26,51478293
2010-03-29,40893340
2010-03-30,49739921
2010-03-31,42972726
2010-04-01,30204609
2010-04-05,29047849
2010-04-06,23539874
2010-04-07,29206887
2010-04-08,30611503
2010-04-09,27410572
2010-04-12,18637618
2010-04-13,15673502
2010-04-14,48773686
2010-04-15,70639063
2010-04-16,52571622
2010-04-19,31104378
2010-04-20,43793260
2010-04-21,33202232
2010-04-22,38726177
2010-04-23,35542701
2010-04-26,28333165
2010-04-27,37365105
2010-04-28,32098454
2010-04-29,28493519
2010-04-30,27832601
2010-05-03,33855142
2010-05-04,40773756
2010-05-05,29550280
2010-05-06,38507144
2010-05-07,66138879
2010-05-10,44930276
2010-05-11,36502106
2010-05-12,20848754
2010-05-13,19951169
2010-05-14,32050769
2010-05-17,28644563
2010-05-18,39324614
2010-05-19,39307135
2010-05-20,45922577
2010-05-21,59464508
2010-05-24,29606494
2010-05-25,53747254
2010-05-26,34340033
2010-05-27,28264521
2010-05-28,26632704
2010-06-01,32200550
2010-06-02,27084985
2010-06-03,29157522
2010-06-04,41222921
2010-06-07,46319128
2010-06-08,39943627
2010-06-09,40565874
2010-06-10,34704387
2010-06-11,32784955
2010-06-14,40988454
2010-06-15,37746188
2010-06-16,197048456
2010-06-17,100108533
2010-06-18,52021199
2010-06-21,46582731
2010-06-22,54035647
2010-06-23,52154784
2010-06-24,48343013
2010-06-25,71863208
2010-06-28,39093241
2010-06-29,63174621
2010-06-30,56144719
2010-07-01,86098870
2010-07-02,62423160
2010-07-06,70557367
2010-07-07,70522708
2010-07-08,39004120
2010-07-09,39549952
2010-07-12,41300057
2010-07-13,62962866
2010-07-14,63435948
2010-07-15,42549537
2010-07-16,34496634
2010-07-19,28294897
2010-07-20,27604681
2010-07-21,31266230
2010-07-22,57066101
2010-07-23,31335289
2010-07-26,114836271
2010-07-27,44893343
2010-07-28,36625548
2010-07-29,30188630
2010-07-30,30681777
2010-08-02,30145441
2010-08-03,30751873
2010-08-04,32280360
2010-08-05,36246698
2010-08-06,22348957
2010-08-09,29243977
2010-08-10,31232244
2010-08-11,47322657
2010-08-12,40858635
2010-08-13,20441058
2010-08-16,24809552
2010-08-17,35272838
2010-08-18,34957820
2010-08-19,35447095
2010-08-20,34876492
2010-08-23,35234204
2010-08-24,43974817
2010-08-25,31300437
2010-08-26,30617738
2010-08-27,23707688
2010-08-30,14936974
2010-08-31,31977128
2010-09-01,39716725
2010-09-02,31443632
2010-09-03,33844208
2010-09-07,22343814
2010-09-08,28039623
2010-09-09,26350881
2010-09-10,13906097
2010-09-13,27350935
2010-09-14,27195600
2010-09-15,22771625
2010-09-16,128286842
2010-09-17,55039302
2010-09-20,27319399
2010-09-21,36020378
2010-09-22,51176648
2010-09-23,23207043
2010-09-24,33732964
2010-09-27,27243792
2010-09-28,31454966
2010-09-29,49816870
2010-09-30,68399338
2010-10-01,43706142
2010-10-04,43032977
2010-10-05,47816433
2010-10-06,27178264
2010-10-07,23808207
2010-10-08,32777867
2010-10-11,24020480
2010-10-12,29654909
2010-10-13,32736676
2010-10-14,18107603
2010-10-15,31231856
2010-10-18,16575643
2010-10-19,26161584
2010-10-20,28028697
2010-10-21,23360488
2010-10-22,11829000
2010-10-25,32340892
2010-10-26,22889839
2010-10-27,28291280
2010-10-28,26552392
2010-10-29,24494816
2010-11-01,28708561
2010-11-02,25568655
2010-11-03,33941861
2010-11-04,45553846
2010-11-05,30114714
2010-11-08,29350831
2010-11-09,25861233
2010-11-10,18039026
2010-11-11,22871087
2010-11-12,21036417
2010-11-15,22242562
2010-11-16,25099865
2010-11-17,25159154
2010-11-18,29801887
2010-11-19,22011282
2010-11-22,25678756
2010-11-23,19319296
2010-11-24,22070786
2010-11-26,5970695
2010-11-29,66806672
2010-11-30,66772452
2010-12-01,48106348
2010-12-02,35280130
2010-12-03,22288202
2010-12-06,33467153
2010-12-07,39732248
2010-12-08,17453001
2010-12-09,31878876
2010-12-10,22537391
2010-12-13,29445350
2010-12-14,28984145
2010-12-15,23769679
2010-12-16,130153268
2010-12-17,43966649
2010-12-20,20693379
2010-12-21,16525626
2010-12-22,15969876
2010-12-23,10809123
2010-12-27,7145735
2010-12-28,10250924
2010-12-29,9338955
2010-12-30,9515039
2010-12-31,11751695
2011-01-03,26944793
2011-01-04,31885378
2011-01-05,28833847
2011-01-06,26519796
2011-01-07,49479624
2011-01-10,40961549
2011-01-11,37155548
2011-01-12,28809028
2011-01-13,34300336
2011-01-14,37249052
2011-01-18,19936521
2011-01-19,24405801
2011-01-20,27430437
2011-01-21,21305663
2011-01-24,26094013
2011-01-25,15244630
2011-01-26,31412863
2011-01-27,24624460
2011-01-28,58756723
2011-01-31,31327867
2011-02-01,64957792
2011-02-02,52480589
2011-02-03,52289504
2011-02-04,27795193
2011-02-07,27925986
2011-02-08,21644208
2011-02-09,23190415
2011-02-10,38047827
2011-02-11,24704514
2011-02-14,26965037
2011-02-15,91073487
2011-02-16,28969419
2011-02-17,18217592
2011-02-18,34429019
2011-02-22,48101341
2011-02-23,94340961
2011-02-24,48925546
2011-02-25,35021027
2011-02-28,27875687
2011-03-01,70453133
2011-03-02,58672936
2011-03-03,70304267
2011-03-04,38402905
2011-03-07,38076689
2011-03-08,53110536
2011-03-09,33913878
2011-03-10,44650801
2011-03-11,29772461
2011-03-14,70818697
2011-03-15,51467427
2011-03-16,58136795
2011-03-17,105169479
2011-03-18,45115268
2011-03-21,28736693
2011-03-22,25338497
2011-03-23,26588349
2011-03-24,24593708
2011-03-25,34158582
2011-03-28,56936971
2011-03-29,24309074
2011-03-30,20156842
2011-03-31,18695297
2011-04-01,42946699
2011-04-04,17209085
2011-04-05,17090428
2011-04-06,21716992
2011-04-07,16379620
2011-04-08,29082830
2011-04-11,41360538
2011-04-12,52087012
2011-04-13,29917573
2011-04-14,27705210
2011-04-15,25077316
2011-04-18,28867908
2011-04-19,22873065
2011-04-20,25113047
2011-04-21,26490056
2011-04-25,18580989
2011-04-26,24629766
2011-04-27,21490837
2011-04-28,18701757
2011-04-29,18853454
2011-05-02,27073443
2011-05-03,16971383
2011-05-04,25514531
2011-05-05,44493600
2011-05-06,33574005
2011-05-09,18119719
2011-05-10,19742402
2011-05-11,34325505
2011-05-12,28573390
2011-05-13,36029217
2011-05-16,21135723
2011-05-17,25247234
2011-05-18,21381516
2011-05-19,26639290
2011-05-20,17084720
2011-05-23,36694361
2011-05-24,19923257
2011-05-25,22214663
2011-05-26,25098356
2011-05-27,15161469
2011-05-31,24693385
2011-06-01,47846089
2011-06-02,24873163
2011-06-03,26611787
2011-06-06,31691592
2011-06-07,38572638
2011-06-08,39414709
2011-06-09,34521021
2011-06-10,34411841
2011-06-13,27150239
2011-06-14,34322567
2011-06-15,25240534
2011-06-16,23656886
2011-06-17,26117194
2011-06-20,21879022
2011-06-21,41310625
2011-06-22,96352803
2011-06-23,69384680
2011-06-24,35986685
2011-06-27,21669185
2011-06-28,20871125
2011-06-29,28123308
2011-06-30,25769643
2011-07-01,29558992
2011-07-05,21742348
2011-07-06,29117269
2011-07-07,34526563
2011-07-08,30123135
2011-07-11,30347208
2011-07-12,36929366
2011-07-13,26656988
2011-07-14,28725620
2011-07-15,44933372
2011-07-18,43430987
2011-07-19,33606015
2011-07-20,25523759
2011-07-21,23884166
2011-07-22,18150365
2011-07-25,22558745
2011-07-26,67376748
2011-07-27,50608734
2011-07-28,45660710
2011-07-29,33544812
2011-08-01,55401748
2011-08-02,48765565
2011-08-03,59231315
2011-08-04,49040847
2011-08-05,67302784
2011-08-08,66740300
2011-08-09,56376109
2011-08-10,56781157
2011-08-11,48957474
2011-08-12,48729560
2011-08-15,31039633
2011-08-16,45898118
2011-08-17,33984782
2011-08-18,55877745
2011-08-19,47189887
2011-08-22,49247444
2011-08-23,44180813
2011-08-24,38229848
2011-08-25,30581937
2011-08-26,49550758
2011-08-29,35348358
2011-08-30,22491951
2011-08-31,32364296
2011-09-01,35726824
2011-09-02,37163373
2011-09-06,56998560
2011-09-07,36245351
2011-09-08,33531951
2011-09-09,28425605
2011-09-12,40010833
2011-09-13,38745498
2011-09-14,31031019
2011-09-15,26509866
2011-09-16,49872252
2011-09-19,30013693
2011-09-20,37550265
2011-09-21,44266914
2011-09-22,175851505
2011-09-23,66330282
2011-09-26,60760170
2011-09-27,49980124
2011-09-28,45187899
2011-09-29,40703555
2011-09-30,30913243
2011-10-03,53626620
2011-10-04,51565092
2011-10-05,58436651
2011-10-06,35996049
2011-10-07,34261574
2011-10-10,22381112
2011-10-11,27717593
2011-10-12,31172983
2011-10-13,41625373
2011-10-14,29777822
2011-10-17,29517752
2011-10-18,23217775
2011-10-19,22338639
2011-10-20,27086038
2011-10-21,51783639
2011-10-24,46288264
2011-10-25,49768450
2011-10-26,36166673
2011-10-27,44761364
2011-10-28,29224402
2011-10-31,32381507
2011-11-01,32758361
2011-11-02,17679330
2011-11-03,23315366
2011-11-04,22242374
2011-11-07,20082695
2011-11-08,16005993
2011-11-09,23784075
2011-11-10,22971041
2011-11-11,20496036
2011-11-14,14140924
2011-11-15,37490252
2011-11-16,22354797
2011-11-17,25964951
2011-11-18,32480121
2011-11-21,24390066
2011-11-22,18607528
2011-11-23,26292592
2011-11-25,7505807
2011-11-28,34477083
2011-11-29,26728511
2011-11-30,40719640
2011-12-01,29138340
2011-12-02,32873501
2011-12-05,30082654
2011-12-06,27022129
2011-12-07,27239394
2011-12-08,33477757
2011-12-09,21793593
2011-12-12,29422026
2011-12-13,34138557
2011-12-14,44896728
2011-12-15,133964572
2011-12-16,78727110
2011-12-19,34931272
2011-12-20,32615183
2011-12-21,22320484
2011-12-22,15058305
2011-12-23,15690698
2011-12-27,15741348
2011-12-28,19781725
2011-12-29,16511638
2011-12-30,17283770
2012-01-03,28568537
2012-01-04,19737109
2012-01-05,29363678
2012-01-06,28518372
2012-01-09,21135471
2012-01-10,51040631
2012-01-11,39712755
2012-01-12,44404399
2012-01-13,41733758
2012-01-17,34560596
2012-01-18,24764093
2012-01-19,38235918
2012-01-20,34712252
2012-01-23,22794994
2012-01-24,18855181
2012-01-25,14861958
2012-01-26,21831211
2012-01-27,21667026
2012-01-30,17741674
2012-01-31,21195301
2012-02-01,27736315
2012-02-02,16297722
2012-02-03,17103114
2012-02-06,31194239
2012-02-07,26052117
2012-02-08,18672444
2012-02-09,21837412
2012-02-10,18565674
2012-02-13,27357552
2012-02-14,23414105
2012-02-15,19441779
2012-02-16,19957898
2012-02-17,60826169
2012-02-21,40886599
2012-02-22,24667048
2012-02-23,21288596
2012-02-24,24844328
2012-02-27,27988152
2012-02-28,24566415
2012-02-29,28552283
2012-03-01,23452917
2012-03-02,14585685
2012-03-05,14937334
2012-03-06,26883349
2012-03-07,19392982
2012-03-08,25556098
2012-03-09,24375711
2012-03-12,18560290
2012-03-13,18185268
2012-03-14,15512963
2012-03-15,30718526
2012-03-16,30178635
2012-03-19,35925320
2012-03-20,23805471
2012-03-21,31704687
2012-03-22,107798372
2012-03-23,54286855
2012-03-26,41827703
2012-03-27,30499563
2012-03-28,36627831
2012-03-29,24500718
2012-03-30,17511740
2012-04-02,19840448
2012-04-03,16637173
2012-04-04,19113018
2012-04-05,14156053
2012-04-09,22437991
2012-04-10,33211054
2012-04-11,32496611
2012-04-12,32892318
2012-04-13,24378067
2012-04-16,18519635
2012-04-17,27683897
2012-04-18,16232937
2012-04-19,22989092
2012-04-20,31888854
2012-04-23,18433713
2012-04-24,14534910
2012-04-25,17351371
2012-04-26,38138450
2012-04-27,20475908
2012-04-30,11540809
2012-05-01,16943399
2012-05-02,11308970
2012-05-03,23687991
2012-05-04,38486193
2012-05-07,24129125
2012-05-08,23041938
2012-05-09,30076188
2012-05-10,19993369
2012-05-11,16518561
2012-05-14,17006191
2012-05-15,19371609
2012-05-16,20389043
2012-05-17,35647383
2012-05-18,33024882
