dt,volume
2010-01-04,183046619
2010-01-05,250926027
2010-01-06,358619274
2010-01-07,425778031
2010-01-08,232599638
2010-01-11,154150178
2010-01-12,221396223
2010-01-13,358829264
2010-01-14,267856383
2010-01-15,327872484
2010-01-19,142153447
2010-01-20,301648129
2010-01-21,317267601
2010-01-22,267517482
2010-01-25,242356092
2010-01-26,275613651
2010-01-27,251602863
2010-01-28,442283776
2010-01-29,434598310
2010-02-01,432453887
2010-02-02,488423565
2010-02-03,736968325
2010-02-04,426091334
2010-02-05,359258600
2010-02-08,233755604
2010-02-09,318812849
2010-02-10,265351793
2010-02-11,375933112
2010-02-12,235647552
2010-02-16,187521515
2010-02-17,176439903
2010-02-18,121400962
2010-02-19,181813339
2010-02-22,155554927
2010-02-23,237697106
2010-02-24,201726415
2010-02-25,192511186
2010-02-26,196003257
2010-03-01,298423105
2010-03-02,254722270
2010-03-03,145651068
2010-03-04,303849893
2010-03-05,249224498
2010-03-08,125682673
2010-03-09,151867498
2010-03-10,211623625
2010-03-11,170023504
2010-03-12,239542655
2010-03-15,210053671
2010-03-16,222512657
2010-03-17,206632376
2010-03-18,213552681
2010-03-19,361179094
2010-03-22,192494260
2010-03-23,164156311
2010-03-24,295046655
2010-03-25,293718286
2010-03-26,119709874
2010-03-29,111809185
2010-03-30,115665805
2010-03-31,149426558
2010-04-01,116795884
2010-04-05,204582973
2010-04-06,188219981
2010-04-07,173831017
2010-04-08,229670041
2010-04-09,355098044
2010-04-12,138803844
2010-04-13,293739649
2010-04-14,287647559
2010-04-15,284008598
2010-04-16,420660512
2010-04-19,339832149
2010-04-20,198149699
2010-04-21,195761066
2010-04-22,253534045
2010-04-23,210363736
2010-04-26,200787243
2010-04-27,353829270
2010-04-28,369084900
2010-04-29,276780033
2010-04-30,232838346
2010-05-03,274949629
2010-05-04,425071524
2010-05-05,972822601
2010-05-06,466416779
2010-05-07,540191205
2010-05-10,388692603
2010-05-11,366678584
2010-05-12,377217262
2010-05-13,279589702
2010-05-14,405649396
2010-05-17,265043521
2010-05-18,246059970
2010-05-19,672174005
2010-05-20,334631235
2010-05-21,425629839
2010-05-24,298230920
2010-05-25,335380984
2010-05-26,387216886
2010-05-27,300929420
2010-05-28,238980329
2010-06-01,218070994
2010-06-02,186922625
2010-06-03,187641281
2010-06-04,252314939
2010-06-07,283689504
2010-06-08,278299697
2010-06-09,301301029
2010-06-10,198120370
2010-06-11,133951307
2010-06-14,193525770
2010-06-15,1023088075
2010-06-16,447059057
2010-06-17,199749402
2010-06-18,270052386
2010-06-21,187233299
2010-06-22,290482772
2010-06-23,232215932
2010-06-24,312935426
2010-06-25,259358706
2010-06-28,276531891
2010-06-29,283309946
2010-06-30,248628525
2010-07-01,351086949
2010-07-02,184999530
2010-07-06,390712054
2010-07-07,216409655
2010-07-08,185254309
2010-07-09,124168348
2010-07-12,171369201
2010-07-13,118327171
2010-07-14,169583807
2010-07-15,188399544
2010-07-16,249328831
2010-07-19,157786284
2010-07-20,159752202
2010-07-21,360005590
2010-07-22,262997184
2010-07-23,141942479
2010-07-26,142740888
2010-07-27,185383806
2010-07-28,253496328
2010-07-29,156220697
2010-07-30,244766785
2010-08-02,336391993
2010-08-03,228252429
2010-08-04,283014151
2010-08-05,617357792
2010-08-06,259968592
2010-08-09,138832636
2010-08-10,203407489
2010-08-11,220678066
2010-08-12,136886983
2010-08-13,167126190
2010-08-16,120476817
2010-08-17,123808077
2010-08-18,125674102
2010-08-19,187777526
2010-08-20,218685815
2010-08-23,136621256
2010-08-24,326597204
2010-08-25,309706731
2010-08-26,223331781
2010-08-27,214095338
2010-08-30,184222371
2010-08-31,248415209
2010-09-01,326136040
2010-09-02,152474131
2010-09-03,163209621
2010-09-07,166489232
2010-09-08,152771853
2010-09-09,119265769
2010-09-10,122405827
2010-09-13,239324965
2010-09-14,265460769
2010-09-15,153143962
2010-09-16,189795723
2010-09-17,262466016
2010-09-20,262182888
2010-09-21,151136421
2010-09-22,306493986
2010-09-23,269181533
2010-09-24,228584567
2010-09-27,241672198
2010-09-28,237199824
2010-09-29,368726790
2010-09-30,388261538
2010-10-01,219423028
2010-10-04,204184044
2010-10-05,280471387
2010-10-06,211604826
2010-10-07,303845254
2010-10-08,295803810
2010-10-11,165860175
2010-10-12,183300919
2010-10-13,298420145
2010-10-14,217104433
2010-10-15,229204285
2010-10-18,142188531
2010-10-19,330854015
2010-10-20,249204634
2010-10-21,274037239
2010-10-22,128039817
2010-10-25,203818925
2010-10-26,270648286
2010-10-27,168680646
2010-10-28,140505510
2010-10-29,127076347
2010-11-01,190239827
2010-11-02,168874646
2010-11-03,242269080
2010-11-04,281852326
2010-11-05,176557431
2010-11-08,172432345
2010-11-09,134764189
2010-11-10,241387347
2010-11-11,201838263
2010-11-12,310420870
2010-11-15,102051114
2010-11-16,259354058
2010-11-17,354972481
2010-11-18,191633797
2010-11-19,238803018
2010-11-22,115414544
2010-11-23,138182455
2010-11-24,139142171
2010-11-26,37288713
2010-11-29,226404018
2010-11-30,217546889
2010-12-01,231807104
2010-12-02,119534133
2010-12-03,126491539
2010-12-06,90917480
2010-12-07,129448623
2010-12-08,127587994
2010-12-09,73565318
2010-12-10,99910171
2010-12-13,111790723
2010-12-14,164544359
2010-12-15,142032930
2010-12-16,105774135
2010-12-17,224032299
2010-12-20,96207513
2010-12-21,99173893
2010-12-22,125327490
2010-12-23,64521714
2010-12-27,77479810
2010-12-28,93277670
2010-12-29,134820048
2010-12-30,124601641
2010-12-31,49803646
2011-01-03,167857837
2011-01-04,200263458
2011-01-05,153185324
2011-01-06,152195865
2011-01-07,119426648
2011-01-10,131539372
2011-01-11,301305067
2011-01-12,211876504
2011-01-13,170068079
2011-01-14,302146231
2011-01-18,277221573
2011-01-19,194598469
2011-01-20,308853874
2011-01-21,382864543
2011-01-24,385245029
2011-01-25,230640675
2011-01-26,157086340
2011-01-27,211933369
2011-01-28,307326616
2011-01-31,207960268
2011-02-01,182960873
2011-02-02,233548876
2011-02-03,491059177
2011-02-04,269494399
2011-02-07,244772948
2011-02-08,132156876
2011-02-09,226775318
2011-02-10,228016832
2011-02-11,340953115
2011-02-14,292045701
2011-02-15,234980922
2011-02-16,139947851
2011-02-17,143293603
2011-02-18,195258555
2011-02-22,440421794
2011-02-23,201025189
2011-02-24,178237518
2011-02-25,272129767
2011-02-28,145998702
2011-03-01,257887877
2011-03-02,204863088
2011-03-03,397588995
2011-03-04,270082672
2011-03-07,252834293
2011-03-08,174144117
2011-03-09,141446324
2011-03-10,260268993
2011-03-11,150304921
2011-03-14,168409846
2011-03-15,210112856
2011-03-16,292286749
2011-03-17,186951976
2011-03-18,270788907
2011-03-21,153385811
2011-03-22,162041619
2011-03-23,166464062
2011-03-24,183508464
2011-03-25,195105639
2011-03-28,162067126
2011-03-29,150427329
2011-03-30,135636145
2011-03-31,161995817
2011-04-01,195507675
2011-04-04,230810104
2011-04-05,251252469
2011-04-06,214406167
2011-04-07,259547144
2011-04-08,128739468
2011-04-11,113112969
2011-04-12,179500973
2011-04-13,239370136
2011-04-14,193767065
2011-04-15,214571810
2011-04-18,223593494
2011-04-19,106039236
2011-04-20,192052422
2011-04-21,135248078
2011-04-25,146002100
2011-04-26,95472817
2011-04-27,108228263
2011-04-28,143899655
2011-04-29,114576795
2011-05-02,203175105
2011-05-03,152530374
2011-05-04,249630298
2011-05-05,424208230
2011-05-06,189807540
2011-05-09,150311108
2011-05-10,143955869
2011-05-11,202284489
2011-05-12,170473379
2011-05-13,168248213
2011-05-16,205848138
2011-05-17,118119634
2011-05-18,196889254
2011-05-19,180091959
2011-05-20,173732165
2011-05-23,189213882
2011-05-24,215021117
2011-05-25,180442403
2011-05-26,307025198
2011-05-27,184078630
2011-05-31,240017285
2011-06-01,209098257
2011-06-02,243738154
2011-06-03,250808948
2011-06-06,181371484
2011-06-07,287007049
2011-06-08,173757818
2011-06-09,104602032
2011-06-10,190128049
2011-06-13,158098950
2011-06-14,136447729
2011-06-15,278888981
2011-06-16,206460712
2011-06-17,239148174
2011-06-20,131881247
2011-06-21,137300461
2011-06-22,162323509
2011-06-23,262605822
2011-06-24,229842624
2011-06-27,136882911
2011-06-28,138577149
2011-06-29,263003726
2011-06-30,133970079
2011-07-01,146123884
2011-07-05,153746032
2011-07-06,671558918
2011-07-07,591550160
2011-07-08,622949432
2011-07-11,1366279547
2011-07-12,2105578160
2011-07-13,2600710739
2011-07-14,769993983
2011-07-15,1268198537
2011-07-18,987762063
2011-07-19,996211964
2011-07-20,601999090
2011-07-21,736113549
2011-07-22,448953937
2011-07-25,304206620
2011-07-26,501839116
2011-07-27,266206324
2011-07-28,334646353
2011-07-29,448310814
2011-08-01,501393601
2011-08-02,457819448
2011-08-03,564070032
2011-08-04,669290723
2011-08-05,718740282
2011-08-08,851245177
2011-08-09,513451952
2011-08-10,746207025
2011-08-11,1369972536
2011-08-12,784983513
2011-08-15,554131175
2011-08-16,686873955
2011-08-17,474469891
2011-08-18,568186469
2011-08-19,667388236
2011-08-22,437025167
2011-08-23,392140402
2011-08-24,354880265
2011-08-25,388283252
2011-08-26,319424533
2011-08-29,238378396
2011-08-30,387034477
2011-08-31,333038454
2011-09-01,361966271
2011-09-02,359925402
2011-09-06,364235014
2011-09-07,269187064
2011-09-08,266148796
2011-09-09,349172057
2011-09-12,343836028
2011-09-13,422247373
2011-09-14,438851969
2011-09-15,403954956
2011-09-16,434426111
2011-09-19,258117925
2011-09-20,416843764
2011-09-21,299795791
2011-09-22,497576140
2011-09-23,496725989
2011-09-26,454991864
2011-09-27,223107168
2011-09-28,311398596
2011-09-29,314628412
2011-09-30,255473320
2011-10-03,365142976
2011-10-04,387901686
2011-10-05,336236605
2011-10-06,235293353
2011-10-07,374530388
2011-10-10,194404080
2011-10-11,201213862
2011-10-12,285698242
2011-10-13,151110533
2011-10-14,188718961
2011-10-17,166463609
2011-10-18,348275069
2011-10-19,328801727
2011-10-20,302094738
2011-10-21,389338991
2011-10-24,286717731
2011-10-25,281454790
2011-10-26,267430907
2011-10-27,476499908
2011-10-28,186771172
2011-10-31,168374070
2011-11-01,294604363
2011-11-02,391445920
2011-11-03,671259114
2011-11-04,222777008
2011-11-07,272477493
2011-11-08,289276761
2011-11-09,245922270
2011-11-10,205137011
2011-11-11,192096848
2011-11-14,150808211
2011-11-15,175292487
2011-11-16,240701217
2011-11-17,282878332
2011-11-18,379736586
2011-11-21,363571369
2011-11-22,253138019
2011-11-23,197143585
2011-11-25,45832340
2011-11-28,150604261
2011-11-29,197930387
2011-11-30,245924917
2011-12-01,233467347
2011-12-02,113026863
2011-12-05,176320636
2011-12-06,167299184
2011-12-07,260955504
2011-12-08,210928603
2011-12-09,194480850
2011-12-12,187201072
2011-12-13,141737311
2011-12-14,270104129
2011-12-15,192864125
2011-12-16,328700665
2011-12-19,160337275
2011-12-20,261125104
2011-12-21,186137503
2011-12-22,145885102
2011-12-23,67948876
2011-12-27,68070085
2011-12-28,153159659
2011-12-29,176462237
2011-12-30,68269421
2012-01-03,300894675
2012-01-04,141300345
2012-01-05,207060412
2012-01-06,178735801
2012-01-09,120587153
2012-01-10,215009511
2012-01-11,165024352
2012-01-12,148657104
2012-01-13,117429885
2012-01-17,205818929
2012-01-18,226004741
2012-01-19,184126240
2012-01-20,290708222
2012-01-23,160448111
2012-01-24,124826521
2012-01-25,271277629
