dt,volume
2010-01-04,56173476
2010-01-05,39626429
2010-01-06,45138684
2010-01-07,49970897
2010-01-08,52299969
2010-01-11,28971027
2010-01-12,36576331
2010-01-13,18779207
2010-01-14,18706963
2010-01-15,89109595
2010-01-19,27760347
2010-01-20,29017185
2010-01-21,43979492
2010-01-22,32366559
2010-01-25,44858462
2010-01-26,37740965
2010-01-27,35644846
2010-01-28,35912966
2010-01-29,35031206
2010-02-01,32570354
2010-02-02,26002916
2010-02-03,29160675
2010-02-04,35415530
2010-02-05,48977442
2010-02-08,35241342
2010-02-09,50740078
2010-02-10,52341664
2010-02-11,42273197
2010-02-12,27835619
2010-02-16,40486249
2010-02-17,35561557
2010-02-18,73430438
2010-02-19,67925934
2010-02-22,45796763
2010-02-23,62894711
2010-02-24,80448296
2010-02-25,60564708
2010-02-26,53839313
2010-03-01,86716800
2010-03-02,127910936
2010-03-03,126647282
2010-03-04,106163470
2010-03-05,133018196
2010-03-08,104464135
2010-03-09,92897399
2010-03-10,54067594
2010-03-11,66903170
2010-03-12,31668881
2010-03-15,46067913
2010-03-16,80657329
2010-03-17,104980918
2010-03-18,37870551
2010-03-19,50982162
2010-03-22,47147237
2010-03-23,43126417
2010-03-24,47107564
2010-03-25,37646110
2010-03-26,34130650
2010-03-29,62137239
2010-03-30,33841832
2010-03-31,38058231
2010-04-01,45271141
2010-04-05,45794377
2010-04-06,45158520
2010-04-07,37115455
2010-04-08,33189185
2010-04-09,25020823
2010-04-12,25591587
2010-04-13,194120277
2010-04-14,86992135
2010-04-15,39140411
2010-04-16,45976057
2010-04-19,48994891
2010-04-20,62240948
2010-04-21,60349940
2010-04-22,97622583
2010-04-23,49088182
2010-04-26,65293482
2010-04-27,50262268
2010-04-28,54501653
2010-04-29,51074793
2010-04-30,46609792
2010-05-03,72871976
2010-05-04,61306120
2010-05-05,42082080
2010-05-06,82379234
2010-05-07,77255174
2010-05-10,53620527
2010-05-11,61194187
2010-05-12,41855915
2010-05-13,37248720
2010-05-14,45517776
2010-05-17,49986316
2010-05-18,56888112
2010-05-19,49456013
2010-05-20,84353427
2010-05-21,71058502
2010-05-24,48935198
2010-05-25,94493379
2010-05-26,54579866
2010-05-27,50554031
2010-05-28,40279775
2010-06-01,78362787
2010-06-02,95195347
2010-06-03,78126305
2010-06-04,74877633
2010-06-07,122938528
2010-06-08,111547191
2010-06-09,72865834
2010-06-10,64165457
2010-06-11,48358522
2010-06-14,56006525
2010-06-15,36230244
2010-06-16,49950268
2010-06-17,101653014
2010-06-18,52906098
2010-06-21,34248828
2010-06-22,119698780
2010-06-23,61303996
2010-06-24,49827557
2010-06-25,34137410
2010-06-28,79985022
2010-06-29,152972823
2010-06-30,140338811
2010-07-01,192925379
2010-07-02,561744858
2010-07-06,768269945
2010-07-07,428617864
2010-07-08,428645006
2010-07-09,431061710
2010-07-12,278475268
2010-07-13,387821124
2010-07-14,285720684
2010-07-15,270753389
2010-07-16,330905942
2010-07-19,288004664
2010-07-20,248235719
2010-07-21,177929142
2010-07-22,167162086
2010-07-23,176883997
2010-07-26,161017867
2010-07-27,312070772
2010-07-28,161333458
2010-07-29,131663489
2010-07-30,138361144
2010-08-02,135933216
2010-08-03,105937421
2010-08-04,210780099
2010-08-05,182729071
2010-08-06,175858073
2010-08-09,193113213
2010-08-10,292556384
2010-08-11,255727960
2010-08-12,188823539
2010-08-13,214328128
2010-08-16,102756416
2010-08-17,129824877
2010-08-18,206876603
2010-08-19,161938492
2010-08-20,132020038
2010-08-23,115439986
2010-08-24,127375103
2010-08-25,134082294
2010-08-26,204686029
2010-08-27,123218130
2010-08-30,95875961
2010-08-31,182613915
2010-09-01,149844075
2010-09-02,124892182
2010-09-03,121813639
2010-09-07,122818665
2010-09-08,213906891
2010-09-09,131249712
2010-09-10,140645447
2010-09-13,167662236
2010-09-14,156280627
2010-09-15,180176358
2010-09-16,168963362
2010-09-17,237301612
2010-09-20,171142664
2010-09-21,147733331
2010-09-22,117995422
2010-09-23,106626817
2010-09-24,323233912
2010-09-27,220113537
2010-09-28,250029816
2010-09-29,105445281
2010-09-30,149310919
2010-10-01,103107739
2010-10-04,89619700
2010-10-05,139725260
2010-10-06,112818569
2010-10-07,135129096
2010-10-08,90764405
2010-10-11,146389126
2010-10-12,117056145
2010-10-13,93850952
2010-10-14,159018517
2010-10-15,285116739
2010-10-18,110050091
2010-10-19,106597118
2010-10-20,110449112
2010-10-21,77424140
2010-10-22,111637522
2010-10-25,158726181
2010-10-26,85616066
2010-10-27,114832765
2010-10-28,84071246
2010-10-29,62232686
2010-11-01,144633990
2010-11-02,105213103
2010-11-03,97053916
2010-11-04,129052857
2010-11-05,145525541
2010-11-08,261877564
2010-11-09,213969611
2010-11-10,135375674
2010-11-11,183409269
2010-11-12,151797983
2010-11-15,100350692
2010-11-16,234952080
2010-11-17,109403341
2010-11-18,65396133
2010-11-19,92056092
2010-11-22,80590058
2010-11-23,95177855
2010-11-24,63439016
2010-11-26,27139732
2010-11-29,105493212
2010-11-30,111149688
2010-12-01,110094362
2010-12-02,85629565
2010-12-03,71900117
2010-12-06,144271295
2010-12-07,229058137
2010-12-08,152701800
2010-12-09,91814306
2010-12-10,73267099
2010-12-13,104375926
2010-12-14,117206228
2010-12-15,111726779
2010-12-16,70639272
2010-12-17,145506406
2010-12-20,82754394
2010-12-21,75223834
2010-12-22,66998344
2010-12-23,47829141
2010-12-27,68827695
2010-12-28,65600363
2010-12-29,57496651
2010-12-30,58242957
2010-12-31,52883686
2011-01-03,112341049
2011-01-04,96781242
2011-01-05,104868605
2011-01-06,184713857
2011-01-07,228154312
2011-01-10,89725447
2011-01-11,141599410
2011-01-12,137828241
2011-01-13,119746271
2011-01-14,77687961
2011-01-18,118980565
2011-01-19,129199517
2011-01-20,80664048
2011-01-21,109522553
2011-01-24,92345227
2011-01-25,71089438
2011-01-26,93107635
2011-01-27,136848676
2011-01-28,155699316
2011-01-31,117961951
2011-02-01,86922927
2011-02-02,79352327
2011-02-03,50652522
2011-02-04,46424618
2011-02-07,97492554
2011-02-08,79071329
2011-02-09,90295856
2011-02-10,45935366
2011-02-11,75268737
2011-02-14,62382673
2011-02-15,100471005
2011-02-16,67282082
2011-02-17,86880171
2011-02-18,131456862
2011-02-22,153518711
2011-02-23,663437319
2011-02-24,295304345
2011-02-25,179661830
2011-02-28,166762525
2011-03-01,194769966
2011-03-02,294600875
2011-03-03,324768088
2011-03-04,318941089
2011-03-07,212566042
2011-03-08,190166504
2011-03-09,156930337
2011-03-10,187153939
2011-03-11,113127959
2011-03-14,165690814
2011-03-15,236111840
2011-03-16,229774986
2011-03-17,209596593
2011-03-18,136033691
2011-03-21,128889716
2011-03-22,110267159
2011-03-23,114696339
2011-03-24,68333099
2011-03-25,84134093
2011-03-28,92063345
2011-03-29,503643304
2011-03-30,553331493
2011-03-31,267817798
2011-04-01,200736438
2011-04-04,130502677
2011-04-05,103760477
2011-04-06,131970602
2011-04-07,117890769
2011-04-08,151557261
2011-04-11,115680116
2011-04-12,172146290
2011-04-13,108105659
2011-04-14,90444849
2011-04-15,112904520
2011-04-18,137695482
2011-04-19,172017178
2011-04-20,122183146
2011-04-21,140663899
2011-04-25,97482359
2011-04-26,115757568
2011-04-27,106430342
2011-04-28,74669746
2011-04-29,94980911
2011-05-02,166645096
2011-05-03,260293751
2011-05-04,243871798
2011-05-05,242480649
2011-05-06,177840699
2011-05-09,124327557
2011-05-10,148300880
2011-05-11,195693067
2011-05-12,109694502
2011-05-13,74999609
2011-05-16,131699841
2011-05-17,168447575
2011-05-18,176312195
2011-05-19,164279758
2011-05-20,145831614
2011-05-23,143321911
2011-05-24,154575170
2011-05-25,82528261
2011-05-26,72908213
2011-05-27,104505216
2011-05-31,108400781
2011-06-01,132741876
2011-06-02,158515293
2011-06-03,114373593
2011-06-06,175423303
2011-06-07,165757457
2011-06-08,215141018
2011-06-09,168350951
2011-06-10,167904673
2011-06-13,120776538
2011-06-14,69260852
2011-06-15,91011825
2011-06-16,110273883
2011-06-17,158691140
2011-06-20,72668322
2011-06-21,116815452
2011-06-22,101925131
2011-06-23,116166692
2011-06-24,171817358
2011-06-27,103607466
2011-06-28,97565924
2011-06-29,93278038
2011-06-30,178644502
2011-07-01,125711684
2011-07-05,101844251
2011-07-06,107152744
2011-07-07,99332599
2011-07-08,116720819
2011-07-11,133918533
2011-07-12,105886583
2011-07-13,109015942
2011-07-14,92749533
2011-07-15,147821751
2011-07-18,111398887
2011-07-19,147482056
2011-07-20,116736948
2011-07-21,82821395
2011-07-22,211640463
2011-07-25,125435037
2011-07-26,107944497
2011-07-27,120429615
2011-07-28,108047697
2011-07-29,248248323
2011-08-01,183145488
2011-08-02,163594563
2011-08-03,593259109
2011-08-04,333004591
2011-08-05,376225436
2011-08-08,401946014
2011-08-09,279801052
2011-08-10,287945899
2011-08-11,259402875
2011-08-12,155465704
2011-08-15,108640887
2011-08-16,136390243
2011-08-17,246491094
2011-08-18,213727166
2011-08-19,203419248
2011-08-22,164353813
2011-08-23,164253123
2011-08-24,78342993
2011-08-25,99269373
2011-08-26,98201043
2011-08-29,167438983
2011-08-30,93757097
2011-08-31,134354223
2011-09-01,108378662
2011-09-02,127612420
2011-09-06,132571411
2011-09-07,195264678
2011-09-08,127577490
2011-09-09,254757126
2011-09-12,162574984
2011-09-13,127644523
2011-09-14,119222883
2011-09-15,112890013
2011-09-16,132298153
2011-09-19,81483567
2011-09-20,273164587
2011-09-21,467542126
2011-09-22,234321064
2011-09-23,117137812
2011-09-26,210174104
2011-09-27,149670653
2011-09-28,124922801
2011-09-29,112803985
2011-09-30,143658911
2011-10-03,281921130
2011-10-04,333076020
2011-10-05,156311796
2011-10-06,126975910
2011-10-07,100001219
2011-10-10,74749279
2011-10-11,83252080
2011-10-12,84307739
2011-10-13,80546985
2011-10-14,84935419
2011-10-17,53431796
2011-10-18,119780918
2011-10-19,106458246
2011-10-20,224269743
2011-10-21,117094728
2011-10-24,110832419
2011-10-25,152753142
2011-10-26,105412316
2011-10-27,144794095
2011-10-28,93260621
2011-10-31,105206885
2011-11-01,122628434
2011-11-02,91708545
2011-11-03,383153343
2011-11-04,259995986
2011-11-07,121156458
2011-11-08,134358303
2011-11-09,209040338
2011-11-10,145829044
2011-11-11,104154922
2011-11-14,103907879
2011-11-15,168236966
2011-11-16,147278910
2011-11-17,135921162
2011-11-18,211813482
2011-11-21,114397747
2011-11-22,201146753
2011-11-23,155297372
2011-11-25,42296286
2011-11-28,129986307
2011-11-29,113210094
2011-11-30,104998056
2011-12-01,160098993
2011-12-02,120397184
2011-12-05,186568108
2011-12-06,154781878
2011-12-07,285583998
2011-12-08,166099690
2011-12-09,159684435
2011-12-12,146729452
2011-12-13,106609830
2011-12-14,265959662
2011-12-15,235540750
2011-12-16,194567592
2011-12-19,133947037
2011-12-20,201466849
2011-12-21,118844064
2011-12-22,103995443
2011-12-23,109218588
2011-12-27,115968662
2011-12-28,145268306
2011-12-29,262445736
2011-12-30,400098359
2012-01-03,206161117
2012-01-04,140442937
2012-01-05,179908126
2012-01-06,201503785
2012-01-09,182109503
2012-01-10,168294360
2012-01-11,212377334
2012-01-12,209272907
2012-01-13,173849605
2012-01-17,116662305
2012-01-18,252800171
2012-01-19,311817107
2012-01-20,173565058
2012-01-23,204968359
2012-01-24,241912818
2012-01-25,130326909
2012-01-26,372872894
2012-01-27,913042315
2012-01-30,205883401
2012-01-31,277494085
2012-02-01,221210839
2012-02-02,204795264
2012-02-03,369024182
2012-02-06,331198969
2012-02-07,221863717
2012-02-08,224940192
2012-02-09,256731120
2012-02-10,480268710
2012-02-13,303160949
2012-02-14,475884989
2012-02-15,430538386
2012-02-16,361656452
2012-02-17,1308520762
2012-02-21,527843275
2012-02-22,287375453
2012-02-23,144787081
2012-02-24,276043870
2012-02-27,85416307
2012-02-28,135275651
2012-02-29,247626084
2012-03-01,138894703
2012-03-02,142449662
2012-03-05,146223202
2012-03-06,142748237
2012-03-07,174534909
2012-03-08,118833521
2012-03-09,172011093
2012-03-12,90387136
2012-03-13,109104763
2012-03-14,99894859
2012-03-15,157291523
2012-03-16,139915183
2012-03-19,96735570
2012-03-20,114486216
2012-03-21,84463044
2012-03-22,80150659
2012-03-23,121558746
2012-03-26,178827910
2012-03-27,257687752
2012-03-28,332743829
2012-03-29,231596869
2012-03-30,158215059
2012-04-02,271227583
2012-04-03,130539240
2012-04-04,229425447
2012-04-05,123218880
2012-04-09,288351126
2012-04-10,123929197
2012-04-11,155434382
2012-04-12,53505282
2012-04-13,64013694
2012-04-16,53784013
2012-04-17,87111488
2012-04-18,82013618
2012-04-19,75568488
2012-04-20,67658812
2012-04-23,125511934
2012-04-24,96734531
2012-04-25,61195637
2012-04-26,301826247
2012-04-27,128608373
2012-04-30,141989566
2012-05-01,114179597
2012-05-02,130390475
2012-05-03,228158647
2012-05-04,272731376
2012-05-07,619633577
2012-05-08,529605174
2012-05-09,401098369
2012-05-10,332673389
2012-05-11,193207266
2012-05-14,184043055
2012-05-15,111923093
2012-05-16,356233819
2012-05-17,169845393
2012-05-18,148374636
2012-05-21,147139772
2012-05-22,210311910
2012-05-23,153505991
2012-05-24,92173427
2012-05-25,80511948
2012-05-29,83951653
2012-05-30,86084935
2012-05-31,246191905
2012-06-01,225947807
2012-06-04,178529399
2012-06-05,144815520
2012-06-06,218513593
2012-06-07,145362822
2012-06-08,101109857
2012-06-11,161538070
2012-06-12,101116118
2012-06-13,187836258
2012-06-14,117382661
2012-06-15,114913865
2012-06-18,155579755
2012-06-19,135011398
2012-06-20,63574138
2012-06-21,183451331
2012-06-22,216637587
2012-06-25,78828877
2012-06-26,139487777
2012-06-27,99619178
2012-06-28,44957037
2012-06-29,120511631
2012-07-02,87656100
2012-07-03,70904041
2012-07-05,98331828
2012-07-06,76062689
2012-07-09,93652361
2012-07-10,76674410
2012-07-11,83646756
2012-07-12,88707543
2012-07-13,96581669
2012-07-16,95057488
2012-07-17,131441221
2012-07-18,133768727
2012-07-19,88565141
2012-07-20,106172963
2012-07-23,61398519
2012-07-24,94182941
2012-07-25,59437641
2012-07-26,83406306
2012-07-27,88105888
2012-07-30,113906573
2012-07-31,394259513
2012-08-01,794858539
2012-08-02,300878999
2012-08-03,104998161
2012-08-06,99697436
2012-08-07,163660777
2012-08-08,115615640
2012-08-09,154414415
2012-08-10,183120706
2012-08-13,197488810
2012-08-14,165591250
2012-08-15,80138466
2012-08-16,117297602
2012-08-17,115654934
2012-08-20,65222520
2012-08-21,80812027
2012-08-22,62349663
2012-08-23,58244579
2012-08-24,74996883
2012-08-27,111305227
2012-08-28,102837900
2012-08-29,82885788
2012-08-30,104303222
2012-08-31,136423974
2012-09-04,113062689
2012-09-05,67607796
2012-09-06,106016822
2012-09-07,94691570
2012-09-10,102054946
2012-09-11,156939731
2012-09-12,143482885
2012-09-13,94332414
2012-09-14,109948924
2012-09-17,57836925
2012-09-18,56938174
2012-09-19,62076726
2012-09-20,107985459
2012-09-21,176474169
2012-09-24,124479541
2012-09-25,84472849
2012-09-26,65363283
2012-09-27,115734847
2012-09-28,257477811
2012-10-01,131340184
2012-10-02,133311067
2012-10-03,211797756
2012-10-04,190713534
2012-10-05,99798883
2012-10-08,47668415
2012-10-09,94692841
2012-10-10,73214364
2012-10-11,111708805
2012-10-12,47978160
2012-10-15,74087060
2012-10-16,133741358
2012-10-17,50812589
2012-10-18,49971166
2012-10-19,79233830
2012-10-22,182056918
2012-10-23,129179155
2012-10-24,85146451
