dt,volume
2010-01-04,29999607
2010-01-05,44930741
2010-01-06,26227420
2010-01-07,39675871
2010-01-08,30857823
2010-01-11,15423506
2010-01-12,19883082
2010-01-13,22572375
2010-01-14,11509236
2010-01-15,28231703
2010-01-19,28496251
2010-01-20,27418146
2010-01-21,30339268
2010-01-22,43684797
2010-01-25,23290996
2010-01-26,29801267
2010-01-27,30276603
2010-01-28,32362503
2010-01-29,34652582
2010-02-01,29982485
2010-02-02,43352232
2010-02-03,39012367
2010-02-04,50978876
2010-02-05,37429383
2010-02-08,20208238
2010-02-09,19914128
2010-02-10,17922323
2010-02-11,24508217
2010-02-12,32850878
2010-02-16,28299807
2010-02-17,21484542
2010-02-18,20256753
2010-02-19,21043582
2010-02-22,14924667
2010-02-23,14314951
2010-02-24,14981998
2010-02-25,22297451
2010-02-26,18318040
2010-03-01,23810432
2010-03-02,22079667
2010-03-03,19757216
2010-03-04,47188334
2010-03-05,15735304
2010-03-08,23693967
2010-03-09,17747037
2010-03-10,28492574
2010-03-11,14865551
2010-03-12,18366522
2010-03-15,21886848
2010-03-16,19693049
2010-03-17,18770212
2010-03-18,23624976
2010-03-19,37393467
2010-03-22,45408219
2010-03-23,28245936
2010-03-24,65699691
2010-03-25,48791860
2010-03-26,32110813
2010-03-29,32049079
2010-03-30,34473733
2010-03-31,30005670
2010-04-01,35415322
2010-04-05,26886514
2010-04-06,30457499
2010-04-07,34644208
2010-04-08,34437955
2010-04-09,31530735
2010-04-12,29373496
2010-04-13,50712632
2010-04-14,34286299
2010-04-15,30817467
2010-04-16,31827944
2010-04-19,31226291
2010-04-20,24733360
2010-04-21,22309297
2010-04-22,20633647
2010-04-23,33102790
2010-04-26,21664662
2010-04-27,22759070
2010-04-28,51312998
2010-04-29,38479108
2010-04-30,36545184
2010-05-03,25208333
2010-05-04,54075149
2010-05-05,46762975
2010-05-06,46694682
2010-05-07,68181799
2010-05-10,34177435
2010-05-11,22951299
2010-05-12,37214574
2010-05-13,32433834
2010-05-14,40678162
2010-05-17,40391880
2010-05-18,32115502
2010-05-19,47733804
2010-05-20,31955117
2010-05-21,47990698
2010-05-24,29379514
2010-05-25,38049022
2010-05-26,28538743
2010-05-27,29211054
2010-05-28,23403011
2010-06-01,31019125
2010-06-02,41773148
2010-06-03,49848716
2010-06-04,36789107
2010-06-07,44431989
2010-06-08,56774029
2010-06-09,140986040
2010-06-10,91727110
2010-06-11,79559069
2010-06-14,66788656
2010-06-15,78882127
2010-06-16,51054473
2010-06-17,66163494
2010-06-18,79386102
2010-06-21,84887224
2010-06-22,65140640
2010-06-23,47135774
2010-06-24,51186632
2010-06-25,72832912
2010-06-28,64708001
2010-06-29,67885199
2010-06-30,202142936
2010-07-01,105149799
2010-07-02,63447920
2010-07-06,89497809
2010-07-07,76511485
2010-07-08,90916184
2010-07-09,57659045
2010-07-12,71368571
2010-07-13,52664646
2010-07-14,38852220
2010-07-15,73683525
2010-07-16,77180011
2010-07-19,50500479
2010-07-20,62086260
2010-07-21,52194960
2010-07-22,74897321
2010-07-23,50517097
2010-07-26,48566167
2010-07-27,68632647
2010-07-28,40106473
2010-07-29,138578694
2010-07-30,98944383
2010-08-02,68903347
2010-08-03,50398605
2010-08-04,44362239
2010-08-05,105312578
2010-08-06,107870988
2010-08-09,60775489
2010-08-10,56263949
2010-08-11,57513944
2010-08-12,111689485
2010-08-13,100414322
2010-08-16,67927819
2010-08-17,56410277
2010-08-18,52392424
2010-08-19,48291977
2010-08-20,50232900
2010-08-23,44841238
2010-08-24,73898380
2010-08-25,50456525
2010-08-26,64690376
2010-08-27,64912235
2010-08-30,47685463
2010-08-31,50495988
2010-09-01,62183733
2010-09-02,37600659
2010-09-03,63935042
2010-09-07,33154875
2010-09-08,45422382
2010-09-09,39569299
2010-09-10,56912822
2010-09-13,49414588
2010-09-14,45020539
2010-09-15,30126675
2010-09-16,33536895
2010-09-17,82463049
2010-09-20,93288922
2010-09-21,120577447
2010-09-22,122065622
2010-09-23,42757816
2010-09-24,100042210
2010-09-27,68835926
2010-09-28,43011803
2010-09-29,34895751
2010-09-30,64040655
2010-10-01,40542345
2010-10-04,40142486
2010-10-05,43620451
2010-10-06,49539334
2010-10-07,40373684
2010-10-08,68247474
2010-10-11,62360807
2010-10-12,49750724
2010-10-13,72835081
2010-10-14,47467416
2010-10-15,45874139
2010-10-18,40057477
2010-10-19,41529283
2010-10-20,29476630
2010-10-21,50685396
2010-10-22,31012649
2010-10-25,39629553
2010-10-26,27459224
2010-10-27,31422888
2010-10-28,26394634
2010-10-29,26277399
2010-11-01,52971964
2010-11-02,61827829
2010-11-03,40915477
2010-11-04,70135862
2010-11-05,53033489
2010-11-08,35469865
2010-11-09,54744111
2010-11-10,55770699
2010-11-11,66255546
2010-11-12,35522579
2010-11-15,53746015
2010-11-16,51829571
2010-11-17,62048887
2010-11-18,53218065
2010-11-19,48432429
2010-11-22,60144628
2010-11-23,52294252
2010-11-24,35607408
2010-11-26,13903224
2010-11-29,71745949
2010-11-30,61373641
2010-12-01,40836168
2010-12-02,61101779
2010-12-03,34529396
2010-12-06,56342798
2010-12-07,81115459
2010-12-08,40993219
2010-12-09,53547954
2010-12-10,41957227
2010-12-13,53591395
2010-12-14,55483741
2010-12-15,50651284
2010-12-16,93740954
2010-12-17,96946014
2010-12-20,47357161
2010-12-21,54798320
2010-12-22,40183906
2010-12-23,25605245
2010-12-27,17313853
2010-12-28,23177377
2010-12-29,24090409
2010-12-30,16075445
2010-12-31,23739359
2011-01-03,57378025
2011-01-04,63930089
2011-01-05,142545301
2011-01-06,72551503
2011-01-07,56081195
2011-01-10,85063601
2011-01-11,50814689
2011-01-12,59516658
2011-01-13,35932366
2011-01-14,55837298
2011-01-18,47401888
2011-01-19,51651778
2011-01-20,123277609
2011-01-21,91000180
2011-01-24,58311253
2011-01-25,66854200
2011-01-26,63559378
2011-01-27,60324353
2011-01-28,55843201
2011-01-31,33825517
2011-02-01,54611251
2011-02-02,65949904
2011-02-03,98485827
2011-02-04,58659336
2011-02-07,65124632
2011-02-08,35947046
2011-02-09,39398411
2011-02-10,55158571
2011-02-11,55628210
2011-02-14,48566725
2011-02-15,44961061
2011-02-16,41243276
2011-02-17,44009118
2011-02-18,64649917
2011-02-22,87640562
2011-02-23,114206789
2011-02-24,57878518
2011-02-25,38559973
2011-02-28,41913861
2011-03-01,62081314
2011-03-02,42441153
2011-03-03,58471584
2011-03-04,42016606
2011-03-07,35575644
2011-03-08,34357342
2011-03-09,31768480
2011-03-10,42074760
2011-03-11,24333165
2011-03-14,28433697
2011-03-15,34546976
2011-03-16,39735209
2011-03-17,107064890
2011-03-18,56618038
2011-03-21,43714050
2011-03-22,40304622
2011-03-23,118794264
2011-03-24,42865370
2011-03-25,30945862
2011-03-28,33588483
2011-03-29,26585453
2011-03-30,24508062
2011-03-31,25984349
2011-04-01,38547484
2011-04-04,34859170
2011-04-05,40829831
2011-04-06,50862348
2011-04-07,58275785
2011-04-08,46321496
2011-04-11,45086210
2011-04-12,36317767
2011-04-13,31725410
2011-04-14,36665958
2011-04-15,50940945
2011-04-18,58303639
2011-04-19,40173920
2011-04-20,96011870
2011-04-21,49750535
2011-04-25,72924976
2011-04-26,62014551
2011-04-27,36069520
2011-04-28,34986954
2011-04-29,35070083
2011-05-02,74778713
2011-05-03,53661379
2011-05-04,44316578
2011-05-05,43804889
2011-05-06,30392208
2011-05-09,25470589
2011-05-10,26140826
2011-05-11,25490167
2011-05-12,38660697
2011-05-13,56468322
2011-05-16,37826215
2011-05-17,53556522
2011-05-18,45864025
2011-05-19,41355010
2011-05-20,41169817
2011-05-23,30016111
2011-05-24,29195212
2011-05-25,27459568
2011-05-26,40024157
2011-05-27,22337535
2011-05-31,31663062
2011-06-01,26659109
2011-06-02,49882158
2011-06-03,40112178
2011-06-06,34828110
2011-06-07,33837711
2011-06-08,24517155
2011-06-09,22434313
2011-06-10,29478328
2011-06-13,26622528
2011-06-14,31060782
2011-06-15,33626943
2011-06-16,54895823
2011-06-17,41790617
2011-06-20,25656563
2011-06-21,45025207
2011-06-22,37083339
2011-06-23,83855937
2011-06-24,74703875
2011-06-27,64768749
2011-06-28,67983191
2011-06-29,136980615
2011-06-30,83860124
2011-07-01,52415713
2011-07-05,50519247
2011-07-06,38007703
2011-07-07,77631559
2011-07-08,55072707
2011-07-11,51172873
2011-07-12,44320064
2011-07-13,51676276
2011-07-14,98605234
2011-07-15,107102078
2011-07-18,51421295
2011-07-19,72169573
2011-07-20,43242589
2011-07-21,50327054
2011-07-22,32183846
2011-07-25,38092091
2011-07-26,31745016
2011-07-27,45547675
2011-07-28,31947647
2011-07-29,42431790
2011-08-01,50530759
2011-08-02,39013735
2011-08-03,53514794
2011-08-04,94068470
2011-08-05,109813488
2011-08-08,138688858
2011-08-09,113651273
2011-08-10,110114664
2011-08-11,84358083
2011-08-12,70618817
2011-08-15,34943226
2011-08-16,48206334
2011-08-17,40995174
2011-08-18,78064450
2011-08-19,71574669
2011-08-22,48812444
2011-08-23,44188439
2011-08-24,38259093
2011-08-25,51714678
2011-08-26,43825789
2011-08-29,30027739
2011-08-30,35330027
2011-08-31,35067277
2011-09-01,36604249
2011-09-02,29587082
2011-09-06,51201001
2011-09-07,38473236
2011-09-08,41876797
2011-09-09,72559266
2011-09-12,62731394
