dt,volume
2010-01-04,118023275
2010-01-05,159952620
2010-01-06,304126363
2010-01-07,133928971
2010-01-08,110399948
2010-01-11,110931975
2010-01-12,169972914
2010-01-13,110062451
2010-01-14,176878282
2010-01-15,213105315
2010-01-19,191185264
2010-01-20,308948980
2010-01-21,328935485
2010-01-22,215028161
2010-01-25,175468527
2010-01-26,221195274
2010-01-27,242347770
2010-01-28,340603137
2010-01-29,463934684
2010-02-01,216749438
2010-02-02,190663855
2010-02-03,201673870
2010-02-04,235806835
2010-02-05,173742304
2010-02-08,141263718
2010-02-09,155437002
2010-02-10,111758168
2010-02-11,107742685
2010-02-12,183864624
2010-02-16,85121438
2010-02-17,86819272
2010-02-18,163407127
2010-02-19,130115588
2010-02-22,135289971
2010-02-23,215038628
2010-02-24,188334014
2010-02-25,111927727
2010-02-26,115925941
2010-03-01,119505393
2010-03-02,97425135
2010-03-03,131331403
2010-03-04,115932187
2010-03-05,87042986
2010-03-08,71359866
2010-03-09,86251468
2010-03-10,115890222
2010-03-11,53237034
2010-03-12,90994293
2010-03-15,101475291
2010-03-16,92578263
2010-03-17,117862909
2010-03-18,78982078
2010-03-19,120415445
2010-03-22,126654366
2010-03-23,134292421
2010-03-24,303325208
2010-03-25,177360393
2010-03-26,184158420
2010-03-29,104757504
2010-03-30,81171671
2010-03-31,348276220
2010-04-01,125220511
2010-04-05,134913072
2010-04-06,120880219
2010-04-07,92848575
2010-04-08,119333157
2010-04-09,63280750
2010-04-12,86810399
2010-04-13,79054005
2010-04-14,127184574
2010-04-15,122055356
2010-04-16,170069677
2010-04-19,110651723
2010-04-20,92930263
2010-04-21,100860927
2010-04-22,120083555
2010-04-23,106066945
2010-04-26,105683123
2010-04-27,192012247
2010-04-28,178212563
2010-04-29,133304254
2010-04-30,251646236
2010-05-03,123096684
2010-05-04,171662872
2010-05-05,177774571
2010-05-06,197334799
2010-05-07,307203554
2010-05-10,262648919
2010-05-11,188322964
2010-05-12,100732651
2010-05-13,82821944
2010-05-14,116388552
2010-05-17,135960679
2010-05-18,127461477
2010-05-19,151712728
2010-05-20,184202681
2010-05-21,176440257
2010-05-24,156054916
2010-05-25,164232721
2010-05-26,157734793
2010-05-27,127905089
2010-05-28,145567495
2010-06-01,148768359
2010-06-02,105946355
2010-06-03,80502802
2010-06-04,119402863
2010-06-07,104674924
2010-06-08,186512427
2010-06-09,119898291
2010-06-10,101974605
2010-06-11,88021122
2010-06-14,91035417
2010-06-15,83751826
2010-06-16,123155983
2010-06-17,153123849
2010-06-18,119153277
2010-06-21,84989905
2010-06-22,89306273
2010-06-23,110072018
2010-06-24,142971940
2010-06-25,136731761
2010-06-28,109332551
2010-06-29,200595618
2010-06-30,128170982
2010-07-01,204863694
2010-07-02,78521405
2010-07-06,117639812
2010-07-07,118742923
2010-07-08,96406248
2010-07-09,102082150
2010-07-12,81985374
2010-07-13,120213179
2010-07-14,63899342
2010-07-15,84303942
2010-07-16,99814645
2010-07-19,80663433
2010-07-20,102868853
2010-07-21,121490906
2010-07-22,105990200
2010-07-23,82386029
2010-07-26,75274405
2010-07-27,88681802
2010-07-28,64726889
2010-07-29,161496193
2010-07-30,551332570
2010-08-02,216067978
2010-08-03,115581342
2010-08-04,182500068
2010-08-05,222280585
2010-08-06,177858216
2010-08-09,61053250
2010-08-10,97849192
2010-08-11,124198693
2010-08-12,160378257
2010-08-13,102536280
2010-08-16,99303941
2010-08-17,77655496
2010-08-18,73207999
2010-08-19,78654852
2010-08-20,88389531
2010-08-23,80423934
2010-08-24,188828240
2010-08-25,134689587
2010-08-26,147892474
2010-08-27,87790522
2010-08-30,56423857
2010-08-31,79206753
2010-09-01,115020933
2010-09-02,96117571
2010-09-03,101804639
2010-09-07,115099250
2010-09-08,84043049
2010-09-09,88923856
2010-09-10,59139714
2010-09-13,95055793
2010-09-14,71154066
2010-09-15,57815808
2010-09-16,64068647
2010-09-17,79515512
2010-09-20,69889343
2010-09-21,53589571
2010-09-22,45952092
2010-09-23,53055088
2010-09-24,56563045
2010-09-27,48843477
2010-09-28,59746480
2010-09-29,42067411
2010-09-30,66820637
2010-10-01,51139646
2010-10-04,56731574
2010-10-05,87435190
2010-10-06,51410625
2010-10-07,59912178
2010-10-08,82963852
2010-10-11,52978165
2010-10-12,54033830
2010-10-13,61740079
2010-10-14,127133527
2010-10-15,173345426
2010-10-18,111644185
2010-10-19,117453037
2010-10-20,77680772
2010-10-21,67038844
2010-10-22,30994376
2010-10-25,61762237
2010-10-26,53962222
2010-10-27,45611036
2010-10-28,109852663
2010-10-29,597453143
2010-11-01,157693498
2010-11-02,86744082
2010-11-03,80788509
2010-11-04,143205169
2010-11-05,79930855
2010-11-08,91058193
2010-11-09,71103088
2010-11-10,77545676
2010-11-11,78914748
2010-11-12,111689410
2010-11-15,99751535
2010-11-16,127897374
2010-11-17,83981440
