dt,volume
2010-01-04,11527301
2010-01-05,5625489
2010-01-06,4972652
2010-01-07,6904367
2010-01-08,7158410
2010-01-11,7655413
2010-01-12,11322280
2010-01-13,11501975
2010-01-14,5766193
2010-01-15,5096407
2010-01-19,11739304
2010-01-20,41408821
2010-01-21,13153659
2010-01-22,7371513
2010-01-25,7691202
2010-01-26,9937616
2010-01-27,8564528
2010-01-28,27968100
2010-01-29,11146479
2010-02-01,8039835
2010-02-02,7780411
2010-02-03,9524097
2010-02-04,10642140
2010-02-05,11334829
2010-02-08,10067170
2010-02-09,8093596
2010-02-10,8230371
2010-02-11,4533994
2010-02-12,7371532
2010-02-16,7535317
2010-02-17,9035656
2010-02-18,6080296
2010-02-19,5892574
2010-02-22,7343912
2010-02-23,12223969
2010-02-24,8467618
2010-02-25,7712526
2010-02-26,16701493
2010-03-01,12947539
2010-03-02,9004804
2010-03-03,6145813
2010-03-04,3483130
2010-03-05,6760507
2010-03-08,7838512
2010-03-09,3823255
2010-03-10,5261529
2010-03-11,7059205
2010-03-12,8889092
2010-03-15,4968104
2010-03-16,5647843
2010-03-17,3586385
2010-03-18,3690627
2010-03-19,8069362
2010-03-22,6779616
2010-03-23,4542621
2010-03-24,7260303
2010-03-25,3633685
2010-03-26,4249650
2010-03-29,5856401
2010-03-30,4808322
2010-03-31,4502560
2010-04-01,4543212
2010-04-05,4081907
2010-04-06,10125754
2010-04-07,4261625
2010-04-08,9584041
2010-04-09,2884411
2010-04-12,6967725
2010-04-13,7307488
2010-04-14,11636355
2010-04-15,4853533
2010-04-16,5117575
2010-04-19,9269677
2010-04-20,12748639
2010-04-21,12964346
2010-04-22,41457486
2010-04-23,13597770
2010-04-26,9522137
2010-04-27,11582090
2010-04-28,8852516
2010-04-29,6715064
2010-04-30,3438234
2010-05-03,4816561
2010-05-04,5712507
2010-05-05,7474657
2010-05-06,18896871
2010-05-07,28453117
2010-05-10,13843706
2010-05-11,8629409
2010-05-12,5131703
2010-05-13,4198609
2010-05-14,7791120
2010-05-17,8486700
2010-05-18,9832945
2010-05-19,9771744
2010-05-20,14782440
2010-05-21,8314014
2010-05-24,4795238
2010-05-25,11604721
2010-05-26,4725907
2010-05-27,3998616
2010-05-28,6498291
2010-06-01,7954171
2010-06-02,6330444
2010-06-03,7293128
2010-06-04,8081488
2010-06-07,6015637
2010-06-08,14496159
2010-06-09,6164989
2010-06-10,5868501
2010-06-11,6817170
