dt,volume
2010-01-04,142505114
2010-01-05,234678046
2010-01-06,96477181
2010-01-07,156579566
2010-01-08,196229461
2010-01-11,216118336
2010-01-12,323022888
2010-01-13,201109405
2010-01-14,188859855
2010-01-15,370288425
2010-01-19,167241007
2010-01-20,172079559
2010-01-21,246695750
2010-01-22,184831694
2010-01-25,161939914
2010-01-26,160902668
2010-01-27,163382825
2010-01-28,237240829
2010-01-29,232684121
2010-02-01,193864082
2010-02-02,238148874
2010-02-03,242823330
2010-02-04,207327665
2010-02-05,215057992
2010-02-08,329637804
2010-02-09,234648188
2010-02-10,202448535
2010-02-11,170163317
2010-02-12,165781072
2010-02-16,149332796
2010-02-17,306947542
2010-02-18,224448882
2010-02-19,262382501
2010-02-22,214566462
2010-02-23,540476495
2010-02-24,270128220
2010-02-25,208906064
2010-02-26,185579877
2010-03-01,178258368
2010-03-02,185754026
2010-03-03,177702062
2010-03-04,157255217
2010-03-05,176710265
2010-03-08,138228732
2010-03-09,184937881
2010-03-10,144233030
2010-03-11,162813336
2010-03-12,199262553
2010-03-15,158108356
2010-03-16,170507302
2010-03-17,163374745
2010-03-18,251784256
2010-03-19,319576540
2010-03-22,158681236
2010-03-23,133608356
2010-03-24,158623362
2010-03-25,132436678
2010-03-26,169156409
2010-03-29,119130984
2010-03-30,118518582
2010-03-31,111063536
2010-04-01,114302614
2010-04-05,109770353
2010-04-06,115790363
2010-04-07,118890377
2010-04-08,147648577
2010-04-09,185856536
2010-04-12,130885896
2010-04-13,311108021
2010-04-14,302735927
2010-04-15,229045258
2010-04-16,432251724
2010-04-19,223486817
2010-04-20,180467487
2010-04-21,305330535
2010-04-22,252372863
2010-04-23,304778017
2010-04-26,261207939
2010-04-27,270885877
2010-04-28,275770246
2010-04-29,216378280
2010-04-30,179172888
2010-05-03,140233430
2010-05-04,247724283
2010-05-05,320864132
2010-05-06,338980444
2010-05-07,424029430
2010-05-10,265715046
2010-05-11,278185684
2010-05-12,243337896
2010-05-13,233005742
2010-05-14,283146394
2010-05-17,450969115
2010-05-18,701222325
2010-05-19,378541304
2010-05-20,370311202
2010-05-21,544949280
2010-05-24,324116101
2010-05-25,366804306
2010-05-26,356887542
2010-05-27,213047669
2010-05-28,178033954
2010-06-01,228659810
2010-06-02,192465540
2010-06-03,185295598
2010-06-04,237387320
2010-06-07,244703103
2010-06-08,210378010
2010-06-09,174688550
2010-06-10,166629222
2010-06-11,177981631
2010-06-14,270453904
2010-06-15,271482695
2010-06-16,204697187
2010-06-17,298271595
2010-06-18,272267067
2010-06-21,184953423
2010-06-22,308799408
2010-06-23,304134594
2010-06-24,395144262
2010-06-25,323112710
2010-06-28,211392412
2010-06-29,263643548
2010-06-30,204243865
2010-07-01,368907685
2010-07-02,193418025
2010-07-06,241910771
2010-07-07,256757009
2010-07-08,219185903
2010-07-09,158324264
2010-07-12,213005663
2010-07-13,291946147
2010-07-14,149952048
2010-07-15,158303636
2010-07-16,277379269
2010-07-19,229557830
2010-07-20,290153438
2010-07-21,173787818
2010-07-22,344401117
2010-07-23,185749359
2010-07-26,203789531
2010-07-27,211369275
2010-07-28,147658202
2010-07-29,182356783
2010-07-30,139525742
2010-08-02,217441878
2010-08-03,147586383
2010-08-04,133901062
2010-08-05,129246812
2010-08-06,152080872
2010-08-09,86021297
2010-08-10,151942069
2010-08-11,138164143
2010-08-12,118500784
2010-08-13,112057760
2010-08-16,167712461
2010-08-17,308154954
2010-08-18,174658956
2010-08-19,184225757
2010-08-20,178678101
2010-08-23,121305266
2010-08-24,205564207
2010-08-25,219902296
2010-08-26,140693810
2010-08-27,171984895
2010-08-30,104440685
2010-08-31,135846781
2010-09-01,154701930
2010-09-02,186335110
2010-09-03,189087079
2010-09-07,106673502
2010-09-08,108835799
2010-09-09,98825428
2010-09-10,88565683
2010-09-13,119304352
2010-09-14,201819984
2010-09-15,124334091
2010-09-16,134507890
2010-09-17,200624134
2010-09-20,134149130
2010-09-21,159275612
2010-09-22,138831531
2010-09-23,175151723
2010-09-24,142950835
2010-09-27,91998733
2010-09-28,161923103
2010-09-29,115743519
2010-09-30,151019225
2010-10-01,121238224
2010-10-04,136263354
2010-10-05,226213797
2010-10-06,150036522
2010-10-07,188797429
2010-10-08,125539604
2010-10-11,98768150
2010-10-12,138420988
2010-10-13,160940901
2010-10-14,127844784
2010-10-15,200050729
2010-10-18,137213141
2010-10-19,150634777
2010-10-20,240695608
2010-10-21,345767888
2010-10-22,115740637
2010-10-25,114808031
2010-10-26,112275550
2010-10-27,147947784
2010-10-28,98711376
2010-10-29,86294435
2010-11-01,100048717
2010-11-02,173649334
2010-11-03,95145730
2010-11-04,128471294
2010-11-05,140787837
2010-11-08,133757730
2010-11-09,103171514
2010-11-10,147074766
2010-11-11,119825548
2010-11-12,132706067
2010-11-15,118430188
2010-11-16,404942597
2010-11-17,255385284
2010-11-18,173679499
2010-11-19,165025403
2010-11-22,133630648
2010-11-23,147034692
2010-11-24,120386319
2010-11-26,27077895
2010-11-29,156185660
2010-11-30,122723709
2010-12-01,223306557
2010-12-02,310922798
2010-12-03,239481522
2010-12-06,129753572
2010-12-07,161634743
2010-12-08,151368001
2010-12-09,209071086
2010-12-10,144422986
2010-12-13,146232772
2010-12-14,126056770
2010-12-15,149977499
2010-12-16,131961242
2010-12-17,184961193
2010-12-20,104543825
2010-12-21,80372971
2010-12-22,79510688
2010-12-23,91458816
2010-12-27,59475520
2010-12-28,48186843
2010-12-29,70910733
2010-12-30,80372255
2010-12-31,49292533
2011-01-03,91856521
2011-01-04,174081434
2011-01-05,146754585
2011-01-06,147575692
2011-01-07,155111582
2011-01-10,126894225
2011-01-11,153049544
2011-01-12,106991306
2011-01-13,127796231
2011-01-14,165590821
2011-01-18,125653524
2011-01-19,109538476
2011-01-20,161865213
2011-01-21,156612508
2011-01-24,89783580
2011-01-25,160136589
2011-01-26,261709389
2011-01-27,129663656
2011-01-28,138072928
2011-01-31,144116362
2011-02-01,128435195
2011-02-02,79420883
2011-02-03,73933516
2011-02-04,90151292
2011-02-07,85108683
2011-02-08,72879847
2011-02-09,72423741
2011-02-10,75238978
2011-02-11,147145514
2011-02-14,119954186
2011-02-15,82478362
2011-02-16,87179550
2011-02-17,105092633
2011-02-18,168877052
2011-02-22,320987668
2011-02-23,200232368
2011-02-24,112049752
2011-02-25,99561643
2011-02-28,113920817
2011-03-01,114535218
2011-03-02,172381436
2011-03-03,90508109
2011-03-04,115121084
2011-03-07,105746940
2011-03-08,193276367
2011-03-09,112624469
2011-03-10,118717897
2011-03-11,102649365
2011-03-14,113749837
2011-03-15,114305458
2011-03-16,152196921
2011-03-17,115349511
2011-03-18,152932896
2011-03-21,106027386
2011-03-22,85309234
2011-03-23,119487851
2011-03-24,139284376
2011-03-25,87771242
2011-03-28,96929813
2011-03-29,223658971
2011-03-30,107029309
2011-03-31,89262997
2011-04-01,119332560
2011-04-04,76462128
2011-04-05,127306815
2011-04-06,125150304
2011-04-07,131574397
2011-04-08,131662915
2011-04-11,89557061
2011-04-12,119908286
2011-04-13,129499625
2011-04-14,88280636
2011-04-15,159576218
2011-04-18,113126381
2011-04-19,100965736
2011-04-20,110085822
2011-04-21,114560582
2011-04-25,120045298
2011-04-26,191630155
2011-04-27,170603673
2011-04-28,123747509
2011-04-29,138168512
2011-05-02,84404853
2011-05-03,103876100
2011-05-04,136741849
2011-05-05,141619545
2011-05-06,111324141
2011-05-09,79816491
2011-05-10,77738780
2011-05-11,122008247
2011-05-12,141264150
2011-05-13,115035177
2011-05-16,155622371
2011-05-17,287902703
2011-05-18,103607458
2011-05-19,90459024
2011-05-20,98284930
2011-05-23,106899401
2011-05-24,134656156
2011-05-25,149641552
2011-05-26,96054951
2011-05-27,118663329
2011-05-31,86211942
2011-06-01,126213479
2011-06-02,158230647
2011-06-03,118038374
2011-06-06,87317308
2011-06-07,114045421
2011-06-08,112605133
2011-06-09,82190861
2011-06-10,135837642
2011-06-13,148570089
2011-06-14,202010473
2011-06-15,182124158
2011-06-16,185426815
2011-06-17,165157466
2011-06-20,98657297
2011-06-21,167773276
2011-06-22,133717599
2011-06-23,245852943
2011-06-24,139131612
2011-06-27,110596376
2011-06-28,239626583
2011-06-29,158700527
2011-06-30,123340924
2011-07-01,117335055
2011-07-05,113519161
2011-07-06,92465390
2011-07-07,120324721
2011-07-08,127889346
2011-07-11,110329806
2011-07-12,100740134
2011-07-13,111782070
2011-07-14,148685576
2011-07-15,134244618
2011-07-18,84958658
2011-07-19,119701789
2011-07-20,164421419
2011-07-21,154848084
2011-07-22,98219379
2011-07-25,121986092
2011-07-26,128395437
2011-07-27,143260723
2011-07-28,165433005
2011-07-29,160227904
2011-08-01,188419683
2011-08-02,205333914
2011-08-03,188399609
2011-08-04,212796592
2011-08-05,458781598
2011-08-08,485312277
2011-08-09,319745369
2011-08-10,304872192
2011-08-11,232888893
2011-08-12,248519998
2011-08-15,214899064
2011-08-16,405911648
2011-08-17,223867913
2011-08-18,246083352
2011-08-19,193059496
2011-08-22,148840153
2011-08-23,135844768
2011-08-24,227225680
2011-08-25,210424255
2011-08-26,239229031
2011-08-29,203030742
2011-08-30,204942253
2011-08-31,195380355
2011-09-01,180696090
2011-09-02,152895724
2011-09-06,158457864
2011-09-07,173069483
2011-09-08,115657429
2011-09-09,129407288
2011-09-12,152610001
2011-09-13,123954059
2011-09-14,185945473
2011-09-15,147482513
2011-09-16,267356589
2011-09-19,111765528
2011-09-20,140299666
2011-09-21,129065988
2011-09-22,234554738
2011-09-23,153274897
2011-09-26,241499957
2011-09-27,168461516
2011-09-28,115187541
2011-09-29,159972196
2011-09-30,111858503
2011-10-03,184066135
2011-10-04,183862340
2011-10-05,207809740
2011-10-06,109652122
2011-10-07,155204764
2011-10-10,102127332
2011-10-11,85974723
2011-10-12,119425709
2011-10-13,116698852
2011-10-14,87163176
2011-10-17,114742616
2011-10-18,147511169
2011-10-19,118425326
2011-10-20,110059061
2011-10-21,186891161
2011-10-24,135879290
2011-10-25,146171581
2011-10-26,134250534
2011-10-27,148692990
2011-10-28,130043537
2011-10-31,105976337
2011-11-01,151932348
2011-11-02,103802668
2011-11-03,108849933
2011-11-04,61025797
2011-11-07,141518167
2011-11-08,111135883
2011-11-09,123254115
2011-11-10,85873351
2011-11-11,135266501
2011-11-14,190684895
2011-11-15,233280214
2011-11-16,136993349
2011-11-17,143779945
2011-11-18,135992646
2011-11-21,138643544
2011-11-22,103372511
2011-11-23,74459102
2011-11-25,28744079
2011-11-28,98209743
2011-11-29,196757345
2011-11-30,236357688
2011-12-01,119605156
