dt,volume
2010-01-04,97104987
2010-01-05,179223416
2010-01-06,137051197
2010-01-07,97669668
2010-01-08,71366469
2010-01-11,69096773
2010-01-12,424582418
2010-01-13,112424050
2010-01-14,131181521
2010-01-15,106682707
2010-01-19,70006234
2010-01-20,65579146
2010-01-21,155289216
2010-01-22,133371017
2010-01-25,102726130
2010-01-26,83849271
2010-01-27,85155945
2010-01-28,83070020
2010-01-29,79995620
2010-02-01,54445108
2010-02-02,80267169
2010-02-03,82445830
2010-02-04,103697240
2010-02-05,115063162
2010-02-08,141113239
2010-02-09,328944595
2010-02-10,280901669
2010-02-11,111208494
2010-02-12,73565051
2010-02-16,64840438
2010-02-17,91967551
2010-02-18,59043883
2010-02-19,62398754
2010-02-22,50047874
2010-02-23,96666281
2010-02-24,67026162
2010-02-25,59710483
2010-02-26,51368481
2010-03-01,56040345
2010-03-02,195143562
2010-03-03,91963598
2010-03-04,107232495
2010-03-05,92337343
2010-03-08,74511434
2010-03-09,89392161
2010-03-10,108018583
2010-03-11,66627155
2010-03-12,83446367
2010-03-15,80362869
2010-03-16,74236972
2010-03-17,374740807
2010-03-18,996777668
2010-03-19,274057945
2010-03-22,200901692
2010-03-23,106286964
2010-03-24,150817011
2010-03-25,171202873
2010-03-26,160018472
2010-03-29,104457587
2010-03-30,104817804
2010-03-31,129546704
2010-04-01,129388088
2010-04-05,68366335
2010-04-06,74229653
2010-04-07,133308541
2010-04-08,78347821
2010-04-09,103125055
2010-04-12,117052829
2010-04-13,86003387
2010-04-14,203949583
2010-04-15,125635997
2010-04-16,137078762
2010-04-19,85808259
2010-04-20,188793290
2010-04-21,84301503
2010-04-22,101298856
2010-04-23,81790434
2010-04-26,155595835
2010-04-27,149364237
2010-04-28,93268269
2010-04-29,104008975
2010-04-30,117336308
2010-05-03,92469776
2010-05-04,109394507
2010-05-05,132570517
2010-05-06,196293290
2010-05-07,252268475
2010-05-10,161385199
2010-05-11,68510715
2010-05-12,48677755
2010-05-13,50347128
2010-05-14,77033194
2010-05-17,73578747
2010-05-18,105574300
2010-05-19,122137157
2010-05-20,134757193
2010-05-21,170365396
2010-05-24,120036852
2010-05-25,147138353
2010-05-26,112370009
2010-05-27,90161306
2010-05-28,74600643
2010-06-01,77262972
2010-06-02,96389913
2010-06-03,74413747
2010-06-04,110789531
2010-06-07,131285349
2010-06-08,109849434
2010-06-09,96721997
2010-06-10,68785372
2010-06-11,100860551
2010-06-14,161008727
2010-06-15,83613713
2010-06-16,64606329
2010-06-17,54737273
2010-06-18,66315218
2010-06-21,59101568
2010-06-22,69000941
2010-06-23,70622838
2010-06-24,64943229
2010-06-25,79600215
2010-06-28,53355923
2010-06-29,77239314
2010-06-30,104263893
2010-07-01,137603974
2010-07-02,68833617
2010-07-06,99126125
2010-07-07,127088784
2010-07-08,81594212
2010-07-09,60163364
2010-07-12,85694195
2010-07-13,71849859
2010-07-14,91669309
2010-07-15,82362176
2010-07-16,71460084
2010-07-19,62767431
2010-07-20,64591068
2010-07-21,77308370
2010-07-22,63195757
