dt,volume
2013-12-12,1202575114
2013-12-13,210071060
2013-12-16,136764250
2013-12-17,60943702
2013-12-18,50410775
2013-12-19,35920016
2013-12-20,27269241
2013-12-23,32292812
2013-12-24,25794733
2013-12-26,37966357
2013-12-27,27685869
2013-12-30,24919323
2013-12-31,26784455
2014-01-02,28513216
2014-01-03,10651405
2014-01-06,36168394
2014-01-07,27729807
2014-01-08,17728578
2014-01-09,11826726
2014-01-10,21337931
2014-01-13,18375206
2014-01-14,31678341
2014-01-15,28345623
2014-01-16,21891105
2014-01-17,79844595
2014-01-21,44785156
2014-01-22,23724061
2014-01-23,19289216
2014-01-24,20756448
2014-01-27,26969420
2014-01-28,16608640
2014-01-29,11330566
2014-01-30,16996275
2014-01-31,10222358
2014-02-03,22021180
2014-02-04,20911987
2014-02-05,14126208
2014-02-06,7113168
2014-02-07,14113357
2014-02-10,13322738
2014-02-11,16681328
2014-02-12,11740033
2014-02-13,16457282
2014-02-14,17452214
2014-02-18,15037959
2014-02-19,10208260
2014-02-20,17219822
2014-02-21,21042280
2014-02-24,23929860
2014-02-25,22663997
2014-02-26,31660376
2014-02-27,63399070
2014-02-28,23685354
2014-03-03,15365955
2014-03-04,47748002
2014-03-05,13672750
2014-03-06,15828668
2014-03-07,16303760
2014-03-10,21269608
2014-03-11,16660146
2014-03-12,21936665
2014-03-13,18266279
2014-03-14,14490226
2014-03-17,8505742
2014-03-18,13236845
2014-03-19,18875848
2014-03-20,17456949
2014-03-21,25928586
2014-03-24,26333546
2014-03-25,19793882
2014-03-26,21382112
2014-03-27,14889024
2014-03-28,52928448
2014-03-31,23457523
2014-04-01,32498917
2014-04-02,18212410
2014-04-03,19646343
2014-04-04,65013859
2014-04-07,14007954
2014-04-08,19071000
2014-04-09,19034248
2014-04-10,10604335
2014-04-11,16768770
2014-04-14,10766935
2014-04-15,11688537
2014-04-16,9146715
2014-04-17,20397528
2014-04-21,8791366
2014-04-22,11208523
2014-04-23,12360234
2014-04-24,7922159
2014-04-25,4830750
2014-04-28,13685975
2014-04-29,29591841
2014-04-30,20591016
2014-05-01,13743722
2014-05-02,32035023
2014-05-05,8535624
2014-05-06,15298064
2014-05-07,24691367
2014-05-08,28775054
2014-05-09,100121634
2014-05-12,47958479
2014-05-13,23434733
2014-05-14,29178176
2014-05-15,47049584
2014-05-16,31795337
2014-05-19,24025564
2014-05-20,25807926
2014-05-21,57796708
2014-05-22,27411700
2014-05-23,14847060
2014-05-27,33333721
2014-05-28,26599111
2014-05-29,14366882
2014-05-30,26793928
2014-06-02,26835249
2014-06-03,22927506
2014-06-04,16913385
2014-06-05,24706718
2014-06-06,29411676
2014-06-09,28741920
2014-06-10,35389174
2014-06-11,116114367
2014-06-12,52786123
2014-06-13,45737178
2014-06-16,62336408
2014-06-17,34278067
2014-06-18,29102223
