dt,volume
2010-01-04,89629458
2010-01-05,104840471
2010-01-06,73377644
2010-01-07,84374272
2010-01-08,53336257
2010-01-11,84995638
2010-01-12,118527195
2010-01-13,88550345
2010-01-14,95105192
2010-01-15,138819947
2010-01-19,144857289
2010-01-20,238389798
2010-01-21,128294054
2010-01-22,112372618
2010-01-25,86434709
2010-01-26,93282147
2010-01-27,109124247
2010-01-28,119972096
2010-01-29,142820175
2010-02-01,89972379
2010-02-02,70950181
2010-02-03,55235053
2010-02-04,106042080
2010-02-05,103832935
2010-02-08,75552678
2010-02-09,81831209
2010-02-10,64875577
2010-02-11,68180203
2010-02-12,92620639
2010-02-16,64826026
2010-02-17,71126927
2010-02-18,71159410
2010-02-19,90772466
2010-02-22,51418307
2010-02-23,59767021
2010-02-24,65837126
2010-02-25,73222248
2010-02-26,54873460
2010-03-01,61032232
2010-03-02,74151592
2010-03-03,75810337
2010-03-04,70111088
2010-03-05,77392949
2010-03-08,77384774
2010-03-09,110678919
2010-03-10,81302371
2010-03-11,106095008
2010-03-12,77580772
2010-03-15,57216556
2010-03-16,78442146
2010-03-17,69337055
2010-03-18,63220848
2010-03-19,142882856
2010-03-22,72486791
2010-03-23,70234791
2010-03-24,103520261
2010-03-25,110130548
2010-03-26,68228184
2010-03-29,59784319
2010-03-30,46102493
2010-03-31,54656494
2010-04-01,61861138
2010-04-05,49651597
2010-04-06,55465424
2010-04-07,51086429
2010-04-08,71341571
2010-04-09,65841388
2010-04-12,46688260
2010-04-13,87147553
2010-04-14,118530154
2010-04-15,85145482
2010-04-16,147258929
2010-04-19,114056404
2010-04-20,249437295
2010-04-21,106120782
2010-04-22,81042966
2010-04-23,73102130
2010-04-26,67678449
2010-04-27,168196862
2010-04-28,96029218
2010-04-29,69854881
2010-04-30,63685410
2010-05-03,53390351
2010-05-04,101688693
2010-05-05,92578938
2010-05-06,127936208
2010-05-07,149793706
2010-05-10,111962599
2010-05-11,77674443
2010-05-12,204321833
2010-05-13,161909902
2010-05-14,133703509
2010-05-17,118630784
2010-05-18,113382024
2010-05-19,119922424
2010-05-20,153441123
2010-05-21,178044351
2010-05-24,92377049
2010-05-25,119161247
2010-05-26,96446569
2010-05-27,89657828
2010-05-28,83074065
2010-06-01,87040409
2010-06-02,82343059
2010-06-03,80359338
2010-06-04,95691358
2010-06-07,75633188
2010-06-08,91702580
2010-06-09,86326890
2010-06-10,84590506
2010-06-11,73516839
2010-06-14,87113200
2010-06-15,81864148
2010-06-16,80575115
2010-06-17,62387838
2010-06-18,133952367
2010-06-21,83138547
2010-06-22,69543213
2010-06-23,81578473
2010-06-24,71948721
2010-06-25,65201729
2010-06-28,75299162
2010-06-29,106075951
2010-06-30,97676782
2010-07-01,117915583
2010-07-02,85434335
2010-07-06,79748411
2010-07-07,81483969
2010-07-08,69420768
2010-07-09,46769068
2010-07-12,55207645
2010-07-13,83304612
2010-07-14,88080700
2010-07-15,77504331
2010-07-16,101370040
2010-07-19,80045922
2010-07-20,245447024
2010-07-21,108541748
2010-07-22,82610974
2010-07-23,63223158
2010-07-26,69041984
2010-07-27,58984400
2010-07-28,50683757
2010-07-29,76686092
2010-07-30,63671180
2010-08-02,76244105
2010-08-03,72617869
2010-08-04,57119170
2010-08-05,58397596
2010-08-06,83346971
2010-08-09,74335940
2010-08-10,68277669
2010-08-11,75505387
2010-08-12,69204287
2010-08-13,58723553
2010-08-16,55010454
2010-08-17,51167451
2010-08-18,58584857
2010-08-19,71695611
2010-08-20,96582151
2010-08-23,49787634
2010-08-24,74600621
2010-08-25,67610984
2010-08-26,81271282
2010-08-27,94826410
2010-08-30,41804216
2010-08-31,56998004
2010-09-01,76119760
2010-09-02,61252146
2010-09-03,70076050
2010-09-07,53009488
2010-09-08,56011883
2010-09-09,41816792
2010-09-10,55232948
2010-09-13,63881295
2010-09-14,59823328
2010-09-15,56581254
2010-09-16,53269266
2010-09-17,122858049
2010-09-20,74054365
2010-09-21,56498305
2010-09-22,64646068
2010-09-23,49857614
2010-09-24,94898596
2010-09-27,80201639
2010-09-28,83496096
2010-09-29,64827705
2010-09-30,91750218
2010-10-01,80942997
2010-10-04,54754122
2010-10-05,74359424
2010-10-06,66210113
2010-10-07,90951031
2010-10-08,59799859
2010-10-11,58765435
2010-10-12,67894954
2010-10-13,125457076
2010-10-14,74582712
2010-10-15,101184574
2010-10-18,118922548
2010-10-19,223898021
2010-10-20,94579052
2010-10-21,78670416
2010-10-22,53577558
2010-10-25,60802141
2010-10-26,125953961
2010-10-27,87946037
2010-10-28,74731015
2010-10-29,106660645
2010-11-01,73812238
2010-11-02,59077615
2010-11-03,58172402
2010-11-04,87184574
2010-11-05,69066368
2010-11-08,57183960
2010-11-09,65386569
2010-11-10,65098757
2010-11-11,73198504
2010-11-12,58210255
2010-11-15,45888641
2010-11-16,71064774
2010-11-17,61539902
2010-11-18,53927185
2010-11-19,74274193
2010-11-22,48065744
2010-11-23,55412988
2010-11-24,60872844
2010-11-26,30040194
2010-11-29,69471230
2010-11-30,71821478
2010-12-01,89620213
2010-12-02,61510191
2010-12-03,51086195
2010-12-06,45622592
2010-12-07,56634703
2010-12-08,64436039
2010-12-09,56822742
2010-12-10,45403977
2010-12-13,59743807
2010-12-14,56842595
2010-12-15,42015995
2010-12-16,48357459
2010-12-17,106052224
2010-12-20,49970687
2010-12-21,44579802
2010-12-22,48826812
2010-12-23,30466337
2010-12-27,30148440
2010-12-28,30965460
2010-12-29,42345625
2010-12-30,33410763
2010-12-31,29115829
2011-01-03,55801850
2011-01-04,62378138
2011-01-05,57940671
2011-01-06,59477505
2011-01-07,57020255
2011-01-10,41404186
2011-01-11,52891948
2011-01-12,51535961
2011-01-13,43351461
2011-01-14,52382241
2011-01-18,111114575
2011-01-19,203995257
2011-01-20,105976712
2011-01-21,98765232
2011-01-24,88741896
2011-01-25,104633880
2011-01-26,77505455
2011-01-27,64415239
2011-01-28,82646700
2011-01-31,69757162
2011-02-01,76575361
2011-02-02,51213892
2011-02-03,60067217
2011-02-04,46256170
2011-02-07,63501753
2011-02-08,70400039
2011-02-09,57952785
2011-02-10,73646698
2011-02-11,73657808
2011-02-14,50333975
2011-02-15,49689295
2011-02-16,40044448
2011-02-17,45202198
2011-02-18,58606758
2011-02-22,59479298
2011-02-23,68964791
2011-02-24,71553738
2011-02-25,51628980
2011-02-28,48953207
2011-03-01,52343691
2011-03-02,45014048
2011-03-03,48340352
2011-03-04,58495009
2011-03-07,65269834
2011-03-08,76287245
2011-03-09,144926634
2011-03-10,96872878
2011-03-11,59682852
2011-03-14,54347826
2011-03-15,89006214
2011-03-16,171059745
2011-03-17,102443087
2011-03-18,143878574
2011-03-21,85041681
2011-03-22,50703860
2011-03-23,58611967
2011-03-24,71890506
2011-03-25,72901012
2011-03-28,48471058
2011-03-29,45823420
2011-03-30,40423906
2011-03-31,34152520
2011-04-01,55888078
2011-04-04,40265025
2011-04-05,42338651
2011-04-06,39519860
2011-04-07,50204646
2011-04-08,40099324
