dt,volume
2010-01-04,9173444
2010-01-05,24631964
2010-01-06,24344358
2010-01-07,12834323
2010-01-08,16251350
2010-01-11,8017781
2010-01-12,15266785
2010-01-13,15494207
2010-01-14,14134406
2010-01-15,10130100
2010-01-19,13421203
2010-01-20,15034255
2010-01-21,27950731
2010-01-22,24672498
2010-01-25,14767425
2010-01-26,28346863
2010-01-27,28537067
2010-01-28,13874299
2010-01-29,21045514
2010-02-01,14806936
2010-02-02,16510556
2010-02-03,13080158
2010-02-04,20584372
2010-02-05,16330277
2010-02-08,19687894
2010-02-09,14529103
2010-02-10,34712705
2010-02-11,18378697
2010-02-12,9569838
2010-02-16,15093286
2010-02-17,14360988
2010-02-18,6724796
2010-02-19,12374996
2010-02-22,10142741
2010-02-23,9748934
2010-02-24,11988913
2010-02-25,10457077
2010-02-26,11815435
2010-03-01,7713480
2010-03-02,14294814
2010-03-03,10620072
2010-03-04,11222497
2010-03-05,9268000
2010-03-08,6604665
2010-03-09,10404112
2010-03-10,9679369
2010-03-11,8109848
2010-03-12,11713964
2010-03-15,9140245
2010-03-16,3913937
2010-03-17,6327851
2010-03-18,7204352
2010-03-19,10060537
2010-03-22,6311435
2010-03-23,5666306
2010-03-24,6566890
2010-03-25,6162413
2010-03-26,8480610
2010-03-29,9588652
2010-03-30,5996329
2010-03-31,13866901
2010-04-01,9016810
2010-04-05,17232317
2010-04-06,23455843
2010-04-07,6993385
2010-04-08,8055530
2010-04-09,7678180
2010-04-12,8771800
2010-04-13,5714913
2010-04-14,7871817
2010-04-15,5902246
2010-04-16,11865340
2010-04-19,7390930
2010-04-20,6836326
2010-04-21,7934308
2010-04-22,18276657
2010-04-23,11816964
2010-04-26,17835045
2010-04-27,16664218
2010-04-28,7611461
2010-04-29,7908674
2010-04-30,9376745
2010-05-03,7951083
2010-05-04,6712470
2010-05-05,15324027
2010-05-06,17862049
2010-05-07,17328202
2010-05-10,16011153
2010-05-11,18772440
2010-05-12,12153807
2010-05-13,11259335
2010-05-14,10492746
2010-05-17,13702413
2010-05-18,12950472
2010-05-19,12269602
2010-05-20,11531562
2010-05-21,19353194
2010-05-24,14967776
2010-05-25,12411105
2010-05-26,8706433
2010-05-27,9221845
2010-05-28,8587521
2010-06-01,8945537
2010-06-02,18274815
2010-06-03,10008058
2010-06-04,11148540
2010-06-07,8304943
2010-06-08,11116472
2010-06-09,8218792
2010-06-10,7470698
2010-06-11,14023747
2010-06-14,13027811
2010-06-15,15066015
2010-06-16,22951115
2010-06-17,34132155
2010-06-18,15492389
2010-06-21,9821675
2010-06-22,6082250
2010-06-23,7772516
2010-06-24,10704631
2010-06-25,11127803
2010-06-28,9773900
2010-06-29,12532635
2010-06-30,7263581
2010-07-01,9179384
2010-07-02,23176151
2010-07-06,18310981
2010-07-07,18644973
2010-07-08,14145724
2010-07-09,8772072
2010-07-12,5993128
2010-07-13,8021107
2010-07-14,14172641
2010-07-15,12605712
2010-07-16,10769742
2010-07-19,8955193
2010-07-20,18816980
2010-07-21,8419483
2010-07-22,4420718
2010-07-23,4795681
2010-07-26,5854178
2010-07-27,7236442
2010-07-28,4405734
2010-07-29,4768705
2010-07-30,6485953
2010-08-02,7571078
2010-08-03,7899466
2010-08-04,14438032
2010-08-05,7021764
2010-08-06,5708548
2010-08-09,8964431
2010-08-10,11329979
2010-08-11,15433747
2010-08-12,9066224
2010-08-13,19625725
2010-08-16,16573867
2010-08-17,12394485
2010-08-18,10464896
2010-08-19,6302902
2010-08-20,10190830
2010-08-23,14172756
2010-08-24,16016753
2010-08-25,24112048
2010-08-26,13496726
2010-08-27,16894994
2010-08-30,5824499
2010-08-31,12480135
2010-09-01,8064956
2010-09-02,6969737
2010-09-03,6693224
2010-09-07,10350123
2010-09-08,8662317
2010-09-09,6652278
2010-09-10,5129628
2010-09-13,5474290
2010-09-14,6179058
2010-09-15,6895227
2010-09-16,7384617
2010-09-17,9726367
2010-09-20,21186284
2010-09-21,6679426
2010-09-22,7426692
2010-09-23,14679512
2010-09-24,9400524
2010-09-27,6358319
2010-09-28,7098820
2010-09-29,4861024
2010-09-30,7200332
2010-10-01,9463337
2010-10-04,9397406
2010-10-05,10801393
2010-10-06,8914879
2010-10-07,9066331
2010-10-08,6643388
2010-10-11,4206135
2010-10-12,9071059
2010-10-13,13738617
2010-10-14,9551531
2010-10-15,9165191
2010-10-18,7721748
2010-10-19,10515079
2010-10-20,8818493
2010-10-21,7877801
2010-10-22,6074918
2010-10-25,15774643
2010-10-26,16795625
2010-10-27,5890844
2010-10-28,10228511
2010-10-29,8528922
2010-11-01,20851054
2010-11-02,6716381
2010-11-03,8820049
2010-11-04,9273941
2010-11-05,12227635
2010-11-08,7582843
2010-11-09,3765796
2010-11-10,4483465
