dt,volume
2010-01-04,47638533
2010-01-05,63911604
2010-01-06,84165290
2010-01-07,86200286
2010-01-08,65262672
2010-01-11,45675802
2010-01-12,102962712
2010-01-13,42371511
2010-01-14,35879216
2010-01-15,69103042
2010-01-19,52268523
2010-01-20,46373895
2010-01-21,77188531
2010-01-22,106951852
2010-01-25,63752972
2010-01-26,54438038
2010-01-27,78826730
2010-01-28,82007868
2010-01-29,47874455
2010-02-01,58478933
2010-02-02,81081976
2010-02-03,216078071
2010-02-04,122294140
2010-02-05,141389446
2010-02-08,91373299
2010-02-09,93498802
2010-02-10,83260299
2010-02-11,69050790
2010-02-12,85002050
2010-02-16,111429885
2010-02-17,91159955
2010-02-18,64922257
2010-02-19,59330574
2010-02-22,85387616
2010-02-23,113036079
2010-02-24,53131636
2010-02-25,70310321
2010-02-26,68599085
2010-03-01,79956206
2010-03-02,96954474
2010-03-03,77514233
2010-03-04,60445082
2010-03-05,72593107
2010-03-08,48186479
2010-03-09,76851515
2010-03-10,58039930
2010-03-11,61764162
2010-03-12,100548154
2010-03-15,57896325
2010-03-16,85153437
2010-03-17,207444886
2010-03-18,98798592
2010-03-19,94046082
2010-03-22,88885282
2010-03-23,87788333
2010-03-24,137912956
2010-03-25,91124991
2010-03-26,112272910
2010-03-29,95607915
2010-03-30,60449458
2010-03-31,64473825
2010-04-01,77626534
2010-04-05,83873476
2010-04-06,59817442
2010-04-07,208838562
2010-04-08,109856248
2010-04-09,70350694
2010-04-12,74038389
2010-04-13,75634793
2010-04-14,76768573
2010-04-15,74111968
2010-04-16,116192219
2010-04-19,66507719
2010-04-20,95946964
2010-04-21,95427010
2010-04-22,50472348
2010-04-23,53143106
2010-04-26,86880244
2010-04-27,74742111
2010-04-28,73461728
2010-04-29,109031413
2010-04-30,88632220
2010-05-03,109142872
2010-05-04,131624360
2010-05-05,102858366
2010-05-06,154738208
2010-05-07,200655281
2010-05-10,99078174
2010-05-11,76074428
2010-05-12,73157139
2010-05-13,63147469
2010-05-14,101215026
2010-05-17,115456120
2010-05-18,66081687
2010-05-19,113789718
2010-05-20,157582324
2010-05-21,152190951
2010-05-24,70084817
2010-05-25,101590036
2010-05-26,96962094
2010-05-27,74609586
2010-05-28,71224092
2010-06-01,63771961
2010-06-02,71809439
2010-06-03,99173620
2010-06-04,85629806
2010-06-07,144591651
2010-06-08,98894947
2010-06-09,91098994
2010-06-10,67567664
2010-06-11,120999409
2010-06-14,178534361
2010-06-15,107259410
2010-06-16,84798233
2010-06-17,84963195
2010-06-18,90288729
2010-06-21,97246697
2010-06-22,115029125
2010-06-23,127600527
2010-06-24,101040402
2010-06-25,125847072
2010-06-28,82906533
2010-06-29,135302968
2010-06-30,118815216
2010-07-01,124820234
2010-07-02,65680872
2010-07-06,55908832
2010-07-07,61406669
2010-07-08,97184162
2010-07-09,58459379
2010-07-12,75242780
2010-07-13,78351858
2010-07-14,76351693
2010-07-15,59611243
2010-07-16,70722057
2010-07-19,75910215
2010-07-20,83196394
2010-07-21,70105861
2010-07-22,64551064
2010-07-23,68879801
2010-07-26,65280488
2010-07-27,97795997
2010-07-28,211076109
2010-07-29,118846007
2010-07-30,60996229
2010-08-02,78902960
2010-08-03,60994052
2010-08-04,46704042
2010-08-05,56441312
2010-08-06,87375197
2010-08-09,53483830
2010-08-10,95250931
2010-08-11,83058350
2010-08-12,80607354
2010-08-13,61391053
2010-08-16,95730149
2010-08-17,83829069
2010-08-18,47568291
2010-08-19,61547552
2010-08-20,61762499
2010-08-23,63343184
2010-08-24,79806044
2010-08-25,131770974
2010-08-26,74544761
2010-08-27,124803390
2010-08-30,47628697
2010-08-31,80804849
2010-09-01,72540458
2010-09-02,77785174
2010-09-03,109777525
2010-09-07,56874120
2010-09-08,88941813
2010-09-09,95930149
2010-09-10,79194244
2010-09-13,64305504
2010-09-14,78831470
2010-09-15,65703793
2010-09-16,49380512
2010-09-17,87865646
2010-09-20,346385816
2010-09-21,107124154
2010-09-22,139657821
2010-09-23,170409007
2010-09-24,90833177
2010-09-27,48796820
2010-09-28,107360870
2010-09-29,71604107
2010-09-30,115112495
2010-10-01,95525056
2010-10-04,91259621
2010-10-05,133533877
2010-10-06,117880359
2010-10-07,60381613
2010-10-08,73664816
2010-10-11,52295266
2010-10-12,151757491
2010-10-13,90675924
2010-10-14,77591021
2010-10-15,124259239
2010-10-18,61118174
2010-10-19,104364728
2010-10-20,63428377
2010-10-21,63757300
2010-10-22,28658868
2010-10-25,99952886
2010-10-26,83264503
2010-10-27,230222218
2010-10-28,98345764
2010-10-29,58279434
2010-11-01,92495786
2010-11-02,65346385
2010-11-03,43678334
2010-11-04,86236863
2010-11-05,74633332
2010-11-08,55781802
2010-11-09,67671289
2010-11-10,78604463
2010-11-11,70265056
2010-11-12,110784638
2010-11-15,38971209
2010-11-16,99229498
2010-11-17,66746050
2010-11-18,76247002
2010-11-19,83728660
2010-11-22,86163910
2010-11-23,55691080
2010-11-24,60585432
2010-11-26,12597451
2010-11-29,50962512
2010-11-30,49391172
2010-12-01,44968297
2010-12-02,49802869
2010-12-03,47362494
2010-12-06,45020363
2010-12-07,91770193
2010-12-08,58728003
2010-12-09,52595416
2010-12-10,36873647
2010-12-13,59049233
2010-12-14,52656606
2010-12-15,75708331
2010-12-16,89301238
2010-12-17,61296663
2010-12-20,36744053
2010-12-21,79762732
2010-12-22,33688226
2010-12-23,43202572
2010-12-27,27052753
2010-12-28,28407990
2010-12-29,26576554
2010-12-30,31320946
2010-12-31,26554593
2011-01-03,57737096
2011-01-04,74201889
2011-01-05,71643302
2011-01-06,92582076
2011-01-07,63433429
2011-01-10,80658517
2011-01-11,132040687
2011-01-12,64171215
2011-01-13,62287202
2011-01-14,54272604
2011-01-18,59509847
2011-01-19,62795207
2011-01-20,83038024
2011-01-21,80972813
2011-01-24,140294287
2011-01-25,92465555
2011-01-26,70951923
2011-01-27,51425256
2011-01-28,47925973
2011-01-31,71162785
2011-02-01,92798035
