dt,volume
2010-01-04,38455221
2010-01-05,27519623
2010-01-06,31316207
2010-01-07,39904811
2010-01-08,26003263
2010-01-11,41510093
2010-01-12,31189895
2010-01-13,29271457
2010-01-14,21492668
2010-01-15,38540572
2010-01-19,34163500
2010-01-20,39764180
2010-01-21,43000021
2010-01-22,33300277
2010-01-25,42544739
2010-01-26,57149220
2010-01-27,66934273
2010-01-28,47627984
2010-01-29,46869071
2010-02-01,53423206
2010-02-02,80611937
2010-02-03,25461751
2010-02-04,29024501
2010-02-05,72185391
2010-02-08,31294175
2010-02-09,60767280
2010-02-10,47312348
2010-02-11,49874824
2010-02-12,321623792
2010-02-16,50689404
2010-02-17,59306012
2010-02-18,46192469
2010-02-19,30550185
2010-02-22,34979245
2010-02-23,57281683
2010-02-24,56643641
2010-02-25,54496075
2010-02-26,45211961
2010-03-01,55463735
2010-03-02,68848514
2010-03-03,67570900
2010-03-04,62080293
2010-03-05,41346205
2010-03-08,32227480
2010-03-09,31167493
2010-03-10,33305066
2010-03-11,53173617
2010-03-12,67837032
2010-03-15,31847901
2010-03-16,46519788
2010-03-17,46943622
2010-03-18,32755410
2010-03-19,52130220
2010-03-22,35873624
2010-03-23,33518088
2010-03-24,33836969
2010-03-25,53422931
2010-03-26,58535847
2010-03-29,15125276
2010-03-30,40385240
2010-03-31,30249082
2010-04-01,31124681
2010-04-05,30042885
2010-04-06,39578603
2010-04-07,62194186
2010-04-08,51639214
2010-04-09,52591377
2010-04-12,74543401
2010-04-13,49664403
2010-04-14,33184599
2010-04-15,60623648
2010-04-16,46485524
2010-04-19,38061970
2010-04-20,74726580
2010-04-21,67675957
2010-04-22,49266214
2010-04-23,259547112
2010-04-26,65880136
2010-04-27,54403443
2010-04-28,65533490
2010-04-29,53143036
2010-04-30,36306228
2010-05-03,39826648
2010-05-04,50945609
2010-05-05,103854280
2010-05-06,111023433
2010-05-07,125560360
2010-05-10,89010458
2010-05-11,44477853
2010-05-12,98514328
2010-05-13,59110992
2010-05-14,49831564
2010-05-17,47710439
2010-05-18,68625403
2010-05-19,62700779
2010-05-20,55576984
2010-05-21,59250926
2010-05-24,46075097
2010-05-25,54507765
2010-05-26,44813386
2010-05-27,40475520
2010-05-28,30872268
2010-06-01,68658148
2010-06-02,43940019
2010-06-03,44092938
2010-06-04,34433589
2010-06-07,51853322
2010-06-08,57349682
2010-06-09,50062803
2010-06-10,38597347
2010-06-11,27794888
2010-06-14,35552875
2010-06-15,59974949
2010-06-16,49580189
2010-06-17,31865765
2010-06-18,32080768
2010-06-21,60208792
2010-06-22,35512535
2010-06-23,65537317
2010-06-24,49457557
2010-06-25,100338468
2010-06-28,51827355
2010-06-29,76995360
2010-06-30,50825373
2010-07-01,84335592
2010-07-02,48881484
2010-07-06,55970903
2010-07-07,75370575
2010-07-08,58345932
2010-07-09,54163108
2010-07-12,40293488
2010-07-13,46013203
2010-07-14,37141605
2010-07-15,28938838
2010-07-16,71192451
2010-07-19,37020323
2010-07-20,28560799
2010-07-21,40162472
2010-07-22,61025487
2010-07-23,63413108
2010-07-26,37292710
2010-07-27,29449663
2010-07-28,31577461
2010-07-29,45602248
2010-07-30,30313491
2010-08-02,31829218
2010-08-03,23012182
2010-08-04,15476052
2010-08-05,24892060
2010-08-06,25188465
2010-08-09,22810435
2010-08-10,30669276
2010-08-11,35594278
2010-08-12,27258646
2010-08-13,26272879
2010-08-16,21994255
2010-08-17,38597564
2010-08-18,25801272
2010-08-19,16244082
2010-08-20,21303629
2010-08-23,20653840
2010-08-24,38236796
2010-08-25,57916406
2010-08-26,23659576
2010-08-27,35372528
2010-08-30,19995509
2010-08-31,36879303
2010-09-01,64851659
2010-09-02,29915484
2010-09-03,15486431
2010-09-07,21038268
2010-09-08,14890421
2010-09-09,25532012
2010-09-10,34454167
2010-09-13,12706785
2010-09-14,44526620
2010-09-15,30243800
2010-09-16,39745014
2010-09-17,24792546
2010-09-20,22506218
2010-09-21,26667700
2010-09-22,29621330
2010-09-23,24787320
2010-09-24,28877498
2010-09-27,32170086
2010-09-28,38434178
2010-09-29,38201030
2010-09-30,24794187
2010-10-01,20558991
2010-10-04,34606768
2010-10-05,48228185
2010-10-06,61336913
2010-10-07,50213842
2010-10-08,40700957
2010-10-11,16023214
2010-10-12,39074821
2010-10-13,49741614
2010-10-14,46310925
2010-10-15,45979104
2010-10-18,33319115
2010-10-19,48981509
2010-10-20,25336074
2010-10-21,40073439
2010-10-22,79779209
2010-10-25,43852750
2010-10-26,53576603
2010-10-27,22428618
2010-10-28,16896167
2010-10-29,19348443
2010-11-01,29051122
2010-11-02,29830366
2010-11-03,28714909
2010-11-04,32259418
2010-11-05,25219999
2010-11-08,30259332
2010-11-09,19601008
2010-11-10,23414595
2010-11-11,230192484
2010-11-12,136816334
2010-11-15,108693572
2010-11-16,186739528
2010-11-17,131961370
2010-11-18,73262136
2010-11-19,64280132
2010-11-22,56727848
2010-11-23,69040332
2010-11-24,40603300
2010-11-26,9442673
2010-11-29,67238102
2010-11-30,40307420
2010-12-01,46709364
2010-12-02,36847715
2010-12-03,34719998
2010-12-06,23237212
2010-12-07,56615819
2010-12-08,34434205
2010-12-09,53816056
2010-12-10,32329352
2010-12-13,32645937
2010-12-14,41385024
