dt,volume
2010-01-04,57058581
2010-01-05,27683805
2010-01-06,39314412
2010-01-07,34606068
2010-01-08,22567147
2010-01-11,26609457
2010-01-12,25774594
2010-01-13,26626814
2010-01-14,31734100
2010-01-15,32998703
2010-01-19,20999761
2010-01-20,27319069
2010-01-21,40893722
2010-01-22,53277319
2010-01-25,43511692
2010-01-26,39373586
2010-01-27,78876325
2010-01-28,136162028
2010-01-29,90885374
2010-02-01,83997974
2010-02-02,57668027
2010-02-03,40581611
2010-02-04,65839017
2010-02-05,108241861
2010-02-08,57299095
2010-02-09,109465400
2010-02-10,64758210
2010-02-11,68146271
2010-02-12,34579066
2010-02-16,40639166
2010-02-17,46798235
2010-02-18,35795485
2010-02-19,45089235
2010-02-22,43810244
2010-02-23,46962379
2010-02-24,48276669
2010-02-25,59706877
2010-02-26,47913359
2010-03-01,40122915
2010-03-02,40734562
2010-03-03,44992195
2010-03-04,42646813
2010-03-05,64052301
2010-03-08,52684742
2010-03-09,147496838
2010-03-10,80727409
2010-03-11,60506888
2010-03-12,102425007
2010-03-15,48083932
2010-03-16,39707201
2010-03-17,66248244
2010-03-18,49273757
2010-03-19,56668241
2010-03-22,51282645
2010-03-23,39031540
2010-03-24,48025898
2010-03-25,59413529
2010-03-26,73588075
2010-03-29,33680972
2010-03-30,58987967
2010-03-31,70333000
2010-04-01,80493908
2010-04-05,34719540
2010-04-06,76825689
2010-04-07,44739338
2010-04-08,43472202
2010-04-09,41076514
2010-04-12,62668439
2010-04-13,58884050
2010-04-14,40559773
2010-04-15,38871428
2010-04-16,79725632
2010-04-19,44905517
2010-04-20,39975644
2010-04-21,52224239
2010-04-22,37422411
2010-04-23,36518082
2010-04-26,45509424
2010-04-27,103071235
2010-04-28,226215424
2010-04-29,123715432
2010-04-30,62549932
2010-05-03,42543510
2010-05-04,54563948
2010-05-05,80613286
2010-05-06,113273734
2010-05-07,96876938
2010-05-10,49728509
2010-05-11,41169161
2010-05-12,56700289
2010-05-13,44812944
2010-05-14,63093389
2010-05-17,78562775
