dt,volume
2010-01-04,118291859
2010-01-05,122795686
2010-01-06,147524466
2010-01-07,134905505
2010-01-08,100646358
2010-01-11,102124065
2010-01-12,149756955
2010-01-13,147333850
2010-01-14,106552810
2010-01-15,308256546
2010-01-19,225882883
2010-01-20,198812610
2010-01-21,188490747
2010-01-22,147489112
2010-01-25,135300036
2010-01-26,235466647
2010-01-27,196079282
2010-01-28,195991701
2010-01-29,206857685
2010-02-01,129665503
2010-02-02,165228065
2010-02-03,124694804
2010-02-04,228052802
2010-02-05,209328085
2010-02-08,125283383
2010-02-09,162659746
2010-02-10,143697656
2010-02-11,113492392
2010-02-12,114816161
2010-02-16,97191337
2010-02-17,132435406
2010-02-18,102011554
2010-02-19,199377394
2010-02-22,129721997
2010-02-23,155462739
2010-02-24,107426372
2010-02-25,122266123
2010-02-26,90993896
2010-03-01,112208100
2010-03-02,115813769
2010-03-03,109504214
2010-03-04,88724533
2010-03-05,115740622
2010-03-08,125174851
2010-03-09,119022111
2010-03-10,105704218
2010-03-11,121308352
2010-03-12,117607271
2010-03-15,88700399
2010-03-16,92927393
2010-03-17,104580090
2010-03-18,134460382
2010-03-19,299950164
2010-03-22,118369776
2010-03-23,94448168
2010-03-24,120263139
2010-03-25,135235672
2010-03-26,110200622
2010-03-29,94134721
2010-03-30,112338041
2010-03-31,127202417
2010-04-01,127692877
2010-04-05,104987549
2010-04-06,87256927
2010-04-07,115007733
2010-04-08,115466039
2010-04-09,90211924
2010-04-12,103559588
2010-04-13,159076148
2010-04-14,143244774
2010-04-15,109503571
2010-04-16,200680068
2010-04-19,167586214
2010-04-20,172994048
2010-04-21,166977037
2010-04-22,296633264
2010-04-23,139006450
2010-04-26,117306509
2010-04-27,145830883
2010-04-28,140536917
2010-04-29,107796285
2010-04-30,148517885
2010-05-03,187930421
2010-05-04,173325751
2010-05-05,196234553
2010-05-06,224767369
2010-05-07,276353392
2010-05-10,233518592
2010-05-11,118611572
2010-05-12,138132826
2010-05-13,164765316
2010-05-14,149108405
2010-05-17,128162877
2010-05-18,256674441
2010-05-19,245537423
2010-05-20,296809463
2010-05-21,343677897
2010-05-24,175451934
2010-05-25,282478328
2010-05-26,209593554
2010-05-27,308423261
2010-05-28,325878843
2010-06-01,239582559
2010-06-02,176446424
2010-06-03,179412155
2010-06-04,243607274
2010-06-07,173244186
2010-06-08,183594735
2010-06-09,155659015
2010-06-10,188036928
2010-06-11,211857616
2010-06-14,121490931
2010-06-15,136518559
2010-06-16,114482920
2010-06-17,126438330
2010-06-18,272630385
2010-06-21,147403645
2010-06-22,176053422
2010-06-23,152506403
2010-06-24,188304979
2010-06-25,262637914
2010-06-28,198591659
2010-06-29,236656997
2010-06-30,162837007
2010-07-01,234352575
2010-07-02,132625381
2010-07-06,183374640
2010-07-07,194778082
2010-07-08,153817850
2010-07-09,139499125
2010-07-12,133144286
2010-07-13,134036201
2010-07-14,116960054
2010-07-15,132485554
2010-07-16,238074131
2010-07-19,108947411
2010-07-20,290658728
2010-07-21,242637660
2010-07-22,229507190
2010-07-23,191861781
2010-07-26,143161373
2010-07-27,206646185
2010-07-28,187041564
2010-07-29,171360880
2010-07-30,165257466
2010-08-02,120276658
2010-08-03,144606802
2010-08-04,138454692
2010-08-05,130225396
2010-08-06,112851297
2010-08-09,81513633
2010-08-10,181031343
2010-08-11,137671556
2010-08-12,103182434
2010-08-13,103843423
2010-08-16,127499361
2010-08-17,160262313
2010-08-18,113755704
2010-08-19,153591587
2010-08-20,175430074
2010-08-23,101933745
2010-08-24,198200038
2010-08-25,142349567
2010-08-26,165765376
2010-08-27,172123165
2010-08-30,103937658
2010-08-31,164554310
2010-09-01,157836227
2010-09-02,100461450
2010-09-03,99013577
2010-09-07,65852542
2010-09-08,83473428
2010-09-09,176958958
2010-09-10,107638162
2010-09-13,131294540
2010-09-14,135241152
2010-09-15,110291960
2010-09-16,109340363
2010-09-17,205038230
2010-09-20,112519915
2010-09-21,93708174
2010-09-22,122001418
2010-09-23,98604522
2010-09-24,158189987
2010-09-27,91082546
2010-09-28,153650551
2010-09-29,113158370
2010-09-30,149815020
2010-10-01,123889049
2010-10-04,104043219
2010-10-05,152658622
2010-10-06,129906573
2010-10-07,135556821
2010-10-08,82276544
2010-10-11,83438542
2010-10-12,101807904
2010-10-13,124391053
2010-10-14,101986486
2010-10-15,193499508
2010-10-18,134181579
2010-10-19,216982151
2010-10-20,125457600
2010-10-21,145534114
2010-10-22,87521114
2010-10-25,81252369
2010-10-26,83770619
2010-10-27,143016568
2010-10-28,131991714
