dt,volume
2010-01-04,19811669
2010-01-05,30360094
2010-01-06,22987243
2010-01-07,36513385
2010-01-08,37328731
2010-01-11,43711550
2010-01-12,28421108
2010-01-13,15129706
2010-01-14,19654060
2010-01-15,46039470
2010-01-19,28499287
2010-01-20,35123078
2010-01-21,42805778
2010-01-22,63278154
2010-01-25,36819029
2010-01-26,44976010
2010-01-27,41908040
2010-01-28,50963077
2010-01-29,38829636
2010-02-01,36032228
2010-02-02,28956901
2010-02-03,40619799
2010-02-04,26401079
2010-02-05,35540833
2010-02-08,29937539
2010-02-09,24072084
2010-02-10,24207202
2010-02-11,19960035
2010-02-12,23725898
2010-02-16,30539164
2010-02-17,25208711
2010-02-18,22531024
2010-02-19,26675653
2010-02-22,24868496
2010-02-23,30353424
2010-02-24,33531739
2010-02-25,36388469
2010-02-26,30276617
2010-03-01,31307038
2010-03-02,88384907
2010-03-03,31966648
2010-03-04,40885189
2010-03-05,28856440
2010-03-08,31601569
2010-03-09,22158534
2010-03-10,44148113
2010-03-11,33983893
2010-03-12,44224051
2010-03-15,31294663
2010-03-16,50077612
2010-03-17,38437060
2010-03-18,36664200
2010-03-19,51258708
2010-03-22,62924396
2010-03-23,40665608
2010-03-24,22756644
2010-03-25,36986936
2010-03-26,32234997
2010-03-29,25880693
2010-03-30,19373230
2010-03-31,17636894
2010-04-01,37097310
2010-04-05,21900417
2010-04-06,30089286
2010-04-07,30348413
2010-04-08,25109867
2010-04-09,24191610
2010-04-12,28613093
2010-04-13,24001002
2010-04-14,32045608
2010-04-15,29156474
2010-04-16,33702208
2010-04-19,35089536
2010-04-20,38058430
2010-04-21,31742171
2010-04-22,50443907
2010-04-23,52915492
2010-04-26,37541681
2010-04-27,39701470
2010-04-28,33686743
2010-04-29,24037618
2010-04-30,28746704
2010-05-03,27001441
2010-05-04,49012964
2010-05-05,40105103
2010-05-06,55210085
2010-05-07,100238952
2010-05-10,79271260
2010-05-11,36496470
2010-05-12,39691104
2010-05-13,23415994
2010-05-14,30089638
2010-05-17,29270728
2010-05-18,35432485
2010-05-19,41677407
2010-05-20,68270812
2010-05-21,67469616
2010-05-24,30489534
2010-05-25,56509648
2010-05-26,29629706
2010-05-27,22560991
2010-05-28,23933122
2010-06-01,44957749
2010-06-02,35495617
2010-06-03,26339935
2010-06-04,45398392
2010-06-07,40047111
2010-06-08,41133566
2010-06-09,31110882
2010-06-10,26954824
2010-06-11,25253889
2010-06-14,23962735
2010-06-15,22758928
2010-06-16,28304551
2010-06-17,20173295
2010-06-18,32740668
2010-06-21,21666934
2010-06-22,25879165
2010-06-23,23633668
2010-06-24,33668221
2010-06-25,34845714
2010-06-28,26917233
2010-06-29,36609868
2010-06-30,29267353
2010-07-01,40014993
2010-07-02,23461898
2010-07-06,45981445
2010-07-07,29223517
2010-07-08,29108024
2010-07-09,23332854
2010-07-12,24162185
2010-07-13,18827023
2010-07-14,22197088
2010-07-15,24755795
2010-07-16,32466465
2010-07-19,29388810
2010-07-20,35394690
2010-07-21,33927323
2010-07-22,33203674
2010-07-23,39007620
2010-07-26,22099261
2010-07-27,37171193
2010-07-28,24189512
2010-07-29,28039674
2010-07-30,29530583
2010-08-02,32382556
2010-08-03,30946486
2010-08-04,27843900
2010-08-05,25692049
2010-08-06,25800062
2010-08-09,28313829
2010-08-10,30995540
2010-08-11,31448830
2010-08-12,41275529
2010-08-13,29810926
2010-08-16,28991487
2010-08-17,38462262
2010-08-18,30504771
2010-08-19,27484610
2010-08-20,27216235
2010-08-23,32029173
2010-08-24,34903198
2010-08-25,24702621
2010-08-26,30876247
2010-08-27,23337515
2010-08-30,13519996
2010-08-31,32149553
2010-09-01,37654445
2010-09-02,26758953
2010-09-03,29701979
2010-09-07,35993277
2010-09-08,32014602
2010-09-09,22044730
2010-09-10,16360587
2010-09-13,17453241
2010-09-14,21106073
2010-09-15,22799334
2010-09-16,25771672
2010-09-17,36273230
2010-09-20,32225050
2010-09-21,40216247
2010-09-22,29925310
2010-09-23,15907851
2010-09-24,42153897
2010-09-27,43092644
2010-09-28,41485527
2010-09-29,39528708
2010-09-30,27156707
2010-10-01,26500633
2010-10-04,22443484
2010-10-05,25733229
2010-10-06,29458967
2010-10-07,20595968
2010-10-08,21670393
2010-10-11,14810449
2010-10-12,15800973
2010-10-13,18318291
2010-10-14,28524677
2010-10-15,31835713
2010-10-18,34819333
2010-10-19,48748316
2010-10-20,21003462
2010-10-21,16623699
2010-10-22,20530973
2010-10-25,26112803
2010-10-26,173387227
2010-10-27,62950294
2010-10-28,52286697
2010-10-29,27603026
2010-11-01,46219419
2010-11-02,52048941
2010-11-03,28638505
2010-11-04,29443968
2010-11-05,34259384
2010-11-08,17856867
2010-11-09,40088762
2010-11-10,33927613
2010-11-11,30435801
2010-11-12,36110939
2010-11-15,17975454
2010-11-16,33330233
2010-11-17,22756875
2010-11-18,27942078
2010-11-19,34480055
2010-11-22,33158473
2010-11-23,25481079
2010-11-24,33061078
2010-11-26,11968442
2010-11-29,23850591
2010-11-30,33442092
2010-12-01,27046543
2010-12-02,43561459
2010-12-03,38349342
2010-12-06,28447414
2010-12-07,39082518
2010-12-08,30309349
2010-12-09,27064758
2010-12-10,28749290
2010-12-13,31535960
2010-12-14,25839304
2010-12-15,22932909
2010-12-16,23649153
2010-12-17,33782630
2010-12-20,29888474
2010-12-21,23039238
2010-12-22,15336004
2010-12-23,13913001
2010-12-27,11401404
2010-12-28,13124940
2010-12-29,12763494
2010-12-30,11305373
2010-12-31,8228718
2011-01-03,30210710
2011-01-04,37587288
2011-01-05,37882037
2011-01-06,32526053
2011-01-07,25855729
2011-01-10,21971939
2011-01-11,20352856
2011-01-12,27539542
2011-01-13,25324800
2011-01-14,18707204
2011-01-18,20351506
2011-01-19,27177545
2011-01-20,31960726
2011-01-21,38580933
2011-01-24,41487700
2011-01-25,107588301
2011-01-26,40297378
2011-01-27,33261889
2011-01-28,27443041
2011-01-31,19015532
2011-02-01,29749008
2011-02-02,29640087
2011-02-03,30992570
2011-02-04,32380317
2011-02-07,24407922
2011-02-08,21638329
2011-02-09,19818139
2011-02-10,21741025
2011-02-11,22657633
2011-02-14,26210487
2011-02-15,28069024
2011-02-16,26566215
2011-02-17,19414312
2011-02-18,28338223
2011-02-22,31246512
2011-02-23,25806206
2011-02-24,31630156
2011-02-25,24588671
2011-02-28,30825218
2011-03-01,28945761
2011-03-02,39811632
2011-03-03,30922342
2011-03-04,35244336
2011-03-07,40081953
2011-03-08,24031164
2011-03-09,23138312
2011-03-10,43122782
2011-03-11,24342680
2011-03-14,25577845
2011-03-15,37688899
2011-03-16,35789379
2011-03-17,29413445
2011-03-18,41613399
2011-03-21,29295988
2011-03-22,26028440
2011-03-23,29799453
2011-03-24,29655076
2011-03-25,25331051
2011-03-28,23981145
2011-03-29,20451587
2011-03-30,24471732
2011-03-31,21939014
2011-04-01,30834030
2011-04-04,44752951
2011-04-05,30605750
2011-04-06,33731734
2011-04-07,37036206
2011-04-08,21516988
2011-04-11,26293999
2011-04-12,39464715
2011-04-13,38787840
2011-04-14,27673712
2011-04-15,29317768
2011-04-18,31696126
2011-04-19,27043599
2011-04-20,23719613
2011-04-21,23036711
2011-04-25,113725506
2011-04-26,55147413
2011-04-27,29654918
2011-04-28,32387500
2011-04-29,30699473
2011-05-02,32007200
2011-05-03,30089880
2011-05-04,42759811
2011-05-05,30656963
2011-05-06,27857693
2011-05-09,21264903
2011-05-10,19930705
2011-05-11,24720130
2011-05-12,24829366
2011-05-13,21085678
2011-05-16,17519945
2011-05-17,20445795
2011-05-18,16411362
2011-05-19,18014955
2011-05-20,18019466
2011-05-23,19246352
2011-05-24,25594956
2011-05-25,33646049
2011-05-26,21841802
2011-05-27,17091096
2011-05-31,18660813
2011-06-01,22451847
2011-06-02,30379583
2011-06-03,45642676
2011-06-06,31218844
2011-06-07,25058740
2011-06-08,30528280
2011-06-09,20701403
2011-06-10,24483397
2011-06-13,31255084
2011-06-14,28021197
2011-06-15,25372269
2011-06-16,20876239
2011-06-17,29046086
2011-06-20,21587093
2011-06-21,17595865
2011-06-22,14667917
2011-06-23,23027885
2011-06-24,22075255
2011-06-27,15058079
2011-06-28,18895071
2011-06-29,20861192
2011-06-30,17181201
2011-07-01,24930425
2011-07-05,24027044
2011-07-06,25176083
2011-07-07,24015406
2011-07-08,29188275
2011-07-11,23753965
2011-07-12,20515786
2011-07-13,19521123
2011-07-14,24643423
2011-07-15,41788631
2011-07-18,24106015
2011-07-19,23709165
2011-07-20,20900721
2011-07-21,26034314
2011-07-22,28345685
2011-07-25,47189953
2011-07-26,39170839
2011-07-27,24144529
2011-07-28,20181693
2011-07-29,22884531
2011-08-01,29562235
2011-08-02,22242894
2011-08-03,32645243
2011-08-04,42235197
2011-08-05,58574739
2011-08-08,73750336
2011-08-09,70388302
2011-08-10,107409946
2011-08-11,51927354
2011-08-12,39902333
2011-08-15,37284255
2011-08-16,35463166
2011-08-17,32646317
2011-08-18,43611440
2011-08-19,40069943
2011-08-22,34970631
2011-08-23,39136688
2011-08-24,32723965
2011-08-25,30644162
2011-08-26,29401551
2011-08-29,24662744
2011-08-30,40603312
2011-08-31,43314395
2011-09-01,37691273
2011-09-02,25650020
2011-09-06,37778177
2011-09-07,32289338
2011-09-08,31961975
2011-09-09,29314991
2011-09-12,33669929
2011-09-13,23153710
2011-09-14,23248392
2011-09-15,27282622
2011-09-16,44624711
2011-09-19,32568237
2011-09-20,35627274
2011-09-21,32817395
2011-09-22,57569852
2011-09-23,41732644
2011-09-26,34261012
2011-09-27,40367885
2011-09-28,40406621
2011-09-29,48731594
2011-09-30,42169392
2011-10-03,51521898
2011-10-04,62609255
2011-10-05,52496675
2011-10-06,37139080
2011-10-07,31961256
2011-10-10,29116800
2011-10-11,27930475
2011-10-12,29739098
2011-10-13,22927609
2011-10-14,21386760
2011-10-17,18290096
2011-10-18,22564226
2011-10-19,19985255
2011-10-20,23678847
2011-10-21,39004198
2011-10-24,115350002
2011-10-25,47823274
2011-10-26,33173398
2011-10-27,38875285
2011-10-28,21247976
2011-10-31,29062052
2011-11-01,40597466
2011-11-02,19069811
2011-11-03,19998355
2011-11-04,17036566
2011-11-07,13211015
2011-11-08,17911113
2011-11-09,20796865
2011-11-10,19451027
2011-11-11,19061910
2011-11-14,28443258
2011-11-15,15765221
2011-11-16,20199505
2011-11-17,26231427
2011-11-18,22839415
2011-11-21,28366246
2011-11-22,22244957
2011-11-23,28978708
2011-11-25,9535941
2011-11-28,22638932
2011-11-29,29119152
2011-11-30,31537808
2011-12-01,36027659
2011-12-02,23970461
2011-12-05,28203527
2011-12-06,29359726
2011-12-07,20625271
2011-12-08,22533784
2011-12-09,24550865
