dt,volume
2012-09-17,14363990
2012-09-18,14163678
2012-09-19,33857801
2012-09-20,52136193
2012-09-21,53700455
2012-09-24,24141960
2012-09-25,15302051
2012-09-26,18261520
2012-09-27,26376155
2012-09-28,30043578
2012-10-01,69025158
2012-10-02,190239522
2012-10-03,198073193
2012-10-04,107248244
2012-10-05,106901927
2012-10-08,83765172
2012-10-09,101773049
2012-10-10,110360395
2012-10-11,171829401
2012-10-12,99130395
2012-10-15,108474561
2012-10-16,76489061
2012-10-17,43852326
2012-10-18,71078446
2012-10-19,68563305
2012-10-22,48401158
2012-10-23,61586661
2012-10-24,51335804
2012-10-25,34219740
2012-10-26,36165868
2012-10-31,50966345
2012-11-01,39609810
2012-11-02,38061595
2012-11-05,31804685
2012-11-06,45101661
2012-11-07,59417458
2012-11-08,50226772
2012-11-09,47910751
2012-11-12,34925516
2012-11-13,41328310
2012-11-14,46805565
2012-11-15,34790582
2012-11-16,48766415
2012-11-19,33588858
2012-11-20,20307558
2012-11-21,24675268
2012-11-23,6020563
2012-11-26,45992276
2012-11-27,44064527
2012-11-28,34710036
2012-11-29,35020677
2012-11-30,36223479
2012-12-03,42175401
2012-12-04,42267195
2012-12-05,43355813
2012-12-06,46387328
2012-12-07,36297334
2012-12-10,24254431
2012-12-11,48311676
2012-12-12,48817377
2012-12-13,42385542
2012-12-14,28610943
2012-12-17,39189699
2012-12-18,30980607
2012-12-19,30519155
2012-12-20,29557165
2012-12-21,60317166
2012-12-24,13170789
2012-12-26,26413298
2012-12-27,41665465
2012-12-28,24794006
2012-12-31,34602721
2013-01-02,41923837
2013-01-03,37732882
2013-01-04,29987055
2013-01-07,39606372
2013-01-08,33983663
2013-01-09,33006571
2013-01-10,38865296
2013-01-11,24247164
2013-01-14,26740920
2013-01-15,27309392
2013-01-16,49999692
2013-01-17,27631419
2013-01-18,35291682
2013-01-22,44149243
2013-01-23,31348397
2013-01-24,43157803
2013-01-25,27783392
2013-01-28,27863933
2013-01-29,17742090
2013-01-30,21796702
2013-01-31,42893319
2013-02-01,27624843
2013-02-04,29468537
2013-02-05,31045971
2013-02-06,22985584
2013-02-07,27651897
2013-02-08,24973047
2013-02-11,19749384
2013-02-12,18163144
2013-02-13,24947152
2013-02-14,76644797
2013-02-15,96872419
2013-02-19,70435510
2013-02-20,47363713
2013-02-21,32668370
2013-02-22,32551441
2013-02-25,35467110
2013-02-26,41485780
2013-02-27,31023573
2013-02-28,37889839
2013-03-01,45281585
2013-03-04,40493913
2013-03-05,39314397
2013-03-06,31409624
2013-03-07,31034965
2013-03-08,34270952
2013-03-11,51634957
2013-03-12,47837443
2013-03-13,44547707
2013-03-14,33746810
2013-03-15,70252133
2013-03-18,40587183
2013-03-19,35493870
2013-03-20,60544683
2013-03-21,41771706
2013-03-22,67938185
2013-03-25,35913324
2013-03-26,31042713
2013-03-27,27419620
2013-03-28,25576690
2013-04-01,31388611
2013-04-02,33496739
2013-04-03,36184632
2013-04-04,15579252
2013-04-05,30134847
2013-04-08,33768140
2013-04-09,36367722
2013-04-10,36469915
2013-04-11,42726522
2013-04-12,42677334
2013-04-15,42121873
2013-04-16,27881451
2013-04-17,38633920
2013-04-18,39384525
2013-04-19,33793980
2013-04-22,25376618
2013-04-23,29143232
2013-04-24,29731904
2013-04-25,23065913
2013-04-26,30633057
2013-04-29,29022322
2013-04-30,29101054
2013-05-01,22005838
2013-05-02,49113417
2013-05-03,85842793
2013-05-06,36616176
2013-05-07,81827512
2013-05-08,45500348
2013-05-09,29023639
2013-05-10,34083686
2013-05-13,42078077
2013-05-14,23791637
2013-05-15,17886482
2013-05-16,23831209
2013-05-17,32675302
2013-05-20,32032362
2013-05-21,51180693
2013-05-22,72771291
2013-05-23,47165102
2013-05-24,23731135
2013-05-28,26353480
2013-05-29,29331754
2013-05-30,35224214
2013-05-31,43461848
2013-06-03,53571537
2013-06-04,45217519
2013-06-05,35101858
2013-06-06,32770489
2013-06-07,35761833
2013-06-10,30847691
2013-06-11,31484602
2013-06-12,29137073
2013-06-13,49093829
2013-06-14,32774737
2013-06-17,22014727
2013-06-18,24289713
2013-06-19,32573141
2013-06-20,60197190
2013-06-21,84668913
2013-06-24,36037392
2013-06-25,49979792
2013-06-26,42990116
2013-06-27,26414517
2013-06-28,31468542
2013-07-01,29533517
2013-07-02,29489213
2013-07-03,11655311
2013-07-05,25010483
2013-07-08,30922192
2013-07-09,23200294
2013-07-10,15671983
2013-07-11,20286971
2013-07-12,18719351
2013-07-15,20927734
2013-07-16,20598606
2013-07-17,23009815
2013-07-18,29180016
2013-07-19,34318708
2013-07-22,30099751
2013-07-23,21119896
2013-07-24,28780759
2013-07-25,18471618
2013-07-26,28558761
2013-07-29,24527079
2013-07-30,21954577
2013-07-31,18065509
2013-08-01,21849116
2013-08-02,41229400
2013-08-05,25212931
2013-08-06,25864034
2013-08-07,23910497
2013-08-08,33972891
2013-08-09,20434450
2013-08-12,29131186
2013-08-13,21157674
2013-08-14,46797694
2013-08-15,52355427
2013-08-16,54964252
2013-08-19,46539649
2013-08-20,46317688
2013-08-21,26720236
2013-08-22,10771668
2013-08-23,35640660
2013-08-26,26444429
2013-08-27,43343723
2013-08-28,33848563
2013-08-29,31195579
2013-08-30,15972940
2013-09-03,25123418
2013-09-04,26185992
2013-09-05,26012545
2013-09-06,30986054
2013-09-09,39455933
2013-09-10,63294484
2013-09-11,34512476
2013-09-12,21824680
2013-09-13,20203474
2013-09-16,21485271
2013-09-17,20152775
2013-09-18,20936708
2013-09-19,41685314
2013-09-20,52462633
2013-09-23,19255265
2013-09-24,28933428
2013-09-25,25477523
2013-09-26,23905771
2013-09-27,21757642
2013-09-30,20712727
2013-10-01,24865350
2013-10-02,27416706
2013-10-03,24709189
2013-10-04,20756061
2013-10-07,29692402
2013-10-08,37995372
2013-10-09,40245257
2013-10-10,30450185
2013-10-11,33070531
2013-10-14,31841573
2013-10-15,41529823
2013-10-16,31083494
2013-10-17,24225545
2013-10-18,32327614
2013-10-21,15489137
2013-10-22,23296250
2013-10-23,18318341
2013-10-24,20115965
2013-10-25,17722231
2013-10-28,33227291
2013-10-29,25658328
2013-10-30,17468876
2013-10-31,80858109
2013-11-01,44543640
2013-11-04,25789322
2013-11-05,23152164
2013-11-06,25399543
2013-11-07,35100614
2013-11-08,73021224
2013-11-11,33936752
2013-11-12,52497255
2013-11-13,40884793
2013-11-14,30107019
2013-11-15,44569253
2013-11-18,38291769
2013-11-19,34599063
2013-11-20,44060720
2013-11-21,40813581
2013-11-22,29680646
2013-11-25,23836287
2013-11-26,44683773
2013-11-27,30783234
2013-11-29,11900082
2013-12-02,29188228
2013-12-03,23055474
2013-12-04,33723484
2013-12-05,19824454
2013-12-06,28861032
2013-12-09,50170851
2013-12-10,37428082
2013-12-11,22359990
2013-12-12,35293569
2013-12-13,36344355
2013-12-16,23435962
2013-12-17,29495502
2013-12-18,51240144
2013-12-19,35636772
2013-12-20,51040254
2013-12-23,31325591
2013-12-24,12457175
2013-12-26,16960064
2013-12-27,18801567
2013-12-30,20508036
2013-12-31,18650597
2014-01-02,20592194
2014-01-03,24443557
2014-01-06,24205129
2014-01-07,39792065
2014-01-08,63057188
2014-01-09,42819751
2014-01-10,28758028
2014-01-13,41220306
2014-01-14,48684265
2014-01-15,32086842
2014-01-16,30729362
2014-01-17,60922844
2014-01-21,37247034
2014-01-22,27782097
2014-01-23,40644111
2014-01-24,38736045
2014-01-27,39695111
2014-01-28,24324969
2014-01-29,38553594
2014-01-30,38012016
2014-01-31,36935663
2014-02-03,54740692
2014-02-04,49451077
2014-02-05,38608384
2014-02-06,33694359
2014-02-07,41140396
2014-02-10,47038712
2014-02-11,51458306
2014-02-12,37845212
2014-02-13,40652475
2014-02-14,119453315
2014-02-18,45077447
2014-02-19,37845969
2014-02-20,52382390
2014-02-21,51216191
2014-02-24,34553931
2014-02-25,27593035
2014-02-26,40962025
2014-02-27,47856149
2014-02-28,29785488
2014-03-03,28205577
2014-03-04,26868225
2014-03-05,29033112
2014-03-06,14836036
2014-03-07,25855804
2014-03-10,24622565
2014-03-11,25919867
2014-03-12,33509891
2014-03-13,24408470
2014-03-14,34599503
2014-03-17,24404809
2014-03-18,21406388
2014-03-19,20826062
2014-03-20,17823250
2014-03-21,52153515
2014-03-24,28655936
2014-03-25,21191172
2014-03-26,29169294
2014-03-27,25898316
2014-03-28,25811444
2014-03-31,22510933
2014-04-01,32693054
2014-04-02,39797903
2014-04-03,28248724
2014-04-04,55417071
2014-04-07,46157808
2014-04-08,53037282
2014-04-09,50728644
2014-04-10,36912426
2014-04-11,33173485
2014-04-14,28693621
2014-04-15,26756580
2014-04-16,28844036
2014-04-17,37675103
2014-04-21,18380166
2014-04-22,44921384
2014-04-23,30539792
2014-04-24,30154498
2014-04-25,21012553
2014-04-28,33625249
2014-04-29,30881305
2014-04-30,24815005
2014-05-01,33875799
2014-05-02,43197700
2014-05-05,25928787
2014-05-06,23484233
2014-05-07,33120190
2014-05-08,20172668
2014-05-09,30871057
2014-05-12,27900596
2014-05-13,25385663
2014-05-14,20253907
2014-05-15,29144388
2014-05-16,28629621
2014-05-19,23687386
2014-05-20,20571345
2014-05-21,20419132
2014-05-22,22156751
2014-05-23,26579296
2014-05-27,24504436
2014-05-28,19783950
2014-05-29,18929746
2014-05-30,22836327
2014-06-02,29685410
2014-06-03,34238139
2014-06-04,20557189
2014-06-05,17421445
2014-06-06,33705024
2014-06-09,55528441
2014-06-10,28945149
2014-06-11,24898210
2014-06-12,24241531
2014-06-13,25073014
2014-06-16,18827145
2014-06-17,17580072
2014-06-18,34331083
2014-06-19,30605884
2014-06-20,59766091
2014-06-23,26255463
2014-06-24,22159436
2014-06-25,25180633
2014-06-26,20579668
2014-06-27,17871768
2014-06-30,26023782
2014-07-01,26917071
2014-07-02,21214661
2014-07-03,8261004
2014-07-07,23233569
2014-07-08,43052711
2014-07-09,29780033
2014-07-10,30738096
2014-07-11,23706392
2014-07-14,31542314
2014-07-15,17611094
2014-07-16,19152104
2014-07-17,20423578
2014-07-18,23554430
2014-07-21,24979940
2014-07-22,24373076
2014-07-23,60754465
2014-07-24,46435815
2014-07-25,27044365
2014-07-28,22808388
2014-07-29,33907385
2014-07-30,39601493
2014-07-31,135884959
2014-08-01,77874641
2014-08-04,37286192
2014-08-05,37753489
2014-08-06,54476145
2014-08-07,40459913
2014-08-08,25723382
2014-08-11,31577729
2014-08-12,23858152
2014-08-13,32695351
2014-08-14,16706164
2014-08-15,40526904
2014-08-18,21774565
2014-08-19,15916299
2014-08-20,19234026
2014-08-21,18234696
2014-08-22,20315290
