dt,volume
2010-01-04,32038887
2010-01-05,23805070
2010-01-06,26484811
2010-01-07,18453065
2010-01-08,21398069
2010-01-11,43478175
2010-01-12,31711428
2010-01-13,16953090
2010-01-14,21851762
2010-01-15,19390910
2010-01-19,17690012
2010-01-20,31072133
2010-01-21,148999262
2010-01-22,86303843
2010-01-25,36018565
2010-01-26,30113653
2010-01-27,49481167
2010-01-28,29501509
2010-01-29,27405091
2010-02-01,24218354
2010-02-02,23850862
2010-02-03,19811286
2010-02-04,41626989
2010-02-05,35437139
2010-02-08,23183641
2010-02-09,25255544
2010-02-10,51939221
2010-02-11,30761769
2010-02-12,18303979
2010-02-16,21407736
2010-02-17,22361373
2010-02-18,22992695
2010-02-19,33043351
2010-02-22,19204860
2010-02-23,28297768
2010-02-24,37128337
2010-02-25,23086392
2010-02-26,15968652
2010-03-01,14563651
2010-03-02,21454001
2010-03-03,41827113
2010-03-04,26704133
2010-03-05,32547092
2010-03-08,16232279
2010-03-09,20608213
2010-03-10,29865741
2010-03-11,14564029
2010-03-12,31213713
2010-03-15,41647174
2010-03-16,12730488
2010-03-17,30569057
2010-03-18,17262952
2010-03-19,26211347
2010-03-22,15132746
2010-03-23,29448855
2010-03-24,21106760
2010-03-25,11842784
2010-03-26,11958739
2010-03-29,17295121
2010-03-30,9356329
2010-03-31,21913916
2010-04-01,95660424
2010-04-05,31019100
2010-04-06,31245506
2010-04-07,19667859
2010-04-08,19517148
2010-04-09,14429434
2010-04-12,17159186
2010-04-13,30803919
2010-04-14,33241749
2010-04-15,23863513
2010-04-16,46750529
2010-04-19,20474078
2010-04-20,15748745
2010-04-21,11161091
2010-04-22,15005741
2010-04-23,14099140
2010-04-26,21480601
2010-04-27,33383951
2010-04-28,24596047
2010-04-29,32187609
2010-04-30,44507676
2010-05-03,18458982
2010-05-04,26234048
2010-05-05,23748192
2010-05-06,30545836
2010-05-07,48803882
2010-05-10,31178240
2010-05-11,129911327
2010-05-12,42962258
2010-05-13,38576123
2010-05-14,51312857
2010-05-17,45063305
2010-05-18,35196937
2010-05-19,38748543
2010-05-20,31904187
2010-05-21,62355801
2010-05-24,71979690
2010-05-25,86976524
2010-05-26,37232684
2010-05-27,42375048
2010-05-28,30489740
2010-06-01,39659367
2010-06-02,65077224
2010-06-03,55349866
2010-06-04,65344819
2010-06-07,49289744
2010-06-08,53333564
2010-06-09,26814306
2010-06-10,27866886
2010-06-11,31622876
2010-06-14,36227763
2010-06-15,28550385
2010-06-16,19202221
2010-06-17,32531036
2010-06-18,23581886
2010-06-21,33123314
2010-06-22,22476783
2010-06-23,32294843
2010-06-24,20052917
2010-06-25,21155504
2010-06-28,19952791
2010-06-29,41720489
2010-06-30,24551143
2010-07-01,53584378
2010-07-02,25010845
