dt,volume
2010-01-04,6091940
2010-01-05,24847045
2010-01-06,12744807
2010-01-07,7292102
2010-01-08,16602567
2010-01-11,10331497
2010-01-12,10358227
2010-01-13,10261003
2010-01-14,14768082
2010-01-15,13470263
2010-01-19,9682483
2010-01-20,10061584
2010-01-21,16878001
2010-01-22,14273646
2010-01-25,14885703
2010-01-26,21367541
2010-01-27,11404598
2010-01-28,9377416
2010-01-29,13678717
2010-02-01,9577187
2010-02-02,15074505
2010-02-03,10223506
2010-02-04,12640311
2010-02-05,15301531
2010-02-08,10022862
2010-02-09,5071717
2010-02-10,6770487
2010-02-11,5968693
2010-02-12,13924226
2010-02-16,6660236
2010-02-17,5760368
2010-02-18,5569771
2010-02-19,5527580
2010-02-22,5037730
2010-02-23,4208567
2010-02-24,5235130
2010-02-25,8307585
2010-02-26,2638963
2010-03-01,6961139
2010-03-02,4733617
2010-03-03,4386369
2010-03-04,5437228
2010-03-05,4824792
2010-03-08,8624458
2010-03-09,5391757
2010-03-10,4643519
2010-03-11,5131243
2010-03-12,12946981
2010-03-15,3873332
2010-03-16,7418339
2010-03-17,5007545
2010-03-18,38481219
2010-03-19,21444452
2010-03-22,9733541
2010-03-23,13109022
2010-03-24,7860206
2010-03-25,7880052
2010-03-26,18515270
2010-03-29,7950125
2010-03-30,6679070
2010-03-31,7359143
2010-04-01,5006321
2010-04-05,5513636
2010-04-06,6301985
2010-04-07,3743433
2010-04-08,5026841
2010-04-09,8759074
2010-04-12,3129634
2010-04-13,7640237
2010-04-14,10221054
2010-04-15,12222459
2010-04-16,14844356
2010-04-19,4501724
2010-04-20,7699409
2010-04-21,8017000
2010-04-22,10029862
2010-04-23,6062511
2010-04-26,6605763
2010-04-27,16172616
2010-04-28,21928714
2010-04-29,14071175
2010-04-30,8147510
2010-05-03,7340616
2010-05-04,12066930
2010-05-05,8325131
2010-05-06,13651960
2010-05-07,19633632
2010-05-10,12125644
2010-05-11,10562980
2010-05-12,9116490
2010-05-13,13659457
2010-05-14,10096512
2010-05-17,17478540
2010-05-18,18218908
2010-05-19,9413149
2010-05-20,14690447
2010-05-21,39497111
2010-05-24,20181182
2010-05-25,16938859
2010-05-26,7878293
2010-05-27,9789897
2010-05-28,10423562
2010-06-01,12418240
2010-06-02,6550142
2010-06-03,11461150
2010-06-04,11543792
2010-06-07,9991958
2010-06-08,8553936
2010-06-09,6756004
2010-06-10,9711699
2010-06-11,6662282
2010-06-14,4719624
2010-06-15,7480309
2010-06-16,6676513
2010-06-17,5573317
2010-06-18,6323619
2010-06-21,6211704
2010-06-22,7439687
2010-06-23,6137801
2010-06-24,6844255
2010-06-25,7068136
2010-06-28,4318129
2010-06-29,5619692
2010-06-30,5995512
2010-07-01,10184981
2010-07-02,8685253
2010-07-06,6470092
2010-07-07,10228064
2010-07-08,8279195
2010-07-09,7477705
2010-07-12,11285755
2010-07-13,6469519
2010-07-14,7465725
2010-07-15,6270536
2010-07-16,12627545
2010-07-19,4733480
2010-07-20,6366248
2010-07-21,4902868
2010-07-22,6261842
2010-07-23,4522501
2010-07-26,4651882
2010-07-27,6888566
2010-07-28,3276914
2010-07-29,4262241
2010-07-30,5115324
2010-08-02,26050681
2010-08-03,7685074
2010-08-04,9035785
2010-08-05,6842664
