dt,volume
2010-01-04,21577650
2010-01-05,23465852
2010-01-06,20808686
2010-01-07,44758066
2010-01-08,26415203
2010-01-11,17871747
2010-01-12,32144026
2010-01-13,28918889
2010-01-14,25316576
2010-01-15,30449053
2010-01-19,15164657
2010-01-20,29577396
2010-01-21,34250070
2010-01-22,39470481
2010-01-25,44732312
2010-01-26,46002424
2010-01-27,104576002
2010-01-28,44802628
2010-01-29,35375894
2010-02-01,32651456
2010-02-02,44823245
2010-02-03,30013403
2010-02-04,77240127
2010-02-05,54415285
2010-02-08,42716262
2010-02-09,44154915
2010-02-10,31528630
2010-02-11,41235317
2010-02-12,40238457
2010-02-16,28810012
2010-02-17,31032083
2010-02-18,25750043
2010-02-19,27606969
2010-02-22,25232163
2010-02-23,28554128
2010-02-24,25074600
2010-02-25,24453322
2010-02-26,13206960
2010-03-01,29394477
2010-03-02,15346152
2010-03-03,14235625
2010-03-04,11775730
2010-03-05,27647641
2010-03-08,16811115
2010-03-09,19894990
2010-03-10,32121805
2010-03-11,17125486
2010-03-12,19531088
2010-03-15,12837232
2010-03-16,12676416
2010-03-17,11407017
2010-03-18,98077453
2010-03-19,41739947
2010-03-22,28373234
2010-03-23,22278601
2010-03-24,18924032
2010-03-25,23987828
2010-03-26,24125979
2010-03-29,15670329
2010-03-30,15757557
2010-03-31,19115892
2010-04-01,51436425
2010-04-05,25292154
2010-04-06,26183944
2010-04-07,26420425
2010-04-08,18065229
2010-04-09,27706096
2010-04-12,25998943
2010-04-13,20921541
2010-04-14,30614639
2010-04-15,37440905
2010-04-16,158432264
2010-04-19,170317346
2010-04-20,67179705
2010-04-21,142587095
2010-04-22,49078030
2010-04-23,44565862
2010-04-26,44457564
2010-04-27,89558150
2010-04-28,52538642
2010-04-29,62646374
2010-04-30,58871823
2010-05-03,28960651
2010-05-04,54668048
2010-05-05,44939645
2010-05-06,87400369
2010-05-07,71068471
2010-05-10,338481711
2010-05-11,82960557
2010-05-12,59094852
2010-05-13,153251517
2010-05-14,59846554
2010-05-17,30945574
2010-05-18,45287807
2010-05-19,70727348
2010-05-20,87850527
2010-05-21,72254815
2010-05-24,40744899
2010-05-25,48268740
2010-05-26,45051670
2010-05-27,77649952
2010-05-28,39129035
2010-06-01,69021903
2010-06-02,79455007
2010-06-03,79489133
2010-06-04,65096494
2010-06-07,62732344
2010-06-08,39093329
2010-06-09,45601894
2010-06-10,32602106
2010-06-11,32980897
2010-06-14,39602126
2010-06-15,54907566
2010-06-16,76657515
2010-06-17,64349761
2010-06-18,37953917
2010-06-21,23501431
2010-06-22,35442926
2010-06-23,37214711
2010-06-24,26591143
2010-06-25,64778270
2010-06-28,54915712
2010-06-29,50014120
2010-06-30,65843396
2010-07-01,26745326
2010-07-02,30068255
2010-07-06,26024412
2010-07-07,23841191
2010-07-08,37119203
2010-07-09,31537670
2010-07-12,29150950
2010-07-13,21443461
2010-07-14,15827665
2010-07-15,24419324
2010-07-16,29578605
2010-07-19,18343256
2010-07-20,19283910
2010-07-21,36316146
2010-07-22,44770667
2010-07-23,22941010
2010-07-26,15299224
2010-07-27,17883957
2010-07-28,13363541
2010-07-29,54796186
2010-07-30,20828472
2010-08-02,24178903
2010-08-03,44204578
2010-08-04,15112057
2010-08-05,12102385
2010-08-06,13960706
2010-08-09,11299724
2010-08-10,16619511
2010-08-11,17097638
2010-08-12,15506958
2010-08-13,13079227
2010-08-16,18378239
2010-08-17,16104412
2010-08-18,14095414
2010-08-19,15829192
2010-08-20,15614883
2010-08-23,24377885
2010-08-24,25201969
2010-08-25,17856803
2010-08-26,23870338
2010-08-27,11584013
2010-08-30,12513524
2010-08-31,36745157
2010-09-01,21929296
2010-09-02,46158227
2010-09-03,21002007
2010-09-07,14748733
2010-09-08,18986604
2010-09-09,42297080
2010-09-10,102108780
2010-09-13,49785787
2010-09-14,30960424
2010-09-15,20407333
2010-09-16,15841136
2010-09-17,24724964
2010-09-20,39626044
2010-09-21,24100214
2010-09-22,20454086
2010-09-23,26454704
2010-09-24,45534624
2010-09-27,18846152
2010-09-28,17250197
2010-09-29,18421889
2010-09-30,30459056
2010-10-01,19414061
2010-10-04,11953135
2010-10-05,23787301
2010-10-06,26319724
2010-10-07,50062564
2010-10-08,26042146
