dt,volume
2010-01-04,6235818
2010-01-05,8453093
2010-01-06,6018568
2010-01-07,11016935
2010-01-08,10043935
2010-01-11,8743914
2010-01-12,7676799
2010-01-13,10549194
2010-01-14,9944504
2010-01-15,11847712
2010-01-19,8937732
2010-01-20,18340836
2010-01-21,14497079
2010-01-22,11823677
2010-01-25,12651901
2010-01-26,8249658
2010-01-27,11201539
2010-01-28,11375754
2010-01-29,17911534
2010-02-01,12903728
2010-02-02,25763829
2010-02-03,13725115
2010-02-04,12544881
2010-02-05,13650080
2010-02-08,9720617
2010-02-09,8675269
2010-02-10,8025474
2010-02-11,8181763
2010-02-12,8077297
2010-02-16,8857158
2010-02-17,10200532
2010-02-18,6768787
2010-02-19,9024891
2010-02-22,9477891
2010-02-23,15426219
2010-02-24,12005278
2010-02-25,9717556
2010-02-26,44717187
2010-03-01,13890375
2010-03-02,9320530
2010-03-03,13846385
2010-03-04,6413890
2010-03-05,6262589
2010-03-08,7586389
2010-03-09,11639540
2010-03-10,7343633
2010-03-11,5734903
2010-03-12,10181457
2010-03-15,5696266
2010-03-16,7342750
2010-03-17,5008793
2010-03-18,4098009
2010-03-19,8780471
2010-03-22,5189610
2010-03-23,6877521
2010-03-24,5774892
2010-03-25,8565585
2010-03-26,4408768
2010-03-29,15429840
2010-03-30,7136371
2010-03-31,6814249
2010-04-01,3926337
2010-04-05,5392536
2010-04-06,4572362
2010-04-07,4142487
2010-04-08,3550737
2010-04-09,4498910
2010-04-12,14953262
2010-04-13,7444264
2010-04-14,16757667
2010-04-15,10192106
2010-04-16,10882879
2010-04-19,12990067
2010-04-20,11313966
2010-04-21,15238008
2010-04-22,11949637
2010-04-23,22871534
2010-04-26,11938859
2010-04-27,12418692
2010-04-28,11629775
2010-04-29,15259827
2010-04-30,32862080
2010-05-03,11623828
2010-05-04,14618341
2010-05-05,14068669
2010-05-06,11385235
2010-05-07,20865580
2010-05-10,9735170
2010-05-11,8817054
2010-05-12,17349232
2010-05-13,8725179
2010-05-14,7852989
2010-05-17,12253925
2010-05-18,10421707
2010-05-19,10466067
2010-05-20,18702426
2010-05-21,13930088
2010-05-24,8050707
2010-05-25,7255784
2010-05-26,9355575
2010-05-27,5406808
2010-05-28,5251357
2010-06-01,5164142
2010-06-02,6374802
2010-06-03,5364388
2010-06-04,12971587
2010-06-07,12080610
2010-06-08,17692955
2010-06-09,10299559
2010-06-10,7834962
2010-06-11,5693000
2010-06-14,16962936
2010-06-15,10480820
2010-06-16,7162629
2010-06-17,4528149
2010-06-18,7445437
2010-06-21,4231726
2010-06-22,7880064
2010-06-23,8101495
2010-06-24,7600982
2010-06-25,6819853
2010-06-28,3908383
2010-06-29,9646535
2010-06-30,4912022
2010-07-01,14399936
2010-07-02,5735996
2010-07-06,6157300
2010-07-07,20373498
2010-07-08,8575981
2010-07-09,4507353
2010-07-12,3835796
2010-07-13,5338902
2010-07-14,5049549
2010-07-15,5816191
2010-07-16,10318705
2010-07-19,8113540
2010-07-20,10462004
2010-07-21,12765998
2010-07-22,8892670
2010-07-23,8788556
2010-07-26,4148861
2010-07-27,8194813
2010-07-28,4021394
2010-07-29,4403774
2010-07-30,4283795
2010-08-02,5908558
2010-08-03,4795436
2010-08-04,3752988
2010-08-05,23532849
2010-08-06,34502942
2010-08-09,7836694
2010-08-10,10804348
2010-08-11,12862782
2010-08-12,10532922
2010-08-13,8565971
2010-08-16,5943590
2010-08-17,6008219
2010-08-18,5276906
2010-08-19,12515179
2010-08-20,8268838
2010-08-23,10868354
2010-08-24,21195390
2010-08-25,16246592
2010-08-26,10321364
2010-08-27,8357846
2010-08-30,4496637
2010-08-31,4769276
2010-09-01,6724262
2010-09-02,7207306
2010-09-03,5943587
2010-09-07,7616515
2010-09-08,10981277
2010-09-09,5587395
2010-09-10,3771856
2010-09-13,2883254
2010-09-14,4077158
2010-09-15,5866869
2010-09-16,5061378
2010-09-17,4232310
2010-09-20,6101232
2010-09-21,7063926
2010-09-22,6116199
2010-09-23,5716312
2010-09-24,5283110
2010-09-27,7915238
2010-09-28,10919753
2010-09-29,7085160
2010-09-30,10741966
2010-10-01,5434885
2010-10-04,7381145
2010-10-05,7494546
2010-10-06,6532850
2010-10-07,3363782
2010-10-08,5644818
2010-10-11,2157676
2010-10-12,8604684
2010-10-13,11408259
2010-10-14,4375471
2010-10-15,7266386
2010-10-18,2956828
2010-10-19,9059748
2010-10-20,8665314
2010-10-21,9903041
2010-10-22,11921273
2010-10-25,7837225
2010-10-26,6211237
2010-10-27,8193611
2010-10-28,4831213
2010-10-29,4826706
2010-11-01,8976370
2010-11-02,6510058
2010-11-03,6643318
2010-11-04,18163446
2010-11-05,46234937
2010-11-08,12995073
2010-11-09,11163388
2010-11-10,12279791
2010-11-11,3132265
2010-11-12,5291540
2010-11-15,3848575
2010-11-16,6736386
2010-11-17,7713465
2010-11-18,4050172
2010-11-19,4925914
2010-11-22,3694245
2010-11-23,4355043
2010-11-24,5448789
2010-11-26,524201
2010-11-29,4232264
2010-11-30,3669279
2010-12-01,8739141
2010-12-02,7212201
2010-12-03,6109715
2010-12-06,4228146
2010-12-07,5579417
2010-12-08,5064826
2010-12-09,3677015
2010-12-10,3125494
2010-12-13,3261857
2010-12-14,3953654
2010-12-15,4262616
2010-12-16,5146049
2010-12-17,6188751
2010-12-20,6481822
2010-12-21,4959609
2010-12-22,3949923
2010-12-23,6019277
2010-12-27,4368428
2010-12-28,2804395
2010-12-29,3586740
2010-12-30,3138895
2010-12-31,2385958
2011-01-03,7368927
2011-01-04,5758458
2011-01-05,2891069
2011-01-06,4508220
2011-01-07,4631889
2011-01-10,4929086
2011-01-11,4119195
2011-01-12,3869412
2011-01-13,1520315
2011-01-14,3214339
2011-01-18,9666172
2011-01-19,5671954
2011-01-20,8691074
2011-01-21,5982404
2011-01-24,3179808
2011-01-25,6127205
2011-01-26,10165209
2011-01-27,9101251
2011-01-28,10380721
2011-01-31,8822809
