dt,volume
2010-01-04,30387404
2010-01-05,42755513
2010-01-06,103517108
2010-01-07,55975333
2010-01-08,31446864
2010-01-11,31396781
2010-01-12,78851514
2010-01-13,29684547
2010-01-14,20683727
2010-01-15,56144885
2010-01-19,45202658
2010-01-20,36342775
2010-01-21,44858963
2010-01-22,45530670
2010-01-25,41529083
2010-01-26,38861578
2010-01-27,30661408
2010-01-28,27586352
2010-01-29,27075397
2010-02-01,27527486
2010-02-02,42375810
2010-02-03,29452264
2010-02-04,52612506
2010-02-05,53592170
2010-02-08,32346783
2010-02-09,21999905
2010-02-10,40883426
2010-02-11,37306861
2010-02-12,34392713
2010-02-16,26029981
2010-02-17,53745182
2010-02-18,33684202
2010-02-19,34302815
2010-02-22,21189990
2010-02-23,47522145
2010-02-24,29328757
2010-02-25,32259254
2010-02-26,25349072
2010-03-01,22211729
2010-03-02,17440063
2010-03-03,18413324
2010-03-04,28225835
2010-03-05,31711250
2010-03-08,25989967
2010-03-09,39532006
2010-03-10,36134107
2010-03-11,21991426
2010-03-12,28846811
2010-03-15,28599181
2010-03-16,45507512
2010-03-17,55389846
2010-03-18,29272975
2010-03-19,72178221
2010-03-22,36343045
2010-03-23,24701990
2010-03-24,35927973
2010-03-25,42917022
2010-03-26,26786356
2010-03-29,23185748
2010-03-30,20228082
2010-03-31,26234656
2010-04-01,27452439
2010-04-05,16258615
2010-04-06,25413390
2010-04-07,34531173
2010-04-08,32570213
2010-04-09,24749500
2010-04-12,21067835
2010-04-13,22415189
2010-04-14,40559840
2010-04-15,37052867
2010-04-16,53601603
2010-04-19,27650933
2010-04-20,21301240
2010-04-21,26653848
2010-04-22,28515205
2010-04-23,25528348
2010-04-26,18450067
2010-04-27,38449616
2010-04-28,36119432
2010-04-29,49598720
2010-04-30,32741976
2010-05-03,29464866
2010-05-04,33980502
2010-05-05,40110819
2010-05-06,46865309
2010-05-07,71284594
2010-05-10,40544495
2010-05-11,42616075
2010-05-12,28442078
2010-05-13,23616022
2010-05-14,31947152
2010-05-17,36222114
2010-05-18,38124938
2010-05-19,43068092
2010-05-20,46156736
2010-05-21,67218201
2010-05-24,27438113
2010-05-25,31894271
2010-05-26,25687444
2010-05-27,25730512
2010-05-28,35292593
2010-06-01,35705307
2010-06-02,26075060
2010-06-03,29985610
2010-06-04,28540007
2010-06-07,61884969
2010-06-08,48888615
2010-06-09,53434827
2010-06-10,38364624
2010-06-11,48907598
2010-06-14,129460807
2010-06-15,52533507
2010-06-16,39954376
2010-06-17,58898055
2010-06-18,48413050
2010-06-21,20469002
2010-06-22,40687669
2010-06-23,45409285
2010-06-24,50794535
2010-06-25,43719537
2010-06-28,36760720
2010-06-29,55950337
2010-06-30,39924093
2010-07-01,32741373
2010-07-02,28750193
2010-07-06,28990853
2010-07-07,31475716
2010-07-08,45780818
2010-07-09,41817653
2010-07-12,54592252
2010-07-13,41528837
2010-07-14,50397832
2010-07-15,27045856
2010-07-16,47014454
2010-07-19,30217776
2010-07-20,27417344
2010-07-21,27213922
2010-07-22,38093684
2010-07-23,20626693
2010-07-26,22553804
2010-07-27,30502991
2010-07-28,19443558
2010-07-29,34115901
2010-07-30,28946806
2010-08-02,26963669
2010-08-03,36989065
2010-08-04,29560923
2010-08-05,27567417
2010-08-06,30463443
2010-08-09,23774527
2010-08-10,18639196
2010-08-11,26538659
2010-08-12,32024130
2010-08-13,21342816
2010-08-16,21654592
2010-08-17,18560146
2010-08-18,30713184
2010-08-19,46877639
2010-08-20,54697866
2010-08-23,34548616
2010-08-24,30667291
2010-08-25,41491985
2010-08-26,28549926
2010-08-27,27406152
2010-08-30,29188241
2010-08-31,34990526
2010-09-01,36877742
2010-09-02,35420023
2010-09-03,28795362
2010-09-07,47296741
2010-09-08,28019322
2010-09-09,24127403
2010-09-10,30149604
2010-09-13,43230343
2010-09-14,59023427
2010-09-15,31481927
2010-09-16,21229814
2010-09-17,53306308
2010-09-20,22151687
2010-09-21,20724155
2010-09-22,34634751
2010-09-23,22929472
2010-09-24,33190993
2010-09-27,27669576
2010-09-28,30660083
2010-09-29,23712552
2010-09-30,47715721
2010-10-01,32302324
2010-10-04,37779958
2010-10-05,42634765
2010-10-06,24470539
2010-10-07,26651370
2010-10-08,30383648
2010-10-11,26854668
2010-10-12,21597351
2010-10-13,27379966
2010-10-14,37584933
2010-10-15,38240783
2010-10-18,26165569
2010-10-19,36739654
2010-10-20,26695847
2010-10-21,39036539
2010-10-22,34363663
2010-10-25,24698653
2010-10-26,23076439
2010-10-27,30610281
2010-10-28,24862741
2010-10-29,20805846
2010-11-01,14095650
2010-11-02,14176185
2010-11-03,16157179
2010-11-04,13074507
2010-11-05,25031616
2010-11-08,27318681
2010-11-09,79411305
2010-11-10,28334264
2010-11-11,29329551
2010-11-12,33658623
2010-11-15,33126771
2010-11-16,45512045
2010-11-17,29012871
2010-11-18,21714688
2010-11-19,34733285
2010-11-22,35488621
2010-11-23,34963707
2010-11-24,16801290
2010-11-26,6254348
2010-11-29,23883575
2010-11-30,36526641
2010-12-01,24294302
2010-12-02,35283481
2010-12-03,32906981
2010-12-06,28588296
2010-12-07,31751217
2010-12-08,16409955
2010-12-09,19837603
2010-12-10,17564215
2010-12-13,28728971
2010-12-14,23401535
2010-12-15,22773138
2010-12-16,23951487
2010-12-17,43768324
2010-12-20,27796293
2010-12-21,26800855
2010-12-22,14739619
2010-12-23,10472452
2010-12-27,7571741
2010-12-28,8605569
2010-12-29,11442778
2010-12-30,16116296
2010-12-31,9276198
2011-01-03,46786665
2011-01-04,50490374
2011-01-05,34901664
2011-01-06,38289353
2011-01-07,28037979
2011-01-10,35977821
2011-01-11,18660136
2011-01-12,22477915
2011-01-13,30315592
2011-01-14,24887551
2011-01-18,21703954
2011-01-19,14176476
2011-01-20,23697684
2011-01-21,29409557
2011-01-24,17960500
2011-01-25,29944603
2011-01-26,20893225
2011-01-27,22052615
2011-01-28,35102230
2011-01-31,20994160
2011-02-01,20847686
2011-02-02,12721758
2011-02-03,31146528
2011-02-04,35074472
2011-02-07,23943786
2011-02-08,29156949
2011-02-09,20078107
2011-02-10,29948665
2011-02-11,35889062
2011-02-14,27242771
2011-02-15,139592474
2011-02-16,67600510
2011-02-17,65161002
2011-02-18,38396912
2011-02-22,32729282
2011-02-23,48818512
2011-02-24,41920592
2011-02-25,32279365
2011-02-28,46079330
2011-03-01,59072490
2011-03-02,41311216
2011-03-03,30881958
2011-03-04,31489584
2011-03-07,30200508
2011-03-08,35220181
2011-03-09,28213445
2011-03-10,36073335
2011-03-11,96855444
2011-03-14,125747709
2011-03-15,44568884
2011-03-16,57071146
2011-03-17,49269477
2011-03-18,61151649
2011-03-21,28440131
2011-03-22,22629136
2011-03-23,49818807
2011-03-24,41812025
2011-03-25,49877828
2011-03-28,33537551
2011-03-29,37349703
2011-03-30,32602493
2011-03-31,18089037
2011-04-01,36922363
2011-04-04,42394575
2011-04-05,30683627
2011-04-06,24326523
2011-04-07,49556949
2011-04-08,27680478
2011-04-11,22094942
2011-04-12,18063613
2011-04-13,14263391
2011-04-14,20775221
2011-04-15,29454415
2011-04-18,22345659
2011-04-19,26497344
2011-04-20,31893574
2011-04-21,36063576
2011-04-25,15728212
2011-04-26,35831060
2011-04-27,44169664
2011-04-28,31285470
2011-04-29,22900446
2011-05-02,43669171
2011-05-03,25162881
2011-05-04,85347075
2011-05-05,47511730
2011-05-06,28297612
2011-05-09,21921604
2011-05-10,28505825
2011-05-11,34868356
2011-05-12,30530698
2011-05-13,32341770
2011-05-16,22980385
2011-05-17,44028717
2011-05-18,16612590
2011-05-19,22081078
2011-05-20,28518483
2011-05-23,22749561
2011-05-24,23553728
2011-05-25,26699919
2011-05-26,37251654
2011-05-27,19780337
2011-05-31,33729320
2011-06-01,52070258
2011-06-02,44157579
2011-06-03,26247628
2011-06-06,34469797
2011-06-07,62527103
2011-06-08,34504150
2011-06-09,24385032
2011-06-10,28241336
2011-06-13,21401650
2011-06-14,28309097
2011-06-15,48904284
2011-06-16,29443485
2011-06-17,43487933
2011-06-20,33505664
2011-06-21,30331054
2011-06-22,24367165
2011-06-23,33351639
2011-06-24,39476586
2011-06-27,29333856
2011-06-28,34307887
2011-06-29,38556723
2011-06-30,32208184
2011-07-01,24288973
2011-07-05,27727194
2011-07-06,25347074
2011-07-07,26302875
2011-07-08,22847905
2011-07-11,23898537
2011-07-12,32882265
2011-07-13,25049674
2011-07-14,24418880
2011-07-15,39879756
2011-07-18,28142872
2011-07-19,40827546
2011-07-20,20114881
2011-07-21,33525212
2011-07-22,21041337
2011-07-25,26916478
2011-07-26,31624748
2011-07-27,85843446
2011-07-28,33393049
2011-07-29,41801971
2011-08-01,40401352
2011-08-02,55552661
2011-08-03,93658231
2011-08-04,58810537
2011-08-05,103080964
2011-08-08,111143970
2011-08-09,147969723
2011-08-10,120732980
2011-08-11,61984875
2011-08-12,83870379
2011-08-15,45989368
2011-08-16,69846802
